datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18 15:00:00,1145372400,9.6,9.6,9.6,9.6,1,0,626010
2006-04-18 16:00:00,1145376000,9.8,9.8,9.8,9.8,1,0,168600
2006-04-19 16:00:00,1145462400,9.85,9.85,9.85,9.85,1,0,7190
2006-04-20 10:00:00,1145527200,10.34,10.34,10.34,10.34,2,0,100000
2006-04-24 12:30:00,1145881800,9.95,9.95,9.95,9.95,1,0,300000
2006-04-24 16:30:00,1145896200,10.24,10.24,10.24,10.24,2,0,226350
2006-05-08 12:00:00,1147089600,10.14,10.14,10.14,10.14,2,0,1080000
2006-05-08 16:30:00,1147105800,10.19,10.19,10.19,10.19,1,0,80000
2006-05-09 14:00:00,1147183200,10.15,10.24,10.15,10.24,2,0,820340
2006-05-09 16:30:00,1147192200,10.12,10.23,10.12,10.23,3,0,404010
2006-05-10 11:00:00,1147258800,10.05,10.05,10.04,10.04,3,0,554780
2006-05-10 16:30:00,1147278600,9.85,9.85,9.85,9.85,1,0,369760
2006-05-11 15:00:00,1147359600,10.54,10.54,10.54,10.54,1,0,800
2006-05-12 14:00:00,1147442400,9.92,9.92,9.92,9.92,1,0,20000
2006-05-12 14:30:00,1147444200,9.95,9.95,9.95,9.95,2,0,520000
2006-05-12 16:30:00,1147451400,9.75,9.75,9.75,9.75,1,0,20000
2006-05-15 16:30:00,1147710600,9.95,9.95,9.95,9.95,1,0,500000
2006-05-16 10:00:00,1147773600,10.94,10.94,10.94,10.94,2,0,150000
2006-05-16 15:00:00,1147791600,10.24,10.24,10.24,10.24,1,0,38830
2006-05-17 11:00:00,1147863600,10.26,10.26,10.26,10.26,1,0,40000
2006-05-17 14:00:00,1147874400,10.09,10.09,10.09,10.09,1,0,10000
2006-05-18 14:30:00,1147962600,9.95,9.95,9.95,9.95,1,0,234620
2006-05-22 14:30:00,1148308200,9.95,9.95,9.95,9.95,1,0,500000
2006-05-23 10:30:00,1148380200,9.95,9.95,9.95,9.95,2,0,292170
2006-05-24 11:00:00,1148468400,9.94,9.94,9.94,9.94,1,0,500000
2006-05-25 15:00:00,1148569200,9.55,9.55,9.55,9.55,1,0,100490
2006-05-26 11:00:00,1148641200,10.24,10.24,10.24,10.24,1,0,55550
2006-05-29 14:00:00,1148911200,10.24,10.24,10.24,10.24,2,0,150000
2006-05-30 15:00:00,1149001200,9.06,9.06,9.06,9.06,1,0,129500
2006-05-31 15:00:00,1149087600,9.95,9.95,9.95,9.95,1,0,9990
2006-06-02 15:30:00,1149262200,9.26,9.26,9.26,9.26,1,0,40
2006-06-09 16:00:00,1149868800,9.05,9.05,9.05,9.05,1,0,50360
2006-06-12 14:00:00,1150120800,9.75,9.75,9.75,9.75,1,0,300000
2006-06-12 16:30:00,1150129800,8.95,8.95,8.95,8.95,2,0,50360
2006-06-16 16:30:00,1150475400,9.95,9.95,9.95,9.95,1,0,98450
2006-06-19 10:00:00,1150711200,9.95,9.95,9.95,9.95,1,0,5000
2006-06-19 15:00:00,1150729200,9.45,9.45,9.45,9.45,1,0,530000
2006-06-26 10:30:00,1151317800,9.4,9.4,9.4,9.4,2,0,264770
2006-07-03 12:00:00,1151928000,8.95,8.95,8.95,8.95,1,0,158280
2006-07-03 15:30:00,1151940600,9.4,9.4,9.4,9.4,1,0,45990
2006-07-04 10:30:00,1152009000,8.95,8.95,8.95,8.95,1,0,150000
2006-07-05 10:00:00,1152093600,9.4,9.4,9.4,9.4,1,0,502240
2006-07-05 10:30:00,1152095400,9.5,9.5,9.5,9.5,1,0,143500
2006-07-05 11:30:00,1152099000,9.5,9.5,9.5,9.5,1,0,467930
2006-07-05 15:30:00,1152113400,8.96,8.96,8.96,8.96,1,0,43160
2006-07-06 12:00:00,1152187200,9.5,9.5,9.5,9.5,1,0,20
2006-07-06 16:00:00,1152201600,9.05,9.05,9.05,9.05,2,0,244940
2006-07-12 13:30:00,1152711000,9.94,9.94,9.94,9.94,1,0,500
2006-07-13 12:00:00,1152792000,9.93,9.93,9.93,9.93,1,0,490
2006-07-17 10:00:00,1153130400,9.65,9.65,9.65,9.65,2,0,100000
2006-07-17 10:30:00,1153132200,9.95,9.95,9.95,9.95,1,0,10000
2006-07-18 10:30:00,1153218600,9.45,9.45,9.45,9.45,1,0,71440
2006-07-18 11:00:00,1153220400,9.45,9.45,9.45,9.45,1,0,10000
2006-07-18 11:30:00,1153222200,9.45,9.45,9.45,9.45,1,0,8300
2006-07-18 13:30:00,1153229400,9.25,9.25,9.25,9.25,1,0,316860
2006-07-18 16:30:00,1153240200,8.97,8.97,8.97,8.97,1,0,90050
2006-07-19 11:00:00,1153306800,9.7,9.7,9.7,9.7,1,0,3330
2006-07-19 11:30:00,1153308600,9.64,9.7,9.64,9.7,2,0,51550
2006-07-20 11:30:00,1153395000,9.35,9.35,9.35,9.35,1,0,11500
2006-07-21 12:00:00,1153483200,9.65,9.65,9.65,9.65,1,0,3330
2006-07-21 16:00:00,1153497600,9.65,9.65,9.65,9.65,1,0,220000
2006-07-24 10:00:00,1153735200,9.8,9.8,9.8,9.8,1,0,25000
2006-07-24 13:30:00,1153747800,9.64,9.64,9.64,9.64,1,0,863370
2006-07-24 14:00:00,1153749600,9.7,9.7,9.7,9.7,1,0,10120
2006-07-25 11:30:00,1153827000,9.55,9.55,8.96,8.96,2,0,446070
2006-07-28 12:30:00,1154089800,9.65,9.65,9.65,9.65,1,0,218860
2006-07-28 16:00:00,1154102400,9.65,9.85,9.65,9.85,2,0,500000
2006-07-31 11:00:00,1154343600,9.75,9.75,9.75,9.75,1,0,28770
2006-07-31 16:00:00,1154361600,9.75,9.75,9.75,9.75,1,0,616580
2006-08-01 10:00:00,1154426400,9.8,9.8,9.8,9.8,1,0,616580
2006-08-01 12:00:00,1154433600,9.8,9.8,9.75,9.75,2,0,14380
2006-08-01 14:00:00,1154440800,9.75,9.75,9.75,9.75,2,0,389530
2006-08-02 16:30:00,1154536200,9.45,9.45,9.45,9.45,1,0,16190
2006-08-04 16:00:00,1154707200,9.94,9.94,9.94,9.94,1,0,1400
2006-08-08 12:00:00,1155038400,10.33,10.33,10.33,10.33,1,0,1000
2006-08-09 12:00:00,1155124800,10.33,10.33,10.33,10.33,1,0,4500
2006-08-09 16:30:00,1155141000,10.33,10.33,10.33,10.33,2,0,100000
2006-08-11 11:30:00,1155295800,9.95,9.95,9.95,9.95,1,0,990
2006-08-11 15:00:00,1155308400,9.7,9.7,9.7,9.7,1,0,61530
2006-08-14 14:00:00,1155564000,9.74,9.74,9.74,9.74,1,0,2990
2006-08-15 12:00:00,1155643200,9.3,9.3,9.3,9.3,2,0,134490
2006-08-15 16:30:00,1155659400,10.44,10.44,10.44,10.44,1,0,158990
2006-08-18 14:00:00,1155909600,10.34,10.34,10.34,10.34,1,0,10000
2006-08-21 10:00:00,1156154400,10.34,10.34,10.34,10.34,1,0,237640
2006-08-21 12:30:00,1156163400,10.34,10.34,10.34,10.34,1,0,12360
2006-08-24 15:00:00,1156431600,9.95,9.95,9.95,9.95,1,0,250000
2006-08-29 16:30:00,1156869000,9.45,9.94,9.45,9.94,2,0,704000
2006-08-30 11:00:00,1156935600,11.14,11.14,11.14,11.14,1,0,100000
2006-08-30 13:30:00,1156944600,8.95,8.95,8.95,8.95,1,0,12620
2006-09-01 14:00:00,1157119200,9.94,9.94,9.94,9.94,1,0,160
2006-09-04 14:30:00,1157380200,9.15,9.15,9.15,9.15,1,0,29890
