datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-09-02 10:00:00,1599040800,8.3,8.4,8.06,8.08,4814,0,10448300
2020-09-02 11:00:00,1599044400,8.09,8.7,8.05,8.47,5482,1,4443700
2020-09-02 12:00:00,1599048000,8.47,8.54,8.35,8.37,3917,1,1842900
2020-09-02 13:00:00,1599051600,8.37,8.52,8.3,8.42,4147,1,2157200
2020-09-02 14:00:00,1599055200,8.42,8.58,8.25,8.51,4666,1,2228100
2020-09-02 15:00:00,1599058800,8.51,8.65,8.46,8.56,4754,1,2286600
2020-09-02 16:00:00,1599062400,8.55,8.73,8.42,8.68,5229,1,3341200
2020-09-02 17:00:00,1599066000,9.0,9.0,9.0,9.0,149,0,1869800
2020-09-03 10:00:00,1599127200,8.75,8.99,8.71,8.87,1564,0,947600
2020-09-03 11:00:00,1599130800,8.87,9.19,8.86,9.02,998,1,2720200
2020-09-03 12:00:00,1599134400,9.01,9.02,8.85,8.98,888,1,337600
2020-09-03 13:00:00,1599138000,8.98,8.98,8.86,8.93,983,1,305000
2020-09-03 14:00:00,1599141600,8.92,8.95,8.73,8.84,1149,1,504000
2020-09-03 15:00:00,1599145200,8.85,8.99,8.82,8.85,1869,1,483100
2020-09-03 16:00:00,1599148800,8.87,8.94,8.8,8.94,1008,1,338000
2020-09-03 17:00:00,1599152400,8.86,8.86,8.86,8.86,83,0,1188100
2020-09-04 10:00:00,1599213600,8.91,8.95,8.61,8.61,648,0,353600
2020-09-04 11:00:00,1599217200,8.62,8.74,8.6,8.61,612,1,273400
2020-09-04 12:00:00,1599220800,8.61,8.62,8.35,8.4,807,1,366700
2020-09-04 13:00:00,1599224400,8.4,8.49,8.4,8.44,810,1,433500
2020-09-04 14:00:00,1599228000,8.43,8.48,8.36,8.43,838,1,703200
2020-09-04 15:00:00,1599231600,8.44,8.65,8.41,8.59,1309,1,920200
2020-09-04 16:00:00,1599235200,8.59,8.65,8.5,8.6,998,1,780400
2020-09-04 17:00:00,1599238800,8.63,8.63,8.63,8.63,73,0,633900
2020-09-08 10:00:00,1599559200,8.5,8.5,8.26,8.38,457,1,291300
2020-09-08 11:00:00,1599562800,8.37,8.38,8.32,8.34,451,1,367400
2020-09-08 12:00:00,1599566400,8.34,8.44,8.33,8.33,517,1,169100
2020-09-08 13:00:00,1599570000,8.35,8.38,8.33,8.36,617,1,227300
2020-09-08 14:00:00,1599573600,8.37,8.37,8.27,8.32,866,1,237700
2020-09-08 15:00:00,1599577200,8.31,8.33,8.22,8.24,999,1,417400
2020-09-08 16:00:00,1599580800,8.24,8.31,8.21,8.28,652,1,270800
