datetime,time,open,high,low,close,tick_volume,spread,real_volume
2018-12-21 10:20:00,1545387600,19.9,19.9,19.9,19.9,41,0,921
2018-12-21 10:40:00,1545388800,17.0,18.0,17.0,18.0,46,0,897
2018-12-21 10:45:00,1545389100,18.0,18.22,17.53,18.22,24,1,525
2018-12-21 10:50:00,1545389400,18.22,18.22,17.81,17.81,13,1,136
2018-12-21 10:55:00,1545389700,17.95,18.2,17.95,18.2,13,1,204
2018-12-21 11:00:00,1545390000,18.05,18.5,18.05,18.05,24,4,411
2018-12-21 11:05:00,1545390300,18.15,18.5,18.02,18.2,39,1,742
2018-12-21 11:10:00,1545390600,18.2,18.5,18.12,18.35,40,1,721
2018-12-21 11:15:00,1545390900,18.4,18.5,18.21,18.21,26,4,514
2018-12-21 11:20:00,1545391200,18.3,18.45,18.2,18.2,20,4,357
2018-12-21 11:25:00,1545391500,18.11,18.45,18.11,18.35,20,5,263
2018-12-21 11:30:00,1545391800,18.44,18.45,18.27,18.28,23,1,540
2018-12-21 11:35:00,1545392100,18.11,18.11,17.6,17.6,20,1,375
2018-12-21 11:40:00,1545392400,17.6,17.95,17.55,17.62,22,2,357
2018-12-21 11:45:00,1545392700,17.6,17.8,17.5,17.5,37,1,788
2018-12-21 11:50:00,1545393000,17.31,17.6,17.25,17.6,15,8,241
2018-12-21 11:55:00,1545393300,17.6,18.0,17.25,17.35,20,3,411
2018-12-21 12:00:00,1545393600,17.35,17.35,17.1,17.1,21,4,355
2018-12-21 12:05:00,1545393900,17.1,17.15,17.0,17.03,23,1,316
2018-12-21 12:10:00,1545394200,17.09,17.27,17.02,17.06,20,1,369
2018-12-21 12:15:00,1545394500,17.1,17.28,17.0,17.14,16,2,314
2018-12-21 12:20:00,1545394800,17.15,17.28,17.15,17.27,10,4,351
2018-12-21 12:25:00,1545395100,17.25,18.11,17.21,18.11,29,3,578
2018-12-21 12:30:00,1545395400,17.75,18.0,17.31,17.5,10,1,152
2018-12-21 12:35:00,1545395700,17.42,17.49,17.42,17.42,6,4,218
2018-12-21 12:40:00,1545396000,17.4,17.49,17.15,17.4,15,7,201
2018-12-21 12:45:00,1545396300,17.4,17.6,17.15,17.46,18,4,322
2018-12-21 12:50:00,1545396600,17.5,18.5,17.4,18.5,25,1,445
2018-12-21 12:55:00,1545396900,18.5,18.5,17.41,17.7,15,1,201
2018-12-21 13:00:00,1545397200,17.79,17.82,17.79,17.82,8,1,150
2018-12-21 13:05:00,1545397500,17.9,18.1,17.9,18.1,7,5,71
2018-12-21 13:10:00,1545397800,18.1,18.5,18.0,18.1,25,4,301
2018-12-21 13:15:00,1545398100,18.0,18.0,17.9,17.9,11,8,172
2018-12-21 13:20:00,1545398400,18.02,18.15,17.8,17.8,18,1,317
2018-12-21 13:25:00,1545398700,17.81,18.0,17.81,18.0,7,5,76
2018-12-21 13:30:00,1545399000,18.0,18.0,17.75,17.76,11,10,129
2018-12-21 13:35:00,1545399300,17.8,17.81,17.8,17.8,6,4,148
2018-12-21 13:40:00,1545399600,17.76,17.76,17.5,17.55,14,1,233
2018-12-21 13:45:00,1545399900,17.6,17.8,17.6,17.8,5,5,170
2018-12-21 13:50:00,1545400200,17.71,17.99,17.71,17.99,9,5,200
2018-12-21 13:55:00,1545400500,17.81,17.99,17.81,17.83,4,9,103
2018-12-21 14:00:00,1545400800,17.97,18.0,17.83,18.0,10,1,190
2018-12-21 14:05:00,1545401100,17.95,18.05,17.86,18.05,6,9,92
2018-12-21 14:10:00,1545401400,17.99,18.05,17.97,18.05,7,4,193
2018-12-21 14:15:00,1545401700,18.0,18.05,17.99,18.0,20,4,412
2018-12-21 14:20:00,1545402000,18.01,18.18,18.0,18.01,5,8,80
2018-12-21 14:25:00,1545402300,18.19,18.2,18.01,18.1,11,4,202
2018-12-21 14:30:00,1545402600,18.18,18.2,18.03,18.03,6,1,136
2018-12-21 14:35:00,1545402900,18.02,18.12,18.02,18.12,5,7,72
2018-12-21 14:40:00,1545403200,18.18,18.25,18.1,18.25,11,1,264
2018-12-21 14:45:00,1545403500,18.1,18.2,18.1,18.2,2,5,93
2018-12-21 14:55:00,1545404100,18.13,18.25,18.1,18.12,9,2,193
2018-12-21 15:00:00,1545404400,18.12,18.25,17.98,17.98,10,2,223
2018-12-21 15:05:00,1545404700,17.98,18.0,17.92,17.92,9,2,144
2018-12-21 15:10:00,1545405000,17.92,18.0,17.9,17.95,16,4,375
2018-12-21 15:15:00,1545405300,17.95,17.98,17.9,17.98,12,5,228
2018-12-21 15:20:00,1545405600,17.97,18.0,17.9,17.9,5,4,76
2018-12-21 15:25:00,1545405900,17.9,18.01,17.9,18.0,6,4,144
2018-12-21 15:30:00,1545406200,18.0,18.0,18.0,18.0,5,5,119
2018-12-21 15:35:00,1545406500,17.95,18.01,17.95,18.01,5,4,29
2018-12-21 15:40:00,1545406800,18.01,18.01,17.94,18.0,4,4,101
2018-12-21 15:45:00,1545407100,17.9,18.0,17.9,18.0,10,6,165
2018-12-21 15:50:00,1545407400,18.2,18.49,18.0,18.37,20,1,428
2018-12-21 15:55:00,1545407700,18.3,18.3,18.3,18.3,7,9,133
2018-12-21 16:00:00,1545408000,18.3,18.4,18.3,18.4,4,3,70
2018-12-21 16:05:00,1545408300,18.4,18.4,18.2,18.2,7,1,174
2018-12-21 16:15:00,1545408900,18.22,18.3,18.11,18.3,10,1,225
2018-12-21 16:20:00,1545409200,18.3,18.38,18.3,18.38,6,2,197
2018-12-21 16:25:00,1545409500,18.23,18.4,18.21,18.4,7,1,276
2018-12-21 16:30:00,1545409800,18.25,18.25,18.15,18.15,3,4,91
2018-12-21 16:35:00,1545410100,18.15,18.15,18.15,18.15,1,5,50
2018-12-21 16:40:00,1545410400,18.11,18.11,18.05,18.1,6,4,143
2018-12-21 16:45:00,1545410700,18.12,18.2,18.12,18.2,7,4,188
2018-12-21 16:50:00,1545411000,18.2,18.2,17.95,17.95,14,1,444
2018-12-21 16:55:00,1545411300,17.95,18.0,17.9,18.0,8,5,192
2018-12-21 17:00:00,1545411600,17.9,17.9,17.85,17.85,2,10,77
2018-12-21 17:05:00,1545411900,17.9,17.9,17.82,17.82,6,1,35
2018-12-21 17:10:00,1545412200,18.08,18.08,17.9,17.9,2,15,5
2018-12-21 17:15:00,1545412500,17.84,17.84,17.83,17.83,3,1,88
2018-12-21 17:20:00,1545412800,17.82,17.9,17.82,17.82,7,7,88
2018-12-21 17:25:00,1545413100,17.9,17.91,17.81,17.91,8,8,81
2018-12-21 17:30:00,1545413400,17.91,17.91,17.83,17.83,6,2,166
2018-12-21 17:35:00,1545413700,17.89,18.0,17.89,18.0,4,6,50
2018-12-21 17:45:00,1545414300,17.96,18.0,17.9,17.9,6,8,135
2018-12-21 17:50:00,1545414600,17.85,18.0,17.85,18.0,7,8,120
2018-12-21 18:05:00,1545415500,17.99,17.99,17.99,17.99,17,0,404
2018-12-26 10:00:00,1545818400,17.9,17.9,17.5,17.5,18,5,254
2018-12-26 10:05:00,1545818700,17.5,17.94,17.5,17.71,13,1,332
2018-12-26 10:10:00,1545819000,17.85,18.2,17.85,18.2,10,1,162
2018-12-26 10:15:00,1545819300,18.25,18.25,18.15,18.23,13,1,282
2018-12-26 10:20:00,1545819600,18.23,18.8,18.23,18.77,17,2,339
2018-12-26 10:25:00,1545819900,18.72,18.75,17.9,18.4,5,20,57
2018-12-26 10:30:00,1545820200,18.21,18.72,18.21,18.4,14,5,274
2018-12-26 10:35:00,1545820500,18.4,18.69,18.4,18.61,4,1,147
2018-12-26 10:40:00,1545820800,18.59,18.59,18.22,18.4,10,4,127
2018-12-26 10:45:00,1545821100,18.25,18.48,18.25,18.27,7,2,266
2018-12-26 10:50:00,1545821400,18.27,18.35,18.22,18.22,8,5,297
2018-12-26 10:55:00,1545821700,18.22,18.29,17.9,17.9,21,8,572
2018-12-26 11:00:00,1545822000,17.9,17.98,17.81,17.98,8,2,154
2018-12-26 11:05:00,1545822300,17.99,17.99,17.79,17.79,10,2,285
2018-12-26 11:10:00,1545822600,17.8,17.8,17.61,17.61,12,1,210
2018-12-26 11:15:00,1545822900,17.63,17.63,17.63,17.63,1,26,2
2018-12-26 11:20:00,1545823200,17.64,18.0,17.64,17.78,4,9,57
2018-12-26 11:25:00,1545823500,18.0,18.0,18.0,18.0,2,9,26
2018-12-26 11:30:00,1545823800,18.1,18.1,17.79,18.09,9,8,292
2018-12-26 11:35:00,1545824100,18.09,18.1,18.09,18.1,8,1,133
2018-12-26 11:40:00,1545824400,18.17,18.17,18.06,18.17,4,6,33
2018-12-26 11:45:00,1545824700,18.01,18.07,18.01,18.07,2,11,50
2018-12-26 11:50:00,1545825000,18.08,18.2,18.0,18.2,6,2,81
2018-12-26 12:00:00,1545825600,18.24,18.24,18.21,18.21,5,2,180
2018-12-26 12:05:00,1545825900,18.1,18.1,18.1,18.1,1,16,36
2018-12-26 12:10:00,1545826200,18.1,18.18,18.1,18.18,4,1,72
2018-12-26 12:15:00,1545826500,18.19,18.19,17.94,17.94,2,8,15
2018-12-26 12:20:00,1545826800,17.97,18.05,17.97,18.04,7,4,276
2018-12-26 12:25:00,1545827100,18.05,18.05,18.04,18.04,6,4,165
2018-12-26 12:30:00,1545827400,18.04,18.04,17.98,17.98,4,2,97
2018-12-26 12:35:00,1545827700,17.93,18.02,17.93,18.02,5,1,72
2018-12-26 12:45:00,1545828300,18.0,18.0,17.93,17.93,3,1,62
2018-12-26 12:50:00,1545828600,17.94,17.94,17.93,17.93,3,1,56
2018-12-26 12:55:00,1545828900,17.9,17.9,17.85,17.85,6,2,154
2018-12-26 13:00:00,1545829200,17.93,17.93,17.81,17.81,4,1,71
2018-12-26 13:15:00,1545830100,17.88,17.88,17.88,17.88,1,7,3
2018-12-26 13:20:00,1545830400,17.88,17.95,17.88,17.95,7,2,71
2018-12-26 13:25:00,1545830700,17.89,17.89,17.89,17.89,3,6,36
2018-12-26 13:30:00,1545831000,17.91,17.91,17.91,17.91,4,6,38
2018-12-26 13:35:00,1545831300,17.91,17.91,17.91,17.91,2,7,67
2018-12-26 13:40:00,1545831600,17.91,17.98,17.91,17.91,7,7,199
2018-12-26 13:45:00,1545831900,18.0,18.02,18.0,18.02,5,1,17
2018-12-26 13:50:00,1545832200,18.0,18.0,18.0,18.0,1,12,79
2018-12-26 13:55:00,1545832500,18.03,18.05,18.03,18.05,2,14,34
2018-12-26 14:05:00,1545833100,18.05,18.14,18.05,18.14,3,10,122
2018-12-26 14:15:00,1545833700,18.13,18.13,18.13,18.13,1,5,20
2018-12-26 14:30:00,1545834600,18.01,18.01,18.01,18.01,2,9,17
2018-12-26 14:35:00,1545834900,18.02,18.02,18.02,18.02,1,12,39
2018-12-26 14:45:00,1545835500,17.91,17.99,17.91,17.99,4,2,100
2018-12-26 14:50:00,1545835800,18.0,18.08,17.98,17.98,3,10,83
2018-12-26 14:55:00,1545836100,18.05,18.09,18.05,18.09,2,9,127
2018-12-26 15:00:00,1545836400,18.0,18.12,18.0,18.12,4,10,94
2018-12-26 15:05:00,1545836700,18.1,18.15,18.04,18.04,9,1,229
