datetime,time,open,high,low,close,tick_volume,spread,real_volume
2015-04-06 10:05:00,1428314700,7.13,7.13,7.13,7.13,1,1,50
2015-04-06 13:40:00,1428327600,7.25,7.25,7.25,7.25,1,1,1
2015-04-06 15:00:00,1428332400,7.33,7.35,7.33,7.35,2,1,70
2015-04-06 17:00:00,1428339600,7.2,7.2,7.2,7.2,1,1,1
2015-04-07 14:15:00,1428416100,7.3,7.3,7.3,7.3,1,1,1
2015-04-08 10:45:00,1428489900,7.4,7.4,7.4,7.4,1,1,30
2015-04-08 10:50:00,1428490200,7.36,7.36,7.36,7.36,1,1,18
2015-04-09 10:05:00,1428573900,7.5,7.5,7.5,7.5,1,1,13
2015-04-09 10:30:00,1428575400,7.64,7.64,7.64,7.64,1,1,56
2015-04-09 10:50:00,1428576600,7.58,7.58,7.58,7.58,1,1,5
2015-04-09 11:25:00,1428578700,7.65,7.65,7.65,7.65,4,1,132
2015-04-09 12:20:00,1428582000,7.6,7.6,7.6,7.6,1,1,1
2015-04-09 13:40:00,1428586800,7.5,7.5,7.5,7.5,1,1,1
2015-04-09 16:35:00,1428597300,7.5,7.5,7.5,7.5,1,1,10
2015-04-09 16:45:00,1428597900,7.52,7.52,7.52,7.52,1,1,4
2015-04-10 11:25:00,1428665100,7.45,7.45,7.45,7.45,1,1,1
2015-04-10 12:35:00,1428669300,7.4,7.4,7.4,7.4,1,1,1
2015-04-10 14:30:00,1428676200,7.55,7.55,7.55,7.55,2,1,63
2015-04-10 16:50:00,1428684600,7.43,7.43,7.43,7.43,1,1,80
2015-04-13 10:00:00,1428919200,7.45,7.45,7.45,7.45,1,1,20
2015-04-13 11:00:00,1428922800,7.42,7.42,7.42,7.42,1,1,1
2015-04-13 11:30:00,1428924600,7.35,7.35,7.35,7.35,1,1,1
2015-04-13 13:55:00,1428933300,7.35,7.35,7.35,7.35,1,1,72
2015-04-13 15:30:00,1428939000,7.35,7.36,7.34,7.34,3,1,7
2015-04-13 16:50:00,1428943800,7.4,7.4,7.4,7.4,1,1,76
2015-04-14 10:20:00,1429006800,7.4,7.4,7.4,7.4,1,1,7
2015-04-14 11:50:00,1429012200,7.37,7.37,7.37,7.37,1,1,25
2015-04-14 15:00:00,1429023600,7.35,7.35,7.32,7.32,2,1,2
2015-04-14 16:35:00,1429029300,7.32,7.32,7.32,7.32,1,1,10
2015-04-14 17:05:00,1429031100,7.45,7.45,7.45,7.45,2,0,50
2015-04-15 14:30:00,1429108200,7.25,7.25,7.25,7.25,1,1,30
2015-04-15 16:15:00,1429114500,7.29,7.29,7.29,7.29,3,1,72
2015-04-16 12:25:00,1429187100,7.31,7.31,7.31,7.31,1,1,25
2015-04-16 16:50:00,1429203000,7.45,7.45,7.45,7.45,1,1,10
2015-04-17 10:05:00,1429265100,7.5,7.57,7.5,7.57,2,1,37
2015-04-17 10:10:00,1429265400,7.7,7.7,7.7,7.7,1,1,12
2015-04-17 10:45:00,1429267500,7.7,7.7,7.7,7.7,1,1,1
2015-04-17 11:20:00,1429269600,7.5,7.5,7.5,7.5,1,1,1
2015-04-17 11:40:00,1429270800,7.41,7.41,7.4,7.4,2,1,3
2015-04-17 11:45:00,1429271100,7.37,7.37,7.37,7.37,1,1,1
2015-04-17 11:50:00,1429271400,7.35,7.35,7.35,7.35,1,1,10
2015-04-17 12:35:00,1429274100,7.43,7.43,7.43,7.43,1,1,1
2015-04-17 12:55:00,1429275300,7.44,7.44,7.44,7.44,1,1,44
2015-04-17 14:30:00,1429281000,7.5,7.5,7.5,7.5,1,1,1
2015-04-17 14:35:00,1429281300,7.5,7.54,7.5,7.54,2,1,11
2015-04-17 15:15:00,1429283700,7.45,7.45,7.45,7.45,1,1,1
2015-04-17 16:30:00,1429288200,7.5,7.5,7.5,7.5,1,1,1
2015-04-17 16:50:00,1429289400,7.45,7.45,7.39,7.39,3,1,43
2015-04-20 10:00:00,1429524000,7.5,7.5,7.5,7.5,1,1,7
2015-04-20 11:25:00,1429529100,7.4,7.49,7.4,7.49,2,1,2
2015-04-20 11:30:00,1429529400,7.4,7.4,7.4,7.4,1,1,1
2015-04-20 13:50:00,1429537800,7.35,7.35,7.35,7.35,1,1,33
2015-04-20 14:25:00,1429539900,7.35,7.48,7.35,7.48,2,1,111
2015-04-20 16:20:00,1429546800,7.49,7.49,7.49,7.49,1,1,25
2015-04-20 16:25:00,1429547100,7.46,7.46,7.41,7.41,2,1,26
2015-04-20 16:50:00,1429548600,7.47,7.47,7.47,7.47,1,1,1
2015-04-22 11:15:00,1429701300,7.44,7.44,7.4,7.4,2,1,11
2015-04-22 11:55:00,1429703700,7.5,7.5,7.5,7.5,1,1,15
2015-04-22 12:05:00,1429704300,7.65,7.65,7.65,7.65,1,1,1
2015-04-22 15:30:00,1429716600,7.55,7.55,7.55,7.55,1,1,1
2015-04-22 17:00:00,1429722000,7.61,7.61,7.61,7.61,1,1,80
2015-04-23 11:25:00,1429788300,7.75,7.75,7.75,7.75,1,1,22
2015-04-23 11:55:00,1429790100,7.65,7.65,7.65,7.65,1,1,1
2015-04-23 13:20:00,1429795200,7.77,7.77,7.77,7.77,1,1,13
2015-04-24 11:25:00,1429874700,7.8100000000000005,7.8100000000000005,7.8100000000000005,7.8100000000000005,1,1,71
2015-04-24 12:05:00,1429877100,7.8,7.8,7.8,7.8,1,1,1
2015-04-27 10:50:00,1430131800,7.85,7.85,7.8,7.8,2,1,2
2015-04-27 11:50:00,1430135400,7.75,7.8,7.75,7.8,2,1,2
2015-04-27 12:05:00,1430136300,7.7,7.7,7.7,7.7,1,1,1
2015-04-27 17:00:00,1430154000,8.09,8.09,8.09,8.09,2,1,50
2015-04-28 14:20:00,1430230800,7.5,7.5,7.5,7.5,1,1,1
2015-04-28 15:05:00,1430233500,7.54,7.54,7.54,7.54,1,1,25
2015-04-29 10:35:00,1430303700,7.65,7.65,7.65,7.65,1,1,1
2015-04-29 13:50:00,1430315400,7.55,7.55,7.55,7.55,1,1,1
2015-04-29 16:10:00,1430323800,7.45,7.45,7.45,7.45,1,1,15
2015-04-30 12:15:00,1430396100,7.4,7.4,7.4,7.4,1,1,1
2015-05-04 10:40:00,1430736000,7.5,7.5,7.5,7.5,1,1,1
2015-05-04 12:30:00,1430742600,7.5,7.5,7.5,7.5,1,1,1
2015-05-04 14:55:00,1430751300,7.49,7.49,7.49,7.49,1,1,59
2015-05-04 16:45:00,1430757900,7.6,7.6,7.6,7.6,1,1,1
2015-05-05 10:15:00,1430820900,7.7,7.7,7.7,7.7,1,1,10
2015-05-05 11:50:00,1430826600,7.6,7.6,7.6,7.6,1,1,1
2015-05-05 15:30:00,1430839800,8.02,8.02,8.02,8.02,1,1,28
2015-05-05 15:35:00,1430840100,7.98,7.98,7.98,7.98,1,1,61
2015-05-06 11:50:00,1430913000,8.09,8.09,8.09,8.09,1,1,10
2015-05-06 12:40:00,1430916000,7.8,7.8,7.8,7.8,1,1,1
2015-05-07 15:10:00,1431011400,7.8,7.8,7.8,7.8,1,1,11
2015-05-07 15:50:00,1431013800,7.92,7.92,7.92,7.92,1,1,53
2015-05-07 16:50:00,1431017400,8.09,8.09,8.09,8.09,1,1,93
2015-05-08 10:00:00,1431079200,8.1,8.1,8.1,8.1,1,1,12
2015-05-08 16:35:00,1431102900,8.08,8.08,8.08,8.08,3,1,95
2015-05-11 11:00:00,1431342000,8.02,8.02,8.02,8.02,1,1,7
2015-05-11 11:45:00,1431344700,8.0,8.0,7.9,7.9,3,1,35
2015-05-11 13:50:00,1431352200,7.98,7.98,7.98,7.98,1,1,34
2015-05-11 16:25:00,1431361500,7.99,7.99,7.99,7.99,1,1,19
2015-05-11 16:30:00,1431361800,8.01,8.01,8.01,8.01,1,1,3
2015-05-13 10:30:00,1431513000,8.2,8.2,8.2,8.2,2,1,97
2015-05-13 10:35:00,1431513300,8.23,8.23,8.21,8.21,2,1,41
2015-05-13 11:35:00,1431516900,8.13,8.13,8.13,8.13,1,1,24
2015-05-13 12:25:00,1431519900,8.04,8.04,8.0,8.0,2,1,78
2015-05-13 13:05:00,1431522300,8.06,8.06,8.06,8.06,1,1,56
2015-05-13 13:10:00,1431522600,8.04,8.04,8.03,8.03,3,1,34
2015-05-13 15:10:00,1431529800,8.05,8.05,8.0,8.0,2,1,66
2015-05-13 15:15:00,1431530100,8.04,8.04,8.04,8.04,1,1,6
2015-05-13 16:15:00,1431533700,8.04,8.04,8.0,8.0,2,1,2
2015-05-13 16:50:00,1431535800,8.01,8.01,8.01,8.01,1,1,2
2015-05-13 17:00:00,1431536400,7.54,7.54,7.54,7.54,4,1,63
2015-05-14 10:45:00,1431600300,8.01,8.01,8.01,8.01,1,1,11
2015-05-14 11:50:00,1431604200,8.06,8.06,8.06,8.06,1,1,25
2015-05-14 15:45:00,1431618300,8.04,8.04,8.04,8.04,1,1,18
2015-05-14 16:50:00,1431622200,8.05,8.05,8.05,8.05,1,1,1
2015-05-14 17:00:00,1431622800,7.4,7.4,7.4,7.4,7,1,68
2015-05-15 10:00:00,1431684000,8.2,8.2,8.2,8.2,1,1,24
2015-05-15 11:30:00,1431689400,8.15,8.15,8.15,8.15,1,1,33
2015-05-15 15:45:00,1431704700,8.21,8.21,8.21,8.21,1,1,74
2015-05-15 17:00:00,1431709200,8.18,8.18,8.18,8.18,1,1,63
2015-05-18 10:15:00,1431944100,8.1,8.1,8.1,8.1,1,1,21
2015-05-18 11:10:00,1431947400,8.2,8.2,8.2,8.2,1,1,21
2015-05-18 16:15:00,1431965700,8.07,8.07,8.07,8.07,1,1,21
2015-05-18 17:05:00,1431968700,7.5,7.5,7.5,7.5,3,0,32
2015-05-19 10:50:00,1432032600,8.11,8.11,8.11,8.11,1,1,20
2015-05-19 13:55:00,1432043700,8.05,8.05,8.05,8.05,1,1,24
2015-05-19 15:40:00,1432050000,8.12,8.12,8.12,8.12,1,1,1
2015-05-19 15:55:00,1432050900,8.12,8.12,8.12,8.12,1,1,9
2015-05-19 17:05:00,1432055100,8.0,8.0,8.0,8.0,3,0,32
2015-05-20 11:00:00,1432119600,8.08,8.08,8.08,8.08,1,1,10
2015-05-20 11:45:00,1432122300,8.03,8.03,8.03,8.03,1,1,12
2015-05-20 12:25:00,1432124700,8.07,8.07,8.07,8.07,1,1,10
2015-05-20 17:00:00,1432141200,8.04,8.04,8.04,8.04,1,1,32
2015-05-21 10:30:00,1432204200,7.9399999999999995,7.9399999999999995,7.9399999999999995,7.9399999999999995,1,1,96
2015-05-21 11:05:00,1432206300,7.97,7.97,7.97,7.97,1,1,89
2015-05-21 12:50:00,1432212600,8.02,8.02,8.02,8.02,1,1,10
2015-05-21 14:15:00,1432217700,8.03,8.03,8.03,8.03,1,1,80
2015-05-21 17:00:00,1432227600,8.05,8.05,8.05,8.05,1,1,18
2015-05-22 10:35:00,1432290900,8.1,8.1,8.1,8.1,1,1,26
2015-05-22 11:00:00,1432292400,8.09,8.09,8.09,8.09,1,1,18
2015-05-22 11:15:00,1432293300,8.0,8.0,8.0,8.0,1,1,10
2015-05-22 11:20:00,1432293600,7.97,7.97,7.97,7.97,1,1,25
2015-05-22 12:00:00,1432296000,7.95,7.95,7.95,7.95,1,1,69
2015-05-22 12:05:00,1432296300,7.9399999999999995,7.9399999999999995,7.9399999999999995,7.9399999999999995,1,1,70
2015-05-22 12:15:00,1432296900,7.88,7.88,7.88,7.88,1,1,10
2015-05-22 13:10:00,1432300200,7.8,7.8,7.8,7.8,1,1,1
2015-05-22 13:15:00,1432300500,7.7,7.71,7.7,7.71,2,1,88
2015-05-22 17:00:00,1432314000,7.76,7.76,7.76,7.76,1,1,18
2015-05-25 13:20:00,1432560000,7.9,7.9,7.9,7.9,1,1,10
2015-05-25 15:45:00,1432568700,7.98,7.98,7.98,7.98,1,1,10
2015-05-25 17:00:00,1432573200,7.91,7.91,7.91,7.91,1,1,18
2015-05-26 10:50:00,1432637400,7.7,7.7,7.7,7.7,1,1,10
2015-05-26 12:05:00,1432641900,7.72,7.72,7.72,7.72,1,1,10
2015-05-26 12:15:00,1432642500,7.7,7.7,7.7,7.7,1,1,10
2015-05-26 12:20:00,1432642800,7.71,7.71,7.71,7.71,1,1,10
2015-05-26 12:55:00,1432644900,7.6,7.6,7.6,7.6,3,1,89
