datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-09-05 12:00:00,1157457600,370.01,370.01,370.01,370.01,2,0,3
2006-09-05 16:00:00,1157472000,370.0,370.0,370.0,370.0,1,0,3
2006-09-15 15:00:00,1158332400,350.0,350.0,350.0,350.0,1,0,1
2006-10-16 14:00:00,1161007200,500.0,500.0,500.0,500.0,1,0,2
2006-10-17 12:00:00,1161086400,500.0,500.0,500.0,500.0,1,0,1
2006-11-17 13:00:00,1163768400,450.0,450.0,450.0,450.0,2,0,2
2006-11-24 17:00:00,1164387600,560.0,560.0,560.0,560.0,1,0,2
2007-10-02 12:00:00,1191326400,600.01,600.01,600.01,600.01,2,0,2
2008-06-24 14:00:00,1214316000,1000.0,1000.0,1000.0,1000.0,2,0,2
2009-12-02 17:00:00,1259773200,1000.0,1000.0,1000.0,1000.0,2,0,4
