datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-07-01 10:15:00,1561976100,16.86,17.24,16.86,17.19,3100,0,93130
2019-07-01 10:30:00,1561977000,17.19,17.2,16.9,16.91,1251,1,39366
2019-07-01 10:45:00,1561977900,16.91,16.93,16.8,16.85,834,1,22205
2019-07-01 11:00:00,1561978800,16.84,16.96,16.78,16.91,747,1,21611
2019-07-01 11:15:00,1561979700,16.91,16.94,16.86,16.89,419,1,10368
2019-07-01 11:30:00,1561980600,16.89,16.89,16.8,16.86,652,1,19408
2019-07-01 11:45:00,1561981500,16.86,16.89,16.83,16.86,366,1,10530
2019-07-01 12:00:00,1561982400,16.86,16.88,16.81,16.88,559,1,15196
2019-07-01 12:15:00,1561983300,16.88,16.93,16.85,16.87,329,1,8717
2019-07-01 12:30:00,1561984200,16.89,16.93,16.87,16.89,270,1,6093
2019-07-01 12:45:00,1561985100,16.89,16.95,16.88,16.9,317,1,7643
2019-07-01 13:00:00,1561986000,16.9,16.92,16.87,16.88,223,1,4704
2019-07-01 13:15:00,1561986900,16.9,16.9,16.87,16.89,195,1,4444
2019-07-01 13:30:00,1561987800,16.89,16.91,16.88,16.9,268,1,6547
2019-07-01 13:45:00,1561988700,16.89,16.91,16.88,16.89,195,1,3913
2019-07-01 14:00:00,1561989600,16.89,16.91,16.89,16.9,169,1,3448
2019-07-01 14:15:00,1561990500,16.9,16.91,16.88,16.9,163,1,2976
2019-07-01 14:30:00,1561991400,16.9,16.91,16.88,16.88,137,1,2550
2019-07-01 14:45:00,1561992300,16.89,16.9,16.88,16.89,140,1,2673
2019-07-01 15:00:00,1561993200,16.9,16.95,16.89,16.92,192,1,4542
2019-07-01 15:15:00,1561994100,16.9,16.92,16.89,16.9,167,1,3989
2019-07-01 15:30:00,1561995000,16.9,16.97,16.9,16.97,178,1,4328
2019-07-01 15:45:00,1561995900,16.96,16.97,16.94,16.96,165,1,3816
2019-07-01 16:00:00,1561996800,16.95,16.99,16.95,16.99,165,1,4464
2019-07-01 16:15:00,1561997700,16.99,17.0,16.95,16.96,172,1,4418
2019-07-01 16:30:00,1561998600,16.97,17.04,16.96,17.02,464,1,14108
2019-07-01 16:45:00,1561999500,17.02,17.04,16.95,16.95,168,1,3094
2019-07-01 17:15:00,1562001300,16.95,16.95,16.95,16.95,130,0,3393
2019-07-02 10:00:00,1562061600,17.06,17.2,17.06,17.15,451,0,9094
2019-07-02 10:15:00,1562062500,17.16,17.16,17.06,17.13,291,1,5326
2019-07-02 10:30:00,1562063400,17.14,17.15,17.1,17.11,228,1,4931
2019-07-02 10:45:00,1562064300,17.1,17.11,17.0,17.01,187,1,3338
2019-07-02 11:00:00,1562065200,17.05,17.1,17.04,17.07,106,1,1805
2019-07-02 11:15:00,1562066100,17.07,17.19,17.06,17.19,169,1,3984
2019-07-02 11:30:00,1562067000,17.19,17.22,17.15,17.21,192,1,5084
2019-07-02 11:45:00,1562067900,17.23,17.27,17.23,17.24,190,1,4247
2019-07-02 12:00:00,1562068800,17.24,17.28,17.17,17.28,140,1,3010
2019-07-02 12:15:00,1562069700,17.28,17.3,17.27,17.28,107,1,1835
2019-07-02 12:30:00,1562070600,17.3,17.35,17.29,17.32,119,1,1943
2019-07-02 12:45:00,1562071500,17.35,17.36,17.32,17.35,104,1,2028
2019-07-02 13:00:00,1562072400,17.35,17.35,17.32,17.34,99,1,1725
2019-07-02 13:15:00,1562073300,17.33,17.4,17.33,17.38,90,1,1913
2019-07-02 13:30:00,1562074200,17.38,17.44,17.37,17.44,105,1,2201
2019-07-02 13:45:00,1562075100,17.44,17.48,17.44,17.46,97,1,1784
2019-07-02 14:00:00,1562076000,17.46,17.48,17.45,17.47,102,1,2033
2019-07-02 14:15:00,1562076900,17.46,17.6,17.43,17.53,207,1,5791
2019-07-02 14:30:00,1562077800,17.53,17.65,17.5,17.65,97,1,2047
2019-07-02 14:45:00,1562078700,17.67,17.76,17.67,17.74,102,1,2210
2019-07-02 15:00:00,1562079600,17.73,17.75,17.59,17.62,133,1,2258
2019-07-02 15:15:00,1562080500,17.64,17.66,17.58,17.64,107,1,2354
