datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-07-01 10:15:00,1561976100,16.86,17.25,16.86,17.2,6395,0,16904400
2019-07-01 10:30:00,1561977000,17.21,17.22,16.9,16.93,4503,1,9997200
2019-07-01 10:45:00,1561977900,16.93,16.93,16.8,16.86,4256,1,5112700
2019-07-01 11:00:00,1561978800,16.85,16.97,16.85,16.93,2259,1,2147200
2019-07-01 11:15:00,1561979700,16.93,16.95,16.87,16.88,1774,1,2119100
2019-07-01 11:30:00,1561980600,16.88,16.9,16.82,16.87,3710,1,2183100
2019-07-01 11:45:00,1561981500,16.87,16.9,16.8,16.87,4149,1,2703900
2019-07-01 12:00:00,1561982400,16.88,16.89,16.86,16.87,1396,1,1170600
2019-07-01 12:15:00,1561983300,16.89,16.93,16.86,16.89,1485,1,858400
2019-07-01 12:30:00,1561984200,16.89,16.93,16.88,16.89,1353,1,436100
2019-07-01 12:45:00,1561985100,16.9,16.92,16.88,16.92,1386,1,900700
2019-07-01 13:00:00,1561986000,16.92,16.92,16.88,16.89,1006,1,333100
2019-07-01 13:15:00,1561986900,16.89,16.91,16.88,16.88,992,1,312200
2019-07-01 13:30:00,1561987800,16.89,16.91,16.88,16.89,1002,1,360800
2019-07-01 13:45:00,1561988700,16.9,16.91,16.89,16.9,983,1,383700
2019-07-01 14:00:00,1561989600,16.91,16.91,16.89,16.9,1044,1,936500
2019-07-01 14:15:00,1561990500,16.91,16.91,16.89,16.9,1162,1,484100
2019-07-01 14:30:00,1561991400,16.9,16.91,16.89,16.89,1124,1,1071900
2019-07-01 14:45:00,1561992300,16.89,16.91,16.89,16.91,1148,1,684500
2019-07-01 15:00:00,1561993200,16.9,16.95,16.9,16.92,1189,1,1609400
2019-07-01 15:15:00,1561994100,16.92,16.93,16.9,16.92,1338,1,505500
2019-07-01 15:30:00,1561995000,16.92,16.98,16.91,16.96,1349,1,886800
2019-07-01 15:45:00,1561995900,16.95,16.98,16.95,16.97,1243,1,761200
2019-07-01 16:00:00,1561996800,16.97,17.02,16.96,17.0,1610,1,1172600
2019-07-01 16:15:00,1561997700,16.99,17.01,16.96,16.97,1460,1,1175900
2019-07-01 16:30:00,1561998600,16.98,17.05,16.96,17.04,1293,1,888800
2019-07-01 16:45:00,1561999500,17.04,17.04,16.95,16.96,751,1,890900
2019-07-01 17:00:00,1562000400,16.96,16.96,16.96,16.96,347,0,2351900
2019-07-02 10:00:00,1562061600,17.15,17.2,17.08,17.15,621,0,1067500
2019-07-02 10:15:00,1562062500,17.13,17.15,17.01,17.14,626,1,295100
2019-07-02 10:30:00,1562063400,17.13,17.14,17.08,17.1,461,1,390000
2019-07-02 10:45:00,1562064300,17.09,17.1,17.0,17.05,437,1,569000
2019-07-02 11:00:00,1562065200,17.03,17.08,17.03,17.08,502,1,183800
2019-07-02 11:15:00,1562066100,17.07,17.19,17.07,17.19,503,1,681700
2019-07-02 11:30:00,1562067000,17.18,17.24,17.15,17.24,784,1,503000
2019-07-02 11:45:00,1562067900,17.24,17.28,17.22,17.23,575,1,260400
2019-07-02 12:00:00,1562068800,17.22,17.29,17.15,17.28,633,1,389000
2019-07-02 12:15:00,1562069700,17.27,17.3,17.27,17.3,696,1,625400
2019-07-02 12:30:00,1562070600,17.29,17.34,17.29,17.33,751,1,354800
2019-07-02 12:45:00,1562071500,17.33,17.37,17.33,17.34,735,1,313900
2019-07-02 13:00:00,1562072400,17.34,17.35,17.31,17.34,656,1,547400
2019-07-02 13:15:00,1562073300,17.33,17.4,17.33,17.39,1076,1,444100
2019-07-02 13:30:00,1562074200,17.39,17.45,17.37,17.43,1256,1,450900
2019-07-02 13:45:00,1562075100,17.43,17.49,17.42,17.45,1038,1,509700
2019-07-02 14:00:00,1562076000,17.44,17.48,17.44,17.46,889,1,246400
2019-07-02 14:15:00,1562076900,17.46,17.65,17.43,17.52,1335,1,657000
2019-07-02 14:30:00,1562077800,17.52,17.67,17.51,17.66,1237,1,414000
2019-07-02 14:45:00,1562078700,17.66,17.75,17.65,17.73,2137,1,599500
2019-07-02 15:00:00,1562079600,17.73,17.74,17.57,17.64,1804,1,469300
2019-07-02 15:15:00,1562080500,17.64,17.69,17.58,17.65,1157,1,365300
2019-07-02 15:30:00,1562081400,17.65,17.69,17.55,17.62,1616,1,614900
2019-07-02 15:45:00,1562082300,17.62,17.67,17.6,17.63,1512,1,530000
2019-07-02 16:00:00,1562083200,17.63,17.7,17.63,17.69,1265,1,386000
2019-07-02 16:15:00,1562084100,17.68,17.72,17.61,17.64,1766,1,1309800
2019-07-02 16:30:00,1562085000,17.64,17.73,17.62,17.71,1346,1,1082200
2019-07-02 16:45:00,1562085900,17.71,17.74,17.63,17.65,874,1,662400
2019-07-02 17:00:00,1562086800,17.67,17.67,17.67,17.67,120,0,743100
2019-07-03 10:00:00,1562148000,17.7,17.98,17.68,17.89,925,0,462300
2019-07-03 10:15:00,1562148900,17.88,17.93,17.8,17.85,756,1,351600
2019-07-03 10:30:00,1562149800,17.86,17.94,17.82,17.92,842,1,369000
2019-07-03 10:45:00,1562150700,17.92,17.93,17.85,17.87,455,1,1903500
2019-07-03 11:00:00,1562151600,17.87,17.9,17.75,17.78,422,1,1073600
2019-07-03 11:15:00,1562152500,17.78,17.9,17.75,17.83,347,1,196300
2019-07-03 11:30:00,1562153400,17.82,17.86,17.76,17.82,363,1,333100
2019-07-03 11:45:00,1562154300,17.82,17.84,17.79,17.83,179,1,160800
2019-07-03 12:00:00,1562155200,17.82,17.92,17.81,17.88,791,1,549000
2019-07-03 12:15:00,1562156100,17.87,17.9,17.81,17.83,628,1,164000
2019-07-03 12:30:00,1562157000,17.82,17.85,17.8,17.81,444,1,316300
2019-07-03 12:45:00,1562157900,17.81,17.85,17.81,17.85,442,1,221800
2019-07-03 13:00:00,1562158800,17.84,17.89,17.83,17.87,477,1,282500
2019-07-03 13:15:00,1562159700,17.86,17.91,17.86,17.89,274,1,388300
2019-07-03 13:30:00,1562160600,17.89,17.91,17.85,17.85,437,1,178400
2019-07-03 13:45:00,1562161500,17.85,17.86,17.75,17.76,932,1,287100
2019-07-03 14:00:00,1562162400,17.75,17.8,17.7,17.73,175,1,95000
2019-07-03 14:15:00,1562163300,17.71,17.74,17.51,17.54,328,1,146000
2019-07-03 14:30:00,1562164200,17.53,17.7,17.52,17.67,294,1,165400
2019-07-03 14:45:00,1562165100,17.68,17.8,17.67,17.74,151,1,54200
2019-07-03 15:00:00,1562166000,17.73,17.76,17.7,17.72,194,1,130100
2019-07-03 15:15:00,1562166900,17.73,17.8,17.72,17.77,229,1,521100
2019-07-03 15:30:00,1562167800,17.78,17.8,17.74,17.78,256,1,118400
2019-07-03 15:45:00,1562168700,17.77,17.8,17.75,17.8,214,1,109900
2019-07-03 16:00:00,1562169600,17.8,17.8,17.69,17.72,296,1,197100
2019-07-03 16:15:00,1562170500,17.72,17.72,17.66,17.69,284,1,402900
2019-07-03 16:30:00,1562171400,17.7,17.8,17.7,17.77,252,1,366100
2019-07-03 16:45:00,1562172300,17.78,17.79,17.74,17.78,154,1,111900
2019-07-03 17:00:00,1562173200,17.78,17.78,17.78,17.78,77,0,1129200
2019-07-04 10:00:00,1562234400,17.66,17.68,17.57,17.64,192,0,128300
2019-07-04 10:15:00,1562235300,17.65,17.78,17.64,17.77,177,1,122400
2019-07-04 10:30:00,1562236200,17.76,17.76,17.66,17.71,132,1,81600
2019-07-04 10:45:00,1562237100,17.71,17.78,17.71,17.74,149,1,571100
