datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-12-17 10:15:00,1608200100,4.6,4.63,4.46,4.5,3051,0,6254700
2020-12-17 10:30:00,1608201000,4.5,4.52,4.45,4.5,1008,1,1460700
2020-12-17 10:45:00,1608201900,4.51,4.52,4.49,4.5,813,1,658000
2020-12-17 11:00:00,1608202800,4.5,4.5,4.49,4.5,377,1,238100
2020-12-17 11:15:00,1608203700,4.49,4.5,4.49,4.5,336,1,232400
2020-12-17 11:30:00,1608204600,4.5,4.5,4.41,4.42,792,1,1119700
2020-12-17 11:45:00,1608205500,4.43,4.48,4.42,4.48,309,1,517200
2020-12-17 12:00:00,1608206400,4.48,4.49,4.46,4.48,174,1,114600
2020-12-17 12:15:00,1608207300,4.48,4.49,4.46,4.48,190,1,137200
2020-12-17 12:30:00,1608208200,4.47,4.48,4.44,4.44,266,1,184600
2020-12-17 12:45:00,1608209100,4.45,4.46,4.44,4.45,154,1,90200
2020-12-17 13:00:00,1608210000,4.46,4.47,4.45,4.46,176,1,82600
2020-12-17 13:15:00,1608210900,4.47,4.47,4.45,4.47,209,1,76900
2020-12-17 13:30:00,1608211800,4.47,4.48,4.45,4.48,204,1,96700
2020-12-17 13:45:00,1608212700,4.48,4.48,4.45,4.45,202,1,170500
2020-12-17 14:00:00,1608213600,4.46,4.46,4.45,4.46,184,1,60900
2020-12-17 14:15:00,1608214500,4.45,4.46,4.44,4.44,244,1,135800
2020-12-17 14:30:00,1608215400,4.44,4.46,4.44,4.45,170,1,115200
2020-12-17 14:45:00,1608216300,4.45,4.46,4.45,4.45,237,1,252100
2020-12-17 15:00:00,1608217200,4.45,4.46,4.45,4.45,158,1,86500
2020-12-17 15:15:00,1608218100,4.45,4.46,4.45,4.45,175,1,77100
2020-12-17 15:30:00,1608219000,4.45,4.46,4.45,4.45,129,1,41100
2020-12-17 15:45:00,1608219900,4.46,4.47,4.43,4.47,311,1,292300
2020-12-17 16:00:00,1608220800,4.47,4.48,4.43,4.48,225,1,285800
2020-12-17 16:15:00,1608221700,4.48,4.48,4.45,4.48,153,1,101900
2020-12-17 16:30:00,1608222600,4.48,4.48,4.46,4.48,253,1,287300
2020-12-17 16:45:00,1608223500,4.48,4.48,4.44,4.45,266,1,246400
2020-12-17 17:00:00,1608224400,4.45,4.45,4.43,4.43,281,1,166200
2020-12-17 17:15:00,1608225300,4.44,4.46,4.43,4.46,360,1,381800
2020-12-17 17:30:00,1608226200,4.45,4.46,4.44,4.44,209,1,234300
2020-12-17 17:45:00,1608227100,4.45,4.45,4.43,4.45,218,1,333600
2020-12-17 18:00:00,1608228000,4.43,4.43,4.43,4.43,190,0,1377600
2020-12-18 10:00:00,1608285600,4.47,4.5,4.45,4.49,262,0,189600
2020-12-18 10:15:00,1608286500,4.49,4.59,4.46,4.59,784,1,829200
2020-12-18 10:30:00,1608287400,4.59,4.6,4.54,4.57,837,1,699900
2020-12-18 10:45:00,1608288300,4.5600000000000005,4.5600000000000005,4.52,4.54,308,1,180600
2020-12-18 11:00:00,1608289200,4.54,4.55,4.53,4.54,321,1,298600
2020-12-18 11:15:00,1608290100,4.54,4.5600000000000005,4.51,4.54,334,1,348700
2020-12-18 11:30:00,1608291000,4.54,4.54,4.52,4.53,180,1,99800
2020-12-18 11:45:00,1608291900,4.52,4.53,4.49,4.53,370,1,321600
2020-12-18 12:00:00,1608292800,4.53,4.53,4.5,4.51,210,1,105200
2020-12-18 12:15:00,1608293700,4.5,4.51,4.48,4.49,283,1,138700
2020-12-18 12:30:00,1608294600,4.49,4.5,4.47,4.5,186,1,77000
2020-12-18 12:45:00,1608295500,4.5,4.5,4.49,4.5,185,1,47600
2020-12-18 13:00:00,1608296400,4.5,4.51,4.5,4.51,214,1,91300
2020-12-18 13:15:00,1608297300,4.51,4.52,4.5,4.52,169,1,76000
2020-12-18 13:30:00,1608298200,4.52,4.53,4.51,4.53,170,1,73300
2020-12-18 13:45:00,1608299100,4.52,4.53,4.52,4.53,184,1,122300
2020-12-18 14:00:00,1608300000,4.53,4.54,4.53,4.53,174,1,82400
2020-12-18 14:15:00,1608300900,4.53,4.53,4.52,4.53,163,1,54300
2020-12-18 14:30:00,1608301800,4.53,4.53,4.51,4.52,167,1,64300
2020-12-18 14:45:00,1608302700,4.52,4.53,4.51,4.53,157,1,40700
2020-12-18 15:00:00,1608303600,4.53,4.54,4.52,4.52,280,1,173300
2020-12-18 15:15:00,1608304500,4.53,4.55,4.52,4.55,213,1,356100
2020-12-18 15:30:00,1608305400,4.55,4.55,4.54,4.55,204,1,147800
2020-12-18 15:45:00,1608306300,4.55,4.5600000000000005,4.54,4.55,257,1,114100
2020-12-18 16:00:00,1608307200,4.55,4.5600000000000005,4.54,4.5600000000000005,255,1,160300
2020-12-18 16:15:00,1608308100,4.5600000000000005,4.57,4.55,4.57,293,1,268700
2020-12-18 16:30:00,1608309000,4.57,4.58,4.5600000000000005,4.5600000000000005,374,1,382800
2020-12-18 16:45:00,1608309900,4.57,4.58,4.5600000000000005,4.58,343,1,255100
2020-12-18 17:00:00,1608310800,4.58,4.59,4.57,4.58,337,1,286400
2020-12-18 17:15:00,1608311700,4.58,4.6,4.57,4.6,357,1,227800
