datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-05-17 10:15:00,1621246500,20.0,20.46,19.34,19.53,1055,0,1438300
2021-05-17 10:30:00,1621247400,19.53,19.77,18.35,18.6,965,1,335600
2021-05-17 10:45:00,1621248300,18.56,18.87,18.5,18.79,459,1,110400
2021-05-17 11:00:00,1621249200,18.78,19.29,18.5,19.2,408,1,161800
2021-05-17 11:15:00,1621250100,19.21,19.22,18.95,19.2,64,1,22000
2021-05-17 11:30:00,1621251000,19.23,19.28,19.01,19.24,104,1,48900
2021-05-17 11:45:00,1621251900,19.24,19.69,19.24,19.61,404,1,223900
2021-05-17 12:00:00,1621252800,19.62,19.83,19.48,19.51,519,1,200200
2021-05-17 12:15:00,1621253700,19.52,19.59,19.45,19.48,288,1,48200
2021-05-17 12:30:00,1621254600,19.51,19.69,19.48,19.51,243,1,36600
2021-05-17 12:45:00,1621255500,19.5,19.65,19.41,19.45,253,1,44100
2021-05-17 13:00:00,1621256400,19.46,19.57,19.45,19.52,176,1,24500
2021-05-17 13:15:00,1621257300,19.55,19.75,19.47,19.71,239,1,51500
2021-05-17 13:30:00,1621258200,19.72,19.77,19.59,19.68,262,1,54200
2021-05-17 13:45:00,1621259100,19.68,19.68,19.55,19.58,325,1,65200
2021-05-17 14:00:00,1621260000,19.58,19.63,19.55,19.59,271,1,51700
2021-05-17 14:15:00,1621260900,19.57,19.6,19.55,19.58,269,1,39400
2021-05-17 14:30:00,1621261800,19.58,19.76,19.55,19.59,336,1,83700
2021-05-17 14:45:00,1621262700,19.6,19.61,19.55,19.55,255,1,51500
2021-05-17 15:00:00,1621263600,19.55,19.6,19.45,19.58,292,1,64500
2021-05-17 15:15:00,1621264500,19.58,19.63,19.49,19.58,282,1,63900
2021-05-17 15:30:00,1621265400,19.58,19.62,19.55,19.59,318,1,66600
2021-05-17 15:45:00,1621266300,19.59,19.6,19.51,19.55,373,1,58500
2021-05-17 16:00:00,1621267200,19.55,19.56,19.52,19.55,522,1,78400
2021-05-17 16:15:00,1621268100,19.55,19.55,19.45,19.48,533,1,105800
2021-05-17 16:30:00,1621269000,19.47,19.49,19.45,19.45,278,1,75200
2021-05-17 16:45:00,1621269900,19.45,19.47,19.3,19.4,205,1,71200
2021-05-17 17:00:00,1621270800,19.25,19.25,19.25,19.25,169,0,446800
2021-05-17 17:30:00,1621272600,19.25,19.25,19.14,19.14,5,1,1700
2021-05-17 17:45:00,1621273500,19.18,19.18,19.18,19.18,3,4,1100
2021-05-18 10:00:00,1621332000,19.11,19.3,19.0,19.15,107,0,20600
2021-05-18 10:15:00,1621332900,19.16,19.16,18.57,18.7,251,1,41000
2021-05-18 10:30:00,1621333800,18.72,18.83,18.7,18.78,108,1,13800
2021-05-18 10:45:00,1621334700,18.79,18.81,18.6,18.61,156,1,38600
2021-05-18 11:00:00,1621335600,18.6,18.73,18.6,18.7,140,1,29300
2021-05-18 11:15:00,1621336500,18.7,18.72,18.62,18.62,77,1,14000
2021-05-18 11:30:00,1621337400,18.63,18.67,18.61,18.61,85,1,13200
2021-05-18 11:45:00,1621338300,18.63,18.63,18.5,18.57,173,1,83700
2021-05-18 12:00:00,1621339200,18.57,18.6,18.53,18.56,124,1,14500
2021-05-18 12:15:00,1621340100,18.56,18.64,18.55,18.62,114,1,16100
2021-05-18 12:30:00,1621341000,18.6,18.69,18.54,18.55,108,1,13000
2021-05-18 12:45:00,1621341900,18.59,18.69,18.55,18.6,100,1,12400
2021-05-18 13:00:00,1621342800,18.61,18.65,18.58,18.59,70,1,7300
2021-05-18 13:15:00,1621343700,18.58,18.62,18.58,18.59,85,1,14200
2021-05-18 13:30:00,1621344600,18.58,18.65,18.58,18.59,82,1,13600
2021-05-18 13:45:00,1621345500,18.58,18.66,18.58,18.66,111,1,19600
2021-05-18 14:00:00,1621346400,18.65,18.75,18.65,18.72,130,1,25600
2021-05-18 14:15:00,1621347300,18.71,18.73,18.66,18.72,91,1,12500
