datetime,time,open,high,low,close,tick_volume,spread,real_volume
2008-07-22 16:30:00,1216744200,0.29,0.29,0.29,0.29,1,0,2047
2008-11-11 15:15:00,1226416500,1.0,1.0,1.0,1.0,1,0,49996
2009-05-27 14:30:00,1243434600,10.01,10.01,10.01,10.01,1,0,23458
2009-05-27 16:30:00,1243441800,12.5,12.5,12.5,12.5,1,0,23458
2009-05-27 17:00:00,1243443600,10.0,10.0,10.0,10.0,1,0,1198
2009-05-28 11:30:00,1243510200,9.89,9.89,9.89,9.89,1,0,20000
2009-05-28 11:45:00,1243511100,10.0,10.0,8.0,8.0,3,0,24500
2009-05-28 15:30:00,1243524600,7.05,7.05,7.05,7.05,1,0,20000
2009-05-28 15:45:00,1243525500,7.0,7.0,7.0,7.0,1,0,14285
2009-05-28 16:45:00,1243529100,6.0,6.5,6.0,6.5,3,0,81430
2009-05-29 11:30:00,1243596600,8.0,8.0,8.0,8.0,2,0,15000
2009-05-29 14:00:00,1243605600,9.0,9.0,9.0,9.0,1,0,10
2009-05-29 16:45:00,1243615500,7.31,7.31,7.31,7.31,1,0,24775
2009-06-01 16:15:00,1243872900,7.0,7.0,7.0,7.0,1,0,18571
2009-06-02 13:00:00,1243947600,7.15,7.15,7.15,7.15,1,0,10429
2009-06-05 12:00:00,1244203200,7.97,7.97,7.97,7.97,1,0,1
2009-06-08 11:30:00,1244460600,8.0,8.0,8.0,8.0,1,0,1
2009-06-08 12:00:00,1244462400,6.07,6.07,6.07,6.07,1,0,5000
2009-06-10 11:30:00,1244633400,6.0,6.0,6.0,6.0,3,0,2499
2009-06-25 13:30:00,1245936600,6.0,6.0,6.0,6.0,1,0,2000
2009-06-26 16:45:00,1246034700,6.21,6.21,6.21,6.21,2,0,41664
2009-06-29 11:45:00,1246275900,8.0,8.0,8.0,8.0,1,0,1
2009-06-29 16:45:00,1246293900,8.53,8.53,8.53,8.53,3,0,54148
2009-06-29 17:00:00,1246294800,8.54,8.54,8.54,8.54,1,0,26664
2009-06-30 14:00:00,1246370400,9.1,9.1,9.1,9.1,1,0,45455
2009-06-30 14:30:00,1246372200,9.1,9.1,9.1,9.1,2,0,20000
2009-06-30 15:00:00,1246374000,8.0,8.0,8.0,8.0,3,0,34545
2009-07-02 15:45:00,1246549500,8.8,8.8,8.8,8.8,1,0,101
2009-07-03 15:15:00,1246634100,12.51,14.99,12.51,14.99,4,0,50543
2009-07-03 15:45:00,1246635900,14.99,14.99,14.99,14.99,1,0,1
2009-07-03 16:00:00,1246636800,14.99,14.99,14.99,14.99,1,0,27424
2009-07-13 16:45:00,1247503500,11.15,11.15,11.15,11.15,1,0,1000
2009-07-20 16:00:00,1248105600,8.4,8.4,8.4,8.4,2,0,2002
2009-07-20 16:30:00,1248107400,8.4,8.4,8.4,8.4,1,0,20456
2009-07-28 11:30:00,1248780600,9.5,9.5,9.5,9.5,3,0,3002
2009-07-29 12:45:00,1248871500,9.5,9.5,9.5,9.5,1,0,2000
2009-08-03 12:30:00,1249302600,9.5,9.5,9.5,9.5,1,0,2000
2009-08-04 12:45:00,1249389900,9.5,9.5,9.5,9.5,1,0,2000
2009-08-04 15:45:00,1249400700,9.5,9.5,9.5,9.5,1,0,1000
2009-08-05 11:45:00,1249472700,9.5,9.5,9.5,9.5,1,0,2000
2009-08-10 16:45:00,1249922700,9.5,9.5,9.5,9.5,1,0,2000
2009-08-13 15:00:00,1250175600,9.5,9.5,9.5,9.5,1,0,2000
2009-08-14 14:00:00,1250258400,7.5,7.5,7.5,7.5,2,0,111
2009-08-14 14:15:00,1250259300,7.5,7.5,7.5,7.5,1,0,3989
2009-08-14 14:45:00,1250261100,6.01,6.01,6.01,6.01,2,0,16011
2009-08-17 14:00:00,1250517600,7.0,7.0,7.0,7.0,2,0,4454
2009-09-16 13:00:00,1253106000,7.01,7.01,7.01,7.01,2,0,2047
2009-09-21 11:30:00,1253532600,8.0,8.0,8.0,8.0,2,0,3000
2009-09-22 12:00:00,1253620800,8.0,8.0,8.0,8.0,1,0,1000
2009-09-24 16:45:00,1253810700,8.0,8.0,8.0,8.0,1,0,1
2009-09-25 13:15:00,1253884500,8.0,8.0,8.0,8.0,1,0,1000
2009-09-25 13:30:00,1253885400,8.0,8.0,8.0,8.0,1,0,446
2009-09-28 11:45:00,1254138300,8.0,8.0,8.0,8.0,1,0,1000
2009-09-28 14:30:00,1254148200,8.0,8.0,8.0,8.0,1,0,1000
2009-09-29 11:45:00,1254224700,8.0,8.0,8.0,8.0,1,0,1000
2009-09-30 11:30:00,1254310200,8.0,8.0,8.0,8.0,1,0,1000
2009-09-30 12:00:00,1254312000,8.0,8.0,8.0,8.0,1,0,2000
2009-10-05 13:30:00,1254749400,8.0,8.0,8.0,8.0,1,0,1
2009-10-05 15:45:00,1254757500,8.0,8.0,8.0,8.0,1,0,1
2009-10-06 12:15:00,1254831300,8.0,8.0,8.0,8.0,1,0,1
2009-10-07 11:15:00,1254914100,8.0,8.0,8.0,8.0,1,0,1
