datetime,time,open,high,low,close,tick_volume,spread,real_volume
2008-10-23 13:30:00,1224768600,1.09,1.09,1.09,1.09,1,0,1000000
2009-05-26 13:30:00,1243344600,1.98,1.98,1.98,1.98,1,0,100000
2009-05-26 14:00:00,1243346400,2.0,2.0,2.0,2.0,1,0,100000
2009-05-27 11:00:00,1243422000,2.71,2.71,2.71,2.71,4,0,700000
2009-05-27 12:00:00,1243425600,6.0,6.0,6.0,6.0,5,0,800000
2009-05-27 13:30:00,1243431000,10.01,10.01,10.01,10.01,3,0,400000
2009-05-27 14:00:00,1243432800,10.0,10.02,10.0,10.02,7,0,700000
2009-05-27 14:30:00,1243434600,10.0,10.0,10.0,10.0,6,0,600000
2009-05-27 15:00:00,1243436400,10.0,10.0,10.0,10.0,2,0,300000
2009-05-27 16:00:00,1243440000,11.9,12.0,11.9,12.0,4,0,400000
2009-05-27 16:30:00,1243441800,11.99,11.99,11.99,11.99,1,0,100000
2009-05-28 10:00:00,1243504800,10.0,10.0,10.0,10.0,2,0,200000
2009-05-28 15:00:00,1243522800,7.04,7.04,7.04,7.04,1,0,100000
2009-05-28 15:30:00,1243524600,6.5,6.5,6.5,6.5,1,0,200000
2009-05-28 16:30:00,1243528200,6.5,6.5,6.5,6.5,1,0,100000
2009-05-29 10:00:00,1243591200,7.0,8.0,7.0,8.0,2,0,200000
2009-05-29 11:30:00,1243596600,8.0,8.0,8.0,8.0,5,0,500000
2009-05-29 12:30:00,1243600200,7.3,7.3,7.3,7.3,1,0,100000
2009-06-01 15:00:00,1243868400,8.01,8.01,8.01,8.01,1,0,100000
2009-06-01 16:00:00,1243872000,7.08,7.08,7.08,7.08,1,0,100000
2009-06-02 13:00:00,1243947600,7.99,8.0,7.99,8.0,2,0,200000
2009-06-08 11:00:00,1244458800,7.97,7.97,7.97,7.97,1,0,100000
2009-06-08 13:00:00,1244466000,4.04,4.04,4.04,4.04,2,0,200000
2009-06-08 14:30:00,1244471400,6.0,6.0,6.0,6.0,2,0,200000
2009-06-18 11:30:00,1245324600,5.8,5.8,5.8,5.8,1,0,100000
