datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-12-18 10:00:00,1576663200,37.2,38.0,37.1,37.2,15,0,267
2019-12-18 10:15:00,1576664100,37.3,39.0,37.3,37.8,57,1,859
2019-12-18 10:30:00,1576665000,38.0,38.19,37.87,38.09,12,9,218
2019-12-18 10:45:00,1576665900,38.07,38.07,37.7,37.7,28,1,409
2019-12-18 11:00:00,1576666800,37.53,37.97,37.22,37.8,21,3,421
2019-12-18 11:15:00,1576667700,37.89,37.89,37.24,37.24,11,9,114
2019-12-18 11:30:00,1576668600,37.4,37.5,37.1,37.26,20,1,155
2019-12-18 11:45:00,1576669500,37.49,37.49,36.9,37.1,19,2,161
2019-12-18 12:00:00,1576670400,37.44,37.44,36.95,36.96,4,42,15
2019-12-18 12:15:00,1576671300,37.02,37.15,37.0,37.15,5,2,85
2019-12-18 12:30:00,1576672200,37.05,37.06,37.05,37.06,3,9,19
2019-12-18 12:45:00,1576673100,37.06,37.06,36.96,36.96,17,3,143
2019-12-18 13:00:00,1576674000,36.98,37.1,36.0,37.08,38,1,358
2019-12-18 13:15:00,1576674900,36.8,37.08,36.66,37.0,6,8,92
2019-12-18 13:30:00,1576675800,37.0,37.0,36.9,36.9,3,8,53
2019-12-18 13:45:00,1576676700,36.91,37.01,36.91,36.94,14,1,53
2019-12-18 14:00:00,1576677600,37.0,37.26,37.0,37.26,14,5,323
2019-12-18 14:15:00,1576678500,37.49,37.49,37.17,37.17,10,1,253
2019-12-18 14:30:00,1576679400,37.24,37.24,37.2,37.2,2,7,95
2019-12-18 14:45:00,1576680300,37.13,37.13,37.13,37.13,2,2,22
2019-12-18 15:00:00,1576681200,37.23,37.3,37.23,37.3,5,4,53
2019-12-18 15:15:00,1576682100,37.25,37.29,37.2,37.29,5,8,102
2019-12-18 15:30:00,1576683000,37.29,37.3,37.26,37.3,5,3,100
2019-12-18 15:45:00,1576683900,37.3,37.3,37.29,37.29,2,8,14
2019-12-18 16:00:00,1576684800,37.28,37.28,37.16,37.28,18,2,196
2019-12-18 16:15:00,1576685700,37.25,37.25,37.2,37.2,4,3,63
2019-12-18 16:30:00,1576686600,37.2,37.21,37.13,37.13,3,4,41
2019-12-18 16:45:00,1576687500,37.29,37.29,37.13,37.13,5,4,108
2019-12-18 17:00:00,1576688400,37.15,37.33,37.13,37.33,9,3,111
2019-12-18 17:15:00,1576689300,37.27,37.32,37.0,37.0,19,1,254
2019-12-18 17:30:00,1576690200,37.14,37.22,36.96,37.22,9,10,191
2019-12-18 17:45:00,1576691100,37.33,37.43,37.33,37.43,4,10,13
2019-12-18 18:00:00,1576692000,37.45,37.45,37.45,37.45,12,47,235
2019-12-19 10:00:00,1576749600,37.0,37.02,36.58,36.79,40,0,437
2019-12-19 10:15:00,1576750500,36.79,36.82,36.63,36.63,14,1,142
2019-12-19 10:30:00,1576751400,36.65,36.98,36.64,36.98,16,1,131
2019-12-19 10:45:00,1576752300,36.98,37.1,36.94,37.0,13,2,238
2019-12-19 11:00:00,1576753200,37.0,37.0,36.87,36.87,13,1,280
2019-12-19 11:15:00,1576754100,36.86,37.1,36.81,37.1,5,7,97
2019-12-19 11:30:00,1576755000,37.12,37.25,37.05,37.25,12,2,147
2019-12-19 11:45:00,1576755900,37.11,37.63,37.11,37.54,18,1,274
2019-12-19 12:00:00,1576756800,37.5,37.55,37.5,37.54,5,1,40
2019-12-19 12:15:00,1576757700,37.48,37.51,37.42,37.42,7,1,53
2019-12-19 12:30:00,1576758600,37.55,37.96,37.55,37.87,30,1,481
2019-12-19 12:45:00,1576759500,37.9,38.01,37.89,38.01,28,1,607
2019-12-19 13:00:00,1576760400,38.01,38.29,37.96,38.29,33,1,418
2019-12-19 13:15:00,1576761300,38.28,38.55,38.28,38.45,31,1,551
2019-12-19 13:30:00,1576762200,38.48,38.55,38.45,38.53,33,1,695
2019-12-19 13:45:00,1576763100,38.53,38.56,38.2,38.5,38,1,536
