datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-12-18 10:00:00,1576663200,37.05,37.59,37.0,37.58,60,0,12000
2019-12-18 10:15:00,1576664100,37.59,39.0,37.53,38.02,190,1,42300
2019-12-18 10:30:00,1576665000,37.79,38.02,37.71,38.0,161,1,22600
2019-12-18 10:45:00,1576665900,38.0,38.0,37.76,37.76,162,1,468400
2019-12-18 11:00:00,1576666800,37.76,37.9,37.64,37.64,153,1,87400
2019-12-18 11:15:00,1576667700,37.64,37.74,37.21,37.6,95,1,1140500
2019-12-18 11:30:00,1576668600,37.67,37.67,37.11,37.13,148,1,62900
2019-12-18 11:45:00,1576669500,37.13,37.29,36.85,37.0,118,1,33500
2019-12-18 12:00:00,1576670400,36.94,37.2,36.94,37.06,86,1,47200
2019-12-18 12:15:00,1576671300,37.06,37.19,36.96,37.13,122,1,21600
2019-12-18 12:30:00,1576672200,37.08,37.13,37.0,37.06,68,1,10900
2019-12-18 12:45:00,1576673100,37.02,37.09,36.96,36.98,119,1,97400
2019-12-18 13:00:00,1576674000,36.97,37.07,35.99,36.9,199,1,75000
2019-12-18 13:15:00,1576674900,36.9,37.03,36.64,37.02,87,1,10600
2019-12-18 13:30:00,1576675800,36.95,37.04,36.94,37.02,97,1,13900
2019-12-18 13:45:00,1576676700,37.02,37.03,36.95,37.0,111,1,13600
2019-12-18 14:00:00,1576677600,36.99,37.39,36.99,37.26,143,1,28700
2019-12-18 14:15:00,1576678500,37.26,37.4,37.03,37.24,152,1,35800
2019-12-18 14:30:00,1576679400,37.2,37.26,37.09,37.26,141,1,22100
2019-12-18 14:45:00,1576680300,37.26,37.38,37.2,37.36,163,1,25800
2019-12-18 15:00:00,1576681200,37.36,37.36,37.21,37.26,252,1,41400
2019-12-18 15:15:00,1576682100,37.25,37.3,37.11,37.24,296,1,68400
2019-12-18 15:30:00,1576683000,37.24,37.27,37.19,37.26,252,1,47300
2019-12-18 15:45:00,1576683900,37.26,37.29,37.14,37.19,205,1,32400
2019-12-18 16:00:00,1576684800,37.19,37.22,37.11,37.15,217,1,34100
2019-12-18 16:15:00,1576685700,37.19,37.25,37.11,37.17,228,1,48700
2019-12-18 16:30:00,1576686600,37.17,37.3,37.13,37.29,188,1,27600
2019-12-18 16:45:00,1576687500,37.29,37.29,37.1,37.16,217,1,31700
2019-12-18 17:00:00,1576688400,37.2,37.43,37.07,37.27,249,1,47700
2019-12-18 17:15:00,1576689300,37.27,37.33,36.91,37.0,363,1,55100
2019-12-18 17:30:00,1576690200,37.0,37.39,36.95,37.22,382,1,89400
2019-12-18 17:45:00,1576691100,37.22,37.45,36.86,36.96,202,1,41700
2019-12-18 18:00:00,1576692000,36.76,36.76,36.76,36.76,146,0,1024900
2019-12-19 10:00:00,1576749600,36.95,36.95,36.56,36.67,75,0,14100
2019-12-19 10:15:00,1576750500,36.67,36.86,36.57,36.63,80,1,12700
2019-12-19 10:30:00,1576751400,36.62,36.96,36.61,36.87,95,1,13300
2019-12-19 10:45:00,1576752300,36.98,37.22,36.86,36.91,132,1,16600
2019-12-19 11:00:00,1576753200,36.91,37.0,36.83,36.94,157,1,18200
2019-12-19 11:15:00,1576754100,36.94,37.08,36.82,37.0,126,1,14600
2019-12-19 11:30:00,1576755000,37.1,37.44,37.01,37.2,250,1,51500
2019-12-19 11:45:00,1576755900,37.2,37.69,37.13,37.59,322,1,74400
2019-12-19 12:00:00,1576756800,37.49,37.54,37.4,37.5,261,2,66900
2019-12-19 12:15:00,1576757700,37.49,37.53,37.44,37.53,157,1,29300
2019-12-19 12:30:00,1576758600,37.53,37.98,37.5,37.91,285,1,57700
2019-12-19 12:45:00,1576759500,37.91,38.0,37.9,38.0,231,1,33000
2019-12-19 13:00:00,1576760400,38.0,38.28,37.94,38.26,337,1,205400
2019-12-19 13:15:00,1576761300,38.29,38.56,38.27,38.45,376,1,76400
2019-12-19 13:30:00,1576762200,38.45,38.62,38.44,38.53,316,1,67400
2019-12-19 13:45:00,1576763100,38.54,38.56,38.22,38.47,489,1,441000
2019-12-19 14:00:00,1576764000,38.47,38.5,38.42,38.49,275,1,47100
2019-12-19 14:15:00,1576764900,38.49,38.54,38.4,38.51,470,1,77200
2019-12-19 14:30:00,1576765800,38.49,38.55,38.34,38.4,436,1,64200
2019-12-19 14:45:00,1576766700,38.4,38.49,38.32,38.44,536,1,125400
2019-12-19 15:00:00,1576767600,38.44,38.49,38.33,38.41,461,1,72400
2019-12-19 15:15:00,1576768500,38.42,38.42,38.31,38.4,408,1,51500
2019-12-19 15:30:00,1576769400,38.4,38.4,38.26,38.4,423,1,56200
2019-12-19 15:45:00,1576770300,38.39,38.48,38.36,38.45,468,1,77200
2019-12-19 16:00:00,1576771200,38.47,38.48,38.4,38.47,724,1,131200
2019-12-19 16:15:00,1576772100,38.47,38.52,38.47,38.5,929,1,120200
2019-12-19 16:30:00,1576773000,38.5,38.95,38.49,38.89,959,1,199800
2019-12-19 16:45:00,1576773900,38.9,39.18,38.85,39.02,739,1,161800
2019-12-19 17:00:00,1576774800,39.04,39.07,38.83,38.97,603,1,252700
2019-12-19 17:15:00,1576775700,39.0,39.0,38.87,38.9,478,1,64300
2019-12-19 17:30:00,1576776600,38.9,38.98,38.86,38.97,1260,1,711200
2019-12-19 17:45:00,1576777500,38.95,38.98,38.95,38.97,1312,1,621200
2019-12-19 18:00:00,1576778400,38.85,38.85,38.85,38.85,108,0,1153600
2019-12-20 10:00:00,1576836000,39.05,39.5,38.66,38.85,333,1,85900
2019-12-20 10:15:00,1576836900,38.89,38.96,38.83,38.87,234,1,48700
2019-12-20 10:30:00,1576837800,38.87,38.89,38.87,38.87,115,1,22900
2019-12-20 10:45:00,1576838700,38.87,39.17,38.87,39.03,178,1,37900
2019-12-20 11:00:00,1576839600,39.07,39.29,38.95,39.26,123,1,23800
2019-12-20 11:15:00,1576840500,39.27,39.44,39.17,39.39,154,1,21300
2019-12-20 11:30:00,1576841400,39.36,39.43,39.15,39.18,236,1,57000
2019-12-20 11:45:00,1576842300,39.2,39.44,39.08,39.27,404,1,95500
2019-12-20 12:00:00,1576843200,39.3,39.44,39.0,39.35,314,1,54500
2019-12-20 12:15:00,1576844100,39.35,39.81,39.26,39.79,409,1,296200
2019-12-20 12:30:00,1576845000,39.8,39.81,39.6,39.66,417,1,80500
2019-12-20 12:45:00,1576845900,39.65,39.78,39.5,39.7,487,1,111200
2019-12-20 13:00:00,1576846800,39.7,39.81,39.65,39.76,585,1,165000
2019-12-20 13:15:00,1576847700,39.76,39.76,39.57,39.6,195,1,108800
2019-12-20 13:30:00,1576848600,39.6,39.81,39.6,39.79,244,1,51600
2019-12-20 13:45:00,1576849500,39.79,39.79,39.64,39.74,162,1,49900
2019-12-20 14:00:00,1576850400,39.73,39.8,39.62,39.76,371,1,260900
2019-12-20 14:15:00,1576851300,39.73,39.77,39.51,39.56,211,1,547900
2019-12-20 14:30:00,1576852200,39.55,39.72,39.53,39.64,214,1,35100
2019-12-20 14:45:00,1576853100,39.64,39.64,39.57,39.58,235,1,44800
2019-12-20 15:00:00,1576854000,39.59,39.75,39.52,39.74,387,1,294600
2019-12-20 15:15:00,1576854900,39.74,39.8,39.62,39.75,385,1,212000
2019-12-20 15:30:00,1576855800,39.74,39.78,39.59,39.64,268,1,92100
2019-12-20 15:45:00,1576856700,39.64,39.75,39.62,39.73,306,1,84300
2019-12-20 16:00:00,1576857600,39.73,39.9,39.6,39.82,530,1,242600
2019-12-20 16:15:00,1576858500,39.83,39.85,39.8,39.84,237,1,87300
2019-12-20 16:30:00,1576859400,39.84,39.9,39.76,39.76,400,1,726400
2019-12-20 16:45:00,1576860300,39.76,39.76,39.54,39.6,1194,1,153500
2019-12-20 17:00:00,1576861200,39.6,39.61,39.17,39.43,1246,1,217600
2019-12-20 17:15:00,1576862100,39.43,39.6,39.18,39.42,1063,1,200900
2019-12-20 17:30:00,1576863000,39.42,39.58,39.12,39.42,1418,1,261300
2019-12-20 17:45:00,1576863900,39.42,39.43,39.0,39.05,1045,1,260900
2019-12-20 18:00:00,1576864800,39.04,39.04,39.04,39.04,168,0,1540700
2019-12-23 10:00:00,1577095200,39.38,39.4,39.12,39.27,22,6,2900
2019-12-23 10:15:00,1577096100,39.34,39.64,39.34,39.6,49,1,7300
2019-12-23 10:30:00,1577097000,39.64,39.64,39.38,39.4,52,1,7900
2019-12-23 10:45:00,1577097900,39.41,39.57,39.41,39.57,175,1,31400
2019-12-23 11:00:00,1577098800,39.57,39.79,39.56,39.67,226,1,33300
2019-12-23 11:15:00,1577099700,39.77,39.79,39.66,39.68,123,1,185100
2019-12-23 11:30:00,1577100600,39.72,39.81,39.57,39.8,249,1,407700
2019-12-23 11:45:00,1577101500,39.79,40.2,39.75,39.99,1067,1,353600
2019-12-23 12:00:00,1577102400,40.02,40.12,40.0,40.01,286,1,76300
2019-12-23 12:15:00,1577103300,40.01,40.16,39.9,39.95,386,1,135300
2019-12-23 12:30:00,1577104200,39.95,40.0,39.55,39.63,265,1,47100
2019-12-23 12:45:00,1577105100,39.63,39.8,39.6,39.8,348,1,58000
2019-12-23 13:00:00,1577106000,39.8,40.02,39.79,39.98,228,1,35600
2019-12-23 13:15:00,1577106900,39.98,40.02,39.94,39.95,259,1,37900
2019-12-23 13:30:00,1577107800,39.95,39.95,39.88,39.92,220,1,28400
2019-12-23 13:45:00,1577108700,39.91,39.92,39.85,39.92,279,1,50400
2019-12-23 14:00:00,1577109600,39.92,40.0,39.91,39.95,413,1,58100
2019-12-23 14:15:00,1577110500,39.95,39.95,39.9,39.94,347,1,55900
2019-12-23 14:30:00,1577111400,39.94,40.01,39.93,39.95,422,1,55900
2019-12-23 14:45:00,1577112300,39.95,39.97,39.92,39.94,293,1,40900
2019-12-23 15:00:00,1577113200,39.94,39.96,39.84,39.86,316,1,242000
2019-12-23 15:15:00,1577114100,39.88,39.94,39.85,39.91,262,1,45000
2019-12-23 15:30:00,1577115000,39.91,39.92,39.89,39.91,273,1,41300
2019-12-23 15:45:00,1577115900,39.92,39.92,39.9,39.92,248,1,37100
2019-12-23 16:00:00,1577116800,39.92,39.93,39.9,39.9,300,1,44100
2019-12-23 16:15:00,1577117700,39.91,39.93,39.88,39.9,327,1,81700
2019-12-23 16:30:00,1577118600,39.9,39.9,39.82,39.84,333,1,48700
2019-12-23 16:45:00,1577119500,39.84,39.9,39.76,39.89,414,1,55400
2019-12-23 17:00:00,1577120400,39.86,39.9,39.83,39.88,482,1,69700
2019-12-23 17:15:00,1577121300,39.88,39.91,39.85,39.9,602,1,108500
2019-12-23 17:30:00,1577122200,39.9,39.95,39.75,39.84,701,1,118700
2019-12-23 17:45:00,1577123100,39.84,39.91,39.67,39.73,366,1,59800
2019-12-23 18:00:00,1577124000,39.85,39.85,39.85,39.85,113,0,481300
2019-12-26 10:00:00,1577354400,39.9,39.99,39.8,39.83,52,0,40200
2019-12-26 10:15:00,1577355300,39.81,39.81,39.75,39.75,66,1,10100
2019-12-26 10:30:00,1577356200,39.75,39.8,39.52,39.54,153,1,22700
2019-12-26 10:45:00,1577357100,39.55,39.58,39.27,39.35,177,1,36900
2019-12-26 11:00:00,1577358000,39.35,39.36,39.21,39.28,203,1,43500
2019-12-26 11:15:00,1577358900,39.28,39.32,39.26,39.26,210,1,30900
2019-12-26 11:30:00,1577359800,39.27,39.31,39.25,39.29,228,1,34800
2019-12-26 11:45:00,1577360700,39.31,39.34,39.29,39.31,192,1,26900
2019-12-26 12:00:00,1577361600,39.31,39.54,39.31,39.54,187,1,38400
2019-12-26 12:15:00,1577362500,39.54,39.56,39.45,39.47,121,1,17000
2019-12-26 12:30:00,1577363400,39.48,39.48,39.4,39.4,150,1,27000
2019-12-26 12:45:00,1577364300,39.41,39.43,39.38,39.41,164,1,20200
2019-12-26 13:00:00,1577365200,39.41,39.49,39.4,39.49,147,1,21300
2019-12-26 13:15:00,1577366100,39.5,39.55,39.42,39.42,189,1,24100
2019-12-26 13:30:00,1577367000,39.43,39.48,39.41,39.48,194,1,20300
2019-12-26 13:45:00,1577367900,39.48,39.49,39.43,39.43,135,1,14200
2019-12-26 14:00:00,1577368800,39.44,39.44,39.38,39.39,175,1,21900
2019-12-26 14:15:00,1577369700,39.39,39.41,39.3,39.33,257,1,64500
2019-12-26 14:30:00,1577370600,39.33,39.33,39.12,39.23,339,1,57200
2019-12-26 14:45:00,1577371500,39.21,39.5,39.18,39.4,344,1,60400
2019-12-26 15:00:00,1577372400,39.41,39.41,39.4,39.4,115,1,12600
2019-12-26 15:15:00,1577373300,39.4,39.5,39.4,39.47,149,1,70600
2019-12-26 15:30:00,1577374200,39.48,39.49,39.47,39.48,224,1,30100
2019-12-26 15:45:00,1577375100,39.48,39.49,39.47,39.48,303,1,45800
2019-12-26 16:00:00,1577376000,39.48,39.49,39.47,39.47,336,1,47600
2019-12-26 16:15:00,1577376900,39.47,39.49,39.45,39.47,278,1,39600
2019-12-26 16:30:00,1577377800,39.48,39.53,39.47,39.5,374,1,56500
2019-12-26 16:45:00,1577378700,39.5,39.53,39.49,39.53,349,1,73400
2019-12-26 17:00:00,1577379600,39.52,39.62,39.49,39.6,417,1,53000
2019-12-26 17:15:00,1577380500,39.59,39.66,39.57,39.65,514,1,59300
2019-12-26 17:30:00,1577381400,39.65,39.65,39.33,39.37,704,1,100800
2019-12-26 17:45:00,1577382300,39.36,39.42,39.2,39.28,474,1,94100
2019-12-26 18:00:00,1577383200,39.44,39.44,39.44,39.44,122,0,462400
2019-12-27 10:00:00,1577440800,39.51,39.8,39.5,39.51,111,0,32900
2019-12-27 10:15:00,1577441700,39.51,39.7,39.51,39.52,108,1,13800
2019-12-27 10:30:00,1577442600,39.52,39.58,39.4,39.52,148,1,23900
2019-12-27 10:45:00,1577443500,39.46,39.52,39.32,39.37,127,1,18000
2019-12-27 11:00:00,1577444400,39.39,39.86,39.37,39.6,438,1,188000
2019-12-27 11:15:00,1577445300,39.6,39.6,39.42,39.45,151,1,20500
2019-12-27 11:30:00,1577446200,39.44,39.54,39.31,39.38,274,1,165700
2019-12-27 11:45:00,1577447100,39.39,39.45,39.36,39.41,307,1,47700
2019-12-27 12:00:00,1577448000,39.42,39.45,39.39,39.45,392,1,48100
2019-12-27 12:15:00,1577448900,39.45,39.45,39.43,39.45,366,1,335000
2019-12-27 12:30:00,1577449800,39.44,39.56,39.44,39.45,260,1,170200
2019-12-27 12:45:00,1577450700,39.45,39.45,39.19,39.21,259,1,36200
2019-12-27 13:00:00,1577451600,39.24,39.3,39.19,39.24,348,1,41900
2019-12-27 13:15:00,1577452500,39.26,39.26,39.19,39.21,352,1,40900
2019-12-27 13:30:00,1577453400,39.21,39.26,39.07,39.25,404,1,53900
2019-12-27 13:45:00,1577454300,39.25,39.25,39.13,39.17,256,1,30700
2019-12-27 14:00:00,1577455200,39.15,39.17,39.13,39.14,296,1,33300
2019-12-27 14:15:00,1577456100,39.15,39.17,39.1,39.12,311,1,34400
2019-12-27 14:30:00,1577457000,39.12,39.2,39.12,39.16,291,1,34200
2019-12-27 14:45:00,1577457900,39.16,39.16,38.87,38.92,358,1,52400
2019-12-27 15:00:00,1577458800,38.95,39.05,38.79,39.03,405,1,77400
2019-12-27 15:15:00,1577459700,39.03,39.03,38.82,38.82,446,1,83600
2019-12-27 15:30:00,1577460600,38.82,38.92,38.76,38.76,380,1,51900
2019-12-27 15:45:00,1577461500,38.76,38.8,38.63,38.77,417,1,54500
2019-12-27 16:00:00,1577462400,38.77,38.78,38.46,38.64,543,1,83400
2019-12-27 16:15:00,1577463300,38.65,38.72,38.52,38.63,527,1,73300
2019-12-27 16:30:00,1577464200,38.64,38.68,38.47,38.47,628,1,144300
2019-12-27 16:45:00,1577465100,38.46,38.8,38.4,38.79,527,1,75500
2019-12-27 17:00:00,1577466000,38.79,38.79,38.45,38.69,531,1,85500
2019-12-27 17:15:00,1577466900,38.69,38.79,38.5,38.7,703,1,152400
2019-12-27 17:30:00,1577467800,38.69,38.75,38.68,38.7,670,1,127200
2019-12-27 17:45:00,1577468700,38.69,38.8,38.67,38.7,457,1,83300
2019-12-27 18:00:00,1577469600,38.87,38.87,38.87,38.87,146,0,596600
