datetime,time,open,high,low,close,tick_volume,spread,real_volume
2014-10-21 10:15:00,1413886500,27.07,27.3,27.0,27.3,788,0,18326
2014-10-21 10:30:00,1413887400,27.28,27.39,27.21,27.26,60,0,2053
2014-10-21 10:45:00,1413888300,27.22,27.25,27.22,27.23,20,0,829
2014-10-21 11:00:00,1413889200,27.23,27.25,27.2,27.25,46,0,1430
2014-10-21 11:15:00,1413890100,27.23,27.25,27.2,27.25,38,0,1563
2014-10-21 11:30:00,1413891000,27.25,27.28,27.23,27.23,460,0,8873
2014-10-21 11:45:00,1413891900,27.25,27.28,27.24,27.28,39,0,997
2014-10-21 12:00:00,1413892800,27.28,27.31,27.28,27.31,21,0,507
2014-10-21 12:15:00,1413893700,27.31,27.54,27.31,27.53,101,0,3058
2014-10-21 12:30:00,1413894600,27.5,27.54,27.43,27.5,35,0,944
2014-10-21 12:45:00,1413895500,27.55,27.57,27.5,27.5,20,0,451
2014-10-21 13:00:00,1413896400,27.47,27.55,27.47,27.55,7,0,242
2014-10-21 13:15:00,1413897300,27.5,27.54,27.48,27.52,7,0,214
2014-10-21 13:30:00,1413898200,27.54,27.56,27.48,27.52,16,0,599
2014-10-21 13:45:00,1413899100,27.52,27.65,27.52,27.65,16,0,775
2014-10-21 14:00:00,1413900000,27.6,27.64,27.59,27.6,10,0,428
2014-10-21 14:15:00,1413900900,27.61,27.7,27.61,27.69,21,0,913
2014-10-21 14:30:00,1413901800,27.66,27.71,27.63,27.7,14,0,584
2014-10-21 14:45:00,1413902700,27.66,27.7,27.51,27.55,39,0,1752
2014-10-21 15:00:00,1413903600,27.55,27.62,27.55,27.6,9,0,452
2014-10-21 15:15:00,1413904500,27.6,27.62,27.58,27.61,144,0,3043
2014-10-21 15:30:00,1413905400,27.58,27.61,27.58,27.61,25,0,867
2014-10-21 15:45:00,1413906300,27.64,27.73,27.61,27.7,12,0,359
2014-10-21 16:00:00,1413907200,27.72,27.74,27.68,27.69,36,0,995
2014-10-21 16:15:00,1413908100,27.68,27.7,26.52,27.7,126,0,3680
2014-10-21 16:30:00,1413909000,27.7,27.7,27.64,27.64,33,0,1340
2014-10-21 16:45:00,1413909900,27.64,27.7,27.63,27.64,14,0,554
2014-10-21 17:00:00,1413910800,27.53,27.53,27.53,27.53,11,0,231
2014-10-22 10:00:00,1413972000,27.6,27.65,27.6,27.64,10,0,365
2014-10-22 10:15:00,1413972900,27.69,27.7,27.69,27.7,7,0,138
2014-10-22 10:30:00,1413973800,27.78,27.9,27.78,27.9,9,0,367
2014-10-22 10:45:00,1413974700,27.92,28.59,27.92,28.59,141,0,4459
2014-10-22 11:00:00,1413975600,28.57,28.57,28.29,28.29,7,0,223
2014-10-22 11:15:00,1413976500,28.3,28.3,28.19,28.19,8,0,365
2014-10-22 11:30:00,1413977400,28.21,28.21,28.14,28.14,3,0,179
2014-10-22 11:45:00,1413978300,28.21,28.21,28.18,28.18,2,0,36
2014-10-22 12:15:00,1413980100,28.25,28.26,28.15,28.26,9,0,419
2014-10-22 12:30:00,1413981000,28.23,28.23,28.23,28.23,2,0,50
2014-10-22 12:45:00,1413981900,28.21,28.22,28.21,28.22,2,0,93
2014-10-22 13:00:00,1413982800,28.17,28.23,28.17,28.23,4,0,176
2014-10-22 13:15:00,1413983700,28.26,28.26,28.26,28.26,1,0,11
2014-10-22 13:30:00,1413984600,28.27,28.27,28.27,28.27,1,0,45
2014-10-22 13:45:00,1413985500,28.28,28.29,28.28,28.29,2,0,43
2014-10-22 14:00:00,1413986400,28.29,28.29,28.24,28.24,5,0,217
2014-10-22 14:15:00,1413987300,28.24,28.25,28.24,28.25,2,0,88
2014-10-22 14:30:00,1413988200,28.2,28.2,28.13,28.13,4,0,197
2014-10-22 14:45:00,1413989100,28.01,28.01,27.75,27.88,17,0,652
2014-10-22 15:00:00,1413990000,27.85,27.85,27.85,27.85,2,0,20
2014-10-22 15:15:00,1413990900,28.19,28.19,27.89,27.89,3,0,247
2014-10-22 15:45:00,1413992700,27.76,27.76,27.76,27.76,1,0,93
2014-10-22 16:00:00,1413993600,27.85,27.85,27.78,27.78,2,0,77
2014-10-22 16:15:00,1413994500,27.83,27.83,27.83,27.83,2,0,192
2014-10-22 16:30:00,1413995400,27.88,27.88,27.75,27.75,44,0,1367
2014-10-22 16:45:00,1413996300,27.85,27.9,27.79,27.79,39,0,1183
2014-10-22 17:00:00,1413997200,28.0,28.0,28.0,28.0,11,0,420
2014-10-23 10:00:00,1414058400,27.8,27.8,27.62,27.62,5,0,124
2014-10-23 10:15:00,1414059300,27.3,27.5,27.3,27.5,4,0,148
2014-10-23 10:45:00,1414061100,27.23,27.23,27.23,27.23,2,0,51
2014-10-23 11:00:00,1414062000,27.25,27.63,27.18,27.63,10,0,477
2014-10-23 11:15:00,1414062900,27.43,27.63,27.43,27.6,4,0,150
2014-10-23 11:30:00,1414063800,27.6,27.6,27.47,27.47,2,0,10
2014-10-23 11:45:00,1414064700,27.6,27.6,27.6,27.6,1,0,68
2014-10-23 12:00:00,1414065600,27.6,27.6,27.6,27.6,1,0,27
2014-10-23 12:15:00,1414066500,27.59,27.59,27.59,27.59,1,0,27
2014-10-23 13:00:00,1414069200,27.42,27.42,27.42,27.42,2,0,99
2014-10-23 13:45:00,1414071900,27.5,27.5,27.5,27.5,1,0,49
2014-10-23 14:00:00,1414072800,27.59,27.59,27.59,27.59,2,0,98
2014-10-23 14:15:00,1414073700,27.6,27.6,27.31,27.34,9,0,370
2014-10-23 14:30:00,1414074600,27.3,27.3,27.3,27.3,1,0,1
2014-10-23 14:45:00,1414075500,27.23,27.23,27.16,27.2,6,0,155
2014-10-23 15:30:00,1414078200,27.23,27.23,27.23,27.23,1,0,6
2014-10-23 15:45:00,1414079100,27.23,27.25,27.23,27.25,19,0,546
2014-10-23 16:00:00,1414080000,27.2,27.25,27.2,27.25,2,0,42
2014-10-23 16:15:00,1414080900,27.25,27.25,27.25,27.25,1,0,48
2014-10-23 16:30:00,1414081800,27.24,27.24,27.24,27.24,2,0,60
2014-10-24 10:00:00,1414144800,27.48,27.48,27.48,27.48,1,0,11
2014-10-24 10:15:00,1414145700,27.25,27.25,27.15,27.15,12,0,720
2014-10-24 10:45:00,1414147500,27.28,27.28,27.25,27.25,3,0,60
2014-10-24 11:00:00,1414148400,27.27,27.27,27.26,27.26,3,0,123
2014-10-24 11:15:00,1414149300,27.43,27.45,27.4,27.4,4,0,91
2014-10-24 11:30:00,1414150200,27.4,27.4,27.4,27.4,2,0,68
2014-10-24 11:45:00,1414151100,27.4,27.4,27.4,27.4,1,0,25
2014-10-24 12:00:00,1414152000,27.4,27.45,27.4,27.45,4,0,116
2014-10-24 12:15:00,1414152900,27.33,27.33,27.33,27.33,1,0,92
2014-10-24 12:30:00,1414153800,27.39,27.45,27.39,27.45,3,0,235
2014-10-24 12:45:00,1414154700,27.5,27.5,27.41,27.41,2,0,41
2014-10-24 13:00:00,1414155600,27.4,27.41,27.4,27.41,2,0,92
2014-10-24 13:15:00,1414156500,27.32,27.32,27.32,27.32,1,0,30
2014-10-24 13:30:00,1414157400,27.3,27.35,27.3,27.35,2,0,30
2014-10-24 14:00:00,1414159200,27.35,27.45,27.35,27.45,5,0,278
2014-10-24 14:15:00,1414160100,27.45,27.45,27.45,27.45,1,0,2
2014-10-24 14:30:00,1414161000,27.42,27.42,27.42,27.42,1,0,66
2014-10-24 14:45:00,1414161900,27.24,27.38,27.24,27.38,3,0,94
2014-10-24 15:00:00,1414162800,27.38,27.38,27.3,27.3,3,0,75
2014-10-24 15:30:00,1414164600,27.4,27.4,27.4,27.4,1,0,9
2014-10-24 15:45:00,1414165500,27.35,27.35,27.35,27.35,1,0,85
2014-10-24 16:00:00,1414166400,27.48,27.48,27.43,27.43,4,0,80
2014-10-24 16:30:00,1414168200,27.34,27.34,27.23,27.27,5,0,133
2014-10-24 17:00:00,1414170000,27.23,27.23,27.23,27.23,3,0,25
2014-10-27 10:15:00,1414404900,26.5,27.24,26.5,27.01,13,0,342
2014-10-27 10:30:00,1414405800,27.11,27.2,27.1,27.2,17,0,974
2014-10-27 10:45:00,1414406700,27.23,27.23,27.23,27.23,1,0,18
2014-10-27 11:00:00,1414407600,27.25,27.25,27.12,27.12,4,0,285
2014-10-27 11:15:00,1414408500,27.2,27.2,27.2,27.2,1,0,5
2014-10-27 11:45:00,1414410300,27.2,27.24,27.2,27.24,3,0,98
2014-10-27 12:00:00,1414411200,27.09,27.09,27.09,27.09,1,0,8
2014-10-27 12:45:00,1414413900,27.29,27.3,27.29,27.3,3,0,126
2014-10-27 13:30:00,1414416600,27.39,27.5,27.3,27.5,6,0,253
2014-10-27 14:00:00,1414418400,27.5,27.5,27.45,27.45,2,0,56
2014-10-27 14:15:00,1414419300,27.5,27.5,27.5,27.5,1,0,68
2014-10-27 14:30:00,1414420200,27.56,27.56,27.56,27.56,1,0,25
2014-10-27 14:45:00,1414421100,27.55,27.55,27.55,27.55,1,0,1
2014-10-27 15:00:00,1414422000,27.47,27.47,27.46,27.46,2,0,132
2014-10-27 15:15:00,1414422900,27.3,27.3,27.3,27.3,1,0,40
2014-10-27 15:30:00,1414423800,27.4,27.4,27.4,27.4,1,0,11
2014-10-27 15:45:00,1414424700,27.4,27.4,27.4,27.4,1,0,50
2014-10-27 16:30:00,1414427400,27.4,27.4,27.4,27.4,1,0,4
2014-10-27 16:45:00,1414428300,27.4,27.47,27.4,27.47,2,0,74
2014-10-28 10:00:00,1414490400,27.4,27.4,27.15,27.15,2,0,35
2014-10-28 10:15:00,1414491300,27.55,27.55,27.55,27.55,1,0,11
2014-10-28 10:30:00,1414492200,27.7,27.88,27.7,27.88,2,0,43
2014-10-28 11:00:00,1414494000,27.7,27.8,27.7,27.8,3,0,20
2014-10-28 11:15:00,1414494900,27.88,27.95,27.88,27.95,3,0,194
2014-10-28 11:45:00,1414496700,28.0,28.2,28.0,28.2,3,0,83
2014-10-28 12:15:00,1414498500,28.0,28.0,28.0,28.0,1,0,5
2014-10-28 12:45:00,1414500300,27.89,27.89,27.8,27.8,2,0,158
2014-10-28 14:15:00,1414505700,27.8,27.8,27.8,27.8,1,0,32
2014-10-28 15:00:00,1414508400,28.0,28.0,28.0,28.0,1,0,45
2014-10-28 16:30:00,1414513800,27.75,27.9,27.75,27.9,2,0,77
2014-10-28 17:00:00,1414515600,27.94,27.94,27.94,27.94,1,0,33
2014-10-29 10:30:00,1414578600,27.75,27.75,27.51,27.52,5,0,79
2014-10-29 11:00:00,1414580400,27.52,27.52,27.52,27.52,1,0,45
2014-10-29 11:30:00,1414582200,27.69,27.69,27.69,27.69,1,0,24
2014-10-29 12:00:00,1414584000,27.5,27.5,27.5,27.5,2,0,36
2014-10-29 14:15:00,1414592100,27.6,27.6,27.6,27.6,1,0,5
2014-10-29 14:45:00,1414593900,27.6,27.6,27.6,27.6,1,0,17
2014-10-29 15:00:00,1414594800,27.65,27.65,27.65,27.65,1,0,25
2014-10-29 15:15:00,1414595700,27.52,27.52,27.52,27.52,1,0,15
2014-10-29 15:30:00,1414596600,27.51,27.51,27.51,27.51,1,0,1
2014-10-29 15:45:00,1414597500,27.5,27.5,27.5,27.5,1,0,45
2014-10-30 10:00:00,1414663200,27.6,27.99,27.52,27.99,3,0,98
2014-10-30 10:30:00,1414665000,27.5,27.5,27.5,27.5,1,0,2
2014-10-30 11:30:00,1414668600,27.32,27.32,27.32,27.32,1,0,25
2014-10-30 12:15:00,1414671300,27.55,27.55,27.55,27.55,1,0,11
2014-10-30 13:00:00,1414674000,27.45,27.45,27.45,27.45,1,0,27
2014-10-30 13:30:00,1414675800,27.69,27.69,27.69,27.69,1,0,68
2014-10-30 16:45:00,1414687500,27.5,27.5,27.5,27.5,1,0,42
2014-10-31 10:00:00,1414749600,27.6,27.6,27.6,27.6,1,0,5
2014-10-31 10:15:00,1414750500,27.6,27.6,27.6,27.6,1,0,10
2014-10-31 10:45:00,1414752300,27.59,27.59,27.5,27.5,2,0,7
2014-10-31 11:15:00,1414754100,27.5,27.5,27.5,27.5,1,0,5
2014-10-31 12:45:00,1414759500,27.58,27.58,27.58,27.58,1,0,4
2014-10-31 13:00:00,1414760400,27.59,27.59,27.59,27.59,1,0,10
2014-10-31 13:15:00,1414761300,27.65,27.65,27.65,27.65,1,0,11
2014-10-31 13:30:00,1414762200,27.7,27.7,27.7,27.7,3,0,116
2014-10-31 14:15:00,1414764900,27.7,27.97,27.59,27.97,4,0,87
2014-10-31 14:30:00,1414765800,27.97,27.98,27.97,27.98,2,0,114
2014-10-31 14:45:00,1414766700,28.0,28.35,28.0,28.35,12,0,338
2014-10-31 15:00:00,1414767600,28.35,28.35,28.35,28.35,1,0,57
2014-10-31 15:15:00,1414768500,28.48,28.5,28.48,28.5,3,0,96
2014-10-31 15:30:00,1414769400,28.5,28.5,28.5,28.5,1,0,5
2014-10-31 16:00:00,1414771200,28.49,28.49,28.28,28.29,3,0,147
2014-10-31 16:15:00,1414772100,28.3,28.34,28.3,28.34,3,0,52
2014-10-31 16:45:00,1414773900,28.2,28.2,28.2,28.2,1,0,35
2014-10-31 17:00:00,1414774800,28.19,28.19,28.19,28.19,2,0,45
2014-11-03 10:00:00,1415008800,28.57,28.57,28.56,28.56,6,0,100
2014-11-03 10:30:00,1415010600,28.4,28.4,28.4,28.4,1,0,50
2014-11-03 11:00:00,1415012400,28.4,28.4,28.4,28.4,1,0,27
2014-11-03 11:15:00,1415013300,28.4,28.4,28.4,28.4,1,0,27
2014-11-03 11:30:00,1415014200,28.15,28.15,28.15,28.15,1,0,35
2014-11-03 12:00:00,1415016000,28.15,28.28,28.15,28.28,2,0,39
2014-11-03 12:15:00,1415016900,28.5,28.5,28.5,28.5,2,0,56
2014-11-03 13:00:00,1415019600,28.55,28.55,28.55,28.55,1,0,11
2014-11-03 13:45:00,1415022300,28.31,28.31,28.31,28.31,1,0,68
2014-11-04 10:00:00,1415095200,28.79,28.79,28.79,28.79,2,0,32
2014-11-04 10:45:00,1415097900,28.29,28.29,28.29,28.29,1,0,30
2014-11-04 11:45:00,1415101500,28.26,28.26,28.26,28.26,1,0,32
2014-11-04 12:00:00,1415102400,28.4,28.4,28.4,28.4,1,0,91
2014-11-04 12:15:00,1415103300,28.6,28.6,28.6,28.6,1,0,50
2014-11-04 12:30:00,1415104200,28.56,28.56,28.56,28.56,1,0,91
2014-11-04 15:30:00,1415115000,28.35,28.35,28.35,28.35,1,0,27
2014-11-04 15:45:00,1415115900,28.45,28.45,28.43,28.45,3,0,58
2014-11-04 16:15:00,1415117700,28.49,28.49,28.45,28.45,2,0,9
2014-11-04 16:30:00,1415118600,28.26,28.26,28.2,28.2,2,0,86
2014-11-05 10:00:00,1415181600,28.78,28.78,28.22,28.22,3,0,93
2014-11-05 11:15:00,1415186100,28.01,28.01,27.85,27.85,2,0,6
2014-11-05 15:00:00,1415199600,27.99,28.0,27.99,28.0,13,0,681
2014-11-05 16:00:00,1415203200,28.25,28.25,28.25,28.25,1,0,1
2014-11-06 10:00:00,1415268000,27.52,27.52,27.5,27.5,2,0,22
2014-11-06 10:30:00,1415269800,27.5,27.5,27.5,27.5,1,0,3
2014-11-06 13:00:00,1415278800,27.45,27.45,27.45,27.45,1,0,1
2014-11-06 13:45:00,1415281500,27.43,27.43,27.43,27.43,1,0,23
2014-11-06 14:15:00,1415283300,27.47,27.47,27.47,27.47,2,0,89
2014-11-06 15:15:00,1415286900,27.5,27.5,27.5,27.5,1,0,96
2014-11-06 15:45:00,1415288700,27.47,27.47,27.47,27.47,1,0,68
2014-11-06 16:00:00,1415289600,27.47,27.47,27.47,27.47,1,0,27
2014-11-06 16:15:00,1415290500,27.55,27.55,27.55,27.55,2,0,10
2014-11-06 16:30:00,1415291400,27.49,27.49,27.49,27.49,1,0,2
2014-11-07 12:15:00,1415362500,27.48,27.48,27.48,27.48,1,0,3
2014-11-07 12:30:00,1415363400,27.71,27.71,27.71,27.71,1,0,9
2014-11-07 13:45:00,1415367900,27.89,27.89,27.89,27.89,1,0,1
2014-11-07 15:45:00,1415375100,27.65,27.7,27.65,27.7,2,0,40
2014-11-07 16:00:00,1415376000,27.51,27.51,27.51,27.51,1,0,5
2014-11-10 10:30:00,1415615400,27.7,27.7,27.51,27.51,2,0,11
2014-11-10 13:00:00,1415624400,27.62,27.62,27.62,27.62,2,0,63
2014-11-10 15:15:00,1415632500,27.69,27.69,27.69,27.69,1,0,3
2014-11-10 15:30:00,1415633400,27.69,27.69,27.69,27.69,1,0,45
2014-11-11 10:00:00,1415700000,28.0,28.1,28.0,28.0,4,0,80
2014-11-11 12:15:00,1415708100,27.64,27.64,27.64,27.64,1,0,6
2014-11-11 14:30:00,1415716200,27.85,27.85,27.85,27.85,1,0,63
2014-11-11 14:45:00,1415717100,27.79,27.79,27.79,27.79,1,0,11
2014-11-11 16:30:00,1415723400,27.64,27.64,27.51,27.51,2,0,32
2014-11-11 17:00:00,1415725200,27.96,27.96,27.96,27.96,2,0,77
2014-11-12 10:45:00,1415789100,28.7,28.7,28.7,28.7,1,0,28
2014-11-12 11:00:00,1415790000,28.28,28.28,28.28,28.28,1,0,30
2014-11-12 11:30:00,1415791800,28.19,28.19,28.12,28.12,2,0,22
2014-11-12 12:15:00,1415794500,28.16,28.16,28.16,28.16,2,0,25
2014-11-12 13:45:00,1415799900,28.19,28.19,28.19,28.19,1,0,9
2014-11-12 15:15:00,1415805300,28.47,28.47,28.24,28.24,2,0,52
2014-11-12 15:45:00,1415807100,28.6,28.68,28.6,28.68,2,0,86
2014-11-12 16:00:00,1415808000,28.7,28.78,28.5,28.78,5,0,130
2014-11-12 16:15:00,1415808900,28.79,28.87,28.79,28.87,5,0,129
2014-11-12 16:45:00,1415810700,28.8,28.9,28.8,28.8,3,0,61
2014-11-13 10:00:00,1415872800,28.8,28.8,28.8,28.8,1,0,10
2014-11-13 14:15:00,1415888100,28.53,28.53,28.53,28.53,1,0,45
2014-11-13 15:00:00,1415890800,28.53,28.53,28.53,28.53,1,0,72
2014-11-13 15:15:00,1415891700,28.7,28.77,28.7,28.77,3,0,173
2014-11-13 15:30:00,1415892600,28.82,28.9,28.82,28.9,5,0,201
2014-11-13 16:45:00,1415897100,28.71,28.71,28.71,28.71,1,0,29
2014-11-13 17:00:00,1415898000,28.93,28.93,28.93,28.93,1,0,38
2014-11-14 10:00:00,1415959200,28.52,28.52,28.52,28.52,1,0,19
2014-11-14 11:45:00,1415965500,28.52,28.52,28.29,28.29,2,0,82
2014-11-14 13:00:00,1415970000,28.29,28.29,28.29,28.29,1,0,32
2014-11-14 15:30:00,1415979000,28.5,28.5,28.5,28.5,1,0,81
2014-11-14 16:30:00,1415982600,26.52,27.15,26.52,27.15,3,0,128
2014-11-17 10:00:00,1416218400,27.4,27.4,27.4,27.4,3,0,45
2014-11-17 10:15:00,1416219300,28.39,28.55,28.39,28.55,3,0,17
2014-11-17 10:30:00,1416220200,28.64,28.64,28.64,28.64,2,0,100
2014-11-17 10:45:00,1416221100,28.65,28.65,28.65,28.65,1,0,11
2014-11-17 11:30:00,1416223800,28.74,28.74,28.74,28.74,1,0,60
2014-11-17 11:45:00,1416224700,28.8,29.0,28.8,29.0,17,0,826
2014-11-17 12:45:00,1416228300,29.0,29.02,29.0,29.02,2,0,56
2014-11-17 13:00:00,1416229200,29.09,29.1,29.09,29.1,2,0,18
2014-11-17 13:30:00,1416231000,29.0,29.0,29.0,29.0,1,0,45
2014-11-17 13:45:00,1416231900,29.1,29.5,29.1,29.5,16,0,626
2014-11-17 14:00:00,1416232800,29.48,29.48,29.48,29.48,1,0,40
2014-11-17 14:15:00,1416233700,29.59,29.59,29.59,29.59,1,0,45
2014-11-17 14:30:00,1416234600,29.59,29.59,29.5,29.5,2,0,69
2014-11-17 14:45:00,1416235500,29.59,29.59,29.59,29.59,2,0,96
2014-11-17 15:00:00,1416236400,29.59,29.6,29.59,29.6,4,0,162
2014-11-17 15:15:00,1416237300,29.19,29.3,29.07,29.3,7,0,257
2014-11-17 15:30:00,1416238200,29.3,29.3,29.3,29.3,1,0,11
2014-11-17 16:00:00,1416240000,29.27,29.28,29.27,29.28,4,0,38
2014-11-17 16:15:00,1416240900,29.28,29.28,29.28,29.28,1,0,9
2014-11-17 16:30:00,1416241800,29.47,29.47,29.29,29.29,3,0,63
2014-11-18 10:45:00,1416307500,29.02,29.02,29.02,29.02,1,0,11
2014-11-18 12:30:00,1416313800,29.14,29.2,29.14,29.2,4,0,100
2014-11-18 12:45:00,1416314700,29.1,29.1,29.1,29.1,1,0,63
2014-11-18 13:00:00,1416315600,29.1,29.1,29.1,29.1,1,0,19
2014-11-18 14:15:00,1416320100,29.1,29.1,29.1,29.1,1,0,7
2014-11-18 15:00:00,1416322800,29.2,29.4,29.2,29.4,4,0,100
2014-11-18 15:15:00,1416323700,29.15,29.15,29.15,29.15,1,0,15
2014-11-18 15:30:00,1416324600,29.1,29.1,29.1,29.1,1,0,6
2014-11-18 15:45:00,1416325500,29.4,29.6,29.4,29.6,4,0,81
2014-11-18 16:00:00,1416326400,29.59,29.65,29.59,29.65,2,0,62
2014-11-18 16:45:00,1416329100,29.63,29.63,29.63,29.63,1,0,3
2014-11-19 10:45:00,1416393900,29.17,29.45,29.02,29.45,3,0,110
2014-11-19 12:00:00,1416398400,29.55,29.55,29.55,29.55,1,0,82
2014-11-19 12:30:00,1416400200,29.55,29.55,29.55,29.55,1,0,14
2014-11-19 12:45:00,1416401100,29.6,29.6,29.6,29.6,1,0,11
2014-11-19 13:00:00,1416402000,29.5,29.5,29.49,29.49,2,0,45
2014-11-19 13:15:00,1416402900,29.4,29.4,29.4,29.4,1,0,6
2014-11-19 14:00:00,1416405600,29.41,29.41,29.41,29.41,1,0,45
2014-11-19 14:15:00,1416406500,29.47,29.47,29.47,29.47,1,0,70
2014-11-19 15:00:00,1416409200,29.48,29.48,29.48,29.48,1,0,50
2014-11-19 15:45:00,1416411900,29.6,29.6,29.6,29.6,1,0,68
2014-11-19 16:15:00,1416413700,29.7,29.7,29.6,29.6,2,0,52
2014-11-19 16:30:00,1416414600,29.41,29.75,29.41,29.75,12,0,336
2014-11-19 17:00:00,1416416400,29.4,29.4,29.4,29.4,1,0,25
2014-11-21 10:00:00,1416564000,29.33,29.33,29.33,29.33,1,0,40
2014-11-21 10:15:00,1416564900,29.51,29.51,29.51,29.51,1,0,15
2014-11-21 12:15:00,1416572100,29.51,29.51,29.51,29.51,1,0,6
2014-11-21 13:15:00,1416575700,29.75,29.75,29.75,29.75,1,0,11
2014-11-21 13:30:00,1416576600,29.79,29.88,29.79,29.88,4,0,97
2014-11-21 13:45:00,1416577500,29.98,30.0,29.98,30.0,4,0,148
2014-11-21 15:00:00,1416582000,29.99,29.99,29.99,29.99,1,0,73
2014-11-21 15:30:00,1416583800,30.0,30.0,30.0,30.0,2,0,142
2014-11-21 15:45:00,1416584700,29.75,29.75,29.75,29.75,2,0,12
2014-11-21 16:15:00,1416586500,29.8,29.8,29.8,29.8,1,0,25
2014-11-21 16:30:00,1416587400,29.8,30.0,29.8,30.0,3,0,58
2014-11-24 10:00:00,1416823200,29.8,30.1,29.8,30.1,4,0,126
2014-11-24 10:15:00,1416824100,30.5,30.5,30.5,30.5,1,0,89
2014-11-24 11:15:00,1416827700,30.3,30.38,30.3,30.38,3,0,60
2014-11-24 11:30:00,1416828600,30.49,30.5,30.49,30.5,2,0,22
2014-11-24 11:45:00,1416829500,30.94,31.0,30.94,31.0,6,0,162
2014-11-24 12:00:00,1416830400,31.48,31.5,31.25,31.5,4,0,204
