datetime,time,open,high,low,close,tick_volume,spread,real_volume
2012-04-09 11:00:00,1333969200,12.08,12.1,12.08,12.1,6,0,248
2012-04-09 11:15:00,1333970100,12.09,12.09,11.94,11.94,5,0,101
2012-04-09 11:30:00,1333971000,11.87,11.9,11.75,11.78,8,0,215
2012-04-09 11:45:00,1333971900,11.9,11.9,11.7,11.75,14,0,322
2012-04-09 12:00:00,1333972800,11.75,11.76,11.6,11.6,9,0,223
2012-04-09 12:15:00,1333973700,11.61,11.7,11.61,11.61,6,0,243
2012-04-09 12:30:00,1333974600,11.67,11.7,11.65,11.65,6,0,174
2012-04-09 12:45:00,1333975500,11.71,11.71,11.7,11.7,2,0,69
2012-04-09 13:00:00,1333976400,11.74,11.76,11.74,11.76,5,0,53
2012-04-09 13:30:00,1333978200,11.73,11.73,11.73,11.73,1,0,7
2012-04-09 13:45:00,1333979100,11.74,11.74,11.7,11.7,5,0,117
2012-04-09 14:00:00,1333980000,11.75,11.75,11.65,11.65,7,0,155
2012-04-09 14:15:00,1333980900,11.7,11.83,11.7,11.72,7,0,233
2012-04-09 14:30:00,1333981800,11.8,11.82,11.8,11.82,2,0,3
2012-04-09 14:45:00,1333982700,11.82,11.82,11.76,11.8,7,0,253
2012-04-09 15:00:00,1333983600,11.74,11.74,11.71,11.71,3,0,175
2012-04-09 15:15:00,1333984500,11.7,11.72,11.69,11.7,16,0,447
2012-04-09 15:30:00,1333985400,11.82,11.82,11.7,11.7,5,0,56
2012-04-09 15:45:00,1333986300,11.71,11.73,11.71,11.73,4,0,134
2012-04-09 16:00:00,1333987200,11.7,11.74,11.69,11.69,7,0,264
2012-04-09 16:15:00,1333988100,11.75,11.82,11.75,11.76,6,0,235
2012-04-09 16:30:00,1333989000,11.78,11.82,11.7,11.82,12,0,404
2012-04-09 16:45:00,1333989900,11.78,11.85,11.73,11.85,13,0,420
2012-04-09 17:45:00,1333993500,11.85,11.85,11.75,11.75,3,0,140
2012-04-09 18:00:00,1333994400,11.7,11.7,11.7,11.7,1,0,26
2012-04-10 10:00:00,1334052000,11.68,11.68,11.3,11.49,13,0,457
2012-04-10 10:15:00,1334052900,11.31,11.49,11.27,11.29,9,0,217
2012-04-10 10:30:00,1334053800,11.3,11.31,11.1,11.21,38,0,1007
2012-04-10 10:45:00,1334054700,11.2,11.21,11.12,11.2,16,0,564
2012-04-10 11:00:00,1334055600,11.16,11.19,11.05,11.19,38,0,1067
2012-04-10 11:15:00,1334056500,11.09,11.14,11.08,11.14,18,0,652
2012-04-10 11:30:00,1334057400,11.06,11.1,11.06,11.1,8,0,235
2012-04-10 11:45:00,1334058300,11.14,11.19,11.14,11.15,10,0,267
2012-04-10 12:00:00,1334059200,11.15,11.15,11.15,11.15,2,0,64
2012-04-10 12:15:00,1334060100,11.14,11.14,10.8,11.09,13,0,406
2012-04-10 12:30:00,1334061000,11.1,11.1,11.1,11.1,3,0,107
2012-04-10 12:45:00,1334061900,11.06,11.14,11.06,11.14,4,0,111
2012-04-10 13:00:00,1334062800,11.15,11.15,11.0,11.0,6,0,45
2012-04-10 13:15:00,1334063700,11.08,11.08,11.08,11.08,1,0,1
2012-04-10 13:30:00,1334064600,11.08,11.08,11.0,11.07,7,0,186
2012-04-10 13:45:00,1334065500,11.1,11.1,11.0,11.08,8,0,147
2012-04-10 14:00:00,1334066400,11.07,11.07,11.04,11.04,7,0,194
2012-04-10 14:15:00,1334067300,11.0,11.0,10.9,10.9,6,0,167
2012-04-10 14:30:00,1334068200,10.9,10.9,10.9,10.9,4,0,115
2012-04-10 14:45:00,1334069100,11.0,11.04,10.93,11.04,11,0,311
2012-04-10 15:00:00,1334070000,11.04,11.1,11.0,11.1,9,0,261
2012-04-10 15:15:00,1334070900,11.08,11.09,11.08,11.09,4,0,100
2012-04-10 15:30:00,1334071800,11.06,11.08,10.95,11.08,10,0,349
2012-04-10 16:00:00,1334073600,11.05,11.05,10.71,11.05,12,0,431
2012-04-10 16:15:00,1334074500,11.02,11.03,11.01,11.03,5,0,125
2012-04-10 16:30:00,1334075400,11.0,11.18,10.99,11.17,24,0,630
2012-04-10 16:45:00,1334076300,11.01,11.2,10.99,11.2,13,0,445
2012-04-11 10:00:00,1334138400,11.3,11.35,11.23,11.23,9,0,343
2012-04-11 10:15:00,1334139300,11.23,11.23,11.05,11.05,14,0,327
2012-04-11 10:30:00,1334140200,11.05,11.14,10.99,11.0,19,0,483
2012-04-11 10:45:00,1334141100,11.01,11.04,10.99,10.99,22,0,665
2012-04-11 11:00:00,1334142000,10.98,11.03,10.82,10.96,12,0,287
2012-04-11 11:15:00,1334142900,11.0,11.02,10.99,11.0,10,0,280
2012-04-11 11:30:00,1334143800,11.14,11.14,11.02,11.02,4,0,122
2012-04-11 11:45:00,1334144700,11.02,11.2,11.0,11.2,13,0,352
2012-04-11 12:00:00,1334145600,10.99,10.99,10.98,10.98,9,0,220
2012-04-11 12:15:00,1334146500,10.99,11.04,10.98,10.98,16,0,479
2012-04-11 12:30:00,1334147400,11.05,11.05,10.97,10.97,4,0,175
2012-04-11 12:45:00,1334148300,10.97,10.99,10.87,10.87,13,0,320
2012-04-11 13:00:00,1334149200,10.87,10.87,10.81,10.81,7,0,230
2012-04-11 13:15:00,1334150100,10.83,10.9,10.83,10.86,7,0,241
2012-04-11 13:30:00,1334151000,10.94,10.95,10.84,10.84,6,0,136
2012-04-11 13:45:00,1334151900,10.84,10.89,10.83,10.89,5,0,130
2012-04-11 14:00:00,1334152800,10.88,10.88,10.88,10.88,2,0,44
2012-04-11 14:15:00,1334153700,10.83,10.84,10.72,10.72,20,0,609
2012-04-11 14:30:00,1334154600,10.75,10.77,10.7,10.7,12,0,370
2012-04-11 14:45:00,1334155500,10.71,10.89,10.46,10.64,11,0,350
2012-04-11 15:00:00,1334156400,10.68,10.7,10.65,10.67,7,0,151
2012-04-11 15:15:00,1334157300,10.7,10.72,10.67,10.67,4,0,167
2012-04-11 15:30:00,1334158200,10.7,10.75,10.7,10.71,11,0,443
2012-04-11 15:45:00,1334159100,10.71,10.71,10.7,10.7,4,0,64
2012-04-11 16:00:00,1334160000,10.69,10.72,10.64,10.7,9,0,279
2012-04-11 16:15:00,1334160900,10.65,10.75,10.61,10.75,15,0,417
2012-04-11 16:30:00,1334161800,10.75,10.81,10.62,10.7,26,0,997
2012-04-11 16:45:00,1334162700,10.67,10.87,10.67,10.87,17,0,423
2012-04-11 17:45:00,1334166300,10.89,10.89,10.89,10.89,5,0,134
2012-04-11 18:00:00,1334167200,10.87,10.87,10.87,10.87,1,0,20
2012-04-11 18:15:00,1334168100,10.87,10.87,10.75,10.75,2,0,78
2012-04-12 10:00:00,1334224800,10.7,10.85,10.65,10.65,14,0,486
2012-04-12 10:15:00,1334225700,10.65,10.65,10.4,10.59,34,0,1006
2012-04-12 10:30:00,1334226600,10.58,10.71,10.58,10.6,7,0,248
2012-04-12 10:45:00,1334227500,10.65,10.66,10.61,10.62,18,0,581
2012-04-12 11:00:00,1334228400,10.66,10.67,10.62,10.66,10,0,288
2012-04-12 11:15:00,1334229300,10.65,10.65,10.54,10.54,21,0,784
2012-04-12 11:30:00,1334230200,10.54,10.6,10.48,10.49,28,0,743
2012-04-12 11:45:00,1334231100,10.43,10.51,10.43,10.51,22,0,634
2012-04-12 12:00:00,1334232000,10.52,10.52,10.5,10.5,5,0,199
2012-04-12 12:15:00,1334232900,10.55,10.6,10.55,10.58,16,0,526
2012-04-12 12:30:00,1334233800,10.64,10.66,10.55,10.55,8,0,147
2012-04-12 12:45:00,1334234700,10.48,10.5,10.44,10.44,11,0,386
2012-04-12 13:00:00,1334235600,10.5,10.53,10.43,10.47,8,0,221
2012-04-12 13:15:00,1334236500,10.46,10.52,10.44,10.48,7,0,188
2012-04-12 13:30:00,1334237400,10.49,10.49,10.49,10.49,1,0,50
2012-04-12 13:45:00,1334238300,10.46,10.52,10.46,10.52,10,0,246
2012-04-12 14:00:00,1334239200,10.51,10.51,10.51,10.51,1,0,9
2012-04-12 14:15:00,1334240100,10.51,10.54,10.51,10.54,8,0,304
2012-04-12 14:30:00,1334241000,10.54,10.54,10.51,10.51,4,0,60
