datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-08-10 10:15:00,1628590500,18.6,19.44,18.2,19.43,357,0,9002
2021-08-10 10:30:00,1628591400,19.5,19.63,19.23,19.37,134,1,3665
2021-08-10 10:45:00,1628592300,19.4,19.4,19.28,19.3,92,1,1445
2021-08-10 11:00:00,1628593200,19.34,19.38,19.23,19.23,110,1,1283
2021-08-10 11:15:00,1628594100,19.25,19.33,19.22,19.27,65,1,1151
2021-08-10 11:30:00,1628595000,19.24,19.33,19.24,19.29,49,1,817
2021-08-10 11:45:00,1628595900,19.29,19.32,19.25,19.25,38,1,489
2021-08-10 12:00:00,1628596800,19.26,19.26,19.07,19.26,76,1,1544
2021-08-10 12:15:00,1628597700,19.25,19.26,19.19,19.22,27,1,432
2021-08-10 12:30:00,1628598600,19.22,19.24,19.14,19.15,37,1,748
2021-08-10 12:45:00,1628599500,19.15,19.17,19.09,19.13,29,1,368
2021-08-10 13:00:00,1628600400,19.11,19.19,19.03,19.1,55,1,646
2021-08-10 13:15:00,1628601300,19.05,19.05,19.0,19.0,45,1,704
2021-08-10 13:30:00,1628602200,19.01,19.02,18.98,19.0,23,1,283
2021-08-10 13:45:00,1628603100,18.99,19.01,18.9,19.0,48,1,749
2021-08-10 14:00:00,1628604000,18.96,18.97,18.9,18.95,32,1,546
2021-08-10 14:15:00,1628604900,18.95,19.0,18.9,19.0,26,1,355
2021-08-10 14:30:00,1628605800,18.99,19.03,18.96,19.03,38,1,603
2021-08-10 14:45:00,1628606700,19.05,19.05,19.0,19.0,29,1,337
2021-08-10 15:00:00,1628607600,18.96,19.0,18.91,18.91,33,1,284
2021-08-10 15:15:00,1628608500,18.92,18.95,18.91,18.92,19,1,195
2021-08-10 15:30:00,1628609400,18.91,18.91,18.74,18.77,102,1,1305
2021-08-10 15:45:00,1628610300,18.77,18.92,18.77,18.87,56,1,586
2021-08-10 16:00:00,1628611200,18.88,19.13,18.88,19.1,67,1,824
2021-08-10 16:15:00,1628612100,19.1,19.1,19.0,19.03,54,1,430
2021-08-10 16:30:00,1628613000,19.03,19.09,18.96,19.02,65,1,1320
2021-08-10 16:45:00,1628613900,19.02,19.09,18.95,19.09,43,1,781
2021-08-10 17:00:00,1628614800,18.9,18.9,18.9,18.9,34,0,785
2021-08-10 17:30:00,1628616600,19.0,19.11,18.8,18.8,17,1,388
2021-08-10 17:45:00,1628617500,18.81,19.04,18.81,19.04,3,6,38
2021-08-11 10:00:00,1628676000,18.8,19.11,18.8,19.03,55,1,698
2021-08-11 10:15:00,1628676900,19.03,19.1,18.93,19.0,19,2,390
2021-08-11 10:30:00,1628677800,19.0,19.01,18.91,18.93,17,1,420
2021-08-11 10:45:00,1628678700,18.92,19.02,18.4,18.79,61,1,1160
2021-08-11 11:00:00,1628679600,18.75,18.83,18.46,18.46,15,2,270
2021-08-11 11:15:00,1628680500,18.44,18.66,18.3,18.33,33,1,1047
2021-08-11 11:30:00,1628681400,18.33,18.48,18.07,18.4,23,4,771
2021-08-11 11:45:00,1628682300,18.45,18.68,18.4,18.46,11,2,258
2021-08-11 12:00:00,1628683200,18.46,18.53,18.15,18.15,16,1,422
2021-08-11 12:15:00,1628684100,18.16,18.27,18.15,18.24,10,1,134
2021-08-11 12:30:00,1628685000,18.25,18.39,18.25,18.39,9,1,235
2021-08-11 12:45:00,1628685900,18.42,18.58,18.28,18.58,11,4,423
2021-08-11 13:00:00,1628686800,18.5,18.5,18.34,18.4,5,3,202
2021-08-11 13:15:00,1628687700,18.4,18.49,18.25,18.49,9,3,213
2021-08-11 13:30:00,1628688600,18.4,18.41,18.35,18.37,5,3,120
2021-08-11 13:45:00,1628689500,18.37,18.52,18.37,18.52,4,4,97
2021-08-11 14:00:00,1628690400,18.44,18.56,18.38,18.56,9,2,226
