datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-08-10,1628553600,18.3,19.62,18.15,18.77,18549,0,10291800
2021-08-11,1628640000,19.1,19.17,18.06,18.5,9232,0,3471700
2021-08-12,1628726400,18.6,19.48,18.6,19.1,4340,0,977400
2021-08-13,1628812800,19.38,19.38,18.05,18.71,2426,0,1544500
2021-08-16,1629072000,18.96,19.06,17.6,17.63,3175,0,1298300
2021-08-17,1629158400,17.78,17.8,15.23,16.36,8958,0,15252100
2021-08-18,1629244800,16.44,16.7,15.65,15.69,3724,0,1782000
2021-08-19,1629331200,15.41,15.77,14.7,15.65,2737,0,2460400
2021-08-20,1629417600,15.45,16.05,15.11,15.6,3491,0,1434600
2021-08-23,1629676800,15.7,15.97,15.51,15.7,1395,0,522300
2021-08-24,1629763200,16.02,17.32,15.8,17.04,4618,0,2555500
2021-08-25,1629849600,17.04,17.49,16.66,17.4,1867,0,757300
2021-08-26,1629936000,17.4,17.69,16.74,17.5,1355,0,1319100
2021-08-27,1630022400,17.5,17.62,17.01,17.13,2395,0,739600
2021-08-30,1630281600,17.22,17.35,16.9,17.0,1454,0,942300
2021-08-31,1630368000,17.0,17.34,16.52,16.79,1807,0,781700
2021-09-01,1630454400,17.15,17.23,16.46,17.2,2164,0,1389700
2021-09-02,1630540800,17.2,17.8,16.81,17.1,1761,0,1993100
2021-09-03,1630627200,17.1,18.19,17.1,17.84,1555,0,1834700
2021-09-06,1630886400,17.99,18.81,17.57,18.35,1478,0,1987400
2021-09-08,1631059200,18.59,18.95,16.78,17.58,4097,0,2545700
2021-09-09,1631145600,17.41,17.41,16.62,16.7,2481,0,913900
2021-09-10,1631232000,16.81,17.18,16.09,16.16,2007,0,572000
2021-09-13,1631491200,16.23,16.38,15.91,15.99,1840,0,402300
2021-09-14,1631577600,15.97,16.21,15.8,16.04,1267,0,261000
2021-09-15,1631664000,16.04,16.14,15.81,16.0,533,0,167700
2021-09-16,1631750400,16.0,16.14,15.37,15.69,1424,0,442100
2021-09-17,1631836800,15.47,15.61,14.65,15.04,1944,0,487100
2021-09-20,1632096000,14.66,14.86,14.24,14.49,2423,0,637300
2021-09-21,1632182400,14.64,15.43,14.43,14.75,1375,0,400700
2021-09-22,1632268800,15.29,15.43,14.85,15.4,1623,0,322000
2021-09-23,1632355200,15.45,15.92,15.13,15.23,1149,0,360100
2021-09-24,1632441600,15.2,15.39,14.87,15.2,1016,0,407400
2021-09-27,1632700800,15.04,15.19,14.65,14.96,1888,0,518200
2021-09-28,1632787200,14.96,15.08,14.39,14.64,1430,0,1585100
2021-09-29,1632873600,14.71,15.09,14.07,14.3,2736,0,1649400
2021-09-30,1632960000,14.3,14.37,13.38,13.47,2893,0,668300
2021-10-01,1633046400,14.6,14.8,14.28,14.74,5697,0,4175200
2021-10-04,1633305600,14.28,15.32,13.72,14.31,2223,0,1396100
2021-10-05,1633392000,14.2,14.43,13.66,13.8,1180,0,802300
2021-10-06,1633478400,13.68,13.75,12.81,13.31,2389,0,823300
2021-10-07,1633564800,13.42,13.52,13.01,13.37,1183,0,325900
2021-10-08,1633651200,13.5,14.0,13.36,14.0,2384,0,983100
2021-10-11,1633910400,13.65,13.74,12.68,12.87,1817,0,8705100
2021-10-13,1634083200,12.9,12.92,12.34,12.67,4565,0,2047400
2021-10-14,1634169600,12.72,12.74,12.21,12.39,2771,0,879400
2021-10-15,1634256000,12.38,12.47,12.02,12.25,1696,0,579900
2021-10-18,1634515200,12.26,12.5,12.2,12.28,775,0,367200
2021-10-19,1634601600,12.2,12.32,11.5,11.52,2778,0,1101900
2021-10-20,1634688000,11.71,11.84,11.2,11.5,3901,0,990800
2021-10-21,1634774400,11.5,11.54,10.32,10.74,3011,0,1751000
2021-10-22,1634860800,10.82,11.11,10.1,10.61,7617,0,4359600
2021-10-25,1635120000,10.65,11.16,10.62,11.16,1328,0,358200
2021-10-26,1635206400,11.0,11.0,10.38,10.77,1359,0,419300
2021-10-27,1635292800,10.68,10.86,10.52,10.6,1138,0,271400
2021-10-28,1635379200,10.56,10.84,10.05,10.07,1487,0,547600
2021-10-29,1635465600,10.1,10.51,9.83,10.02,2447,0,571100
2021-11-01,1635724800,10.14,10.47,10.0,10.13,1335,0,394500
