datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-02-12 10:15:00,1613124900,11.06,11.38,10.86,11.2,850,0,24900
2021-02-12 10:30:00,1613125800,11.2,11.24,11.15,11.15,210,1,5542
2021-02-12 10:45:00,1613126700,11.16,11.22,11.1,11.22,124,1,3398
2021-02-12 11:00:00,1613127600,11.21,11.45,11.2,11.37,214,1,5802
2021-02-12 11:15:00,1613128500,11.36,11.38,11.21,11.25,78,1,1834
2021-02-12 11:30:00,1613129400,11.23,11.26,11.16,11.25,81,1,1457
2021-02-12 11:45:00,1613130300,11.24,11.27,11.2,11.27,36,1,632
2021-02-12 12:00:00,1613131200,11.27,11.29,11.22,11.23,37,1,657
2021-02-12 12:15:00,1613132100,11.23,11.27,11.23,11.23,42,1,634
2021-02-12 12:30:00,1613133000,11.24,11.26,11.19,11.26,68,1,1251
2021-02-12 12:45:00,1613133900,11.26,11.27,11.23,11.27,31,1,498
2021-02-12 13:00:00,1613134800,11.26,11.27,11.21,11.22,27,1,418
2021-02-12 13:15:00,1613135700,11.24,11.28,11.21,11.25,34,1,636
2021-02-12 13:30:00,1613136600,11.23,11.24,11.2,11.22,34,1,474
2021-02-12 13:45:00,1613137500,11.22,11.25,11.21,11.25,22,1,212
2021-02-12 14:00:00,1613138400,11.22,11.22,11.16,11.18,40,1,622
2021-02-12 14:15:00,1613139300,11.19,11.22,11.16,11.16,27,1,349
2021-02-12 14:30:00,1613140200,11.16,11.19,11.15,11.15,50,1,612
2021-02-12 14:45:00,1613141100,11.16,11.2,11.14,11.14,38,1,583
2021-02-12 15:00:00,1613142000,11.16,11.18,11.14,11.15,28,1,564
2021-02-12 15:15:00,1613142900,11.16,11.18,11.14,11.16,27,1,357
2021-02-12 15:30:00,1613143800,11.15,11.16,11.14,11.14,37,1,657
2021-02-12 15:45:00,1613144700,11.15,11.2,11.06,11.2,61,1,1290
2021-02-12 16:00:00,1613145600,11.2,11.2,11.09,11.11,46,1,734
2021-02-12 16:15:00,1613146500,11.12,11.13,11.06,11.09,30,1,688
2021-02-12 16:30:00,1613147400,11.06,11.09,10.91,10.94,126,1,1795
2021-02-12 16:45:00,1613148300,10.94,11.04,10.91,10.97,73,1,679
2021-02-12 17:00:00,1613149200,10.97,11.0,10.92,10.92,76,1,865
2021-02-12 17:15:00,1613150100,10.92,10.95,10.8,10.95,107,1,1127
2021-02-12 17:30:00,1613151000,10.86,10.98,10.86,10.94,79,1,736
2021-02-12 17:45:00,1613151900,10.95,11.14,10.89,10.89,52,1,710
2021-02-12 18:00:00,1613152800,10.99,10.99,10.99,10.99,50,0,1355
2021-02-17 13:00:00,1613566800,11.15,11.16,11.0,11.11,51,0,1187
