datetime,time,open,high,low,close,tick_volume,spread,real_volume
2017-02-14 10:15:00,1487067300,20.2,20.59,20.01,20.44,1451,1,49020
2017-02-14 10:30:00,1487068200,20.48,20.57,20.4,20.52,317,1,12046
2017-02-14 10:45:00,1487069100,20.55,20.8,20.54,20.63,232,1,7890
2017-02-14 11:00:00,1487070000,20.65,20.75,20.65,20.7,179,1,2972
2017-02-14 11:15:00,1487070900,20.7,20.71,20.58,20.63,115,1,4536
2017-02-14 11:30:00,1487071800,20.63,20.7,20.63,20.67,101,1,3362
2017-02-14 11:45:00,1487072700,20.67,20.7,20.63,20.63,57,1,2391
2017-02-14 12:00:00,1487073600,20.63,20.66,20.58,20.6,41,1,1245
2017-02-14 12:15:00,1487074500,20.6,20.6,20.55,20.56,31,1,1088
2017-02-14 12:30:00,1487075400,20.56,20.57,20.47,20.47,59,1,1904
2017-02-14 12:45:00,1487076300,20.47,20.5,20.43,20.5,40,1,1681
2017-02-14 13:00:00,1487077200,20.49,20.5,20.47,20.48,20,1,531
2017-02-14 13:15:00,1487078100,20.49,20.5,20.48,20.49,27,1,642
2017-02-14 13:30:00,1487079000,20.49,20.49,20.42,20.42,29,1,1083
2017-02-14 13:45:00,1487079900,20.42,20.44,20.4,20.43,39,1,1360
2017-02-14 14:00:00,1487080800,20.45,20.49,20.43,20.49,36,1,1117
2017-02-14 14:15:00,1487081700,20.47,20.49,20.45,20.45,15,1,436
2017-02-14 14:30:00,1487082600,20.49,20.55,20.45,20.52,244,1,7774
2017-02-14 14:45:00,1487083500,20.53,20.54,20.51,20.52,25,1,756
2017-02-14 15:00:00,1487084400,20.52,20.55,20.52,20.52,31,1,979
2017-02-14 15:15:00,1487085300,20.52,20.6,20.52,20.57,51,1,1781
2017-02-14 15:30:00,1487086200,20.56,20.6,20.54,20.6,20,1,633
2017-02-14 15:45:00,1487087100,20.6,20.66,20.58,20.66,40,1,1423
2017-02-14 16:00:00,1487088000,20.67,20.68,20.65,20.65,23,1,762
2017-02-14 16:15:00,1487088900,20.65,20.65,20.57,20.63,26,1,1064
2017-02-14 16:30:00,1487089800,20.63,20.63,20.54,20.58,38,1,1270
