datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-05 16:00:00,1152115200,8.71,8.71,8.71,8.71,1,0,600
2006-09-29 15:45:00,1159544700,8.17,8.17,8.17,8.17,1,0,600
2006-09-29 16:00:00,1159545600,8.23,8.23,8.23,8.23,1,0,100
2006-09-29 16:30:00,1159547400,8.23,8.23,8.23,8.23,1,0,100
2006-10-26 10:15:00,1161857700,6.01,6.01,6.01,6.01,1,0,100
2006-10-26 10:30:00,1161858600,5.45,5.45,5.45,5.45,1,0,100
2006-10-26 11:30:00,1161862200,5.67,5.67,5.67,5.67,3,0,300
2006-10-26 13:45:00,1161870300,5.66,5.66,5.66,5.66,1,0,100
2006-11-01 16:45:00,1162399500,5.45,5.45,5.45,5.45,1,0,100
2006-11-06 14:30:00,1162823400,5.01,5.01,5.01,5.01,1,0,100
2006-11-07 12:00:00,1162900800,5.08,5.08,5.08,5.08,1,0,100
2006-11-07 12:15:00,1162901700,5.44,5.44,5.44,5.44,1,0,100
2006-11-07 12:30:00,1162902600,5.45,5.45,5.45,5.45,1,0,100
2006-11-07 13:00:00,1162904400,5.66,5.66,5.66,5.66,3,0,500
2006-11-14 17:15:00,1163524500,5.65,5.65,5.65,5.65,1,0,300
2006-11-21 14:15:00,1164118500,5.09,5.09,5.09,5.09,1,0,100
2006-11-23 14:30:00,1164292200,5.66,5.66,5.66,5.66,1,0,700
2006-12-01 13:30:00,1164979800,5.15,5.15,5.15,5.15,1,0,500
2006-12-04 11:30:00,1165231800,5.18,5.18,5.18,5.18,1,0,100
2006-12-04 12:15:00,1165234500,5.18,5.18,5.18,5.18,1,0,100
2006-12-04 14:30:00,1165242600,5.18,5.18,5.18,5.18,1,0,200
2006-12-07 11:15:00,1165490100,5.15,5.15,5.15,5.15,2,0,600
2006-12-11 12:00:00,1165838400,5.66,5.66,5.66,5.66,3,0,1500
2006-12-12 14:00:00,1165932000,5.28,5.28,5.28,5.28,1,0,100
2006-12-14 13:30:00,1166103000,5.66,5.66,5.66,5.66,4,0,1600
2006-12-14 15:00:00,1166108400,5.28,5.28,5.28,5.28,1,0,100
2006-12-19 17:45:00,1166550300,5.12,5.12,5.12,5.12,1,0,100
2006-12-28 16:00:00,1167321600,6.0,6.0,6.0,6.0,2,0,200
2006-12-28 17:15:00,1167326100,5.67,5.67,5.67,5.67,1,0,100
2007-01-02 16:45:00,1167756300,5.45,5.45,5.45,5.45,1,0,200
2007-01-17 14:00:00,1169042400,5.45,5.45,5.45,5.45,2,0,500
2007-01-17 14:45:00,1169045100,5.42,5.42,5.42,5.42,2,0,200
2007-01-17 15:00:00,1169046000,5.42,5.42,5.42,5.42,1,0,100
2007-01-17 16:00:00,1169049600,5.88,5.88,5.88,5.88,1,0,100
2007-01-18 14:00:00,1169128800,6.0,6.52,6.0,6.52,2,0,200
