datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-01-26 11:15:00,1169810100,14.0,14.25,13.95,14.01,1870,0,69327
2007-01-26 11:30:00,1169811000,14.01,14.09,14.01,14.08,173,0,6976
2007-01-26 11:45:00,1169811900,14.08,14.13,14.06,14.11,182,0,6413
2007-01-26 12:00:00,1169812800,14.12,14.2,14.12,14.2,242,0,8289
2007-01-26 12:15:00,1169813700,14.15,14.19,14.14,14.14,62,0,2553
2007-01-26 12:30:00,1169814600,14.14,14.17,14.03,14.05,57,0,2295
2007-01-26 12:45:00,1169815500,14.04,14.07,14.0,14.01,62,0,2215
2007-01-26 13:00:00,1169816400,14.05,14.07,13.9,14.03,90,0,3811
2007-01-26 13:15:00,1169817300,14.03,14.09,14.0,14.0,43,0,1603
2007-01-26 13:30:00,1169818200,14.02,14.07,14.0,14.01,27,0,1216
2007-01-26 13:45:00,1169819100,14.0,14.05,14.0,14.05,32,0,1209
2007-01-26 14:00:00,1169820000,14.04,14.04,14.0,14.03,35,0,1568
2007-01-26 14:15:00,1169820900,14.04,14.06,14.03,14.05,28,0,1311
2007-01-26 14:30:00,1169821800,14.06,14.08,13.99,14.0,102,0,3449
2007-01-26 14:45:00,1169822700,14.0,14.05,13.96,14.03,56,0,2113
2007-01-26 15:00:00,1169823600,14.03,14.08,14.02,14.05,65,0,2491
2007-01-26 15:15:00,1169824500,14.04,14.06,14.02,14.02,25,0,1363
2007-01-26 15:30:00,1169825400,14.02,14.05,14.02,14.02,67,0,2341
2007-01-26 15:45:00,1169826300,14.02,14.05,14.02,14.04,76,0,2952
2007-01-26 16:00:00,1169827200,14.02,14.03,13.99,14.0,36,0,1648
2007-01-26 16:15:00,1169828100,13.99,14.02,13.99,14.0,126,0,4475
2007-01-26 16:30:00,1169829000,14.0,14.0,13.99,14.0,130,0,4787
2007-01-26 16:45:00,1169829900,14.0,14.0,13.99,14.0,151,0,5222
2007-01-26 17:00:00,1169830800,14.0,14.04,13.99,14.0,183,0,6788
2007-01-26 17:15:00,1169831700,14.0,14.05,14.0,14.04,194,0,7319
2007-01-26 17:30:00,1169832600,14.05,14.08,14.01,14.05,176,0,6981
2007-01-26 17:45:00,1169833500,14.04,14.06,13.9,13.9,267,0,10130
2007-01-26 18:00:00,1169834400,13.9,13.9,13.9,13.9,2,0,56
2007-01-29 11:00:00,1170068400,13.99,14.05,13.92,13.99,155,0,5295
2007-01-29 11:15:00,1170069300,14.0,14.02,13.93,13.99,100,0,4087
2007-01-29 11:30:00,1170070200,14.0,14.01,13.99,14.0,96,0,3846
2007-01-29 11:45:00,1170071100,14.0,14.0,13.99,13.99,31,0,1038
2007-01-29 12:00:00,1170072000,13.99,13.99,13.99,13.99,45,0,1334
2007-01-29 12:15:00,1170072900,14.0,14.0,13.99,13.99,70,0,2312
2007-01-29 12:30:00,1170073800,13.99,14.0,13.99,13.99,54,0,1767
2007-01-29 12:45:00,1170074700,13.99,14.0,13.99,14.0,31,0,1065
2007-01-29 13:00:00,1170075600,13.99,13.99,13.9,13.95,27,0,1102
2007-01-29 13:15:00,1170076500,13.86,13.98,13.86,13.96,23,0,989
2007-01-29 13:30:00,1170077400,13.97,13.97,13.86,13.92,16,0,698
2007-01-29 13:45:00,1170078300,13.9,13.92,13.86,13.86,9,0,473
2007-01-29 14:00:00,1170079200,13.9,13.93,13.86,13.86,14,0,544
2007-01-29 14:15:00,1170080100,13.86,13.94,13.8,13.93,22,0,640
2007-01-29 14:30:00,1170081000,13.93,13.94,13.64,13.93,13,0,480
2007-01-29 14:45:00,1170081900,13.93,13.96,13.8,13.93,38,0,1508
2007-01-29 15:00:00,1170082800,13.91,13.94,13.9,13.93,19,0,718
2007-01-29 15:15:00,1170083700,13.93,13.94,13.93,13.94,18,0,576
2007-01-29 15:30:00,1170084600,13.93,13.94,13.91,13.91,15,0,588
2007-01-29 15:45:00,1170085500,13.91,13.92,13.84,13.85,37,0,1282
2007-01-29 16:00:00,1170086400,13.85,13.88,13.58,13.7,42,0,1648
2007-01-29 16:15:00,1170087300,13.76,13.76,13.75,13.75,24,0,885
2007-01-29 16:30:00,1170088200,13.78,13.8,13.75,13.75,19,0,789
2007-01-29 16:45:00,1170089100,13.76,13.77,13.7,13.77,26,0,1092
2007-01-29 17:00:00,1170090000,13.75,13.79,13.62,13.79,26,0,1098
2007-01-29 17:15:00,1170090900,13.76,13.81,13.73,13.79,37,0,1242
2007-01-29 17:30:00,1170091800,13.8,13.8,13.72,13.72,30,0,1322
2007-01-29 17:45:00,1170092700,13.72,13.75,12.6,13.11,55,0,1802
2007-01-29 18:45:00,1170096300,13.37,13.37,13.37,13.37,17,0,506
2007-01-30 11:00:00,1170154800,13.7,13.75,13.46,13.7,20,0,637
2007-01-30 11:15:00,1170155700,13.6,13.68,13.54,13.54,11,0,354
2007-01-30 11:30:00,1170156600,13.6,13.68,13.6,13.63,8,0,297
2007-01-30 11:45:00,1170157500,13.65,13.65,13.46,13.46,13,0,555
2007-01-30 12:00:00,1170158400,13.46,13.5,13.22,13.5,32,0,1252
2007-01-30 12:15:00,1170159300,13.5,13.58,13.4,13.55,18,0,753
2007-01-30 12:30:00,1170160200,13.51,13.51,13.5,13.5,10,0,363
2007-01-30 12:45:00,1170161100,13.52,13.65,13.5,13.58,35,0,1420
2007-01-30 13:00:00,1170162000,13.51,13.51,13.51,13.51,1,0,18
2007-01-30 13:15:00,1170162900,13.5,13.51,13.5,13.5,5,0,178
2007-01-30 13:30:00,1170163800,13.28,13.28,13.28,13.28,1,0,56
2007-01-30 13:45:00,1170164700,13.28,13.47,13.28,13.47,3,0,190
2007-01-30 14:00:00,1170165600,13.5,13.5,13.49,13.5,6,0,309
2007-01-30 14:15:00,1170166500,13.51,13.51,13.47,13.47,4,0,184
2007-01-30 14:30:00,1170167400,13.49,13.49,13.47,13.49,4,0,184
2007-01-30 14:45:00,1170168300,13.49,13.5,13.48,13.5,13,0,560
2007-01-30 15:00:00,1170169200,13.49,13.65,13.49,13.5,39,0,1410
2007-01-30 15:15:00,1170170100,13.49,13.71,13.49,13.71,58,0,2177
2007-01-30 15:30:00,1170171000,13.73,13.83,13.71,13.8,47,0,1469
2007-01-30 15:45:00,1170171900,13.8,13.8,13.69,13.7,5,0,292
2007-01-30 16:00:00,1170172800,13.7,13.71,13.7,13.71,5,0,157
2007-01-30 16:15:00,1170173700,13.7,13.72,13.7,13.72,5,0,167
2007-01-30 16:30:00,1170174600,13.6,13.72,13.6,13.72,14,0,534
2007-01-30 16:45:00,1170175500,13.72,13.73,13.71,13.71,11,0,433
2007-01-30 17:00:00,1170176400,13.73,13.73,13.71,13.71,9,0,354
2007-01-30 17:15:00,1170177300,13.7,13.85,13.7,13.82,53,0,1772
2007-01-30 17:30:00,1170178200,13.71,13.85,13.71,13.85,19,0,728
2007-01-30 17:45:00,1170179100,13.8,13.85,13.59,13.59,22,0,732
2007-01-30 18:45:00,1170182700,13.7,13.83,13.7,13.83,5,0,74
2007-01-30 19:00:00,1170183600,13.66,13.85,13.66,13.7,22,0,914
2007-01-30 19:15:00,1170184500,13.85,13.85,13.85,13.85,2,0,8
2007-01-31 11:00:00,1170241200,13.71,13.93,13.71,13.72,8,0,296
2007-01-31 11:15:00,1170242100,13.71,13.71,13.71,13.71,1,0,56
2007-01-31 11:30:00,1170243000,13.72,13.75,13.71,13.71,7,0,238
2007-01-31 11:45:00,1170243900,13.7,13.75,13.61,13.61,13,0,574
2007-01-31 12:00:00,1170244800,13.65,13.7,13.62,13.62,15,0,602
2007-01-31 12:15:00,1170245700,13.62,13.62,13.62,13.62,5,0,226
2007-01-31 12:30:00,1170246600,13.62,13.62,13.62,13.62,4,0,227
2007-01-31 12:45:00,1170247500,13.63,13.63,13.63,13.63,1,0,56
2007-01-31 13:00:00,1170248400,13.65,13.69,13.63,13.63,10,0,249
2007-01-31 13:15:00,1170249300,13.65,13.74,13.63,13.63,20,0,770
2007-01-31 13:30:00,1170250200,13.63,13.75,13.63,13.75,5,0,170
