datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-07-13 10:00:00,1594634400,6.8,7.09,6.8,6.85,187,0,97100
2020-07-13 10:15:00,1594635300,6.8,7.1,6.8,7.09,189,1,120000
2020-07-13 10:30:00,1594636200,7.09,7.3,7.04,7.1,184,1,135100
2020-07-13 10:45:00,1594637100,7.1,7.2,6.87,7.09,166,1,114300
2020-07-13 11:00:00,1594638000,7.08,7.13,6.97,7.12,81,1,46900
2020-07-13 11:15:00,1594638900,7.12,7.16,7.0,7.0,57,1,27400
2020-07-13 11:30:00,1594639800,7.02,7.1,7.02,7.1,34,1,11800
2020-07-13 11:45:00,1594640700,7.09,7.13,7.05,7.1,48,1,25900
2020-07-13 12:00:00,1594641600,7.1,7.2,7.1,7.2,63,1,28300
2020-07-13 12:15:00,1594642500,7.2,7.26,7.18,7.21,69,1,37800
2020-07-13 12:30:00,1594643400,7.25,7.26,7.19,7.19,40,1,14000
2020-07-13 12:45:00,1594644300,7.22,7.23,7.2,7.22,25,1,10900
2020-07-13 13:00:00,1594645200,7.23,7.25,7.2,7.21,44,1,11900
2020-07-13 13:15:00,1594646100,7.21,7.22,7.2,7.21,26,1,16500
2020-07-13 13:30:00,1594647000,7.2,7.21,7.05,7.18,64,1,29100
2020-07-13 13:45:00,1594647900,7.18,7.18,7.11,7.11,21,1,4400
2020-07-13 14:00:00,1594648800,7.1,7.13,7.1,7.12,19,1,6800
2020-07-13 14:15:00,1594649700,7.14,7.14,7.05,7.09,51,1,19800
2020-07-13 14:30:00,1594650600,7.09,7.1,7.0,7.0,82,1,43600
2020-07-13 14:45:00,1594651500,7.0,7.13,7.0,7.1,28,1,10300
2020-07-13 15:00:00,1594652400,7.09,7.09,7.04,7.08,19,1,6000
2020-07-13 15:15:00,1594653300,7.07,7.12,7.05,7.07,28,1,13400
2020-07-13 15:30:00,1594654200,7.07,7.09,7.04,7.05,20,1,12500
2020-07-13 15:45:00,1594655100,7.05,7.13,7.04,7.13,22,1,12200
