datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-09-11 10:15:00,1599819300,14.2,15.25,14.2,14.94,10174,0,257001
2020-09-11 10:30:00,1599820200,14.96,14.97,14.57,14.89,5311,1,99348
2020-09-11 10:45:00,1599821100,14.89,14.92,14.77,14.78,2724,1,44045
2020-09-11 11:00:00,1599822000,14.78,14.89,14.57,14.78,2102,1,32117
2020-09-11 11:15:00,1599822900,14.77,14.79,14.63,14.73,1424,1,18540
2020-09-11 11:30:00,1599823800,14.73,14.82,14.72,14.77,1249,1,19443
2020-09-11 11:45:00,1599824700,14.79,14.95,14.77,14.9,1071,1,14627
2020-09-11 12:00:00,1599825600,14.91,15.06,14.89,15.0,1206,1,26054
2020-09-11 12:15:00,1599826500,14.99,15.05,14.92,14.92,765,1,13140
2020-09-11 12:30:00,1599827400,14.93,15.05,14.81,15.04,743,1,12191
2020-09-11 12:45:00,1599828300,15.04,15.22,15.03,15.15,876,1,17949
2020-09-11 13:00:00,1599829200,15.14,15.2,15.12,15.19,484,1,8321
2020-09-11 13:15:00,1599830100,15.2,15.48,15.1,15.16,946,1,18582
2020-09-11 13:30:00,1599831000,15.16,15.25,14.93,15.17,794,1,15268
2020-09-11 13:45:00,1599831900,15.15,15.4,15.15,15.29,507,1,10178
2020-09-11 14:00:00,1599832800,15.3,15.3,15.14,15.17,576,1,8344
2020-09-11 14:15:00,1599833700,15.16,15.19,15.05,15.13,591,1,10419
2020-09-11 14:30:00,1599834600,15.13,15.14,14.97,15.04,644,1,14867
2020-09-11 14:45:00,1599835500,15.05,15.05,14.91,14.95,573,1,9526
2020-09-11 15:00:00,1599836400,14.96,15.25,14.89,15.15,587,1,10964
2020-09-11 15:15:00,1599837300,15.15,15.23,15.05,15.19,375,1,7029
2020-09-11 15:30:00,1599838200,15.2,15.4,15.16,15.28,511,1,11074
2020-09-11 15:45:00,1599839100,15.28,15.7,15.24,15.69,589,1,12764
2020-09-11 16:00:00,1599840000,15.68,15.71,15.62,15.71,369,1,5878
2020-09-11 16:15:00,1599840900,15.71,16.11,15.66,16.02,780,1,20394
2020-09-11 16:30:00,1599841800,16.05,16.15,15.88,16.1,606,1,13512
2020-09-11 16:45:00,1599842700,16.11,16.29,16.05,16.29,399,1,7295
2020-09-11 17:00:00,1599843600,16.53,16.53,16.53,16.53,187,0,4403
2020-09-14 10:00:00,1600077600,16.85,17.09,16.77,17.05,1456,0,29080
2020-09-14 10:15:00,1600078500,17.05,17.16,16.85,16.94,1518,1,28950
2020-09-14 10:30:00,1600079400,16.95,16.99,16.44,16.67,1667,1,27564
2020-09-14 10:45:00,1600080300,16.68,16.71,16.6,16.66,529,1,8670
2020-09-14 11:00:00,1600081200,16.66,16.73,16.0,16.15,909,1,16013
2020-09-14 11:15:00,1600082100,16.17,16.43,15.94,16.19,708,1,12744
2020-09-14 11:30:00,1600083000,16.17,16.2,16.03,16.1,477,1,7359
2020-09-14 11:45:00,1600083900,16.1,16.11,15.56,15.81,917,1,17178
2020-09-14 12:00:00,1600084800,15.83,16.28,15.62,16.28,479,1,9401
2020-09-14 12:15:00,1600085700,16.28,16.32,15.9,15.99,398,1,7723
2020-09-14 12:30:00,1600086600,16.0,16.2,16.0,16.04,254,1,4481
2020-09-14 12:45:00,1600087500,16.05,16.08,15.9,15.98,329,1,5431
2020-09-14 13:00:00,1600088400,15.93,16.04,15.9,15.97,223,1,3979
2020-09-14 13:15:00,1600089300,15.97,16.04,15.97,16.02,152,1,2193
2020-09-14 13:30:00,1600090200,16.02,16.03,15.98,16.0,208,1,3288
2020-09-14 13:45:00,1600091100,16.0,16.02,15.98,16.0,144,1,2266
2020-09-14 14:00:00,1600092000,16.0,16.02,15.99,16.01,146,1,2530
2020-09-14 14:15:00,1600092900,16.01,16.01,15.98,16.0,201,1,2894
2020-09-14 14:30:00,1600093800,15.99,16.0,15.75,15.94,399,1,7206
2020-09-14 14:45:00,1600094700,15.92,16.06,15.92,16.03,178,1,3439
2020-09-14 15:00:00,1600095600,16.02,16.04,15.99,16.03,134,1,2368
2020-09-14 15:15:00,1600096500,16.02,16.03,15.98,16.0,165,1,3067
2020-09-14 15:30:00,1600097400,16.01,16.02,15.91,15.96,256,1,4541
2020-09-14 15:45:00,1600098300,15.94,15.97,15.91,15.96,171,1,2832
2020-09-14 16:00:00,1600099200,15.95,15.95,15.85,15.87,311,1,5991
2020-09-14 16:15:00,1600100100,15.88,15.91,15.73,15.8,295,1,4977
2020-09-14 16:30:00,1600101000,15.8,16.03,15.8,15.95,200,1,4230
2020-09-14 16:45:00,1600101900,15.95,15.98,15.75,15.77,285,1,5544
2020-09-14 17:00:00,1600102800,15.79,15.79,15.79,15.79,72,0,1038
2020-09-15 10:00:00,1600164000,15.82,15.89,15.45,15.45,626,0,10579
2020-09-15 10:15:00,1600164900,15.41,15.54,15.26,15.38,545,1,9441
2020-09-15 10:30:00,1600165800,15.38,15.4,14.81,15.02,929,1,15458
2020-09-15 10:45:00,1600166700,15.05,15.09,14.9,15.04,432,1,7228
2020-09-15 11:00:00,1600167600,15.04,15.28,14.93,14.98,400,1,7648
2020-09-15 11:15:00,1600168500,14.99,15.01,14.87,14.96,383,1,6786
2020-09-15 11:30:00,1600169400,14.96,15.03,14.95,15.01,221,1,3874
2020-09-15 11:45:00,1600170300,15.01,15.18,14.99,15.16,220,1,4149
2020-09-15 12:00:00,1600171200,15.16,15.16,15.0,15.13,160,1,2701
2020-09-15 12:15:00,1600172100,15.13,15.15,15.08,15.15,143,1,2457
2020-09-15 12:30:00,1600173000,15.14,15.36,15.13,15.28,162,1,2526
2020-09-15 12:45:00,1600173900,15.27,15.28,15.13,15.18,152,1,2809
2020-09-15 13:00:00,1600174800,15.18,15.4,15.18,15.33,142,1,2748
2020-09-15 13:15:00,1600175700,15.34,15.4,15.27,15.3,126,1,2053
2020-09-15 13:30:00,1600176600,15.32,15.47,15.32,15.47,84,1,1708
2020-09-15 13:45:00,1600177500,15.47,15.54,15.35,15.5,159,1,3155
