datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-09-11 10:15:00,1599819300,14.28,15.25,14.26,14.96,15196,0,22165700
2020-09-11 10:30:00,1599820200,14.95,14.97,14.57,14.9,9771,1,8073500
2020-09-11 10:45:00,1599821100,14.9,14.95,14.75,14.75,4746,1,2697800
2020-09-11 11:00:00,1599822000,14.75,14.88,14.56,14.76,4512,1,3284000
2020-09-11 11:15:00,1599822900,14.76,14.79,14.63,14.72,2284,1,836800
2020-09-11 11:30:00,1599823800,14.72,14.82,14.71,14.77,1858,1,795300
2020-09-11 11:45:00,1599824700,14.77,15.0,14.77,14.9,2334,1,1291800
2020-09-11 12:00:00,1599825600,14.9,15.09,14.9,15.0,2038,1,1128300
2020-09-11 12:15:00,1599826500,14.99,15.08,14.9,14.93,1746,1,623100
2020-09-11 12:30:00,1599827400,14.93,15.04,14.8,15.03,1789,1,724300
2020-09-11 12:45:00,1599828300,15.02,15.21,15.02,15.13,2617,1,1534800
2020-09-11 13:00:00,1599829200,15.13,15.21,15.11,15.19,1646,1,475300
2020-09-11 13:15:00,1599830100,15.19,15.47,15.1,15.14,3099,1,1540900
2020-09-11 13:30:00,1599831000,15.14,15.26,14.91,15.15,2687,1,1533200
2020-09-11 13:45:00,1599831900,15.15,15.4,15.14,15.27,2238,1,828000
2020-09-11 14:00:00,1599832800,15.27,15.29,15.13,15.16,1928,1,586000
2020-09-11 14:15:00,1599833700,15.17,15.19,15.05,15.11,1795,1,402100
2020-09-11 14:30:00,1599834600,15.11,15.13,14.96,15.03,2347,1,659200
2020-09-11 14:45:00,1599835500,15.03,15.04,14.92,14.93,1907,1,637400
2020-09-11 15:00:00,1599836400,14.93,15.25,14.88,15.13,2176,1,935800
2020-09-11 15:15:00,1599837300,15.13,15.25,15.03,15.18,2284,1,1169400
2020-09-11 15:30:00,1599838200,15.18,15.42,15.17,15.26,2718,1,1806900
2020-09-11 15:45:00,1599839100,15.26,15.7,15.25,15.7,2326,0,1346900
2020-09-11 16:15:00,1599840900,15.85,16.15,15.61,16.03,3793,0,4661100
2020-09-11 16:30:00,1599841800,16.04,16.14,15.82,16.11,3897,1,1917400
2020-09-11 16:45:00,1599842700,16.11,16.35,16.04,16.35,2026,1,1233300
2020-09-11 17:00:00,1599843600,16.75,16.75,16.75,16.75,311,0,2567300
2020-09-14 10:00:00,1600077600,17.31,17.38,16.41,17.05,2952,0,1421800
2020-09-14 10:15:00,1600078500,17.02,17.17,16.81,16.95,2808,1,1192600
2020-09-14 10:30:00,1600079400,16.95,16.98,16.44,16.7,1822,1,826500
2020-09-14 10:45:00,1600080300,16.67,16.75,16.56,16.67,907,1,390900
2020-09-14 11:00:00,1600081200,16.67,16.74,16.11,16.11,1457,1,555500
2020-09-14 11:15:00,1600082100,16.11,16.4,15.92,16.18,1835,1,813500
2020-09-14 11:30:00,1600083000,16.12,16.18,16.02,16.1,874,1,292400
2020-09-14 11:45:00,1600083900,16.1,16.11,15.58,15.58,1574,0,865000
2020-09-14 12:00:00,1600084800,15.8,16.29,15.6,16.29,1450,0,877300
2020-09-14 12:15:00,1600085700,16.3,16.34,15.9,16.0,1149,1,492000
2020-09-14 12:30:00,1600086600,15.99,16.21,15.99,16.03,694,1,234100
2020-09-14 12:45:00,1600087500,16.03,16.09,15.9,15.97,572,1,159400
2020-09-14 13:00:00,1600088400,15.94,16.05,15.91,15.97,471,1,114000
2020-09-14 13:15:00,1600089300,15.97,16.05,15.97,16.0,404,1,94800
2020-09-14 13:30:00,1600090200,16.0,16.05,15.97,15.99,480,1,119800
2020-09-14 13:45:00,1600091100,15.99,16.05,15.97,16.0,478,1,137200
2020-09-14 14:00:00,1600092000,15.99,16.02,15.98,16.0,339,1,106300
2020-09-14 14:15:00,1600092900,15.99,16.0,15.97,15.99,368,1,88000
2020-09-14 14:30:00,1600093800,15.99,16.0,15.7,15.9,876,1,290300
2020-09-14 14:45:00,1600094700,15.9,16.08,15.9,16.01,632,1,245500
2020-09-14 15:00:00,1600095600,16.0,16.07,15.98,16.0,598,1,194100
2020-09-14 15:15:00,1600096500,16.0,16.05,15.96,16.0,609,1,213500
2020-09-14 15:30:00,1600097400,16.0,16.01,15.9,15.91,536,1,224200
2020-09-14 15:45:00,1600098300,15.93,15.96,15.9,15.95,470,1,176900
2020-09-14 16:00:00,1600099200,15.95,15.95,15.82,15.85,714,1,287400
2020-09-14 16:15:00,1600100100,15.86,15.89,15.72,15.81,796,1,322800
2020-09-14 16:30:00,1600101000,15.81,16.05,15.8,15.95,1020,1,599700
2020-09-14 16:45:00,1600101900,15.95,15.96,15.73,15.8,1064,1,655000
2020-09-14 17:00:00,1600102800,15.74,15.74,15.74,15.74,279,0,1331100
2020-09-15 10:00:00,1600164000,15.8,15.95,15.41,15.42,990,0,469100
2020-09-15 10:15:00,1600164900,15.41,15.54,15.26,15.37,994,1,572300
2020-09-15 10:30:00,1600165800,15.37,15.39,14.81,15.04,1928,1,1437200
2020-09-15 10:45:00,1600166700,15.03,15.08,14.9,15.03,868,1,737900
2020-09-15 11:00:00,1600167600,15.03,15.27,14.91,14.98,855,1,1089400
2020-09-15 11:15:00,1600168500,14.97,15.01,14.86,14.96,578,1,523600
2020-09-15 11:30:00,1600169400,14.96,15.05,14.93,15.01,435,1,315700
2020-09-15 11:45:00,1600170300,15.0,15.19,14.99,15.15,610,1,607400
2020-09-15 12:00:00,1600171200,15.15,15.16,15.01,15.13,483,1,351300
2020-09-15 12:15:00,1600172100,15.15,15.15,15.06,15.15,394,1,260400
2020-09-15 12:30:00,1600173000,15.14,15.36,15.14,15.28,606,1,305200
2020-09-15 12:45:00,1600173900,15.25,15.28,15.11,15.19,340,1,117600
2020-09-15 13:00:00,1600174800,15.19,15.45,15.17,15.34,393,1,278000
2020-09-15 13:15:00,1600175700,15.35,15.41,15.25,15.3,354,1,265200
2020-09-15 13:30:00,1600176600,15.3,15.5,15.29,15.47,350,1,190300
2020-09-15 13:45:00,1600177500,15.46,15.55,15.35,15.47,489,1,476000
2020-09-15 14:00:00,1600178400,15.48,15.58,15.41,15.49,352,1,202100
2020-09-15 14:15:00,1600179300,15.48,15.49,15.26,15.36,489,1,284000
2020-09-15 14:30:00,1600180200,15.36,15.38,15.31,15.38,272,1,109300
2020-09-15 14:45:00,1600181100,15.39,15.44,15.32,15.37,327,1,139100
2020-09-15 15:00:00,1600182000,15.36,15.37,15.26,15.33,349,1,371400
2020-09-15 15:15:00,1600182900,15.32,15.37,15.31,15.32,283,1,79300
2020-09-15 15:30:00,1600183800,15.31,15.62,15.26,15.53,579,1,438100
2020-09-15 15:45:00,1600184700,15.49,15.85,15.42,15.65,776,1,449600
2020-09-15 16:00:00,1600185600,15.65,15.7,15.53,15.54,624,1,640600
2020-09-15 16:15:00,1600186500,15.53,15.7,15.5,15.68,658,1,246500
2020-09-15 16:30:00,1600187400,15.67,15.69,15.5,15.61,771,1,315900
2020-09-15 16:45:00,1600188300,15.61,15.61,15.47,15.5,555,1,236700
2020-09-15 17:00:00,1600189200,15.5,15.5,15.5,15.5,129,0,392400
2020-09-16 10:00:00,1600250400,15.5,15.69,15.41,15.52,456,0,231900
2020-09-16 10:15:00,1600251300,15.52,15.53,15.36,15.45,663,1,194200
2020-09-16 10:30:00,1600252200,15.45,15.69,15.41,15.67,276,1,113400
2020-09-16 10:45:00,1600253100,15.68,15.82,15.6,15.73,534,1,245900
2020-09-16 11:00:00,1600254000,15.73,15.73,15.55,15.63,279,1,105500
2020-09-16 11:15:00,1600254900,15.63,15.64,15.56,15.62,155,1,28100
