datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-09-02 10:00:00,1599040800,9.11,9.67,8.8,9.48,10009,0,4630200
2020-09-02 11:00:00,1599044400,9.5,10.02,9.12,10.02,4641,1,1859100
2020-09-02 12:00:00,1599048000,10.1,10.95,9.96,10.55,8787,0,3763300
2020-09-02 13:00:00,1599051600,10.55,10.63,10.5,10.56,1795,1,723200
2020-09-02 14:00:00,1599055200,10.56,10.57,10.25,10.3,2775,1,948300
2020-09-02 15:00:00,1599058800,10.3,10.44,10.12,10.3,3224,1,1587100
2020-09-02 16:00:00,1599062400,10.3,10.31,10.05,10.3,2338,1,1681100
2020-09-02 17:00:00,1599066000,10.3,10.3,10.3,10.3,132,0,270500
2020-09-03 10:00:00,1599127200,10.78,11.3,10.65,11.0,10576,0,5467100
2020-09-03 11:00:00,1599130800,10.97,11.0,10.5,10.56,3881,1,1522500
2020-09-03 12:00:00,1599134400,10.55,10.78,10.55,10.62,2394,1,833200
2020-09-03 13:00:00,1599138000,10.63,10.7,10.52,10.55,1756,1,511400
2020-09-03 14:00:00,1599141600,10.55,10.61,10.4,10.43,2823,1,802300
2020-09-03 15:00:00,1599145200,10.41,10.44,10.1,10.25,3664,1,1739900
2020-09-03 16:00:00,1599148800,10.24,10.4,10.2,10.4,2456,1,1092700
2020-09-03 17:00:00,1599152400,10.4,10.4,10.4,10.4,144,0,447000
2020-09-04 10:00:00,1599213600,10.7,10.8,10.35,10.35,2465,0,1375000
2020-09-04 11:00:00,1599217200,10.35,10.36,10.25,10.3,1633,1,458500
2020-09-04 12:00:00,1599220800,10.28,10.32,10.26,10.29,1005,1,219300
2020-09-04 13:00:00,1599224400,10.29,10.31,10.28,10.28,883,1,158400
2020-09-04 14:00:00,1599228000,10.28,10.39,10.28,10.39,964,1,279100
2020-09-04 15:00:00,1599231600,10.39,10.5,10.29,10.45,1782,1,599700
2020-09-04 16:00:00,1599235200,10.45,10.59,10.35,10.38,1963,1,714900
2020-09-04 17:00:00,1599238800,10.4,10.4,10.4,10.4,83,0,238200
2020-09-08 10:00:00,1599559200,10.4,10.4,10.0,10.23,1263,0,621900
2020-09-08 11:00:00,1599562800,10.23,10.35,10.2,10.33,431,1,172800
2020-09-08 12:00:00,1599566400,10.33,10.33,10.21,10.22,230,1,75400
2020-09-08 13:00:00,1599570000,10.21,10.29,10.21,10.28,236,1,60300
2020-09-08 14:00:00,1599573600,10.29,10.35,10.25,10.3,329,1,121200
2020-09-08 15:00:00,1599577200,10.29,10.32,10.27,10.31,293,1,95900
2020-09-08 16:00:00,1599580800,10.31,10.4,10.3,10.35,369,1,194600
2020-09-08 17:00:00,1599584400,10.35,10.35,10.35,10.35,37,0,115100
