datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-04-13 16:30:00,1176481800,89.6,89.6,89.6,89.6,2,0,62321
2007-04-16 10:15:00,1176718500,89.8,89.8,89.8,89.8,1,0,37679
2007-04-16 10:45:00,1176720300,89.8,89.8,89.8,89.8,1,0,3000
2007-04-16 11:30:00,1176723000,90.0,90.0,90.0,90.0,2,0,37000
2007-04-16 12:30:00,1176726600,89.8,89.8,89.8,89.8,1,0,9321
2007-04-16 12:45:00,1176727500,89.99,89.99,89.99,89.99,1,0,30000
2007-04-16 13:45:00,1176731100,89.5,89.5,89.5,89.5,1,0,14000
2007-04-16 16:15:00,1176740100,89.99,90.0,89.99,90.0,2,0,40000
2007-04-16 16:30:00,1176741000,90.0,90.0,90.0,90.0,1,0,10000
2007-04-16 16:45:00,1176741900,90.0,90.0,89.5,89.5,2,0,2447
2007-04-16 18:30:00,1176748200,89.5,89.5,89.5,89.5,1,0,5553
2007-04-17 11:00:00,1176807600,91.5,91.5,91.5,91.5,1,0,3000
2007-04-17 12:15:00,1176812100,90.99,90.99,90.99,90.99,2,0,5000
2007-04-17 13:30:00,1176816600,90.99,90.99,90.99,90.99,1,0,20000
2007-04-17 14:30:00,1176820200,90.0,90.0,90.0,90.0,7,0,17089
2007-04-17 14:45:00,1176821100,90.0,90.0,90.0,90.0,4,0,3007
2007-04-17 15:00:00,1176822000,85.0,85.0,85.0,85.0,1,0,13
2007-04-17 16:15:00,1176826500,90.5,90.5,90.5,90.5,1,0,13
2007-04-17 16:30:00,1176827400,90.5,90.99,90.5,90.99,3,0,36547
2007-04-17 16:45:00,1176828300,91.4,91.4,91.4,91.4,1,0,1000
2007-04-18 12:15:00,1176898500,90.0,91.0,90.0,91.0,3,0,44000
2007-04-18 13:00:00,1176901200,88.01,88.01,88.01,88.01,1,0,19966
2007-04-18 15:45:00,1176911100,90.0,90.95,90.0,90.95,2,0,73640
2007-04-18 16:45:00,1176914700,90.0,90.0,90.0,90.0,1,0,16360
2007-04-18 17:45:00,1176918300,90.5,90.5,90.5,90.5,1,0,10000
2007-04-19 10:00:00,1176976800,89.0,89.0,89.0,89.0,2,0,40000
2007-04-19 10:15:00,1176977700,90.0,90.0,90.0,90.0,1,0,30000
2007-04-19 10:45:00,1176979500,90.82,90.95,90.82,90.95,6,0,71489
2007-04-19 11:15:00,1176981300,91.3,91.3,91.3,91.3,1,0,48402
2007-04-19 11:45:00,1176983100,90.0,90.0,90.0,90.0,3,0,60000
2007-04-19 13:00:00,1176987600,90.0,90.0,89.8,89.8,2,0,40000
2007-04-19 14:15:00,1176992100,91.0,91.0,91.0,91.0,3,0,141000
2007-04-19 15:45:00,1176997500,90.8,90.8,90.8,90.8,1,0,35000
2007-04-19 16:15:00,1176999300,90.8,90.8,90.8,90.8,1,0,1598
2007-04-19 17:45:00,1177004700,90.8,90.8,90.8,90.8,1,0,2601
2007-04-20 10:00:00,1177063200,91.25,91.25,91.25,91.25,1,0,90000
2007-04-20 10:30:00,1177065000,91.0,91.0,91.0,91.0,1,0,7700
2007-04-20 13:45:00,1177076700,91.0,91.0,91.0,91.0,1,0,2300
2007-04-20 14:15:00,1177078500,90.1,90.1,90.1,90.1,1,0,22700
2007-04-20 14:45:00,1177080300,90.1,90.1,90.1,90.1,1,0,28312
2007-04-20 15:15:00,1177082100,90.5,90.9,90.5,90.9,2,0,15333
2007-04-20 15:30:00,1177083000,91.11,91.11,91.11,91.11,1,0,48988
2007-04-20 16:30:00,1177086600,91.11,91.11,91.11,91.11,2,0,28012
2007-04-23 10:00:00,1177322400,91.11,91.11,91.11,91.11,1,0,542
2007-04-23 10:45:00,1177325100,91.9,92.0,91.9,92.0,9,0,131353
2007-04-23 11:30:00,1177327800,92.5,92.9,92.5,92.9,2,0,24760
2007-04-23 11:45:00,1177328700,92.9,92.99,92.9,92.99,2,0,100000
2007-04-23 12:00:00,1177329600,92.8,92.8,92.8,92.8,1,0,1000
2007-04-23 12:30:00,1177331400,92.8,92.8,92.8,92.8,1,0,50000
