datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-03 11:15:00,1151925300,20.23,20.23,20.23,20.23,3,0,1800
2006-07-05 12:30:00,1152102600,20.66,20.66,20.66,20.66,1,0,3600
2006-07-06 11:30:00,1152185400,20.66,20.66,20.66,20.66,1,0,200
2006-07-06 11:45:00,1152186300,20.66,20.66,20.66,20.66,1,0,500
2006-07-10 10:45:00,1152528300,20.66,20.66,20.66,20.66,1,0,200
2006-07-14 15:30:00,1152891000,20.66,20.66,20.66,20.66,1,0,1000
2006-07-26 11:15:00,1153912500,20.76,20.76,20.76,20.76,1,0,100
2006-07-26 15:00:00,1153926000,20.76,20.76,20.76,20.76,1,0,1700
2006-07-31 11:30:00,1154345400,20.66,20.66,20.66,20.66,4,0,1400
2006-07-31 16:45:00,1154364300,20.76,20.76,20.76,20.76,1,0,200
2006-08-01 11:15:00,1154430900,20.66,20.66,20.66,20.66,1,0,1000
2006-08-08 10:30:00,1155033000,20.66,20.66,20.66,20.66,1,0,400
2006-08-10 10:15:00,1155204900,20.32,20.32,20.32,20.32,1,0,100
2006-08-11 11:00:00,1155294000,20.32,20.32,20.32,20.32,1,0,2400
2006-08-17 10:15:00,1155809700,21.51,21.51,21.51,21.51,1,0,700
2006-08-18 11:00:00,1155898800,22.3,22.3,22.3,22.3,1,0,100
2006-08-25 12:30:00,1156509000,20.48,20.48,20.48,20.48,1,0,300
2006-08-28 16:45:00,1156783500,21.51,21.51,21.51,21.51,1,0,3000
2006-08-31 14:30:00,1157034600,21.09,21.09,21.09,21.09,2,0,700
2006-08-31 15:00:00,1157036400,21.09,21.09,21.09,21.09,1,0,700
2006-09-01 10:45:00,1157107500,20.66,20.66,20.66,20.66,1,0,100
2006-09-11 11:00:00,1157972400,21.1,21.1,21.1,21.1,2,0,700
2006-09-11 16:30:00,1157992200,21.36,21.36,21.36,21.36,1,0,700
2006-09-12 16:15:00,1158077700,20.66,20.66,20.66,20.66,1,0,100
2006-09-13 11:45:00,1158147900,20.67,20.67,20.67,20.67,1,0,1700
2006-09-13 14:15:00,1158156900,20.66,20.66,20.66,20.66,1,0,100
2006-09-22 11:45:00,1158925500,21.1,21.1,21.1,21.1,1,0,500
2006-09-25 12:15:00,1159186500,21.09,21.09,21.09,21.09,1,0,500
2006-09-27 13:30:00,1159363800,21.51,21.51,21.51,21.51,3,0,1400
2006-09-28 15:30:00,1159457400,22.73,22.73,22.73,22.73,1,0,400
2006-10-02 11:45:00,1159789500,21.38,21.38,21.38,21.38,1,0,800
2006-10-09 11:15:00,1160392500,21.52,21.52,21.52,21.52,2,0,600
2006-10-10 11:00:00,1160478000,21.51,21.51,21.51,21.51,1,0,100
2006-10-13 12:30:00,1160742600,21.51,21.51,21.51,21.51,1,0,1900
2006-10-16 12:15:00,1161000900,21.93,21.93,21.93,21.93,1,0,500
2006-10-16 14:45:00,1161009900,22.15,22.15,22.15,22.15,1,0,2000
2006-10-17 11:30:00,1161084600,23.16,23.16,23.16,23.16,1,0,2100
2006-10-20 11:00:00,1161342000,22.73,22.73,22.73,22.73,1,0,100
2006-10-23 15:00:00,1161615600,22.73,22.73,22.73,22.73,1,0,700
2006-10-23 15:15:00,1161616500,22.73,22.73,22.73,22.73,1,0,700
2006-11-01 12:00:00,1162382400,23.16,23.16,23.16,23.16,2,0,1000
2006-11-07 13:30:00,1162906200,22.79,22.79,22.79,22.79,1,0,700
2006-11-07 13:45:00,1162907100,22.79,22.79,22.79,22.79,1,0,700
2006-11-14 11:15:00,1163502900,25.22,25.22,25.22,25.22,1,0,200
2006-11-21 11:00:00,1164106800,25.22,25.22,25.22,25.22,1,0,200
2006-12-01 12:15:00,1164975300,24.82,24.82,24.82,24.82,3,0,1000
2006-12-15 11:30:00,1166182200,27.3,27.3,27.3,27.3,1,0,100
2006-12-18 12:45:00,1166445900,24.81,24.81,24.81,24.81,1,0,500
2006-12-18 17:15:00,1166462100,26.06,26.06,26.06,26.06,1,0,100
2006-12-18 17:45:00,1166463900,27.19,27.19,27.19,27.19,2,0,900
2006-12-21 12:00:00,1166702400,27.19,27.19,27.19,27.19,1,0,100
2007-01-02 13:00:00,1167742800,26.88,26.88,26.88,26.88,1,0,1500
2007-01-11 11:30:00,1168515000,26.89,26.89,26.89,26.89,1,0,100
2007-01-22 12:30:00,1169469000,26.91,26.91,26.91,26.91,2,0,600
2007-01-22 15:30:00,1169479800,27.03,27.03,27.03,27.03,1,0,600
2007-01-23 12:45:00,1169556300,26.88,26.88,26.88,26.88,4,0,2000
2007-01-24 12:00:00,1169640000,27.48,27.48,27.48,27.48,1,0,200
2007-01-29 13:15:00,1170076500,29.64,29.64,29.64,29.64,1,0,100
2007-02-05 12:15:00,1170677700,26.88,26.88,26.88,26.88,1,0,100
2007-02-07 16:45:00,1170866700,27.72,27.72,27.72,27.72,1,0,100
2007-02-07 17:45:00,1170870300,27.72,27.72,27.72,27.72,1,0,100
2007-02-14 17:45:00,1171475100,29.36,29.36,29.36,29.36,3,0,700
2007-02-23 14:45:00,1172241900,28.97,28.97,28.96,28.96,2,0,1200
2007-02-23 16:30:00,1172248200,30.27,30.27,30.27,30.27,3,0,1100
2007-02-26 15:00:00,1172502000,33.6,33.6,33.6,33.6,1,0,100
2007-02-27 11:00:00,1172574000,35.28,35.28,35.28,35.28,1,0,100
2007-02-28 14:15:00,1172672100,41.12,41.12,41.12,41.12,2,0,300
2007-02-28 14:30:00,1172673000,41.12,41.12,41.12,41.12,1,0,100
2007-02-28 16:00:00,1172678400,40.29,40.29,40.29,40.29,1,0,200
2007-02-28 16:15:00,1172679300,41.12,41.12,41.12,41.12,1,0,400
2007-03-01 11:00:00,1172746800,42.8,42.8,41.99,41.99,2,0,200
2007-03-02 12:30:00,1172838600,41.99,41.99,41.99,41.99,1,0,700
2007-03-02 14:00:00,1172844000,41.99,41.99,41.99,41.99,1,0,400
2007-03-02 15:00:00,1172847600,41.99,41.99,41.99,41.99,2,0,400
2007-03-02 15:30:00,1172849400,41.99,41.99,41.99,41.99,1,0,200
2007-03-02 15:45:00,1172850300,41.99,41.99,41.99,41.99,1,0,500
2007-03-02 17:30:00,1172856600,41.99,41.99,41.99,41.99,1,0,200
2007-03-05 12:30:00,1173097800,41.99,41.99,41.99,41.99,4,0,400
2007-03-05 14:45:00,1173105900,41.99,41.99,41.99,41.99,1,0,200
2007-03-05 16:30:00,1173112200,41.99,41.99,41.99,41.99,1,0,400
2007-03-06 12:00:00,1173182400,41.99,41.99,41.99,41.99,2,0,200
2007-03-06 12:45:00,1173185100,41.99,41.99,41.99,41.99,2,0,300
2007-03-06 14:45:00,1173192300,45.36,45.36,45.36,45.36,1,0,100
2007-03-07 11:00:00,1173265200,45.36,45.36,45.36,45.36,1,0,100
2007-03-07 11:15:00,1173266100,45.36,45.36,45.36,45.36,1,0,200
2007-03-07 11:30:00,1173267000,45.36,45.36,45.36,45.36,1,0,200
2007-03-07 12:00:00,1173268800,47.42,47.87,47.42,47.87,2,0,200
2007-03-07 12:45:00,1173271500,47.87,47.87,47.87,47.87,2,0,700
2007-03-07 13:00:00,1173272400,47.87,47.87,47.87,47.87,1,0,200
2007-03-07 13:15:00,1173273300,47.87,47.87,47.87,47.87,1,0,100
2007-03-07 14:00:00,1173276000,49.55,49.55,49.55,49.55,2,0,200
2007-03-07 14:30:00,1173277800,49.55,49.55,49.55,49.55,3,0,300
2007-03-07 16:00:00,1173283200,49.55,49.55,49.55,49.55,1,0,100
2007-03-07 16:30:00,1173285000,49.55,49.55,49.55,49.55,1,0,200
2007-03-07 16:45:00,1173285900,49.55,50.36,49.55,50.36,2,0,600
2007-03-08 11:00:00,1173351600,52.87,52.87,52.87,52.87,3,0,800
2007-03-08 11:15:00,1173352500,52.87,54.58,52.87,54.58,5,0,700
2007-03-08 11:45:00,1173354300,54.58,54.58,54.58,54.58,1,0,100
2007-03-08 12:00:00,1173355200,54.58,54.58,54.58,54.58,2,0,200
2007-03-08 12:30:00,1173357000,54.58,54.58,54.58,54.58,2,0,200
2007-03-08 13:15:00,1173359700,55.41,55.41,55.41,55.41,1,0,300
2007-03-08 15:30:00,1173367800,54.58,54.58,54.58,54.58,1,0,100
2007-03-08 15:45:00,1173368700,54.58,54.58,54.58,54.58,1,0,100
2007-03-08 16:45:00,1173372300,54.58,54.58,54.58,54.58,2,0,200
2007-03-08 17:30:00,1173375000,53.73,53.73,53.73,53.73,2,0,200
2007-03-08 17:45:00,1173375900,50.37,50.37,50.36,50.36,2,0,300
2007-03-09 11:15:00,1173438900,54.58,54.58,54.58,54.58,1,0,300
2007-03-09 11:30:00,1173439800,50.37,50.37,50.37,50.37,2,0,1000
2007-03-09 13:45:00,1173447900,48.29,48.29,48.29,48.29,1,0,200
2007-03-09 14:30:00,1173450600,41.99,41.99,41.99,41.99,3,0,300
2007-03-09 14:45:00,1173451500,42.8,42.8,42.8,42.8,1,0,500
2007-03-09 15:00:00,1173452400,41.99,41.99,41.66,41.66,2,0,400
2007-03-12 10:00:00,1173693600,41.99,41.99,41.99,41.99,1,0,500
2007-03-12 10:30:00,1173695400,41.99,41.99,41.99,41.99,1,0,100
2007-03-12 10:45:00,1173696300,41.99,41.99,41.99,41.99,2,0,800
2007-03-12 15:30:00,1173713400,41.99,41.99,41.99,41.99,1,0,400
2007-03-12 16:15:00,1173716100,41.12,41.12,41.12,41.12,1,0,100
2007-03-13 10:30:00,1173781800,41.99,42.4,41.99,42.4,2,0,400
2007-03-13 15:15:00,1173798900,42.4,42.4,42.4,42.4,1,0,100
2007-03-15 16:30:00,1173976200,41.05,41.12,41.05,41.12,2,0,200
2007-03-15 16:45:00,1173977100,41.12,41.12,41.12,41.12,1,0,400
2007-03-19 10:30:00,1174300200,41.12,41.12,41.12,41.12,1,0,200
2007-03-21 12:00:00,1174478400,37.36,37.36,37.36,37.36,1,0,100
2007-03-21 15:00:00,1174489200,38.21,38.64,38.21,38.64,4,0,900
2007-03-21 16:30:00,1174494600,40.29,40.29,40.29,40.29,1,0,100
2007-03-22 12:00:00,1174564800,40.29,40.29,40.29,40.29,1,0,100
2007-03-22 12:15:00,1174565700,40.29,40.29,40.29,40.29,1,0,100
2007-03-22 16:45:00,1174581900,40.29,41.99,40.29,41.99,4,0,600
2007-03-26 15:00:00,1174921200,41.99,41.99,41.99,41.99,1,0,200
2007-03-27 10:30:00,1174991400,41.12,41.12,41.12,41.12,1,0,3600
2007-03-27 13:15:00,1175001300,41.12,41.12,41.12,41.12,1,0,100
2007-03-28 10:45:00,1175078700,41.57,41.99,41.57,41.99,4,0,800
2007-03-28 11:00:00,1175079600,41.99,41.99,41.58,41.99,3,0,600
2007-03-28 11:30:00,1175081400,41.99,41.99,41.99,41.99,1,0,100
2007-03-28 14:30:00,1175092200,41.66,41.66,41.66,41.66,1,0,4200
2007-03-29 10:15:00,1175163300,41.99,41.99,41.99,41.99,1,0,400
2007-03-29 11:00:00,1175166000,41.99,41.99,41.99,41.99,1,0,1000
2007-03-29 11:15:00,1175166900,41.99,41.99,41.99,41.99,1,0,1000
2007-03-29 11:30:00,1175167800,41.58,41.58,41.58,41.58,3,0,1500
2007-03-29 11:45:00,1175168700,41.58,41.58,41.58,41.58,1,0,100
2007-03-29 16:00:00,1175184000,41.62,41.62,41.62,41.62,1,0,5200
2007-03-29 16:45:00,1175186700,41.95,41.95,41.95,41.95,1,0,1000
2007-03-30 10:00:00,1175248800,41.95,41.99,41.95,41.99,2,0,600
2007-04-02 11:30:00,1175513400,41.73,41.73,41.58,41.58,2,0,200
2007-04-02 15:45:00,1175528700,41.62,41.62,41.62,41.62,2,0,6800
2007-04-02 16:00:00,1175529600,41.58,41.58,41.58,41.58,1,0,300
2007-04-02 17:45:00,1175535900,41.95,41.95,41.95,41.95,1,0,300
2007-04-03 15:30:00,1175614200,41.59,41.59,41.59,41.59,1,0,8000
2007-04-04 10:15:00,1175681700,41.59,41.59,41.59,41.59,1,0,3200
2007-04-05 16:30:00,1175790600,41.11,41.11,41.11,41.11,1,0,8000
2007-04-10 15:15:00,1176218100,38.64,38.64,38.64,38.64,1,0,300
2007-04-10 16:15:00,1176221700,38.64,38.64,38.64,38.64,1,0,300
2007-04-10 17:45:00,1176227100,38.64,38.64,38.64,38.64,1,0,100
2007-04-11 10:00:00,1176285600,38.64,38.64,38.64,38.64,1,0,100
2007-04-12 11:00:00,1176375600,37.81,37.81,37.81,37.81,1,0,800
2007-04-12 11:45:00,1176378300,37.9,37.9,37.81,37.81,2,0,500
2007-04-12 12:15:00,1176380100,37.81,37.81,37.81,37.81,1,0,100
2007-04-17 14:00:00,1176818400,36.95,36.95,36.95,36.95,1,0,100
2007-04-23 15:45:00,1177343100,37.36,37.36,37.36,37.36,1,0,1000
2007-04-25 16:45:00,1177519500,40.29,40.29,40.29,40.29,1,0,100
2007-04-26 15:45:00,1177602300,40.29,40.29,40.29,40.29,1,0,100
2007-04-26 16:30:00,1177605000,41.58,41.58,41.58,41.58,1,0,100
2007-04-26 16:45:00,1177605900,41.95,41.95,41.12,41.12,2,0,400
2007-05-03 10:00:00,1178186400,40.29,40.29,40.29,40.29,1,0,200
2007-05-03 11:15:00,1178190900,41.99,41.99,41.99,41.99,1,0,100
2007-05-03 12:00:00,1178193600,41.99,41.99,41.99,41.99,1,0,200
2007-05-03 15:30:00,1178206200,41.99,41.99,41.99,41.99,1,0,1000
2007-05-04 14:45:00,1178289900,41.99,41.99,41.99,41.99,3,0,1000
2007-05-04 16:30:00,1178296200,41.99,41.99,41.99,41.99,1,0,100
2007-05-07 10:15:00,1178532900,41.12,41.12,41.12,41.12,1,0,100
