datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-05-08 13:00:00,1147093200,5.24,5.24,5.24,5.24,2,0,67
2006-05-15 12:15:00,1147695300,5.01,5.01,5.01,5.01,1,0,6
2006-06-01 16:15:00,1149178500,5.29,5.29,5.29,5.29,1,0,69
2006-06-07 15:15:00,1149693300,5.44,5.44,5.44,5.44,1,0,59
2006-06-07 16:15:00,1149696900,5.06,5.06,5.06,5.06,1,0,10
2006-06-08 10:00:00,1149760800,4.95,4.95,4.95,4.95,1,0,1
2006-06-23 16:00:00,1151078400,5.58,5.58,5.58,5.58,1,0,1
2006-06-30 15:30:00,1151681400,5.58,5.58,5.58,5.58,1,0,1
2006-06-30 16:30:00,1151685000,5.53,5.53,5.53,5.53,1,0,1
2006-07-05 12:00:00,1152100800,5.05,5.05,5.04,5.04,2,0,22
2006-08-14 12:00:00,1155556800,6.67,6.67,6.67,6.67,1,0,20
2006-08-24 12:30:00,1156422600,5.11,5.11,5.11,5.11,3,0,98
2006-08-25 10:00:00,1156500000,5.73,5.73,5.73,5.73,1,0,17
2006-10-03 12:45:00,1159879500,3.62,3.62,3.62,3.62,1,0,1
2006-10-05 14:30:00,1160058600,3.25,3.25,3.17,3.17,2,0,20
2006-10-11 14:15:00,1160576100,3.91,3.91,3.91,3.91,1,0,42
2006-10-11 16:15:00,1160583300,3.91,3.91,3.91,3.91,1,0,10
2006-10-20 11:15:00,1161342900,3.91,3.91,3.91,3.91,1,0,1
2006-10-20 18:00:00,1161367200,3.91,3.91,3.91,3.91,2,0,11
2006-10-31 11:00:00,1162292400,3.45,3.45,3.37,3.37,2,0,66
2006-11-28 17:30:00,1164735000,4.03,4.03,4.03,4.03,1,0,6
2006-11-29 11:00:00,1164798000,4.48,4.48,4.48,4.48,1,0,10
2006-11-29 13:30:00,1164807000,4.63,4.63,4.63,4.63,1,0,3
2006-11-29 17:45:00,1164822300,4.63,4.63,4.63,4.63,1,0,2
2006-11-30 14:00:00,1164895200,4.48,4.48,4.48,4.48,1,0,10
2006-12-06 11:00:00,1165402800,4.34,4.34,4.34,4.34,1,0,25
2006-12-06 16:45:00,1165423500,4.1,4.1,4.1,4.1,1,0,15
2006-12-06 17:30:00,1165426200,4.1,4.1,4.1,4.1,1,0,42
2006-12-07 11:45:00,1165491900,4.1,4.1,4.1,4.1,1,0,12
2006-12-08 13:45:00,1165585500,4.67,4.67,4.67,4.67,1,0,4
2006-12-28 15:45:00,1167320700,4.5,4.5,4.5,4.5,1,0,22
2007-01-16 12:15:00,1168949700,5.55,5.55,5.55,5.55,1,0,38
2007-02-01 16:15:00,1170346500,6.55,6.55,6.55,6.55,1,0,3
2007-02-01 18:45:00,1170355500,6.55,6.55,6.55,6.55,1,0,11
2007-02-12 14:45:00,1171291500,5.7,5.7,5.7,5.7,1,0,1
2007-02-12 18:45:00,1171305900,5.7,5.7,5.7,5.7,1,0,8
2007-02-13 15:30:00,1171380600,5.7,5.7,5.7,5.7,1,0,21
2007-02-13 16:00:00,1171382400,5.6,5.6,5.6,5.6,1,0,49
2007-02-15 17:00:00,1171558800,5.6,5.6,5.6,5.6,1,0,1
2007-02-22 17:00:00,1172163600,5.83,5.83,5.83,5.83,1,0,24
2007-02-23 15:30:00,1172244600,5.5,5.6,5.5,5.6,2,0,21
2007-02-27 11:30:00,1172575800,5.7,5.7,5.7,5.7,1,0,10
2007-02-27 15:45:00,1172591100,5.8,5.8,5.8,5.8,2,0,68
2007-03-05 11:30:00,1173094200,5.22,5.22,5.22,5.22,1,0,1
2007-03-07 13:45:00,1173275100,6.0,6.0,6.0,6.0,1,0,16
2007-03-07 15:15:00,1173280500,6.08,6.08,6.08,6.08,1,0,1
2007-03-19 15:45:00,1174319100,5.49,5.49,5.49,5.49,1,0,50
2007-03-20 13:45:00,1174398300,5.4,5.4,5.4,5.4,1,0,21
2007-03-21 13:15:00,1174482900,5.01,5.01,5.01,5.01,1,0,3
2007-05-04 10:15:00,1178273700,5.85,5.85,5.85,5.85,1,0,3
2007-05-04 12:45:00,1178282700,5.75,5.75,5.75,5.75,1,0,9
2007-05-07 12:00:00,1178539200,5.75,5.75,5.75,5.75,1,0,2
2007-05-09 16:45:00,1178729100,5.75,5.75,5.11,5.11,5,0,100
2007-05-11 12:45:00,1178887500,5.33,5.33,5.33,5.33,1,0,1
2007-05-15 16:30:00,1179246600,5.76,5.76,5.76,5.76,1,0,10
2007-05-16 14:00:00,1179324000,5.3,5.3,5.3,5.3,1,0,1
2007-05-23 14:00:00,1179928800,5.5,5.5,5.32,5.32,2,0,55
2007-05-31 16:30:00,1180629000,6.0,6.0,6.0,6.0,1,0,3
2007-06-01 16:45:00,1180716300,5.95,5.95,5.95,5.95,1,0,12
2007-06-06 11:45:00,1181130300,6.1,6.1,6.1,6.1,1,0,1
2007-06-06 14:15:00,1181139300,6.1,6.1,5.85,5.85,2,0,100
2007-06-12 10:30:00,1181644200,6.0,6.0,6.0,6.0,1,0,3
2007-06-12 16:15:00,1181664900,6.3,6.3,6.3,6.3,1,0,24
2007-06-13 14:45:00,1181745900,6.8,6.8,6.8,6.8,1,0,1
2007-06-13 16:00:00,1181750400,6.35,6.35,6.3,6.3,2,0,50
2007-07-04 14:45:00,1183560300,7.07,7.07,7.07,7.07,1,0,1
2007-07-05 10:45:00,1183632300,7.07,7.07,7.07,7.07,2,0,4
2007-07-17 10:00:00,1184666400,7.9,7.9,7.59,7.59,2,0,100
2007-07-17 16:30:00,1184689800,8.0,8.0,8.0,8.0,1,0,75
2007-07-17 16:45:00,1184690700,7.79,7.79,7.59,7.59,2,0,75
2007-07-18 10:00:00,1184752800,7.6,7.6,7.6,7.6,3,0,53
2007-07-18 14:30:00,1184769000,7.89,7.89,7.7,7.7,2,0,100
2007-07-18 18:30:00,1184783400,7.8,7.8,7.8,7.8,1,0,13
2007-07-19 14:00:00,1184853600,7.72,7.72,7.72,7.72,1,0,50
2007-07-20 11:15:00,1184930100,7.7,7.7,7.65,7.65,5,0,100
2007-07-24 13:00:00,1185282000,7.65,7.65,7.55,7.55,5,0,100
2007-07-26 10:00:00,1185444000,7.3,7.3,7.3,7.3,1,0,5
2007-07-26 14:45:00,1185461100,7.2,7.2,7.07,7.07,2,0,20
2007-07-27 10:30:00,1185532200,7.0,7.0,7.0,7.0,1,0,18
2007-07-30 12:30:00,1185798600,7.1,7.1,7.1,7.1,1,0,44
2007-07-31 10:00:00,1185876000,7.25,7.25,7.25,7.25,1,0,4
2007-07-31 12:30:00,1185885000,7.25,7.25,7.25,7.25,1,0,8
2007-08-03 15:15:00,1186154100,7.3,7.3,7.0,7.0,3,0,100
2007-08-06 10:00:00,1186394400,6.95,6.95,6.95,6.95,1,0,8
2007-08-06 10:45:00,1186397100,6.95,6.95,6.9,6.9,2,0,77
2007-08-07 16:30:00,1186504200,7.16,7.16,7.16,7.16,1,0,40
2007-08-07 16:45:00,1186505100,7.16,7.16,7.16,7.16,1,0,22
2007-08-14 10:15:00,1187086500,6.95,6.95,6.95,6.95,2,0,7
2007-08-14 12:45:00,1187095500,6.95,6.95,6.95,6.95,1,0,15
2007-08-15 10:30:00,1187173800,6.9,6.9,6.9,6.9,1,0,54
2007-08-15 11:45:00,1187178300,6.5,6.5,6.0,6.0,2,0,15
2007-08-15 12:00:00,1187179200,6.0,6.0,6.0,6.0,2,0,60
2007-08-23 10:45:00,1187865900,7.14,7.14,7.14,7.14,1,0,10
2007-08-23 12:30:00,1187872200,7.14,7.14,7.14,7.14,1,0,43
2007-08-30 16:00:00,1188489600,6.95,6.95,6.95,6.95,1,0,5
2007-08-30 16:15:00,1188490500,6.95,6.95,6.95,6.95,1,0,6
2007-08-31 13:45:00,1188567900,7.0,7.0,7.0,7.0,1,0,3
2007-08-31 15:00:00,1188572400,7.2,7.35,7.2,7.35,3,0,33
2007-09-03 10:15:00,1188814500,7.35,7.35,7.35,7.35,1,0,16
2007-09-11 10:45:00,1189507500,7.0,7.0,7.0,7.0,1,0,40
2007-09-11 14:30:00,1189521000,7.1,7.1,7.1,7.1,1,0,2
2007-09-17 10:00:00,1190023200,6.7,6.7,6.7,6.7,1,0,30
2007-09-17 10:30:00,1190025000,6.7,6.7,6.7,6.7,1,0,5
2007-09-17 11:30:00,1190028600,6.7,6.7,6.7,6.7,1,0,15
2007-09-17 15:45:00,1190043900,6.7,6.7,6.7,6.7,1,0,1
2007-09-19 11:00:00,1190199600,7.1,7.1,7.1,7.1,1,0,8
2007-09-27 14:00:00,1190901600,7.0,7.0,7.0,7.0,1,0,4
2007-09-27 18:15:00,1190916900,7.0,7.0,7.0,7.0,1,0,3
2007-09-27 18:45:00,1190918700,7.0,7.0,7.0,7.0,1,0,14
2007-09-28 13:45:00,1190987100,6.93,6.93,6.93,6.93,1,0,8
2007-09-28 14:00:00,1190988000,7.0,7.1,7.0,7.1,2,0,12
2007-10-01 10:00:00,1191232800,7.0,7.0,7.0,7.0,1,0,35
2007-10-01 11:15:00,1191237300,7.0,7.0,7.0,7.0,1,0,5
2007-10-01 12:00:00,1191240000,7.0,7.0,7.0,7.0,1,0,38
2007-10-01 14:45:00,1191249900,7.25,7.29,7.25,7.29,2,0,10
2007-10-02 14:30:00,1191335400,7.05,7.05,7.05,7.05,1,0,40
2007-10-08 14:00:00,1191852000,7.1,7.1,7.1,7.1,1,0,5
2007-10-08 14:30:00,1191853800,7.15,7.15,7.15,7.15,1,0,30
2007-10-08 15:30:00,1191857400,7.15,7.15,7.15,7.15,1,0,5
2007-10-09 10:30:00,1191925800,7.15,7.15,7.15,7.15,1,0,29
2007-10-15 13:15:00,1192454100,7.1,7.1,7.1,7.1,1,0,4
2007-10-16 13:30:00,1192541400,7.15,7.15,7.15,7.15,1,0,30
2007-10-17 15:45:00,1192635900,7.1,7.1,7.0,7.0,2,0,40
2007-10-22 11:45:00,1193053500,9.99,9.99,9.99,9.99,1,0,11
2007-10-23 11:15:00,1193138100,9.8,9.8,9.8,9.8,1,0,10
2007-10-23 13:45:00,1193147100,8.4,8.4,8.4,8.4,1,0,5
2007-10-24 16:45:00,1193244300,7.52,7.52,7.16,7.16,2,0,100
2007-10-29 11:00:00,1193655600,7.34,7.34,7.34,7.34,1,0,28
2007-11-01 17:00:00,1193936400,7.27,7.27,7.27,7.27,1,0,3
2007-11-07 11:00:00,1194433200,7.5,7.5,7.5,7.5,1,0,30
2007-11-12 14:00:00,1194876000,7.4,7.4,7.4,7.4,1,0,50
2007-11-13 16:45:00,1194972300,7.0,7.0,7.0,7.0,1,0,15
2007-11-13 17:30:00,1194975000,7.0,7.0,7.0,7.0,1,0,3
2007-11-16 16:00:00,1195228800,7.3,7.3,7.3,7.3,1,0,20
2007-11-21 14:30:00,1195655400,7.01,7.01,6.93,6.93,4,0,72
2007-11-21 14:45:00,1195656300,6.93,6.93,6.9,6.9,2,0,86
2007-11-21 15:15:00,1195658100,6.8,6.8,6.8,6.8,1,0,3
2007-11-21 15:30:00,1195659000,6.8,6.8,6.8,6.8,1,0,2
