datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-09-18 10:30:00,1158575400,0.65,0.65,0.65,0.65,1,0,200
2006-09-18 11:00:00,1158577200,0.64,0.64,0.64,0.64,1,0,100
2006-09-18 12:00:00,1158580800,0.64,0.64,0.64,0.64,1,0,1000
2006-09-19 16:00:00,1158681600,0.64,0.64,0.64,0.64,2,0,1000
2006-09-21 12:15:00,1158840900,0.62,0.62,0.62,0.62,1,0,1000
2006-10-03 11:30:00,1159875000,0.74,0.74,0.74,0.74,1,0,400
2006-10-23 15:45:00,1161618300,0.74,0.74,0.74,0.74,2,0,2400
2006-10-23 16:45:00,1161621900,0.74,0.74,0.74,0.74,1,0,400
2006-10-26 16:30:00,1161880200,0.73,0.73,0.73,0.73,1,0,100
2006-10-27 16:00:00,1161964800,0.64,0.64,0.64,0.64,1,0,100
2006-10-31 13:15:00,1162300500,0.66,0.66,0.66,0.66,4,0,5000
2006-10-31 14:15:00,1162304100,0.66,0.66,0.66,0.66,5,0,7200
2006-10-31 14:45:00,1162305900,0.66,0.66,0.66,0.66,2,0,2800
2006-10-31 15:00:00,1162306800,0.66,0.66,0.66,0.66,1,0,2000
2006-10-31 15:15:00,1162307700,0.66,0.66,0.66,0.66,2,0,1300
2006-10-31 15:30:00,1162308600,0.66,0.66,0.66,0.66,1,0,900
2006-10-31 15:45:00,1162309500,0.66,0.66,0.66,0.66,2,0,2900
2006-10-31 16:00:00,1162310400,0.66,0.66,0.66,0.66,3,0,2900
2006-11-01 11:45:00,1162381500,0.67,0.68,0.67,0.68,2,0,3000
2006-11-01 12:00:00,1162382400,0.68,0.68,0.68,0.68,1,0,1000
2006-11-01 13:45:00,1162388700,0.68,0.68,0.68,0.68,1,0,1000
2006-11-01 14:00:00,1162389600,0.68,0.68,0.68,0.68,1,0,1000
2006-11-03 12:45:00,1162557900,0.68,0.68,0.68,0.68,1,0,100
2006-11-03 16:30:00,1162571400,0.71,0.71,0.71,0.71,1,0,3000
2006-11-06 17:30:00,1162834200,0.72,0.72,0.72,0.72,1,0,300
2006-11-07 14:30:00,1162909800,0.72,0.72,0.72,0.72,1,0,200
2006-11-07 16:30:00,1162917000,0.72,0.72,0.72,0.72,1,0,100
2006-11-08 11:00:00,1162983600,0.72,0.72,0.72,0.72,1,0,500
2006-11-08 17:00:00,1163005200,0.72,0.72,0.72,0.72,2,0,1400
2006-11-09 16:00:00,1163088000,0.74,0.74,0.74,0.74,1,0,100
2006-11-09 16:15:00,1163088900,0.73,0.73,0.73,0.73,2,0,500
2006-11-09 16:30:00,1163089800,0.72,0.72,0.72,0.72,1,0,4400
2006-11-09 17:30:00,1163093400,0.72,0.72,0.72,0.72,2,0,500
2006-11-10 14:15:00,1163168100,0.71,0.71,0.71,0.71,2,0,3000
2006-11-13 13:45:00,1163425500,0.71,0.71,0.71,0.71,1,0,600
2006-11-13 14:00:00,1163426400,0.71,0.71,0.71,0.71,1,0,200
2006-11-13 15:00:00,1163430000,0.71,0.71,0.71,0.71,3,0,700
2006-11-14 16:00:00,1163520000,0.73,0.73,0.73,0.73,1,0,100
2006-11-17 12:15:00,1163765700,0.8,0.8,0.8,0.8,1,0,100
2006-11-23 12:00:00,1164283200,0.81,0.81,0.81,0.81,1,0,200
2006-11-23 12:30:00,1164285000,0.82,0.82,0.82,0.82,1,0,100
2006-11-23 15:45:00,1164296700,0.82,0.82,0.82,0.82,1,0,100
2006-11-24 11:00:00,1164366000,0.82,0.82,0.82,0.82,1,0,1000
2006-11-27 11:00:00,1164625200,0.82,0.82,0.82,0.82,4,0,2000
2006-11-29 11:00:00,1164798000,0.84,0.84,0.84,0.84,2,0,200
2006-12-04 17:15:00,1165252500,0.82,0.82,0.82,0.82,1,0,1000
2006-12-05 15:30:00,1165332600,0.82,0.82,0.82,0.82,1,0,1500
2006-12-05 16:30:00,1165336200,0.82,0.82,0.82,0.82,1,0,100
2006-12-06 11:00:00,1165402800,0.79,0.79,0.79,0.79,1,0,4000
2006-12-06 11:30:00,1165404600,0.81,0.84,0.81,0.84,2,0,700
2006-12-06 14:15:00,1165414500,0.86,0.86,0.86,0.86,1,0,100
2006-12-06 15:15:00,1165418100,0.86,0.86,0.86,0.86,1,0,400
2006-12-06 15:30:00,1165419000,0.86,0.86,0.86,0.86,8,0,23500
2006-12-06 15:45:00,1165419900,0.86,0.86,0.86,0.86,8,0,17500
2006-12-06 16:00:00,1165420800,0.86,0.86,0.86,0.86,13,0,18500
2006-12-06 19:15:00,1165432500,0.87,0.87,0.87,0.87,1,0,600
2006-12-07 11:15:00,1165490100,0.86,0.86,0.86,0.86,4,0,15000
2006-12-07 11:45:00,1165491900,0.86,0.86,0.86,0.86,1,0,600
2006-12-07 12:15:00,1165493700,0.85,0.85,0.85,0.85,1,0,300
2006-12-07 15:00:00,1165503600,0.86,0.86,0.86,0.86,5,0,15000
2006-12-07 15:30:00,1165505400,0.86,0.86,0.86,0.86,7,0,16100
2006-12-07 16:00:00,1165507200,0.87,0.87,0.87,0.87,6,0,8200
2006-12-07 16:30:00,1165509000,0.86,0.86,0.86,0.86,1,0,2000
2006-12-07 16:45:00,1165509900,0.86,0.86,0.86,0.86,2,0,37000
2006-12-08 11:45:00,1165578300,0.87,0.88,0.87,0.88,6,0,14100
2006-12-08 12:45:00,1165581900,0.88,0.88,0.88,0.88,3,0,9000
2006-12-08 13:00:00,1165582800,0.89,0.89,0.89,0.89,1,0,3400
2006-12-08 13:30:00,1165584600,0.93,0.95,0.93,0.95,3,0,300
2006-12-08 17:15:00,1165598100,0.88,0.88,0.88,0.88,1,0,100
2006-12-11 17:00:00,1165856400,0.93,0.93,0.93,0.93,1,0,200
2006-12-12 11:00:00,1165921200,0.93,0.93,0.93,0.93,1,0,100
2006-12-12 18:45:00,1165949100,0.93,0.93,0.93,0.93,1,0,100
2006-12-13 15:00:00,1166022000,0.89,0.89,0.89,0.89,1,0,100
2006-12-13 17:30:00,1166031000,0.88,0.88,0.88,0.88,1,0,100
2006-12-14 16:45:00,1166114700,0.93,0.93,0.93,0.93,1,0,100
2006-12-18 11:00:00,1166439600,0.97,0.97,0.97,0.97,2,0,200
2006-12-18 11:30:00,1166441400,0.97,0.97,0.97,0.97,1,0,100
2006-12-18 12:45:00,1166445900,0.96,0.97,0.96,0.97,2,0,300
2006-12-19 12:30:00,1166531400,0.9,0.9,0.9,0.9,1,0,100
2006-12-22 12:00:00,1166788800,0.92,0.92,0.92,0.92,2,0,1000
2006-12-22 14:30:00,1166797800,0.9,0.9,0.9,0.9,1,0,200
2006-12-22 15:45:00,1166802300,0.92,0.92,0.92,0.92,1,0,100
2006-12-27 12:30:00,1167222600,0.89,0.89,0.89,0.89,1,0,600
2007-01-02 17:45:00,1167759900,0.93,0.93,0.93,0.93,1,0,100
2007-01-03 17:00:00,1167843600,0.93,0.93,0.93,0.93,1,0,200
2007-01-04 11:45:00,1167911100,0.93,0.93,0.93,0.93,1,0,2000
2007-01-08 15:30:00,1168270200,0.89,0.89,0.89,0.89,1,0,700
2007-01-15 11:00:00,1168858800,1.0,1.0,1.0,1.0,1,0,100
2007-01-16 11:45:00,1168947900,1.07,1.07,1.07,1.07,1,0,100
2007-01-17 17:15:00,1169054100,1.02,1.02,1.02,1.02,1,0,4100
2007-01-18 17:45:00,1169142300,1.02,1.02,1.02,1.02,1,0,1000
2007-01-19 12:00:00,1169208000,0.94,0.94,0.94,0.94,1,0,200
2007-01-22 15:30:00,1169479800,0.94,0.94,0.94,0.94,1,0,600
2007-01-22 15:45:00,1169480700,0.93,0.93,0.92,0.92,2,0,400
2007-01-26 16:15:00,1169828100,0.93,0.93,0.93,0.93,1,0,100
2007-01-30 13:45:00,1170164700,1.0,1.0,1.0,1.0,1,0,200
2007-01-30 14:00:00,1170165600,1.0,1.0,1.0,1.0,1,0,1900
2007-01-31 17:00:00,1170262800,1.0,1.0,1.0,1.0,1,0,100
2007-02-01 11:45:00,1170330300,1.02,1.02,1.02,1.02,1,0,1000
2007-02-01 13:00:00,1170334800,1.01,1.02,1.01,1.02,2,0,300
2007-02-01 14:00:00,1170338400,1.02,1.02,1.02,1.02,1,0,100
2007-02-06 11:00:00,1170759600,1.02,1.02,1.02,1.02,2,0,500
2007-02-07 14:00:00,1170856800,1.0,1.02,1.0,1.02,2,0,300
2007-02-13 15:30:00,1171380600,1.01,1.01,1.01,1.01,1,0,100
2007-02-14 17:15:00,1171473300,1.01,1.01,1.01,1.01,1,0,5000
2007-02-15 11:00:00,1171537200,1.01,1.01,1.01,1.01,1,0,100
2007-02-15 15:00:00,1171551600,1.01,1.01,1.01,1.01,2,0,10000
2007-02-15 16:00:00,1171555200,1.01,1.01,1.01,1.01,2,0,10000
2007-02-15 17:15:00,1171559700,0.98,0.98,0.98,0.98,1,0,100
2007-02-15 17:30:00,1171560600,1.01,1.01,1.01,1.01,1,0,100
2007-02-16 11:30:00,1171625400,1.01,1.01,1.01,1.01,1,0,100
2007-02-16 13:45:00,1171633500,1.01,1.01,1.01,1.01,1,0,2000
2007-02-22 14:00:00,1172152800,1.01,1.01,1.01,1.01,1,0,100
2007-02-22 15:00:00,1172156400,1.02,1.02,1.02,1.02,1,0,200
2007-02-26 16:30:00,1172507400,1.02,1.02,1.02,1.02,2,0,400
2007-02-27 12:30:00,1172579400,1.04,1.04,1.04,1.04,1,0,400
2007-02-27 15:45:00,1172591100,0.98,0.98,0.98,0.98,1,0,100
2007-02-27 16:00:00,1172592000,0.98,0.98,0.98,0.98,1,0,100
2007-02-28 11:15:00,1172661300,1.07,1.07,1.07,1.07,1,0,100
2007-02-28 14:15:00,1172672100,1.05,1.05,1.05,1.05,1,0,100
2007-03-01 12:00:00,1172750400,1.05,1.05,1.05,1.05,1,0,100
2007-03-06 17:30:00,1173202200,1.03,1.03,1.03,1.03,2,0,5000
2007-03-06 17:45:00,1173203100,1.03,1.03,1.03,1.03,2,0,200
2007-03-07 11:45:00,1173267900,1.06,1.06,1.06,1.06,1,0,200
2007-03-07 14:45:00,1173278700,1.03,1.03,1.03,1.03,1,0,2400
2007-03-07 15:00:00,1173279600,1.03,1.03,1.03,1.03,1,0,100
2007-03-07 16:00:00,1173283200,1.02,1.02,1.0,1.0,2,0,2500
2007-03-08 13:00:00,1173358800,1.02,1.02,1.02,1.02,1,0,100
2007-03-08 15:15:00,1173366900,1.02,1.02,1.02,1.02,1,0,2900
2007-03-08 16:00:00,1173369600,1.01,1.01,1.01,1.01,1,0,3000
2007-03-08 18:45:00,1173379500,1.01,1.01,1.01,1.01,1,0,100
2007-03-09 11:00:00,1173438000,1.01,1.01,1.01,1.01,1,0,100
2007-03-09 11:45:00,1173440700,1.01,1.01,1.01,1.01,1,0,5000
2007-03-09 13:15:00,1173446100,1.01,1.01,1.01,1.01,2,0,600
2007-03-09 14:45:00,1173451500,1.01,1.01,1.01,1.01,4,0,33500
2007-03-09 15:00:00,1173452400,1.01,1.01,1.01,1.01,1,0,14000
2007-03-09 16:45:00,1173458700,1.01,1.01,0.98,0.98,2,0,400
2007-03-12 12:15:00,1173701700,1.01,1.01,1.01,1.01,1,0,5000
2007-03-12 13:00:00,1173704400,0.98,0.98,0.98,0.98,2,0,700
2007-03-12 13:45:00,1173707100,1.01,1.01,1.01,1.01,1,0,100
2007-03-13 15:00:00,1173798000,0.98,0.98,0.98,0.98,1,0,200
2007-03-13 15:15:00,1173798900,0.98,0.98,0.98,0.98,1,0,4800
2007-03-13 16:45:00,1173804300,0.98,0.98,0.98,0.98,1,0,200
2007-03-14 16:30:00,1173889800,1.01,1.01,1.01,1.01,1,0,100
2007-03-15 10:00:00,1173952800,1.03,1.03,1.03,1.03,1,0,100
2007-03-15 10:15:00,1173953700,1.03,1.03,1.03,1.03,1,0,4100
2007-03-15 10:45:00,1173955500,1.02,1.02,1.02,1.02,1,0,1000
2007-03-15 15:00:00,1173970800,1.02,1.02,1.02,1.02,1,0,100
2007-03-20 13:30:00,1174397400,0.97,0.97,0.97,0.97,1,0,200
2007-03-20 13:45:00,1174398300,0.97,0.98,0.97,0.98,2,0,400
2007-03-20 16:15:00,1174407300,0.94,0.94,0.94,0.94,1,0,300
2007-03-20 16:45:00,1174409100,1.01,1.01,1.01,1.01,1,0,1000
2007-03-21 11:15:00,1174475700,0.94,0.94,0.94,0.94,4,0,45000
2007-03-21 13:15:00,1174482900,1.0,1.0,1.0,1.0,1,0,100
2007-03-21 14:30:00,1174487400,1.0,1.0,1.0,1.0,1,0,4000
2007-03-21 15:30:00,1174491000,0.97,0.97,0.97,0.97,1,0,900
2007-03-21 16:00:00,1174492800,0.98,0.98,0.98,0.98,1,0,100
2007-03-21 16:45:00,1174495500,0.98,0.98,0.98,0.98,1,0,9900
2007-03-22 10:15:00,1174558500,0.98,0.98,0.98,0.98,1,0,1000
2007-03-22 10:30:00,1174559400,1.04,1.04,1.04,1.04,1,0,100
2007-03-22 12:15:00,1174565700,1.01,1.01,1.01,1.01,1,0,300
2007-03-22 13:00:00,1174568400,1.01,1.01,1.01,1.01,1,0,100
2007-03-22 14:15:00,1174572900,1.01,1.01,1.01,1.01,1,0,10600
2007-03-22 14:30:00,1174573800,1.01,1.01,1.01,1.01,1,0,100
2007-03-22 15:00:00,1174575600,1.01,1.01,1.01,1.01,1,0,4400
2007-03-23 13:15:00,1174655700,1.01,1.01,1.01,1.01,1,0,100
2007-03-26 11:15:00,1174907700,1.0,1.0,1.0,1.0,1,0,3000
2007-03-26 15:15:00,1174922100,1.0,1.0,1.0,1.0,1,0,500
2007-03-26 16:30:00,1174926600,1.01,1.01,1.01,1.01,2,0,3000
2007-03-26 16:45:00,1174927500,1.01,1.01,1.01,1.01,1,0,5000
2007-03-27 15:30:00,1175009400,0.98,0.98,0.98,0.98,1,0,2300
2007-03-28 10:00:00,1175076000,1.0,1.0,1.0,1.0,1,0,100
2007-03-28 16:30:00,1175099400,1.0,1.0,1.0,1.0,1,0,100
2007-03-29 12:30:00,1175171400,1.07,1.07,1.07,1.07,1,0,100
2007-03-29 18:45:00,1175193900,1.07,1.07,1.07,1.07,1,0,400
2007-04-02 10:00:00,1175508000,1.06,1.06,1.06,1.06,1,0,300
2007-04-02 13:30:00,1175520600,1.04,1.04,1.04,1.04,1,0,300
2007-04-02 15:15:00,1175526900,1.04,1.04,1.04,1.04,1,0,400
2007-04-03 15:45:00,1175615100,1.0,1.0,1.0,1.0,2,0,1000
2007-04-03 16:15:00,1175616900,0.98,0.98,0.98,0.98,1,0,4800
2007-04-04 13:15:00,1175692500,0.98,0.98,0.98,0.98,2,0,400
2007-04-05 12:15:00,1175775300,0.98,0.98,0.98,0.98,1,0,3000
2007-04-05 16:00:00,1175788800,0.98,1.07,0.98,1.07,2,0,2200
2007-04-09 12:30:00,1176121800,1.05,1.05,1.05,1.05,1,0,100
2007-04-09 16:30:00,1176136200,1.03,1.03,1.03,1.03,2,0,6000
2007-04-10 10:15:00,1176200100,1.03,1.03,1.03,1.03,1,0,200
2007-04-10 15:15:00,1176218100,0.98,0.98,0.98,0.98,1,0,300
2007-04-10 16:30:00,1176222600,0.99,0.99,0.99,0.99,2,0,500
2007-04-11 15:15:00,1176304500,1.04,1.04,1.04,1.04,1,0,100
2007-04-11 16:00:00,1176307200,0.98,0.98,0.98,0.98,1,0,500
2007-04-11 16:45:00,1176309900,1.04,1.04,1.04,1.04,1,0,400
2007-04-12 13:15:00,1176383700,0.97,0.97,0.96,0.96,2,0,600
2007-04-13 10:15:00,1176459300,0.99,0.99,0.99,0.99,1,0,100
2007-04-13 11:15:00,1176462900,0.99,0.99,0.99,0.99,3,0,10000
2007-04-16 16:30:00,1176741000,1.01,1.01,1.01,1.01,1,0,100
2007-04-17 16:30:00,1176827400,0.95,0.95,0.95,0.95,2,0,1000
2007-04-17 16:45:00,1176828300,1.01,1.01,1.01,1.01,1,0,1000
2007-04-18 16:00:00,1176912000,1.0,1.0,1.0,1.0,1,0,100
2007-04-19 16:30:00,1177000200,1.05,1.05,1.05,1.05,1,0,100
2007-04-24 16:30:00,1177432200,1.06,1.07,1.06,1.07,2,0,2500
2007-04-24 16:45:00,1177433100,1.07,1.07,1.07,1.07,1,0,500
2007-04-25 10:00:00,1177495200,1.07,1.07,1.07,1.07,1,0,100
2007-04-25 10:30:00,1177497000,1.07,1.07,1.07,1.07,1,0,400
2007-04-26 10:30:00,1177583400,1.01,1.01,1.01,1.01,1,0,6500
2007-04-26 11:45:00,1177587900,1.01,1.01,1.01,1.01,1,0,3000
2007-04-26 12:30:00,1177590600,1.04,1.04,1.04,1.04,1,0,6500
2007-04-27 12:45:00,1177677900,1.02,1.02,1.02,1.02,1,0,100
2007-04-27 13:00:00,1177678800,1.02,1.02,1.02,1.02,1,0,400
2007-04-27 14:00:00,1177682400,1.02,1.02,1.02,1.02,1,0,400
2007-04-27 15:45:00,1177688700,1.06,1.06,1.06,1.06,1,0,1000
2007-04-30 13:00:00,1177938000,1.06,1.06,1.06,1.06,1,0,100
2007-04-30 16:00:00,1177948800,1.06,1.06,1.06,1.06,1,0,200
2007-05-03 11:00:00,1178190000,1.05,1.05,1.05,1.05,1,0,300
2007-05-09 16:30:00,1178728200,1.05,1.05,0.96,0.96,6,0,5800
2007-05-09 16:45:00,1178729100,0.93,0.93,0.93,0.93,3,0,2400
2007-05-10 16:30:00,1178814600,1.03,1.03,1.03,1.03,1,0,100
2007-05-14 15:00:00,1179154800,1.02,1.02,1.02,1.02,2,0,200
2007-05-14 18:45:00,1179168300,1.02,1.02,1.02,1.02,1,0,100
2007-05-16 15:30:00,1179329400,1.04,1.04,1.04,1.04,1,0,10000
2007-05-16 16:00:00,1179331200,1.04,1.04,1.04,1.04,1,0,5000
2007-05-17 11:15:00,1179400500,1.04,1.04,1.04,1.04,1,0,2000
2007-05-17 11:45:00,1179402300,1.04,1.04,1.04,1.04,1,0,1000
2007-05-17 15:15:00,1179414900,1.04,1.04,1.04,1.04,1,0,2000
2007-05-18 11:45:00,1179488700,1.05,1.05,1.05,1.05,1,0,1000
2007-05-21 11:15:00,1179746100,1.06,1.06,1.06,1.06,1,0,100
