datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-12-11 11:15:00,1165835700,24.0,24.5,24.0,24.01,2146,0,45944
2006-12-11 11:30:00,1165836600,24.0,24.0,23.68,23.94,548,0,12599
2006-12-11 11:45:00,1165837500,23.94,23.96,23.72,23.74,337,0,8929
2006-12-11 12:00:00,1165838400,23.74,23.79,23.5,23.57,313,0,8278
2006-12-11 12:15:00,1165839300,23.6,23.65,23.5,23.53,137,0,3977
2006-12-11 12:30:00,1165840200,23.51,23.56,23.5,23.54,68,0,1439
2006-12-11 12:45:00,1165841100,23.53,23.56,23.5,23.54,68,0,1921
2006-12-11 13:00:00,1165842000,23.53,23.56,23.51,23.51,48,0,1423
2006-12-11 13:15:00,1165842900,23.52,23.54,23.5,23.51,46,0,1281
2006-12-11 13:30:00,1165843800,23.52,23.54,23.51,23.51,36,0,809
2006-12-11 13:45:00,1165844700,23.52,23.55,23.51,23.53,50,0,1049
2006-12-11 14:00:00,1165845600,23.53,23.56,23.53,23.53,39,0,855
2006-12-11 14:15:00,1165846500,23.53,23.55,23.21,23.51,133,0,3841
2006-12-11 14:30:00,1165847400,23.52,23.54,23.42,23.42,85,0,2318
2006-12-11 14:45:00,1165848300,23.5,23.5,23.38,23.42,103,0,2444
2006-12-11 15:00:00,1165849200,23.42,23.42,23.3,23.35,162,0,3742
2006-12-11 15:15:00,1165850100,23.31,23.36,23.22,23.31,110,0,2397
2006-12-11 15:30:00,1165851000,23.31,23.31,23.22,23.24,97,0,2452
2006-12-11 15:45:00,1165851900,23.24,23.3,23.24,23.27,66,0,1324
2006-12-11 16:00:00,1165852800,23.3,23.5,23.28,23.49,93,0,2054
2006-12-11 16:15:00,1165853700,23.47,23.54,23.41,23.5,153,0,3888
2006-12-11 16:30:00,1165854600,23.5,23.51,23.4,23.51,89,0,2484
2006-12-11 16:45:00,1165855500,23.49,23.57,23.48,23.52,89,0,1967
2006-12-11 17:00:00,1165856400,23.53,23.55,23.38,23.4,96,0,2077
2006-12-11 17:15:00,1165857300,23.4,23.47,23.4,23.45,104,0,2417
2006-12-11 17:30:00,1165858200,23.45,23.48,23.4,23.45,106,0,2297
2006-12-11 17:45:00,1165859100,23.45,23.48,23.15,23.15,278,0,6111
2006-12-11 18:45:00,1165862700,23.15,23.15,23.02,23.02,45,0,797
2006-12-11 19:00:00,1165863600,23.02,23.1,23.01,23.05,22,0,482
2006-12-11 19:15:00,1165864500,23.05,23.1,23.01,23.01,19,0,388
2006-12-12 11:00:00,1165921200,23.15,23.2,23.0,23.0,73,0,1275
2006-12-12 11:15:00,1165922100,22.95,23.0,22.76,22.9,70,0,1599
2006-12-12 11:30:00,1165923000,22.82,22.97,22.82,22.9,35,0,609
2006-12-12 11:45:00,1165923900,22.92,22.95,22.87,22.91,31,0,548
2006-12-12 12:00:00,1165924800,22.93,22.95,22.88,22.89,43,0,824
2006-12-12 12:15:00,1165925700,22.88,22.91,22.87,22.9,25,0,530
2006-12-12 12:30:00,1165926600,22.9,23.01,22.9,23.0,69,0,1226
2006-12-12 12:45:00,1165927500,22.99,23.05,22.98,23.05,10,0,223
2006-12-12 13:00:00,1165928400,23.0,23.1,23.0,23.07,23,0,561
2006-12-12 13:15:00,1165929300,23.09,23.3,23.08,23.2,33,0,611
2006-12-12 13:30:00,1165930200,23.19,23.35,23.19,23.35,11,0,275
2006-12-12 13:45:00,1165931100,23.28,23.28,23.2,23.2,11,0,350
2006-12-12 14:00:00,1165932000,23.2,23.3,23.15,23.15,14,0,236
2006-12-12 14:15:00,1165932900,23.2,23.2,23.11,23.2,6,0,66
2006-12-12 14:30:00,1165933800,23.19,23.3,23.05,23.3,24,0,458
2006-12-12 14:45:00,1165934700,23.22,23.35,23.22,23.22,30,0,554
2006-12-12 15:00:00,1165935600,23.25,23.25,23.08,23.19,13,0,415
2006-12-12 15:15:00,1165936500,23.11,23.15,23.08,23.14,9,0,207
2006-12-12 15:30:00,1165937400,23.11,23.11,23.08,23.08,7,0,167
2006-12-12 15:45:00,1165938300,23.09,23.1,23.08,23.1,15,0,300
2006-12-12 16:00:00,1165939200,23.15,23.18,23.1,23.13,21,0,433
2006-12-12 16:15:00,1165940100,23.19,23.19,23.12,23.14,12,0,300
2006-12-12 16:30:00,1165941000,23.14,23.15,23.14,23.14,12,0,240
2006-12-12 16:45:00,1165941900,23.14,23.2,23.05,23.07,49,0,992
2006-12-12 17:00:00,1165942800,23.15,23.21,23.13,23.15,31,0,691
2006-12-12 17:15:00,1165943700,23.2,23.2,23.13,23.16,5,0,160
2006-12-12 17:30:00,1165944600,23.14,23.2,23.08,23.12,27,0,497
2006-12-12 17:45:00,1165945500,23.1,23.23,23.08,23.23,30,0,612
2006-12-12 18:45:00,1165949100,23.25,23.25,23.23,23.23,10,0,158
2006-12-12 19:00:00,1165950000,23.24,23.24,23.24,23.24,2,0,40
