datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-02-08 10:15:00,1612779300,18.2,18.2,16.02,16.45,1961,0,39975
2021-02-08 10:30:00,1612780200,16.45,16.8,16.2,16.27,561,1,8444
2021-02-08 10:45:00,1612781100,16.45,16.67,16.3,16.46,292,1,6516
2021-02-08 11:00:00,1612782000,16.46,16.79,16.46,16.55,254,1,5084
2021-02-08 11:15:00,1612782900,16.53,16.72,16.47,16.59,167,1,3222
2021-02-08 11:30:00,1612783800,16.59,16.66,16.56,16.62,110,1,2203
2021-02-08 11:45:00,1612784700,16.64,16.9,16.6,16.9,176,1,2841
2021-02-08 12:00:00,1612785600,16.9,17.15,16.82,16.88,227,1,5209
2021-02-08 12:15:00,1612786500,16.94,16.94,16.62,16.68,155,1,3218
2021-02-08 12:30:00,1612787400,16.67,16.77,16.66,16.67,65,1,1137
2021-02-08 12:45:00,1612788300,16.68,16.7,16.54,16.59,158,1,2687
2021-02-08 13:00:00,1612789200,16.59,16.6,16.53,16.56,90,1,1458
2021-02-08 13:15:00,1612790100,16.56,16.57,16.45,16.55,140,1,2196
2021-02-08 13:30:00,1612791000,16.55,16.56,16.5,16.52,82,1,1194
2021-02-08 13:45:00,1612791900,16.52,16.56,16.48,16.48,102,1,1327
2021-02-08 14:00:00,1612792800,16.51,16.58,16.4,16.45,105,1,1796
2021-02-08 14:15:00,1612793700,16.45,16.58,16.41,16.57,56,1,968
2021-02-08 14:30:00,1612794600,16.52,16.58,16.45,16.54,59,1,1078
2021-02-08 14:45:00,1612795500,16.55,16.55,16.47,16.49,55,1,862
2021-02-08 15:00:00,1612796400,16.5,16.5,16.37,16.4,179,1,2849
2021-02-08 15:15:00,1612797300,16.41,16.43,16.28,16.3,133,1,2208
2021-02-08 15:30:00,1612798200,16.28,16.42,16.28,16.36,60,1,901
2021-02-08 15:45:00,1612799100,16.35,16.35,16.21,16.23,114,1,1763
2021-02-08 16:00:00,1612800000,16.23,16.3,16.1,16.23,158,1,3093
2021-02-08 16:15:00,1612800900,16.23,16.3,16.16,16.26,59,1,1159
2021-02-08 16:30:00,1612801800,16.26,16.28,16.19,16.25,111,1,1773
2021-02-08 16:45:00,1612802700,16.25,16.25,15.96,16.1,299,1,5130
2021-02-08 17:00:00,1612803600,16.1,16.1,15.58,15.58,235,1,4151
2021-02-08 17:15:00,1612804500,15.63,15.85,15.56,15.58,156,1,3377
2021-02-08 17:30:00,1612805400,15.58,15.81,15.47,15.75,262,1,4184
2021-02-08 17:45:00,1612806300,15.74,15.8,15.6,15.74,112,1,2019
2021-02-08 18:00:00,1612807200,15.44,15.44,15.44,15.44,89,0,1469
2021-02-09 10:00:00,1612864800,15.65,15.67,15.01,15.57,219,0,4193
2021-02-09 10:15:00,1612865700,15.58,15.82,15.47,15.47,239,1,3954
2021-02-09 10:30:00,1612866600,15.47,15.5,15.0,15.07,159,1,3451
2021-02-09 10:45:00,1612867500,15.07,15.25,15.04,15.25,90,1,1996
2021-02-09 11:00:00,1612868400,15.25,15.6,15.25,15.6,60,1,1603
2021-02-09 11:15:00,1612869300,15.51,15.76,15.48,15.6,53,1,1462
2021-02-09 11:30:00,1612870200,15.59,15.68,15.56,15.61,58,1,1450
2021-02-09 11:45:00,1612871100,15.56,15.69,15.55,15.69,32,1,749
2021-02-09 12:00:00,1612872000,15.67,15.88,15.6,15.78,65,1,1692
2021-02-09 12:15:00,1612872900,15.84,15.91,15.78,15.85,59,1,913
2021-02-09 12:30:00,1612873800,15.85,15.92,15.8,15.89,38,1,524
2021-02-09 12:45:00,1612874700,15.92,15.96,15.8,15.86,41,1,844
2021-02-09 13:00:00,1612875600,15.89,15.96,15.87,15.93,47,1,648
2021-02-09 13:15:00,1612876500,15.92,15.93,15.81,15.89,29,1,743
2021-02-09 13:30:00,1612877400,15.89,15.99,15.88,15.88,35,1,663
2021-02-09 13:45:00,1612878300,15.87,15.91,15.61,15.71,55,1,1007
2021-02-09 14:00:00,1612879200,15.71,15.71,15.65,15.68,8,1,175
2021-02-09 14:15:00,1612880100,15.7,15.78,15.69,15.7,16,1,230
2021-02-09 14:30:00,1612881000,15.7,15.81,15.7,15.79,14,1,338
2021-02-09 14:45:00,1612881900,15.77,15.84,15.75,15.8,22,1,473
2021-02-09 15:00:00,1612882800,15.8,15.82,15.65,15.65,33,1,472
2021-02-09 15:15:00,1612883700,15.75,15.75,15.66,15.7,11,1,177
2021-02-09 15:30:00,1612884600,15.7,15.7,15.58,15.58,26,1,250
2021-02-09 15:45:00,1612885500,15.64,15.65,15.54,15.55,18,1,206
2021-02-09 16:00:00,1612886400,15.58,15.62,15.54,15.57,22,1,366
2021-02-09 16:15:00,1612887300,15.61,15.65,15.57,15.62,20,1,332
2021-02-09 16:30:00,1612888200,15.66,15.67,15.61,15.67,13,1,161
2021-02-09 16:45:00,1612889100,15.66,15.7,15.61,15.67,17,1,427
2021-02-09 17:00:00,1612890000,15.66,15.66,15.55,15.6,24,1,349
2021-02-09 17:15:00,1612890900,15.6,15.66,15.57,15.57,11,1,232
2021-02-09 17:30:00,1612891800,15.57,15.68,15.56,15.66,19,1,268
2021-02-09 17:45:00,1612892700,15.61,15.68,15.57,15.68,17,1,495
2021-02-09 18:00:00,1612893600,15.68,15.68,15.68,15.68,2,0,2
2021-02-10 10:00:00,1612951200,15.58,15.64,15.5,15.5,59,0,1060
2021-02-10 10:15:00,1612952100,15.5,15.73,15.41,15.6,56,1,1115
2021-02-10 10:30:00,1612953000,15.6,15.78,15.53,15.7,42,1,641
2021-02-10 10:45:00,1612953900,15.61,15.69,15.57,15.69,25,1,408
2021-02-10 11:00:00,1612954800,15.69,15.79,15.53,15.77,50,1,1496
2021-02-10 11:15:00,1612955700,15.72,15.75,15.69,15.7,60,1,726
2021-02-10 11:30:00,1612956600,15.69,15.7,15.6,15.6,23,1,359
2021-02-10 11:45:00,1612957500,15.6,15.7,15.54,15.54,23,1,645
2021-02-10 12:00:00,1612958400,15.61,15.66,15.54,15.66,13,2,214
2021-02-10 12:15:00,1612959300,15.63,15.67,15.57,15.67,15,1,179
2021-02-10 12:30:00,1612960200,15.65,15.67,15.55,15.56,16,1,392
2021-02-10 12:45:00,1612961100,15.56,15.62,15.52,15.56,27,1,706
2021-02-10 13:00:00,1612962000,15.56,15.63,15.56,15.6,16,1,471
2021-02-10 13:15:00,1612962900,15.58,15.6,15.54,15.59,12,1,207
2021-02-10 13:30:00,1612963800,15.58,15.65,15.56,15.65,16,1,329
2021-02-10 13:45:00,1612964700,15.65,15.65,15.57,15.58,8,1,74
2021-02-10 14:00:00,1612965600,15.64,15.64,15.58,15.59,4,2,116
2021-02-10 14:15:00,1612966500,15.62,15.62,15.57,15.57,8,1,60
2021-02-10 14:30:00,1612967400,15.58,15.62,15.56,15.56,9,1,89
2021-02-10 14:45:00,1612968300,15.56,15.66,15.56,15.66,9,1,176
2021-02-10 15:00:00,1612969200,15.65,15.65,15.63,15.63,5,1,86
2021-02-10 15:15:00,1612970100,15.6,15.6,15.59,15.6,10,1,183
2021-02-10 15:30:00,1612971000,15.6,15.6,15.59,15.6,5,1,100
2021-02-10 15:45:00,1612971900,15.6,15.62,15.58,15.62,11,1,290
2021-02-10 16:00:00,1612972800,15.59,15.65,15.59,15.6,11,1,162
2021-02-10 16:15:00,1612973700,15.59,15.59,15.59,15.59,6,1,93
2021-02-10 16:30:00,1612974600,15.6,15.6,15.55,15.6,18,1,210
2021-02-10 16:45:00,1612975500,15.6,15.8,15.59,15.76,25,1,472
2021-02-10 17:00:00,1612976400,15.7,15.71,15.61,15.71,10,1,175
2021-02-10 17:15:00,1612977300,15.7,15.73,15.66,15.67,11,1,195
2021-02-10 17:30:00,1612978200,15.66,15.72,15.61,15.72,14,1,372
2021-02-10 17:45:00,1612979100,15.65,15.72,15.6,15.69,18,1,245
2021-02-10 18:00:00,1612980000,15.69,15.69,15.69,15.69,12,9,232
2021-02-11 10:00:00,1613037600,15.56,15.78,15.51,15.65,27,1,464
2021-02-11 10:15:00,1613038500,15.62,15.67,15.59,15.67,18,1,506
2021-02-11 10:30:00,1613039400,15.66,15.67,15.55,15.55,23,1,759
2021-02-11 10:45:00,1613040300,15.57,15.57,15.55,15.55,12,1,260
2021-02-11 11:00:00,1613041200,15.54,15.55,15.52,15.54,14,1,330
2021-02-11 11:15:00,1613042100,15.57,15.57,15.54,15.57,9,1,137
2021-02-11 11:30:00,1613043000,15.56,15.57,15.37,15.44,59,1,788
2021-02-11 11:45:00,1613043900,15.5,15.5,15.34,15.34,96,1,1218
2021-02-11 12:00:00,1613044800,15.33,15.33,15.21,15.29,40,1,845
2021-02-11 12:15:00,1613045700,15.29,15.35,15.22,15.34,31,1,733
2021-02-11 12:30:00,1613046600,15.33,15.4,15.29,15.4,18,1,279
2021-02-11 12:45:00,1613047500,15.39,15.42,15.31,15.33,18,1,186
2021-02-11 13:00:00,1613048400,15.33,15.33,15.26,15.26,18,1,276
2021-02-11 13:15:00,1613049300,15.31,15.54,15.3,15.54,17,1,267
2021-02-11 13:30:00,1613050200,15.41,15.46,15.34,15.46,12,2,246
2021-02-11 13:45:00,1613051100,15.49,15.58,15.45,15.45,17,1,297
2021-02-11 14:00:00,1613052000,15.55,15.72,15.55,15.58,25,1,679
2021-02-11 14:15:00,1613052900,15.55,15.72,15.55,15.66,7,1,121
2021-02-11 14:30:00,1613053800,15.63,15.76,15.63,15.64,19,1,592
2021-02-11 14:45:00,1613054700,15.7,15.75,15.7,15.74,11,1,170
2021-02-11 15:00:00,1613055600,15.74,15.74,15.57,15.57,11,1,272
2021-02-11 15:15:00,1613056500,15.59,15.66,15.59,15.61,11,1,396
2021-02-11 15:30:00,1613057400,15.61,15.69,15.61,15.69,5,1,80
2021-02-11 15:45:00,1613058300,15.66,15.75,15.66,15.72,11,1,370
2021-02-11 16:00:00,1613059200,15.72,15.72,15.72,15.72,8,2,301
2021-02-11 16:15:00,1613060100,15.7,15.75,15.69,15.73,10,1,250
2021-02-11 16:30:00,1613061000,15.75,15.75,15.73,15.75,5,2,57
2021-02-11 16:45:00,1613061900,15.75,15.76,15.74,15.74,7,1,141
2021-02-11 17:00:00,1613062800,15.74,15.77,15.74,15.77,14,1,211
