datetime,time,open,high,low,close,tick_volume,spread,real_volume
2015-06-26 13:15:00,1435324500,4.2,4.2,4.2,4.2,1,1,40
2015-06-26 13:30:00,1435325400,4.23,4.23,4.23,4.23,1,1,60
2015-06-26 13:45:00,1435326300,4.3,4.3,4.3,4.3,1,1,40
2015-06-26 14:45:00,1435329900,4.21,4.21,4.21,4.21,1,1,60
2015-06-26 16:00:00,1435334400,4.26,4.26,4.26,4.26,1,1,2
2015-06-26 17:00:00,1435338000,4.3,4.3,4.3,4.3,1,0,8
2015-06-30 10:45:00,1435661100,4.3,4.3,4.28,4.28,2,1,35
2015-06-30 12:30:00,1435667400,4.36,4.36,4.3,4.3,3,1,30
2015-06-30 12:45:00,1435668300,4.36,4.36,4.36,4.36,1,1,10
2015-06-30 13:00:00,1435669200,4.36,4.36,4.36,4.36,1,1,10
2015-06-30 16:00:00,1435680000,4.21,4.21,4.21,4.21,1,1,27
2015-06-30 16:45:00,1435682700,4.24,4.24,4.11,4.11,11,1,100
2015-06-30 17:00:00,1435683600,4.35,4.35,4.35,4.35,1,0,10
2015-07-01 10:00:00,1435744800,4.1,4.1,4.0,4.0,2,1,10
2015-07-01 16:00:00,1435766400,4.1,4.1,4.1,4.1,2,1,29
2015-07-01 16:30:00,1435768200,4.02,4.02,4.0,4.0,3,1,89
2015-07-01 17:00:00,1435770000,3.81,3.81,3.81,3.81,3,0,36
2015-07-02 11:45:00,1435837500,4.5,4.5,4.15,4.15,6,1,60
2015-07-02 16:00:00,1435852800,4.2,4.2,4.2,4.2,1,1,10
2015-07-02 16:15:00,1435853700,4.2,4.2,4.2,4.2,1,1,59
2015-07-03 10:00:00,1435917600,4.33,4.33,4.33,4.33,1,1,10
2015-07-03 10:15:00,1435918500,4.33,4.33,4.33,4.33,1,1,80
2015-07-03 11:00:00,1435921200,4.38,4.38,4.35,4.35,2,1,90
2015-07-06 10:15:00,1436177700,4.15,4.15,4.15,4.15,1,1,30
2015-07-06 11:45:00,1436183100,4.25,4.25,4.25,4.25,1,1,10
2015-07-06 12:30:00,1436185800,4.2,4.2,4.2,4.2,1,1,10
2015-07-06 14:30:00,1436193000,4.15,4.15,4.15,4.15,1,1,10
2015-07-07 13:15:00,1436274900,4.12,4.12,4.12,4.12,1,1,10
2015-07-07 13:30:00,1436275800,4.11,4.11,4.11,4.11,1,1,7
2015-07-07 14:30:00,1436279400,4.2,4.2,4.2,4.2,1,1,70
2015-07-07 15:00:00,1436281200,4.18,4.18,4.15,4.15,2,1,80
2015-07-07 15:45:00,1436283900,4.1,4.1,4.1,4.1,1,1,40
2015-07-07 16:30:00,1436286600,4.08,4.08,4.06,4.06,2,1,40
2015-07-08 10:00:00,1436349600,4.05,4.05,4.05,4.05,1,1,10
2015-07-08 14:45:00,1436366700,4.1,4.1,4.09,4.09,2,1,20
2015-07-08 16:15:00,1436372100,4.09,4.09,4.06,4.06,2,1,25
2015-07-08 17:00:00,1436374800,3.65,3.65,3.65,3.65,4,0,84
2015-07-10 10:00:00,1436522400,4.0,4.0,4.0,4.0,3,1,60
