datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-02-17 10:00:00,1581933600,13.99,13.99,12.91,13.53,692,0,17129
2020-02-17 11:00:00,1581937200,13.64,13.95,13.43,13.79,518,1,11871
2020-02-17 12:00:00,1581940800,13.74,13.77,13.6,13.71,282,1,5975
2020-02-17 13:00:00,1581944400,13.71,13.95,13.69,13.89,260,1,5696
2020-02-17 14:00:00,1581948000,13.92,13.93,13.82,13.82,258,1,5441
2020-02-17 15:00:00,1581951600,13.8,13.89,13.06,13.09,403,1,8051
2020-02-17 16:00:00,1581955200,13.26,13.38,13.2,13.3,177,1,3553
2020-02-17 17:00:00,1581958800,13.3,13.59,13.3,13.5,139,1,3599
2020-02-17 18:00:00,1581962400,13.42,13.42,13.42,13.42,30,0,646
2020-02-18 10:00:00,1582020000,14.32,17.0,13.61,16.81,1672,0,32828
2020-02-18 11:00:00,1582023600,16.8,16.8,15.37,15.49,1134,1,22664
2020-02-18 12:00:00,1582027200,15.46,15.9,15.36,15.8,409,1,8139
2020-02-18 13:00:00,1582030800,15.79,15.8,15.72,15.79,275,1,5466
2020-02-18 14:00:00,1582034400,15.79,15.79,15.1,15.16,324,1,6115
2020-02-18 15:00:00,1582038000,15.17,15.19,14.41,15.03,409,1,8411
2020-02-18 16:00:00,1582041600,15.12,15.12,14.68,15.02,273,1,6577
2020-02-18 17:00:00,1582045200,15.08,15.29,14.85,14.95,229,1,4765
2020-02-18 18:00:00,1582048800,14.87,14.87,14.87,14.87,31,0,812
2020-02-19 10:00:00,1582106400,15.2,15.74,14.87,14.95,742,0,17616
2020-02-19 11:00:00,1582110000,14.95,15.0,14.93,14.95,211,1,3943
2020-02-19 12:00:00,1582113600,14.95,15.0,14.5,14.65,286,1,5193
2020-02-19 13:00:00,1582117200,14.68,14.7,14.11,14.38,305,1,6556
2020-02-19 14:00:00,1582120800,14.34,14.5,14.01,14.05,227,1,4485
2020-02-19 15:00:00,1582124400,14.06,14.4,13.89,14.25,378,1,7652
2020-02-19 16:00:00,1582128000,14.24,14.24,14.01,14.12,265,1,5488
2020-02-19 17:00:00,1582131600,14.15,14.18,13.95,14.05,290,1,6063
2020-02-19 18:00:00,1582135200,13.99,13.99,13.99,13.99,32,0,623
2020-02-20 10:00:00,1582192800,14.2,14.38,14.0,14.11,223,1,5564
2020-02-20 11:00:00,1582196400,14.14,14.21,14.1,14.14,92,1,1776
2020-02-20 12:00:00,1582200000,14.17,14.2,14.09,14.19,105,1,2350
2020-02-20 13:00:00,1582203600,14.17,14.25,14.17,14.23,78,1,1434
2020-02-20 14:00:00,1582207200,14.23,14.25,14.09,14.22,79,1,1822
