datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18 13:15:00,1145366100,12.73,12.73,12.73,12.73,1,0,837
2006-04-18 13:30:00,1145367000,12.73,12.73,12.73,12.73,4,0,2700
2006-04-18 14:15:00,1145369700,12.1,12.1,12.1,12.1,1,0,1512
2006-04-18 15:00:00,1145372400,12.7,12.7,12.7,12.7,2,0,1512
2006-04-18 16:15:00,1145376900,13.04,13.05,13.04,13.05,4,0,621
2006-04-19 10:00:00,1145440800,13.05,13.05,13.05,13.05,1,0,135
2006-04-19 10:45:00,1145443500,13.43,13.43,13.43,13.43,1,0,1350
2006-04-19 11:45:00,1145447100,13.37,13.37,13.37,13.37,2,0,270
2006-04-19 13:15:00,1145452500,13.45,13.45,13.45,13.45,1,0,216
2006-04-19 13:30:00,1145453400,13.56,13.56,13.56,13.56,2,0,1242
2006-04-19 16:00:00,1145462400,13.53,13.53,13.53,13.53,1,0,648
2006-04-19 16:15:00,1145463300,13.56,13.56,13.56,13.56,2,0,2484
2006-04-20 11:45:00,1145533500,13.59,13.59,13.59,13.59,1,0,27
2006-04-20 12:15:00,1145535300,13.37,13.37,13.37,13.37,1,0,270
2006-04-24 10:00:00,1145872800,13.69,13.69,13.69,13.69,1,0,1215
2006-04-24 10:30:00,1145874600,13.84,13.84,13.84,13.84,1,0,27
2006-04-24 13:00:00,1145883600,13.37,13.37,13.37,13.37,1,0,837
2006-04-24 15:30:00,1145892600,13.24,13.24,13.24,13.24,2,0,2349
2006-04-24 15:45:00,1145893500,13.27,13.27,13.27,13.27,2,0,675
2006-04-25 10:00:00,1145959200,13.94,14.0,13.94,14.0,2,0,2457
2006-04-25 11:00:00,1145962800,13.37,13.37,13.37,13.37,1,0,1161
2006-04-25 12:30:00,1145968200,13.59,13.59,13.59,13.59,2,0,2430
2006-04-25 13:30:00,1145971800,13.37,13.37,13.37,13.37,1,0,108
2006-04-25 13:45:00,1145972700,13.68,13.68,13.68,13.68,1,0,54
2006-04-25 15:00:00,1145977200,13.4,13.4,13.37,13.37,3,0,837
2006-04-25 15:30:00,1145979000,13.15,13.15,13.15,13.15,1,0,189
2006-04-25 18:00:00,1145988000,13.37,13.37,13.37,13.37,1,0,1080
2006-04-26 12:00:00,1146052800,13.37,13.37,13.37,13.37,1,0,1161
2006-04-26 15:00:00,1146063600,13.37,13.37,13.37,13.37,2,0,756
2006-04-26 18:00:00,1146074400,13.62,13.62,13.62,13.62,4,0,1620
2006-04-27 10:00:00,1146132000,13.68,13.68,13.68,13.68,1,0,297
2006-04-27 13:30:00,1146144600,13.62,13.62,13.62,13.62,1,0,297
2006-04-27 14:45:00,1146149100,13.62,13.65,13.62,13.65,5,0,3105
2006-04-27 16:00:00,1146153600,13.44,13.44,13.44,13.44,2,0,2700
2006-04-27 16:15:00,1146154500,13.68,13.68,13.68,13.68,1,0,2160
2006-04-27 16:30:00,1146155400,13.53,13.53,13.53,13.53,1,0,405
2006-04-27 16:45:00,1146156300,13.69,13.69,13.69,13.69,1,0,27
2006-04-28 14:30:00,1146234600,13.46,13.46,13.46,13.46,1,0,324
2006-04-28 14:45:00,1146235500,13.37,13.37,13.37,13.37,2,0,2106
2006-04-28 16:00:00,1146240000,13.24,13.24,13.08,13.08,3,0,594
2006-05-03 10:00:00,1146650400,13.85,14.0,13.85,14.0,3,0,675
2006-05-03 13:30:00,1146663000,13.85,13.85,13.85,13.85,1,0,891
2006-05-03 15:00:00,1146668400,13.78,13.78,13.78,13.78,2,0,486
2006-05-04 10:00:00,1146736800,13.9,13.9,13.9,13.9,3,0,2214
2006-05-04 10:15:00,1146737700,13.85,13.85,13.85,13.85,1,0,810
2006-05-04 11:45:00,1146743100,13.95,13.95,13.95,13.95,1,0,837
2006-05-04 12:15:00,1146744900,14.0,14.0,14.0,14.0,1,0,27
2006-05-04 14:00:00,1146751200,13.78,13.78,13.75,13.75,4,0,2700
2006-05-04 16:45:00,1146761100,13.85,13.85,13.75,13.75,2,0,567
2006-05-04 18:45:00,1146768300,14.0,14.0,14.0,14.0,1,0,594
2006-05-05 11:45:00,1146829500,14.04,14.04,14.0,14.0,4,0,351
2006-05-05 12:15:00,1146831300,13.99,13.99,13.99,13.99,1,0,1080
2006-05-05 12:45:00,1146833100,13.9,13.9,13.9,13.9,1,0,864
2006-05-05 14:15:00,1146838500,14.0,14.32,14.0,14.32,3,0,1890
2006-05-05 15:00:00,1146841200,14.05,14.05,14.05,14.05,1,0,216
2006-05-05 15:45:00,1146843900,13.79,13.79,13.79,13.79,1,0,405
2006-05-05 16:30:00,1146846600,13.79,13.79,13.79,13.79,1,0,810
2006-05-08 10:00:00,1147082400,13.68,13.68,13.68,13.68,2,0,1998
2006-05-08 11:15:00,1147086900,13.69,13.69,13.69,13.69,1,0,108
2006-05-08 12:45:00,1147092300,13.88,13.88,13.88,13.88,1,0,1350
2006-05-08 13:00:00,1147093200,13.69,13.97,13.69,13.97,2,0,459
2006-05-08 13:15:00,1147094100,14.08,14.08,14.08,14.08,1,0,1242
2006-05-08 13:45:00,1147095900,13.58,13.58,13.58,13.58,1,0,810
2006-05-08 14:30:00,1147098600,13.94,13.94,13.91,13.91,2,0,567
2006-05-08 15:00:00,1147100400,13.58,13.58,13.58,13.58,1,0,216
2006-05-08 16:30:00,1147105800,14.1,14.1,14.1,14.1,2,0,2133
2006-05-08 16:45:00,1147106700,14.04,14.04,13.38,13.38,6,0,2160
2006-05-08 17:45:00,1147110300,13.65,13.65,13.65,13.65,2,0,297
2006-05-09 10:30:00,1147170600,14.0,14.0,14.0,14.0,1,0,1782
2006-05-09 11:00:00,1147172400,14.14,14.14,14.14,14.14,1,0,675
2006-05-09 12:30:00,1147177800,14.16,14.16,14.16,14.16,1,0,891
2006-05-09 12:45:00,1147178700,14.19,14.2,14.19,14.2,2,0,486
2006-05-09 13:45:00,1147182300,14.25,14.25,14.25,14.25,1,0,243
2006-05-09 14:15:00,1147184100,14.29,14.29,14.16,14.16,2,0,1377
2006-05-09 16:15:00,1147191300,14.32,14.32,14.32,14.32,1,0,108
2006-05-09 16:45:00,1147193100,14.16,14.16,14.16,14.16,1,0,108
2006-05-10 10:00:00,1147255200,14.64,14.64,14.64,14.64,1,0,459
2006-05-10 10:15:00,1147256100,14.8,14.8,14.8,14.8,1,0,324
2006-05-10 11:30:00,1147260600,15.27,15.27,15.27,15.27,1,0,810
2006-05-10 12:30:00,1147264200,14.8,14.8,14.8,14.8,1,0,1161
2006-05-10 14:00:00,1147269600,14.8,14.8,14.8,14.8,1,0,270
2006-05-10 15:00:00,1147273200,14.87,14.87,14.83,14.83,2,0,297
2006-05-10 15:45:00,1147275900,14.71,14.71,14.71,14.71,2,0,270
2006-05-10 16:15:00,1147277700,14.7,14.7,14.7,14.7,1,0,324
2006-05-10 16:30:00,1147278600,14.64,14.64,14.64,14.64,1,0,756
2006-05-10 16:45:00,1147279500,14.77,14.77,14.77,14.77,2,0,972
2006-05-11 10:45:00,1147344300,14.96,14.96,14.96,14.96,1,0,567
2006-05-11 11:30:00,1147347000,14.83,14.83,14.83,14.83,1,0,2295
