datetime,time,open,high,low,close,tick_volume,spread,real_volume
2015-03-31 16:15:00,1427818500,2.0,2.0,2.0,2.0,1,1,77
2016-06-10 17:00:00,1465578000,1.25,1.25,1.25,1.25,1,1,70
2016-07-21 14:45:00,1469112300,1.3,1.3,1.3,1.3,1,1,1
2016-07-26 14:00:00,1469541600,1.3,1.3,1.3,1.3,1,1,5
2016-08-26 13:45:00,1472219100,1.3,1.3,1.3,1.3,1,1,10
2016-11-03 14:30:00,1478183400,1.3,1.3,1.3,1.3,1,1,14
2016-11-03 17:15:00,1478193300,1.45,1.45,1.45,1.45,1,1,77
2017-04-25 11:00:00,1493118000,1.55,1.55,1.55,1.55,1,1,15
2018-08-31 15:15:00,1535728500,0.35,0.35,0.35,0.35,2,1,100
2019-03-26 16:00:00,1553616000,0.4,0.4,0.4,0.4,1,0,10
2019-03-27 10:15:00,1553681700,0.4,0.4,0.4,0.4,1,0,40
2019-04-18 15:15:00,1555600500,0.55,0.55,0.55,0.55,1,0,40
2019-05-27 11:00:00,1558954800,0.98,0.98,0.98,0.98,1,1,15
2019-05-27 13:30:00,1558963800,0.98,0.98,0.98,0.98,2,1,11
2019-05-27 14:00:00,1558965600,0.98,0.98,0.98,0.98,1,48,6
2019-05-27 15:45:00,1558971900,0.98,0.98,0.98,0.98,1,0,2
2019-05-30 14:45:00,1559227500,0.46,0.46,0.46,0.46,1,0,23
2019-06-11 13:15:00,1560258900,0.5,0.5,0.5,0.5,1,45,1
2019-06-17 14:30:00,1560781800,0.5,0.5,0.5,0.5,1,45,8
2019-06-17 16:00:00,1560787200,0.5,0.5,0.5,0.5,1,45,9
2019-06-18 13:30:00,1560864600,0.51,0.51,0.51,0.51,1,44,15
2019-06-21 13:45:00,1561124700,0.55,0.55,0.55,0.55,1,40,1
2019-06-26 14:30:00,1561559400,0.8,0.8,0.8,0.8,1,0,10
2019-07-05 17:00:00,1562346000,0.8,0.8,0.8,0.8,1,0,44
2019-07-18 13:15:00,1563455700,0.62,0.62,0.62,0.62,1,0,50
2019-07-18 14:00:00,1563458400,0.62,0.62,0.62,0.62,1,0,50
2019-07-18 15:30:00,1563463800,0.62,0.62,0.62,0.62,1,13,10
2019-07-18 15:45:00,1563464700,0.62,0.62,0.62,0.62,1,13,1
2019-07-24 16:15:00,1563984900,0.48,0.48,0.48,0.48,1,0,1
2019-07-25 13:45:00,1564062300,0.45,0.45,0.45,0.45,1,8,10
2019-07-26 17:00:00,1564160400,0.46,0.46,0.46,0.46,2,0,14
2019-07-29 13:00:00,1564405200,0.51,0.51,0.51,0.51,1,25,7
2019-08-05 12:45:00,1565009100,0.47,0.47,0.47,0.47,1,2,1
2019-08-07 15:45:00,1565192700,0.45,0.45,0.45,0.45,1,0,2
2019-08-13 10:15:00,1565691300,0.5,0.5,0.5,0.5,1,20,1
2019-08-13 13:45:00,1565703900,0.5,0.5,0.5,0.5,1,33,41
2019-08-14 11:00:00,1565780400,0.6,0.65,0.55,0.65,4,0,100
2019-08-14 11:30:00,1565782200,0.75,0.75,0.75,0.75,1,25,8
2019-08-14 13:45:00,1565790300,0.75,0.75,0.65,0.65,9,0,65
2019-08-14 14:45:00,1565793900,0.5,0.5,0.5,0.5,1,0,5
2019-08-14 17:00:00,1565802000,0.5,0.5,0.5,0.5,2,0,30
2019-08-15 10:45:00,1565865900,0.66,0.66,0.66,0.66,1,1,20
2019-08-15 12:45:00,1565873100,0.66,0.66,0.65,0.65,2,1,36
2019-08-15 13:30:00,1565875800,0.6,0.6,0.6,0.6,2,6,47
2019-08-15 13:45:00,1565876700,0.55,0.55,0.55,0.55,1,21,20
2019-08-19 10:15:00,1566209700,0.51,0.51,0.51,0.51,1,0,8
2019-08-19 10:30:00,1566210600,0.52,0.52,0.52,0.52,1,0,1
2019-08-19 11:45:00,1566215100,0.51,0.51,0.51,0.51,2,0,40
2019-08-19 12:00:00,1566216000,0.51,0.51,0.51,0.51,1,6,38
2019-08-19 14:00:00,1566223200,0.51,0.51,0.51,0.51,1,7,17
2019-08-19 15:00:00,1566226800,0.59,0.59,0.59,0.59,1,14,1
2019-08-21 12:15:00,1566389700,0.64,0.64,0.64,0.64,1,5,1
2019-08-21 13:00:00,1566392400,0.64,0.64,0.6,0.6,3,3,95
2019-08-21 13:15:00,1566393300,0.6,0.6,0.6,0.6,2,3,2
2019-08-21 13:30:00,1566394200,0.6,0.6,0.6,0.6,3,0,25
2019-08-21 14:15:00,1566396900,0.69,0.69,0.69,0.69,1,9,4
2019-08-21 16:15:00,1566404100,0.6,0.6,0.6,0.6,1,24,2
2019-08-26 14:30:00,1566829800,0.58,0.58,0.58,0.58,1,8,1
2019-08-26 16:15:00,1566836100,0.5,0.5,0.5,0.5,1,8,1
2019-08-27 12:30:00,1566909000,0.61,0.61,0.61,0.61,1,2,1
2019-08-27 16:45:00,1566924300,0.59,0.59,0.5,0.5,4,0,200
2019-08-28 10:00:00,1566986400,0.5,0.5,0.5,0.5,1,0,1
2019-08-28 16:30:00,1567009800,0.65,0.65,0.65,0.65,1,15,2
2019-08-29 11:45:00,1567079100,0.63,0.63,0.63,0.63,1,7,2
2019-08-29 13:45:00,1567086300,0.57,0.57,0.57,0.57,1,7,2
2019-08-29 14:00:00,1567087200,0.57,0.57,0.57,0.57,1,7,1
2019-08-29 14:15:00,1567088100,0.5,0.5,0.5,0.5,1,7,2
2019-08-30 14:00:00,1567173600,0.5,0.5,0.5,0.5,1,4,1
2019-09-04 10:00:00,1567591200,0.56,0.56,0.56,0.56,1,0,1
2019-09-04 10:15:00,1567592100,0.7,0.7,0.6,0.6,6,0,131
2019-09-04 10:45:00,1567593900,0.6,0.6,0.6,0.6,2,1,5
2019-09-04 11:00:00,1567594800,0.59,0.59,0.59,0.59,1,4,50
2019-09-04 14:15:00,1567606500,0.59,0.59,0.59,0.59,1,4,1
2019-09-04 14:30:00,1567607400,0.59,0.59,0.59,0.59,1,3,17
2019-09-04 16:00:00,1567612800,0.58,0.58,0.58,0.58,1,3,2
2019-09-04 16:15:00,1567613700,0.58,0.58,0.58,0.58,1,3,2
2019-09-04 17:00:00,1567616400,0.59,0.59,0.59,0.59,2,3,10
2019-09-05 11:15:00,1567682100,0.58,0.58,0.58,0.58,1,0,3
2019-09-05 12:45:00,1567687500,0.4,0.4,0.4,0.4,3,0,55
2019-09-05 14:00:00,1567692000,0.45,0.45,0.45,0.45,1,5,1
2019-09-05 15:30:00,1567697400,0.45,0.45,0.45,0.45,1,13,5
2019-09-06 10:00:00,1567764000,0.55,0.55,0.55,0.55,2,0,44
2019-09-06 10:15:00,1567764900,0.55,0.55,0.55,0.55,1,1,10
2019-09-06 10:45:00,1567766700,0.55,0.55,0.55,0.55,1,1,2
2019-09-06 11:00:00,1567767600,0.55,0.55,0.55,0.55,1,14,84
2019-09-06 11:15:00,1567768500,0.53,0.54,0.53,0.54,3,12,100
2019-09-06 14:30:00,1567780200,0.54,0.54,0.54,0.54,1,12,1
2019-09-06 15:45:00,1567784700,0.54,0.54,0.54,0.54,1,17,1
2019-09-09 11:30:00,1568028600,0.5,0.5,0.5,0.5,1,8,9
2019-09-09 12:15:00,1568031300,0.5,0.5,0.5,0.5,1,8,5
2019-09-09 13:15:00,1568034900,0.5,0.5,0.5,0.5,1,0,5
2019-09-09 14:15:00,1568038500,0.58,0.58,0.58,0.58,1,0,17
