datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-04 14:00:00,1152021600,0.24,0.24,0.24,0.24,2,0,12000000
2006-07-05 16:30:00,1152117000,0.24,0.24,0.24,0.24,1,0,5000000
2006-07-06 16:30:00,1152203400,0.24,0.24,0.24,0.24,3,0,13000000
2006-07-11 12:15:00,1152620100,0.24,0.24,0.24,0.24,1,0,2000000
2006-07-12 12:45:00,1152708300,0.26,0.26,0.26,0.26,1,0,8000000
2006-08-02 16:00:00,1154534400,0.26,0.26,0.26,0.26,1,0,10000000
2006-08-08 10:30:00,1155033000,0.27,0.27,0.27,0.27,1,0,1000000
2006-08-08 11:15:00,1155035700,0.27,0.27,0.27,0.27,2,0,5000000
2006-08-09 16:15:00,1155140100,0.27,0.27,0.27,0.27,1,0,6000000
2006-08-18 14:45:00,1155912300,0.27,0.27,0.27,0.27,1,0,5000000
2006-09-05 13:30:00,1157463000,0.31,0.31,0.31,0.31,1,0,1000000
2006-09-05 16:15:00,1157472900,0.31,0.31,0.31,0.31,1,0,20000000
2006-09-13 12:15:00,1158149700,0.31,0.31,0.31,0.31,1,0,3000000
2006-09-13 16:45:00,1158165900,0.31,0.31,0.31,0.31,1,0,5000000
2006-09-18 14:45:00,1158590700,0.31,0.31,0.31,0.31,1,0,5000000
2006-09-20 13:45:00,1158759900,0.31,0.31,0.31,0.31,2,0,4000000
2006-09-20 14:15:00,1158761700,0.31,0.31,0.31,0.31,1,0,5000000
2006-10-04 10:45:00,1159958700,0.33,0.33,0.33,0.33,2,0,2000000
2006-10-05 12:15:00,1160050500,0.33,0.33,0.33,0.33,1,0,20000000
2006-10-05 12:30:00,1160051400,0.33,0.33,0.33,0.33,1,0,20000000
2006-10-18 11:15:00,1161170100,0.33,0.33,0.33,0.33,1,0,1000000
2006-10-19 13:15:00,1161263700,0.33,0.33,0.33,0.33,3,0,110000000
2006-10-24 10:45:00,1161686700,0.33,0.33,0.33,0.33,1,0,1000000
2006-10-24 11:45:00,1161690300,0.33,0.33,0.33,0.33,1,0,3000000
2006-10-25 10:30:00,1161772200,0.34,0.34,0.34,0.34,1,0,1000000
2006-10-27 16:45:00,1161967500,0.35,0.35,0.35,0.35,1,0,1000000
2006-10-31 13:15:00,1162300500,0.37,0.37,0.37,0.37,1,0,10000000
2006-11-01 14:30:00,1162391400,0.37,0.37,0.37,0.37,2,0,3000000
2006-11-07 14:15:00,1162908900,0.37,0.37,0.37,0.37,1,0,5000000
2006-11-07 14:30:00,1162909800,0.37,0.39,0.37,0.39,2,0,2000000
2006-11-08 11:30:00,1162985400,0.35,0.36,0.35,0.36,13,0,110000000
2006-11-08 11:45:00,1162986300,0.36,0.36,0.36,0.36,3,0,10000000
2006-11-08 13:00:00,1162990800,0.36,0.36,0.36,0.36,2,0,4000000
2006-11-14 14:45:00,1163515500,0.36,0.36,0.36,0.36,1,0,2000000
2006-11-14 16:15:00,1163520900,0.39,0.39,0.39,0.39,1,0,3000000
2006-11-14 17:00:00,1163523600,0.44,0.44,0.44,0.44,1,0,1000000
2006-11-16 11:00:00,1163674800,0.44,0.44,0.44,0.44,1,0,1000000
2006-11-17 11:00:00,1163761200,0.44,0.45,0.44,0.45,2,0,2000000
2006-11-21 15:15:00,1164122100,0.44,0.44,0.44,0.44,1,0,2000000
2006-11-21 17:30:00,1164130200,0.45,0.45,0.45,0.45,1,0,2000000
2006-11-23 14:30:00,1164292200,0.44,0.46,0.44,0.46,3,0,5000000
2006-11-23 17:15:00,1164302100,0.47,0.47,0.47,0.47,1,0,2000000
2006-11-24 15:15:00,1164381300,0.49,0.49,0.49,0.49,1,0,1000000
2006-11-24 17:45:00,1164390300,0.5,0.5,0.5,0.5,1,0,1000000
2006-11-27 16:00:00,1164643200,0.47,0.47,0.47,0.47,1,0,1000000
2006-11-27 16:45:00,1164645900,0.5,0.5,0.5,0.5,1,0,3000000
2006-11-28 11:00:00,1164711600,0.5,0.5,0.5,0.5,1,0,1000000
2006-11-28 12:45:00,1164717900,0.5,0.5,0.48,0.48,2,0,7000000
2006-11-28 15:45:00,1164728700,0.48,0.48,0.48,0.48,1,0,2000000
2006-11-29 11:15:00,1164798900,0.53,0.53,0.53,0.53,1,0,2000000
2006-11-29 12:45:00,1164804300,0.48,0.48,0.48,0.48,2,0,2000000
2006-11-29 16:00:00,1164816000,0.48,0.48,0.47,0.47,3,0,9000000
2006-11-30 15:15:00,1164899700,0.47,0.47,0.47,0.47,1,0,7000000
2006-12-01 16:15:00,1164989700,0.47,0.47,0.47,0.47,1,0,3000000
2006-12-01 17:45:00,1164995100,0.47,0.47,0.47,0.47,1,0,3000000
2006-12-04 17:15:00,1165252500,0.48,0.48,0.48,0.48,1,0,3000000
2006-12-06 12:45:00,1165409100,0.47,0.47,0.47,0.47,2,0,4000000
2006-12-07 12:00:00,1165492800,0.47,0.47,0.47,0.47,2,0,5000000
2006-12-07 12:15:00,1165493700,0.47,0.47,0.47,0.47,2,0,18000000
2006-12-07 12:30:00,1165494600,0.47,0.47,0.47,0.47,1,0,2000000
2006-12-07 17:15:00,1165511700,0.47,0.47,0.47,0.47,1,0,8000000
2006-12-08 12:00:00,1165579200,0.5,0.5,0.5,0.5,1,0,5000000
2006-12-08 12:15:00,1165580100,0.5,0.5,0.5,0.5,1,0,2000000
2006-12-08 12:30:00,1165581000,0.5,0.5,0.47,0.5,7,0,94000000
2006-12-08 12:45:00,1165581900,0.5,0.51,0.5,0.51,6,0,7000000
2006-12-08 13:30:00,1165584600,0.5,0.5,0.5,0.5,5,0,50000000
2006-12-08 15:00:00,1165590000,0.5,0.5,0.5,0.5,2,0,3000000
2006-12-08 15:15:00,1165590900,0.52,0.52,0.52,0.52,5,0,82000000
2006-12-11 16:30:00,1165854600,0.52,0.52,0.52,0.52,1,0,3000000
2006-12-11 16:45:00,1165855500,0.52,0.52,0.52,0.52,2,0,5000000
2006-12-11 17:00:00,1165856400,0.53,0.53,0.53,0.53,6,0,9000000
2006-12-11 17:45:00,1165859100,0.54,0.54,0.54,0.54,1,0,1000000
2006-12-12 16:00:00,1165939200,0.56,0.57,0.56,0.57,3,0,8000000
2006-12-12 17:30:00,1165944600,0.58,0.58,0.58,0.58,1,0,3000000
2006-12-12 17:45:00,1165945500,0.6,0.6,0.6,0.6,1,0,1000000
