datetime,time,open,high,low,close,tick_volume,spread,real_volume
2015-04-01 10:15:00,1427883300,13.19,13.97,13.19,13.68,110,1,92100
2015-04-01 10:30:00,1427884200,13.68,13.78,13.58,13.58,166,1,123200
2015-04-01 10:45:00,1427885100,13.58,13.58,13.39,13.48,216,1,203100
2015-04-01 11:00:00,1427886000,13.48,13.68,13.48,13.58,357,1,169300
2015-04-01 11:15:00,1427886900,13.58,13.68,13.19,13.48,267,1,859900
2015-04-01 11:30:00,1427887800,13.48,13.68,13.48,13.58,303,1,171500
2015-04-01 11:45:00,1427888700,13.58,13.68,13.48,13.68,170,1,126200
2015-04-01 12:00:00,1427889600,13.68,13.68,13.48,13.48,287,1,208500
2015-04-01 12:15:00,1427890500,13.58,13.58,13.48,13.58,95,1,83600
2015-04-01 12:30:00,1427891400,13.58,13.68,13.48,13.68,179,1,208200
2015-04-01 12:45:00,1427892300,13.68,13.68,13.58,13.68,153,1,84500
2015-04-01 13:00:00,1427893200,13.68,13.68,13.58,13.68,84,1,37200
2015-04-01 13:15:00,1427894100,13.68,13.68,13.48,13.48,36,1,21100
2015-04-01 13:30:00,1427895000,13.48,13.58,13.48,13.58,146,1,599500
2015-04-01 13:45:00,1427895900,13.68,13.68,13.58,13.58,67,1,177300
2015-04-01 14:00:00,1427896800,13.68,13.68,13.58,13.68,73,1,28200
2015-04-01 14:15:00,1427897700,13.68,13.68,13.39,13.48,127,1,870200
2015-04-01 14:30:00,1427898600,13.48,13.48,13.19,13.39,125,1,283400
2015-04-01 14:45:00,1427899500,13.39,13.39,13.39,13.39,51,1,19300
2015-04-01 15:00:00,1427900400,13.39,13.39,13.19,13.19,63,1,123700
2015-04-01 15:15:00,1427901300,13.19,13.19,13.09,13.19,63,1,157300
2015-04-01 15:30:00,1427902200,13.19,13.19,13.09,13.19,61,1,120000
2015-04-01 15:45:00,1427903100,13.19,13.39,13.09,13.39,154,1,140900
2015-04-01 16:00:00,1427904000,13.29,13.29,13.09,13.19,83,1,379900
2015-04-01 16:15:00,1427904900,13.29,13.29,13.09,13.19,38,1,610500
2015-04-01 16:30:00,1427905800,13.19,13.29,13.09,13.19,109,1,284700
2015-04-01 16:45:00,1427906700,13.19,13.39,13.19,13.39,141,1,246000
2015-04-01 17:00:00,1427907600,13.29,13.29,13.29,13.29,34,0,559900
2015-04-01 17:30:00,1427909400,13.39,13.39,13.29,13.39,21,0,114100
2015-04-01 17:45:00,1427910300,13.48,13.48,13.48,13.48,12,0,58400
2015-04-02 10:00:00,1427968800,13.48,13.68,13.48,13.68,144,1,221900
2015-04-02 10:15:00,1427969700,13.58,13.68,13.48,13.68,120,1,343300
2015-04-02 10:30:00,1427970600,13.68,13.88,13.48,13.68,474,0,445300
2015-04-02 10:45:00,1427971500,13.78,14.36,13.68,14.36,761,1,917700
2015-04-02 11:00:00,1427972400,14.36,14.76,14.17,14.76,634,1,2165500
2015-04-02 11:15:00,1427973300,15.24,15.44,15.15,15.34,168,1,1039800
2015-04-02 11:30:00,1427974200,15.34,16.42,15.34,16.12,1081,1,2504600
2015-04-02 11:45:00,1427975100,16.03,16.32,15.73,16.32,296,1,2535500
2015-04-02 12:00:00,1427976000,16.12,16.32,15.93,15.93,419,1,2922500
2015-04-02 12:15:00,1427976900,15.83,16.03,15.34,15.63,171,1,229300
2015-04-02 12:30:00,1427977800,15.54,15.93,15.44,15.93,130,1,119900
2015-04-02 12:45:00,1427978700,15.83,15.93,15.73,15.93,79,1,1063600
2015-04-02 13:00:00,1427979600,15.93,15.93,15.73,15.83,173,1,142900
2015-04-02 13:15:00,1427980500,15.83,15.83,15.63,15.73,152,1,500500
2015-04-02 13:30:00,1427981400,15.63,15.83,15.63,15.83,313,1,920400
2015-04-02 13:45:00,1427982300,15.83,15.83,15.63,15.73,109,1,80900
2015-04-02 14:00:00,1427983200,15.73,15.73,15.63,15.73,155,1,72400
2015-04-02 14:15:00,1427984100,15.73,15.93,15.73,15.83,232,1,404300
2015-04-02 14:30:00,1427985000,15.83,16.03,15.73,16.03,145,1,131300
2015-04-02 14:45:00,1427985900,16.03,16.12,15.63,15.73,274,1,1715700
2015-04-02 15:00:00,1427986800,15.73,15.83,15.73,15.83,41,1,584100
2015-04-02 15:15:00,1427987700,15.83,15.93,15.73,15.93,390,1,265600
2015-04-02 15:30:00,1427988600,15.93,15.93,15.83,15.93,248,1,234200
2015-04-02 15:45:00,1427989500,15.93,16.22,15.93,16.22,267,1,362200
2015-04-02 16:00:00,1427990400,16.12,16.22,16.03,16.12,184,1,519100
