datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-05-15 15:15:00,1147706100,7.9,7.9,7.9,7.9,1,0,10
2006-05-15 16:00:00,1147708800,7.41,7.41,7.41,7.41,1,0,38
2006-05-29 13:45:00,1148910300,7.8100000000000005,7.8100000000000005,7.8100000000000005,7.8100000000000005,1,0,13
2006-06-09 10:30:00,1149849000,7.11,7.11,7.11,7.11,1,0,11
2006-06-19 15:30:00,1150731000,6.91,6.91,6.91,6.91,1,0,54
2006-06-23 12:30:00,1151065800,6.72,6.72,6.72,6.72,1,0,99
2006-06-26 16:30:00,1151339400,6.77,6.77,6.77,6.77,1,0,47
2006-07-03 16:00:00,1151942400,7.9,7.9,7.9,7.9,1,0,12
2006-07-06 16:30:00,1152203400,7.41,7.41,7.41,7.41,2,0,36
2006-07-07 14:45:00,1152283500,7.31,7.41,7.31,7.41,2,0,3
2006-07-12 10:15:00,1152699300,6.59,6.59,6.59,6.59,1,0,2
2006-07-12 10:30:00,1152700200,6.91,6.91,6.91,6.91,1,0,56
2006-07-12 10:45:00,1152701100,7.21,7.21,7.21,7.21,1,0,10
2006-07-20 16:30:00,1153413000,7.21,7.21,7.21,7.21,1,0,18
2006-07-24 12:00:00,1153742400,5.92,5.92,5.92,5.92,2,0,40
2006-08-14 15:45:00,1155570300,5.97,5.97,5.97,5.97,1,0,25
2006-08-24 12:00:00,1156420800,9.18,9.18,9.18,9.18,1,0,46
2006-08-24 13:15:00,1156425300,9.18,9.18,9.18,9.18,1,0,25
2006-08-29 11:00:00,1156849200,11.86,11.86,11.86,11.86,1,0,1
2006-09-08 13:30:00,1157722200,10.77,10.77,10.77,10.77,1,0,1
2006-09-11 15:30:00,1157988600,10.77,10.77,10.77,10.77,1,0,5
2006-09-14 15:00:00,1158246000,8.89,8.89,8.89,8.89,2,0,45
2006-09-29 15:30:00,1159543800,9.88,9.88,9.88,9.88,2,0,51
2006-10-19 15:30:00,1161271800,8.89,8.89,7.9,7.9,2,0,46
2006-10-26 13:00:00,1161867600,9.68,9.68,9.68,9.68,1,0,15
2006-10-26 14:30:00,1161873000,8.4,8.4,8.4,8.4,1,0,1
2006-10-31 15:30:00,1162308600,8.89,8.89,8.89,8.89,1,0,20
2006-11-14 17:45:00,1163526300,14.81,14.81,14.81,14.81,1,0,5
2006-11-17 16:45:00,1163781900,10.87,10.87,10.87,10.87,2,0,36
2006-12-19 15:15:00,1166541300,8.4,8.4,8.4,8.4,3,0,44
2007-01-11 16:45:00,1168533900,8.55,8.55,8.55,8.55,2,0,22
2007-01-29 13:15:00,1170076500,9.88,9.88,9.88,9.88,2,0,34
2007-02-01 14:30:00,1170340200,11.92,11.92,11.92,11.92,1,0,20
2007-02-15 13:00:00,1171544400,12.2,12.2,12.2,12.2,1,0,9
2007-02-21 16:00:00,1172073600,12.35,12.35,12.35,12.35,1,0,11
2007-02-23 12:30:00,1172233800,13.39,13.83,13.39,13.83,2,0,32
2007-02-23 16:15:00,1172247300,13.83,13.83,13.83,13.83,1,0,57
2007-02-26 12:45:00,1172493900,13.38,13.38,13.38,13.38,1,0,2
2007-03-09 11:45:00,1173440700,12.84,12.84,12.84,12.84,2,0,60
2007-03-09 12:45:00,1173444300,12.84,12.84,12.84,12.84,1,0,29
2007-03-13 14:00:00,1173794400,13.83,13.83,13.83,13.83,1,0,26
2007-03-14 15:30:00,1173886200,13.83,13.83,13.83,13.83,1,0,8
2007-03-21 13:15:00,1174482900,12.35,12.35,12.35,12.35,1,0,4
2007-03-21 14:45:00,1174488300,12.64,12.64,12.64,12.64,1,0,77
2007-03-26 16:00:00,1174924800,12.96,12.96,12.96,12.96,1,0,38
2007-03-26 16:30:00,1174926600,14.11,14.11,14.11,14.11,1,0,8
2007-03-27 14:30:00,1175005800,14.46,14.46,14.46,14.46,1,0,2
2007-03-27 16:45:00,1175013900,16.45,16.45,16.45,16.45,1,0,16
2007-04-13 16:15:00,1176480900,16.95,16.95,16.95,16.95,1,0,20
2007-04-25 11:45:00,1177501500,10.97,10.97,10.97,10.97,1,0,1
2007-04-26 14:30:00,1177597800,14.47,14.47,14.47,14.47,1,0,63
2007-05-08 14:45:00,1178635500,15.96,15.96,15.96,15.96,1,0,9
2007-05-17 13:30:00,1179408600,16.01,16.01,16.01,16.01,4,0,49
2007-05-18 11:15:00,1179486900,17.95,17.95,17.95,17.95,1,0,19
2007-05-21 15:30:00,1179761400,19.94,19.94,19.94,19.94,1,0,1
2007-05-23 12:15:00,1179922500,20.94,20.94,20.94,20.94,1,0,10
2007-05-23 13:30:00,1179927000,20.94,20.94,20.94,20.94,2,0,100
2007-05-23 16:00:00,1179936000,17.95,17.95,17.95,17.95,1,0,14
2007-05-29 16:00:00,1180454400,16.95,16.95,16.95,16.95,1,0,50
2007-05-30 12:30:00,1180528200,21.94,21.94,21.94,21.94,1,0,50
2007-05-30 13:45:00,1180532700,21.94,21.94,21.94,21.94,1,0,24
2007-06-06 15:15:00,1181142900,15.96,15.96,15.96,15.96,2,0,6
2007-06-20 14:00:00,1182348000,19.94,19.94,19.94,19.94,1,0,26
2007-06-22 15:15:00,1182525300,23.93,23.93,23.93,23.93,2,0,64
2007-07-04 15:30:00,1183563000,29.92,29.92,29.92,29.92,1,0,11
2007-07-10 15:00:00,1184079600,35.9,35.9,35.9,35.9,1,0,58
2007-07-11 12:30:00,1184157000,39.89,39.89,39.89,39.89,1,0,36
2007-07-11 14:15:00,1184163300,44.87,44.87,44.87,44.87,1,0,50
2007-07-12 15:30:00,1184254200,34.9,34.9,34.9,34.9,2,0,58
2007-07-19 14:45:00,1184856300,42.39,42.39,42.39,42.39,1,0,65
2007-07-19 15:30:00,1184859000,42.39,42.39,42.38,42.38,2,0,23
2007-07-23 12:45:00,1185194700,39.89,39.89,39.89,39.89,1,0,30
2007-07-23 16:00:00,1185206400,41.89,41.89,39.89,39.89,2,0,18
2007-07-24 14:45:00,1185288300,35.9,35.9,35.9,35.9,1,0,13
2007-07-24 18:00:00,1185300000,35.9,35.9,35.9,35.9,1,0,6
