datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-03,1151884800,0.28,0.28,0.28,0.28,1,0,100
2006-07-05,1152057600,0.26,0.27,0.26,0.27,13,0,13300
2006-07-06,1152144000,0.27,0.27,0.26,0.26,2,0,500
2006-07-07,1152230400,0.27,0.27,0.26,0.26,2,0,1100
2006-07-12,1152662400,0.27,0.27,0.27,0.27,2,0,900
2006-07-13,1152748800,0.26,0.26,0.26,0.26,1,0,2000
2006-07-28,1154044800,0.24,0.24,0.24,0.24,2,0,300
2006-08-01,1154390400,0.24,0.24,0.24,0.24,2,0,1800
2006-08-10,1155168000,0.28,0.28,0.28,0.28,1,0,100
2006-08-17,1155772800,0.3,0.3,0.3,0.3,1,0,100
2006-08-18,1155859200,0.32,0.32,0.32,0.32,1,0,100
2006-08-21,1156118400,0.3,0.32,0.3,0.32,4,0,3500
2006-08-22,1156204800,0.34,0.34,0.34,0.34,1,0,100
2006-08-23,1156291200,0.34,0.34,0.34,0.34,1,0,100
2006-08-24,1156377600,0.34,0.34,0.34,0.34,3,0,2300
2006-08-25,1156464000,0.37,0.37,0.37,0.37,1,0,200
2006-08-29,1156809600,0.35,0.37,0.35,0.37,7,0,7000
2006-08-30,1156896000,0.37,0.37,0.37,0.37,1,0,200
2006-08-31,1156982400,0.39,0.42,0.39,0.42,2,0,200
2006-09-01,1157068800,0.39,0.39,0.39,0.39,2,0,400
2006-09-05,1157414400,0.39,0.39,0.39,0.39,1,0,100
2006-09-29,1159488000,0.44,0.44,0.44,0.44,1,0,100
2006-10-13,1160697600,0.37,0.37,0.37,0.37,3,0,1100
2006-10-18,1161129600,0.39,0.39,0.38,0.38,3,0,600
2006-10-19,1161216000,0.38,0.38,0.38,0.38,3,0,700
2006-10-24,1161648000,0.38,0.38,0.38,0.38,1,0,200
2006-10-25,1161734400,0.39,0.39,0.39,0.39,4,0,2800
2006-10-26,1161820800,0.39,0.43,0.39,0.43,5,0,2600
2006-10-27,1161907200,0.39,0.39,0.39,0.39,1,0,200
2006-11-23,1164240000,0.45,0.45,0.45,0.45,5,0,3700
2006-12-01,1164931200,0.4,0.44,0.4,0.44,4,0,4100
2006-12-28,1167264000,0.37,0.37,0.3,0.3,4,0,400
2007-01-03,1167782400,0.3,0.3,0.3,0.3,4,0,1700
2007-01-04,1167868800,0.39,0.39,0.39,0.39,1,0,100
2007-01-08,1168214400,0.37,0.37,0.37,0.37,1,0,300
2007-01-10,1168387200,0.37,0.37,0.37,0.37,2,0,800
2007-01-31,1170201600,0.44,0.44,0.44,0.44,2,0,200
2007-02-06,1170720000,0.44,0.45,0.44,0.45,12,0,12000
2007-02-07,1170806400,0.44,0.44,0.44,0.44,10,0,9400
2007-02-08,1170892800,0.44,0.44,0.44,0.44,1,0,2000
2007-02-09,1170979200,0.44,0.44,0.44,0.44,1,0,200
2007-02-14,1171411200,0.44,0.44,0.44,0.44,2,0,1000
2007-02-15,1171497600,0.47,0.48,0.47,0.48,2,0,500
2007-02-22,1172102400,0.47,0.48,0.47,0.48,2,0,500
2007-02-26,1172448000,0.48,0.48,0.48,0.48,1,0,300
2007-02-27,1172534400,0.48,0.48,0.48,0.48,1,0,500
2007-03-01,1172707200,0.49,0.49,0.49,0.49,1,0,100
2007-03-05,1173052800,0.47,0.47,0.47,0.47,3,0,3200
2007-03-08,1173312000,0.48,0.48,0.47,0.47,3,0,1500
2007-03-09,1173398400,0.47,0.47,0.47,0.47,1,0,1700
2007-03-12,1173657600,0.48,0.48,0.48,0.48,1,0,1000
2007-03-13,1173744000,0.49,0.49,0.49,0.49,1,0,200
2007-03-20,1174348800,0.49,0.49,0.49,0.49,2,0,300
2007-03-22,1174521600,0.5,0.5,0.5,0.5,1,0,100
2007-03-26,1174867200,0.52,0.52,0.52,0.52,4,0,7300
2007-03-27,1174953600,0.53,0.53,0.53,0.53,2,0,300
2007-04-20,1177027200,0.54,0.54,0.54,0.54,4,0,1000
2007-04-23,1177286400,0.54,0.54,0.54,0.54,1,0,100
2007-04-24,1177372800,0.51,0.51,0.51,0.51,1,0,100
2007-04-25,1177459200,0.51,0.51,0.51,0.51,1,0,800
2007-04-30,1177891200,0.51,0.51,0.51,0.51,1,0,200
2007-05-02,1178064000,0.56,0.56,0.56,0.56,1,0,100
2007-05-03,1178150400,0.56,0.57,0.56,0.57,2,0,1200
2007-05-17,1179360000,0.58,0.66,0.57,0.66,11,0,13500
2007-05-18,1179446400,0.72,0.72,0.72,0.72,1,0,1000
2007-05-22,1179792000,0.72,0.72,0.72,0.72,1,0,200
2007-05-23,1179878400,0.74,0.74,0.74,0.74,7,0,8300
2007-05-30,1180483200,0.77,0.77,0.77,0.77,3,0,5600
2007-06-06,1181088000,0.74,0.74,0.73,0.73,2,0,1200
2007-06-08,1181260800,0.74,0.74,0.73,0.73,2,0,1000
2007-06-11,1181520000,0.73,0.73,0.73,0.73,1,0,4000
2007-06-12,1181606400,0.78,0.78,0.78,0.78,1,0,100
2007-06-13,1181692800,0.77,0.8,0.77,0.8,2,0,6800
2007-06-14,1181779200,0.77,0.77,0.77,0.77,4,0,6300
2007-06-22,1182470400,0.85,0.87,0.85,0.87,8,0,16900
2007-06-27,1182902400,0.92,0.94,0.92,0.94,2,0,500
2007-06-28,1182988800,1.02,1.02,1.02,1.02,1,0,100
2007-07-04,1183507200,1.05,1.15,1.05,1.15,3,0,800
2007-07-05,1183593600,1.04,1.04,1.03,1.03,2,0,200
2007-07-06,1183680000,1.02,1.27,1.02,1.21,4,0,400
2007-07-10,1184025600,1.31,1.4,1.27,1.4,7,0,2900
2007-07-11,1184112000,1.4,1.62,1.4,1.51,4,0,1400
2007-07-13,1184284800,1.49,1.49,1.49,1.49,1,0,100
2007-07-16,1184544000,1.55,1.6,1.5,1.5,7,0,9500
2007-07-17,1184630400,1.5,1.5,1.5,1.5,2,0,3300
2007-07-18,1184716800,1.5,1.5,1.5,1.5,1,0,400
2007-07-19,1184803200,1.5,1.5,1.47,1.47,2,0,5100
2007-07-23,1185148800,1.81,1.81,1.42,1.55,5,0,5300
2007-07-24,1185235200,1.45,1.45,1.3900000000000001,1.4,5,0,900
2007-07-25,1185321600,1.3900000000000001,1.45,1.3900000000000001,1.45,2,0,200
2007-07-26,1185408000,1.3900000000000001,1.3900000000000001,1.3900000000000001,1.3900000000000001,1,0,400
2007-07-30,1185753600,1.41,1.41,1.3900000000000001,1.3900000000000001,2,0,400
2007-08-01,1185926400,1.31,1.31,1.31,1.31,1,0,100
2007-08-02,1186012800,1.41,1.41,1.41,1.41,1,0,100
2007-08-03,1186099200,1.41,1.42,1.35,1.35,11,0,1600
2007-08-06,1186358400,1.35,1.35,1.35,1.35,1,0,400
2007-08-07,1186444800,1.3900000000000001,1.3900000000000001,1.3900000000000001,1.3900000000000001,2,0,200
2007-08-08,1186531200,1.48,1.5,1.48,1.5,4,0,500
