datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-01-31 11:15:00,1170242100,20.0,20.89,19.8,20.79,2735,0,79462
2007-01-31 11:30:00,1170243000,20.8,21.43,20.52,21.3,1129,0,35247
2007-01-31 11:45:00,1170243900,21.23,21.6,21.23,21.5,1078,0,32311
2007-01-31 12:00:00,1170244800,21.52,21.94,21.52,21.88,470,0,14916
2007-01-31 12:15:00,1170245700,21.8,21.93,21.77,21.83,267,0,9043
2007-01-31 12:30:00,1170246600,21.84,21.92,21.82,21.9,253,0,7964
2007-01-31 12:45:00,1170247500,21.86,21.92,21.84,21.85,187,0,5741
2007-01-31 13:00:00,1170248400,21.85,21.85,21.69,21.69,89,0,2886
2007-01-31 13:15:00,1170249300,21.7,21.85,21.67,21.85,122,0,4060
2007-01-31 13:30:00,1170250200,21.83,22.5,21.83,22.29,430,0,13018
2007-01-31 13:45:00,1170251100,22.23,22.25,22.14,22.22,44,0,1593
2007-01-31 14:00:00,1170252000,22.25,22.5,22.22,22.5,73,0,2465
2007-01-31 14:15:00,1170252900,22.5,22.84,22.21,22.41,141,0,4389
2007-01-31 14:30:00,1170253800,22.36,22.6,22.36,22.49,129,0,4219
2007-01-31 14:45:00,1170254700,22.5,22.64,22.46,22.46,75,0,2687
2007-01-31 15:00:00,1170255600,22.5,22.52,22.46,22.5,63,0,2196
2007-01-31 15:15:00,1170256500,22.5,22.55,22.47,22.52,108,0,3295
2007-01-31 15:30:00,1170257400,22.51,22.64,22.48,22.52,65,0,2123
2007-01-31 15:45:00,1170258300,22.48,22.7,22.48,22.57,113,0,3694
2007-01-31 16:00:00,1170259200,22.59,22.65,22.58,22.61,37,0,1155
2007-01-31 16:15:00,1170260100,22.61,22.73,22.56,22.67,84,0,2625
2007-01-31 16:30:00,1170261000,22.66,22.89,22.66,22.71,79,0,2464
2007-01-31 16:45:00,1170261900,22.71,22.75,22.5,22.5,51,0,1533
2007-01-31 17:00:00,1170262800,22.5,22.51,22.31,22.37,55,0,1932
2007-01-31 17:15:00,1170263700,22.36,22.79,22.36,22.61,98,0,3427
2007-01-31 17:30:00,1170264600,22.61,22.65,22.56,22.56,257,0,9927
2007-01-31 17:45:00,1170265500,22.57,22.65,22.22,22.23,150,0,5436
2007-01-31 18:45:00,1170269100,22.44,22.44,22.34,22.34,33,0,900
2007-01-31 19:00:00,1170270000,22.33,22.38,22.26,22.26,14,0,338
2007-01-31 19:15:00,1170270900,22.3,22.35,22.25,22.25,14,0,362
2007-02-01 11:00:00,1170327600,23.4,23.4,23.4,23.4,89,0,2400
2007-02-01 11:15:00,1170328500,23.4,23.44,23.21,23.3,38,0,1002
2007-02-01 11:30:00,1170329400,23.21,23.35,23.21,23.26,54,0,1602
2007-02-01 11:45:00,1170330300,23.2,23.25,21.95,22.0,70,0,2341
2007-02-01 12:00:00,1170331200,22.0,22.59,21.95,22.0,57,0,1686
2007-02-01 12:15:00,1170332100,22.0,22.05,21.97,22.02,39,0,1265
2007-02-01 12:30:00,1170333000,21.99,22.1,21.99,22.02,23,0,720
2007-02-01 12:45:00,1170333900,22.04,22.04,21.6,21.65,35,0,1050
2007-02-01 13:00:00,1170334800,21.6,21.88,21.57,21.6,36,0,1221
2007-02-01 13:15:00,1170335700,21.58,21.75,21.58,21.63,21,0,780
2007-02-01 13:30:00,1170336600,21.65,21.81,21.65,21.71,6,0,202
2007-02-01 13:45:00,1170337500,21.75,21.75,21.54,21.54,15,0,424
2007-02-01 14:00:00,1170338400,21.56,21.7,21.56,21.7,4,0,122
2007-02-01 14:15:00,1170339300,21.7,21.72,21.64,21.72,17,0,545
2007-02-01 14:30:00,1170340200,21.67,21.76,21.67,21.76,15,0,463
2007-02-01 14:45:00,1170341100,21.73,21.8,21.68,21.78,12,0,374
2007-02-01 15:00:00,1170342000,21.68,21.7,21.67,21.69,9,0,251
2007-02-01 15:15:00,1170342900,21.73,21.8,21.7,21.7,13,0,334
2007-02-01 15:30:00,1170343800,21.75,21.87,21.7,21.71,11,0,351
2007-02-01 15:45:00,1170344700,21.72,21.81,21.72,21.77,17,0,569
2007-02-01 16:00:00,1170345600,21.84,22.0,21.77,22.0,13,0,336
2007-02-01 16:15:00,1170346500,22.0,22.03,21.95,21.95,23,0,788
2007-02-01 16:30:00,1170347400,21.95,22.1,21.95,22.01,14,0,538
2007-02-01 16:45:00,1170348300,22.05,22.15,21.98,22.07,12,0,485
2007-02-01 17:00:00,1170349200,22.0,22.03,21.8,21.81,9,0,351
2007-02-01 17:15:00,1170350100,21.81,22.0,21.8,21.85,24,0,858
2007-02-01 17:30:00,1170351000,21.85,22.1,21.85,22.06,19,0,593
2007-02-01 17:45:00,1170351900,22.03,22.06,21.99,21.99,26,0,643
2007-02-01 18:45:00,1170355500,21.98,21.98,21.76,21.82,3,0,88
2007-02-01 19:00:00,1170356400,21.84,21.84,21.84,21.84,2,0,78
2007-02-01 19:15:00,1170357300,21.98,22.0,21.86,21.9,8,0,234
2007-02-02 11:00:00,1170414000,21.8,21.8,21.75,21.8,14,0,336
2007-02-02 11:15:00,1170414900,21.75,21.81,21.75,21.75,6,0,182
2007-02-02 11:30:00,1170415800,21.66,21.75,21.63,21.75,12,0,439
2007-02-02 11:45:00,1170416700,21.65,21.71,21.65,21.71,5,0,173
2007-02-02 12:00:00,1170417600,21.7,21.8,21.7,21.79,8,0,288
2007-02-02 12:15:00,1170418500,21.78,21.8,21.75,21.75,5,0,156
2007-02-02 12:30:00,1170419400,21.75,21.75,21.75,21.75,4,0,156
2007-02-02 12:45:00,1170420300,21.75,21.8,21.75,21.8,3,0,78
2007-02-02 13:00:00,1170421200,21.79,21.79,21.79,21.79,2,0,78
2007-02-02 13:15:00,1170422100,21.75,21.79,21.75,21.79,4,0,156
2007-02-02 13:30:00,1170423000,21.76,21.8,21.76,21.8,16,0,505
2007-02-02 13:45:00,1170423900,21.8,21.99,21.79,21.86,33,0,923
2007-02-02 14:00:00,1170424800,21.99,21.99,21.99,21.99,2,0,78
2007-02-02 14:15:00,1170425700,21.88,21.88,21.87,21.87,2,0,78
2007-02-02 14:30:00,1170426600,21.87,21.87,21.85,21.85,4,0,156
2007-02-02 14:45:00,1170427500,21.89,22.0,21.89,22.0,44,0,1318
2007-02-02 15:00:00,1170428400,21.87,22.0,21.87,21.87,7,0,234
2007-02-02 15:15:00,1170429300,21.91,21.91,21.91,21.91,1,0,39
2007-02-02 15:30:00,1170430200,21.91,22.0,21.9,22.0,8,0,306
2007-02-02 15:45:00,1170431100,22.02,22.02,22.0,22.0,5,0,117
2007-02-02 16:00:00,1170432000,21.82,21.95,21.81,21.95,9,0,312
2007-02-02 16:15:00,1170432900,21.96,21.96,21.96,21.96,1,0,39
2007-02-02 16:30:00,1170433800,21.97,21.97,21.86,21.86,5,0,206
2007-02-02 16:45:00,1170434700,21.91,22.0,21.91,22.0,4,0,156
2007-02-02 17:00:00,1170435600,21.95,22.04,21.95,22.04,8,0,290
2007-02-02 17:15:00,1170436500,22.0,22.1,21.96,22.1,6,0,250
2007-02-02 17:30:00,1170437400,22.0,22.0,21.96,21.96,5,0,144
2007-02-02 17:45:00,1170438300,22.01,22.02,22.01,22.02,4,0,89
2007-02-02 18:45:00,1170441900,22.07,22.07,22.07,22.07,4,0,112
2007-02-05 11:00:00,1170673200,21.62,22.08,21.62,21.95,47,0,750
2007-02-05 11:15:00,1170674100,22.0,22.2,21.98,22.2,26,0,863
2007-02-05 11:30:00,1170675000,22.3,22.35,22.3,22.35,2,0,78
2007-02-05 11:45:00,1170675900,22.3,22.45,22.3,22.45,13,0,466
2007-02-05 12:00:00,1170676800,22.01,22.43,22.01,22.3,8,0,267
2007-02-05 12:30:00,1170678600,22.28,22.3,22.01,22.01,13,0,441
2007-02-05 12:45:00,1170679500,22.01,22.3,22.01,22.3,11,0,373
2007-02-05 13:00:00,1170680400,22.25,22.27,22.01,22.01,5,0,118
2007-02-05 13:15:00,1170681300,22.1,22.25,22.02,22.25,3,0,53
2007-02-05 13:30:00,1170682200,22.05,22.05,22.05,22.05,1,0,39
2007-02-05 13:45:00,1170683100,22.2,22.2,22.2,22.2,2,0,61
2007-02-05 14:00:00,1170684000,22.18,22.2,22.02,22.2,4,0,133
2007-02-05 14:15:00,1170684900,22.01,22.01,22.0,22.0,3,0,117
2007-02-05 14:30:00,1170685800,21.73,21.73,21.73,21.73,1,0,39
2007-02-05 14:45:00,1170686700,21.92,22.0,21.92,22.0,4,0,117
2007-02-05 15:00:00,1170687600,22.0,22.0,21.86,22.0,9,0,302
2007-02-05 15:15:00,1170688500,21.85,21.9,21.85,21.9,3,0,117
2007-02-05 15:30:00,1170689400,21.95,21.95,21.93,21.93,3,0,117
2007-02-05 15:45:00,1170690300,21.98,22.25,21.98,22.25,17,0,592
2007-02-05 16:00:00,1170691200,22.2,22.4,22.2,22.4,21,0,721
2007-02-05 16:15:00,1170692100,22.43,22.51,22.11,22.45,57,0,1644
2007-02-05 16:30:00,1170693000,22.01,22.15,22.01,22.11,6,0,157
2007-02-05 16:45:00,1170693900,22.2,22.2,22.2,22.2,1,0,39
