datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-12-10 10:15:00,1607595300,64.75,65.93,64.55,64.78,6487,0,147741
2020-12-10 10:30:00,1607596200,64.78,64.99,63.0,63.71,6004,1,52540
2020-12-10 10:45:00,1607597100,63.68,64.5,63.59,64.09,2404,1,27482
2020-12-10 11:00:00,1607598000,64.0,64.0,63.55,63.73,1502,1,14883
2020-12-10 11:15:00,1607598900,63.73,63.8,62.51,63.0,1895,1,16546
2020-12-10 11:30:00,1607599800,63.06,63.25,62.25,62.69,1365,1,10246
2020-12-10 11:45:00,1607600700,62.6,63.25,62.6,62.93,1205,1,7224
2020-12-10 12:00:00,1607601600,62.99,63.66,62.79,63.66,1362,1,7802
2020-12-10 12:15:00,1607602500,63.65,63.66,62.87,62.97,686,1,4897
2020-12-10 12:30:00,1607603400,62.97,63.12,62.88,63.01,1068,1,4889
2020-12-10 12:45:00,1607604300,63.08,63.14,62.97,63.0,1060,1,3586
2020-12-10 13:00:00,1607605200,63.0,63.06,62.96,62.96,951,1,3557
2020-12-10 13:15:00,1607606100,63.0,63.04,62.96,63.0,1165,1,3793
2020-12-10 13:30:00,1607607000,62.98,63.1,62.95,63.05,883,1,3701
2020-12-10 13:45:00,1607607900,63.06,63.14,62.97,63.0,1009,1,3050
2020-12-10 14:00:00,1607608800,63.0,63.05,62.95,62.96,825,1,2524
2020-12-10 14:15:00,1607609700,62.96,63.0,62.32,62.53,1229,1,5684
2020-12-10 14:30:00,1607610600,62.53,62.6,62.23,62.23,946,1,4454
2020-12-10 14:45:00,1607611500,62.23,62.48,62.19,62.24,1027,1,3502
2020-12-10 15:00:00,1607612400,62.27,62.69,62.2,62.26,875,1,3485
2020-12-10 15:15:00,1607613300,62.26,62.37,62.0,62.33,1144,1,4210
2020-12-10 15:30:00,1607614200,62.27,62.34,62.02,62.04,821,1,2999
2020-12-10 15:45:00,1607615100,62.02,62.06,61.05,61.22,1143,1,5629
2020-12-10 16:00:00,1607616000,61.23,61.95,61.2,61.73,973,1,6208
2020-12-10 16:15:00,1607616900,61.6,61.68,61.18,61.21,1015,1,4349
2020-12-10 16:30:00,1607617800,61.25,61.44,61.2,61.29,879,1,2720
2020-12-10 16:45:00,1607618700,61.28,61.45,61.23,61.35,689,1,3072
2020-12-10 17:00:00,1607619600,61.35,62.66,61.34,62.66,275,1,4030
2020-12-10 17:15:00,1607620500,62.75,63.37,62.18,62.4,1804,1,52267
2020-12-10 17:30:00,1607621400,62.46,62.5,61.82,62.07,207,1,3276
2020-12-10 17:45:00,1607622300,62.0,62.45,61.56,62.0,253,1,2817
2020-12-10 18:00:00,1607623200,62.25,62.25,62.25,62.25,217,0,6158
2020-12-11 10:00:00,1607680800,63.3,63.5,63.15,63.25,219,0,4289
2020-12-11 10:15:00,1607681700,63.2,63.26,62.65,62.82,248,1,4512
2020-12-11 10:30:00,1607682600,62.95,63.29,62.8,63.05,163,1,2802
2020-12-11 10:45:00,1607683500,63.13,63.18,62.35,62.35,242,1,3797
2020-12-11 11:00:00,1607684400,62.45,62.5,62.14,62.2,132,1,1841
2020-12-11 11:15:00,1607685300,62.2,63.1,62.01,63.1,104,1,2006
2020-12-11 11:30:00,1607686200,63.1,63.19,63.0,63.04,68,1,1143
2020-12-11 11:45:00,1607687100,63.04,63.23,62.87,62.93,114,1,2341
2020-12-11 12:00:00,1607688000,62.85,62.96,62.85,62.94,53,1,879
2020-12-11 12:15:00,1607688900,62.94,62.94,62.55,62.83,73,1,1330
2020-12-11 12:30:00,1607689800,62.73,63.2,62.7,62.96,81,1,1546
2020-12-11 12:45:00,1607690700,62.92,62.93,62.71,62.82,52,1,1014
2020-12-11 13:00:00,1607691600,62.81,62.83,62.75,62.81,48,1,603
2020-12-11 13:15:00,1607692500,62.77,62.81,62.77,62.79,39,1,661
2020-12-11 13:30:00,1607693400,62.78,63.0,62.78,63.0,52,1,839
2020-12-11 13:45:00,1607694300,63.0,63.04,62.92,62.97,53,1,967
2020-12-11 14:00:00,1607695200,62.99,63.0,62.86,62.89,60,1,892
2020-12-11 14:15:00,1607696100,62.92,63.0,62.87,62.92,43,1,596
2020-12-11 14:30:00,1607697000,62.93,62.95,62.87,62.92,30,1,420
2020-12-11 14:45:00,1607697900,62.92,63.0,62.86,62.93,57,1,1196
2020-12-11 15:00:00,1607698800,62.91,62.94,62.88,62.93,37,1,706
2020-12-11 15:15:00,1607699700,62.94,63.24,62.9,63.13,70,1,1492
2020-12-11 15:30:00,1607700600,63.14,63.14,63.0,63.02,30,1,655
2020-12-11 15:45:00,1607701500,63.02,63.11,63.02,63.05,42,1,640
2020-12-11 16:00:00,1607702400,63.05,63.05,63.0,63.03,36,1,557
2020-12-11 16:15:00,1607703300,63.03,63.42,63.03,63.12,85,1,1392
2020-12-11 16:30:00,1607704200,63.14,63.6,63.1,63.6,121,1,2525
2020-12-11 16:45:00,1607705100,63.64,63.97,63.64,63.87,97,1,1867
2020-12-11 17:00:00,1607706000,63.87,63.87,63.73,63.82,43,1,812
2020-12-11 17:15:00,1607706900,63.84,63.99,63.69,63.74,62,1,1512
2020-12-11 17:30:00,1607707800,63.73,63.99,63.69,63.99,49,1,902
2020-12-11 17:45:00,1607708700,63.96,64.5,63.93,64.5,184,1,4069
2020-12-11 18:00:00,1607709600,64.95,64.95,64.95,64.95,85,0,1949
2020-12-14 10:00:00,1607940000,64.95,65.28,64.66,64.7,239,0,3700
2020-12-14 10:15:00,1607940900,64.7,64.71,64.09,64.24,127,1,2093
2020-12-14 10:30:00,1607941800,64.24,64.6,64.24,64.49,98,1,1593
2020-12-14 10:45:00,1607942700,64.49,64.9,64.42,64.62,77,1,1216
2020-12-14 11:00:00,1607943600,64.62,64.99,64.62,64.69,95,1,1743
2020-12-14 11:15:00,1607944500,64.7,64.76,64.5,64.6,79,1,1359
2020-12-14 11:30:00,1607945400,64.55,64.86,64.55,64.86,55,1,1008
2020-12-14 11:45:00,1607946300,64.79,65.57,64.79,65.25,187,1,3938
2020-12-14 12:00:00,1607947200,65.25,65.31,64.97,65.15,79,1,1576
2020-12-14 12:15:00,1607948100,65.15,65.15,64.86,65.12,59,1,1021
2020-12-14 12:30:00,1607949000,65.09,65.44,65.08,65.4,61,1,1199
