datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-12-10 10:00:00,1607594400,65.01,65.92,63.0,64.0,19863,0,9048700
2020-12-10 11:00:00,1607598000,64.0,64.0,62.26,62.97,9952,1,3608600
2020-12-10 12:00:00,1607601600,62.98,63.74,62.8,63.03,5130,1,1990800
2020-12-10 13:00:00,1607605200,63.03,63.18,63.0,63.0,3770,1,1367900
2020-12-10 14:00:00,1607608800,63.0,63.01,62.21,62.23,4852,1,1372700
2020-12-10 15:00:00,1607612400,62.22,62.7,61.08,61.28,6817,1,2028500
2020-12-10 16:00:00,1607616000,61.28,61.97,61.11,61.35,6418,1,1963400
2020-12-10 17:00:00,1607619600,61.34,63.44,61.34,62.23,11174,1,3131500
2020-12-10 18:00:00,1607623200,62.4,62.4,62.4,62.4,529,0,1508600
2020-12-11 10:00:00,1607680800,62.45,64.0,62.31,62.43,1980,0,458900
2020-12-11 11:00:00,1607684400,62.44,63.25,62.01,62.88,1497,1,392600
2020-12-11 12:00:00,1607688000,62.88,63.2,62.5,62.8,1185,1,319400
2020-12-11 13:00:00,1607691600,62.8,63.1,62.73,63.03,837,1,232800
2020-12-11 14:00:00,1607695200,63.02,63.09,62.85,62.9,1652,1,401400
2020-12-11 15:00:00,1607698800,62.9,63.27,62.89,63.06,1647,1,368400
2020-12-11 16:00:00,1607702400,63.06,63.95,62.94,63.87,1832,1,395600
2020-12-11 17:00:00,1607706000,63.87,64.5,63.62,64.4,2016,1,452300
2020-12-11 18:00:00,1607709600,64.95,64.95,64.95,64.95,157,0,521900
2020-12-14 10:00:00,1607940000,65.0,65.42,64.11,64.71,851,0,192500
2020-12-14 11:00:00,1607943600,64.63,65.61,64.5,65.28,1026,1,269200
2020-12-14 12:00:00,1607947200,65.27,65.99,64.88,65.82,1476,1,366900
2020-12-14 13:00:00,1607950800,65.82,67.46,65.61,67.05,2276,1,584700
2020-12-14 14:00:00,1607954400,67.02,67.12,66.58,66.58,1516,1,327000
