datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-08-03 11:00:00,1154602800,5.0,5.0,5.0,5.0,1,0,25
2006-08-03 16:30:00,1154622600,5.0,5.0,5.0,5.0,1,0,20
2006-08-09 13:00:00,1155128400,5.1,5.1,5.1,5.1,1,0,15
2006-08-09 13:45:00,1155131100,5.1,5.1,5.1,5.1,1,0,5
2006-08-09 17:45:00,1155145500,5.1,5.1,5.1,5.1,1,0,10
2006-08-10 10:15:00,1155204900,5.6,5.6,5.6,5.6,1,0,37
2006-08-10 16:30:00,1155227400,6.5,6.5,6.5,6.5,1,0,10
2006-08-31 16:30:00,1157041800,6.0,6.0,6.0,6.0,1,0,10
2006-09-08 15:45:00,1157730300,4.55,4.55,4.55,4.55,1,0,50
2006-09-12 12:00:00,1158062400,4.2,4.2,4.2,4.2,1,0,30
2006-09-14 11:15:00,1158232500,4.75,4.75,4.75,4.75,1,0,20
2006-09-15 13:45:00,1158327900,4.75,4.75,4.75,4.75,1,0,1
2006-09-29 12:30:00,1159533000,4.75,4.75,4.75,4.75,1,0,14
2006-10-10 11:30:00,1160479800,4.25,4.25,4.05,4.05,3,0,25
2006-10-11 12:00:00,1160568000,4.3,4.3,4.3,4.3,1,0,95
2006-10-20 15:45:00,1161359100,4.65,4.65,4.65,4.65,1,0,35
2006-10-23 16:15:00,1161620100,4.1,4.1,4.1,4.1,1,0,5
2006-10-24 13:15:00,1161695700,4.3,4.3,4.3,4.3,1,0,10
2006-10-27 12:30:00,1161952200,4.1,4.1,4.05,4.05,3,0,27
2006-10-27 13:30:00,1161955800,4.38,4.38,4.38,4.38,1,0,50
2006-10-31 15:30:00,1162308600,4.1,4.1,4.1,4.1,1,0,10
2006-10-31 15:45:00,1162309500,4.1,4.1,4.1,4.1,1,0,30
2006-11-03 16:00:00,1162569600,4.08,4.08,4.05,4.05,2,0,15
2006-11-09 12:15:00,1163074500,4.06,4.06,4.05,4.05,2,0,30
2006-11-23 14:00:00,1164290400,4.2,4.2,4.2,4.2,1,0,40
2006-12-15 13:45:00,1166190300,4.05,4.05,4.05,4.05,1,0,20
2006-12-19 11:45:00,1166528700,4.05,4.05,4.0,4.0,2,0,60
2006-12-19 15:45:00,1166543100,4.0,4.0,3.91,3.91,3,0,80
2006-12-28 17:45:00,1167327900,4.0,4.0,3.91,3.91,4,0,100
2007-01-12 17:15:00,1168622100,4.99,4.99,4.99,4.99,1,0,40
2007-01-23 11:00:00,1169550000,4.95,4.95,4.95,4.95,1,0,10
2007-01-23 11:15:00,1169550900,4.95,4.95,4.95,4.95,1,0,10
2007-01-23 17:15:00,1169572500,4.99,4.99,4.99,4.99,1,0,30
2007-01-24 13:15:00,1169644500,4.9,4.9,4.9,4.9,1,0,5
2007-01-30 14:30:00,1170167400,4.28,4.28,4.28,4.28,1,0,45
2007-01-31 11:00:00,1170241200,4.3,4.3,4.3,4.3,1,0,10
2007-02-09 13:00:00,1171026000,4.8,4.8,4.8,4.8,1,0,10
2007-02-14 17:45:00,1171475100,4.95,4.95,4.95,4.95,1,0,10
2007-02-26 15:45:00,1172504700,5.25,5.25,5.25,5.25,1,0,5
2007-03-16 16:00:00,1174060800,5.0,5.0,5.0,5.0,1,0,5
2007-03-29 16:45:00,1175186700,4.51,4.51,4.51,4.51,1,0,95
2007-03-30 16:00:00,1175270400,4.98,4.98,4.98,4.98,1,0,20
2007-04-03 13:00:00,1175605200,4.98,4.98,4.98,4.98,1,0,25
2007-04-10 16:30:00,1176222600,5.5,5.5,5.5,5.5,1,0,10
2007-04-11 10:00:00,1176285600,5.5,5.5,5.5,5.5,1,0,20
2007-04-11 11:30:00,1176291000,5.5,5.5,5.5,5.5,1,0,20
2007-04-27 13:45:00,1177681500,5.9,5.9,5.9,5.9,1,0,20
2007-04-27 14:30:00,1177684200,5.9,5.9,5.9,5.9,1,0,15
2007-06-01 16:00:00,1180713600,6.99,6.99,6.99,6.99,1,0,10
2007-06-01 16:45:00,1180716300,6.99,6.99,6.99,6.99,1,0,40
2007-07-23 16:45:00,1185209100,7.2,7.2,7.2,7.2,1,0,25
2007-07-24 14:30:00,1185287400,6.0,6.0,6.0,6.0,2,0,25
2007-07-27 12:00:00,1185537600,6.5,6.5,6.5,6.5,1,0,15
2007-08-15 10:45:00,1187174700,6.0,6.0,6.0,6.0,1,0,20
2007-08-15 16:30:00,1187195400,6.1,6.1,6.1,6.1,1,0,20
2007-08-29 14:45:00,1188398700,7.5,7.5,7.5,7.5,1,0,10
2007-08-29 15:45:00,1188402300,6.5,6.5,6.5,6.5,1,0,10
2007-09-11 11:45:00,1189511100,7.0,7.0,7.0,7.0,1,0,95
2007-09-11 16:15:00,1189527300,7.8,7.8,7.8,7.8,1,0,5
2007-10-11 15:00:00,1192114800,7.0,7.0,7.0,7.0,1,0,2
2007-10-15 16:15:00,1192464900,7.0,7.0,7.0,7.0,1,0,2
2007-10-15 17:30:00,1192469400,7.0,7.0,7.0,7.0,1,0,45
2007-10-16 15:45:00,1192549500,7.5,7.5,7.5,7.5,1,0,25
2007-11-05 12:15:00,1194264900,8.1,8.1,8.1,8.1,1,0,45
2007-11-19 13:30:00,1195479000,8.1,8.1,8.1,8.1,1,0,12
2007-11-19 16:45:00,1195490700,6.3,6.3,6.3,6.3,1,0,25
2007-11-29 11:00:00,1196334000,8.49,8.49,8.49,8.49,1,0,4
2007-11-29 11:45:00,1196336700,8.99,8.99,8.49,8.49,2,0,64
2007-12-03 16:15:00,1196698500,8.99,8.99,8.99,8.99,1,0,25
2007-12-06 15:00:00,1196953200,6.11,6.11,6.11,6.11,2,0,30
2007-12-07 15:00:00,1197039600,8.0,8.0,8.0,8.0,1,0,10
2007-12-10 15:30:00,1197300600,8.0,8.0,8.0,8.0,1,0,5
2007-12-10 15:45:00,1197301500,8.0,8.0,8.0,8.0,1,0,75
2007-12-12 14:00:00,1197468000,9.72,9.72,9.72,9.72,1,0,6
2008-01-03 13:00:00,1199365200,9.0,9.0,9.0,9.0,1,0,20
2008-01-11 16:30:00,1200069000,7.5,7.5,7.5,7.5,1,0,25
2008-01-30 12:45:00,1201697100,6.51,6.51,6.51,6.51,1,0,40
2008-02-07 12:30:00,1202387400,7.0,7.0,7.0,7.0,1,0,40
2008-02-08 16:30:00,1202488200,7.9,7.9,7.9,7.9,1,0,20
2008-02-18 15:30:00,1203348600,6.9,6.9,6.9,6.9,1,0,30
2008-02-18 15:45:00,1203349500,6.83,6.83,6.83,6.83,1,0,40
2008-02-18 17:45:00,1203356700,6.83,6.83,6.83,6.83,1,0,30
2008-02-19 12:00:00,1203422400,6.37,6.37,6.37,6.37,1,0,6
2008-02-25 12:15:00,1203941700,7.0,7.0,7.0,7.0,1,0,20
2008-03-07 16:30:00,1204907400,7.0,7.0,7.0,7.0,1,0,5
2008-03-11 12:15:00,1205237700,7.7,7.7,7.7,7.7,1,0,5
2008-03-11 12:45:00,1205239500,8.1,8.1,8.1,8.1,1,0,20
2008-03-28 15:15:00,1206717300,7.0,7.0,7.0,7.0,1,0,99
2008-04-01 12:15:00,1207052100,6.5,6.5,6.5,6.5,1,0,1
2008-04-09 15:00:00,1207753200,7.5,7.5,7.5,7.5,1,0,33
2008-04-10 16:00:00,1207843200,6.6,6.6,6.6,6.6,2,0,15
2008-04-10 17:00:00,1207846800,8.4,8.4,8.4,8.4,1,0,5
2008-04-11 16:45:00,1207932300,8.0,8.0,8.0,8.0,1,0,10
2008-04-17 12:30:00,1208435400,8.3,8.3,8.3,8.3,1,0,1
2008-04-17 16:45:00,1208450700,7.6,7.6,7.6,7.6,1,0,5
2008-04-18 10:15:00,1208513700,8.3,8.3,8.3,8.3,1,0,20
2008-04-22 10:15:00,1208859300,7.95,7.95,7.95,7.95,1,0,13
2008-04-22 11:00:00,1208862000,7.5,7.5,7.5,7.5,1,0,6
2008-04-22 16:45:00,1208882700,8.2,8.2,8.2,8.2,1,0,12
2008-04-30 11:15:00,1209554100,6.75,6.75,6.51,6.51,2,0,60
2008-05-06 15:30:00,1210087800,6.71,6.71,6.71,6.71,1,0,20
2008-05-15 10:00:00,1210845600,6.85,6.85,6.85,6.85,1,0,10
2008-05-15 10:45:00,1210848300,6.85,6.85,6.85,6.85,1,0,40
2008-05-20 14:00:00,1211292000,6.89,6.89,6.89,6.89,1,0,6
2008-05-20 15:00:00,1211295600,6.89,6.89,6.89,6.89,1,0,24
2008-05-23 12:15:00,1211544900,6.6,6.6,6.0,6.0,5,0,21
2008-05-27 14:45:00,1211899500,6.8,6.8,6.8,6.8,1,0,19
2008-05-29 13:15:00,1212066900,6.0,6.0,6.0,6.0,2,0,95
2008-06-04 10:30:00,1212575400,7.26,7.26,7.26,7.26,1,0,1
2008-06-10 16:15:00,1213114500,6.39,6.39,6.39,6.39,1,0,6
2008-06-11 13:45:00,1213191900,6.16,6.16,6.05,6.05,2,0,6
2008-06-13 12:00:00,1213358400,5.75,5.75,5.72,5.72,2,0,85
2008-06-13 15:45:00,1213371900,5.8,5.8,5.8,5.8,1,0,15
2008-06-16 11:00:00,1213614000,6.16,6.16,6.16,6.16,1,0,1
2008-06-16 13:15:00,1213622100,6.12,6.12,6.12,6.12,1,0,33
2008-06-17 10:00:00,1213696800,6.1,6.1,6.1,6.1,1,0,1
2008-06-17 12:45:00,1213706700,6.1,6.1,6.1,6.1,1,0,42
2008-07-07 15:45:00,1215445500,5.5,5.5,5.5,5.5,1,0,10
2008-07-14 11:30:00,1216035000,5.7,5.7,5.7,5.7,1,0,1
2008-07-21 14:00:00,1216648800,4.65,4.65,4.65,4.65,1,0,3
2008-07-21 16:00:00,1216656000,4.65,4.65,4.65,4.65,1,0,30
2008-07-22 17:00:00,1216746000,4.5,4.5,4.5,4.5,4,0,48
2008-07-23 16:30:00,1216830600,5.15,5.15,5.15,5.15,2,0,25
2008-07-29 17:00:00,1217350800,4.03,4.03,4.03,4.03,1,0,70
2008-08-04 11:30:00,1217849400,4.17,4.17,4.17,4.17,1,0,14
2008-08-06 13:00:00,1218027600,5.0,5.0,5.0,5.0,1,0,10
2008-08-07 11:45:00,1218109500,6.2,6.2,6.2,6.2,4,0,10
2008-08-07 14:45:00,1218120300,6.0,6.0,6.0,6.0,1,0,2
2008-08-08 16:30:00,1218213000,6.5,6.5,6.5,6.5,1,0,1
2008-08-11 15:15:00,1218467700,5.75,5.75,5.75,5.75,1,0,3
2008-08-11 17:00:00,1218474000,6.4,6.4,6.4,6.4,2,0,5
2008-08-11 18:45:00,1218480300,6.4,6.4,6.4,6.4,1,0,10
2008-08-20 17:00:00,1219251600,6.35,6.35,6.35,6.35,1,0,10
2008-08-21 17:00:00,1219338000,7.2,7.2,7.2,7.2,1,0,10
2008-09-02 16:00:00,1220371200,5.1,5.1,5.1,5.1,1,0,20
2008-09-03 12:15:00,1220444100,4.16,4.16,4.16,4.16,1,0,20
2008-09-03 15:00:00,1220454000,4.05,4.05,3.84,3.84,3,0,28
2008-09-03 15:45:00,1220456700,3.61,3.61,3.61,3.61,1,0,22
2008-09-08 13:30:00,1220880600,4.01,4.01,4.01,4.01,2,0,25
