datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-07 16:45:00,1152290700,15.22,15.22,15.22,15.22,1,0,100
2006-07-13 10:00:00,1152784800,15.68,15.68,15.68,15.68,1,0,200
2006-07-14 15:30:00,1152891000,15.55,15.55,15.55,15.55,1,0,100
2006-07-17 10:30:00,1153132200,15.55,15.55,15.55,15.55,1,0,100
2006-07-17 16:30:00,1153153800,15.55,15.55,15.55,15.55,1,0,100
2006-07-18 10:00:00,1153216800,15.55,15.55,15.55,15.55,1,0,100
2006-07-20 10:00:00,1153389600,15.68,15.68,15.68,15.68,1,0,100
2006-07-20 13:00:00,1153400400,15.55,15.55,15.55,15.55,1,0,100
2006-07-20 15:30:00,1153409400,14.9,14.9,14.9,14.9,1,0,100
2006-07-20 16:45:00,1153413900,14.9,14.9,14.9,14.9,1,0,100
2006-07-21 10:00:00,1153476000,15.42,15.42,15.42,15.42,1,0,100
2006-07-21 10:45:00,1153478700,15.16,15.16,15.16,15.16,1,0,200
2006-07-21 12:15:00,1153484100,15.16,15.16,15.16,15.16,1,0,200
2006-07-21 15:30:00,1153495800,14.9,14.9,14.9,14.9,1,0,100
2006-07-25 11:45:00,1153827900,15.19,15.19,15.19,15.19,1,0,200
2006-07-25 12:30:00,1153830600,15.22,15.22,15.22,15.22,1,0,100
2006-07-26 10:15:00,1153908900,3.18,3.23,3.18,3.23,2,0,600
2006-07-26 11:00:00,1153911600,3.23,3.24,3.23,3.24,2,0,500
2006-07-26 11:30:00,1153913400,3.18,3.18,3.18,3.18,1,0,100
2006-07-28 11:00:00,1154084400,3.04,3.04,3.04,3.04,1,0,100
2006-07-28 13:00:00,1154091600,3.0,3.0,3.0,3.0,1,0,100
2006-07-28 13:15:00,1154092500,3.1,3.1,3.1,3.1,2,0,200
2006-07-28 16:45:00,1154105100,2.91,2.91,2.91,2.91,1,0,100
2006-07-31 10:00:00,1154340000,3.17,3.17,3.17,3.17,1,0,200
2006-07-31 15:00:00,1154358000,3.04,3.04,3.04,3.04,1,0,100
2006-08-02 10:00:00,1154512800,3.1,3.1,3.1,3.1,1,0,400
2006-08-02 10:30:00,1154514600,3.1,3.1,3.1,3.1,1,0,1000
2006-08-02 11:45:00,1154519100,3.1,3.1,3.1,3.1,1,0,300
2006-08-02 12:30:00,1154521800,3.1,3.1,3.1,3.1,1,0,200
2006-08-03 10:15:00,1154600100,3.1,3.1,3.1,3.1,1,0,200
2006-08-03 11:00:00,1154602800,3.1,3.17,3.1,3.17,3,0,1700
2006-08-03 11:15:00,1154603700,3.24,3.24,3.24,3.24,1,0,700
2006-08-04 12:15:00,1154693700,3.37,3.37,3.37,3.37,1,0,200
2006-08-09 12:45:00,1155127500,3.3,3.3,3.3,3.3,1,0,200
2006-08-09 13:00:00,1155128400,3.37,3.37,3.37,3.37,1,0,100
2006-08-09 13:15:00,1155129300,3.5,3.5,3.5,3.5,1,0,100
2006-08-09 14:45:00,1155134700,3.5,3.5,3.5,3.5,1,0,100
2006-08-09 16:45:00,1155141900,3.57,3.89,3.57,3.89,3,0,600
2006-08-10 10:00:00,1155204000,3.89,3.89,3.89,3.89,1,0,200
2006-08-22 14:45:00,1156257900,3.85,3.85,3.85,3.85,1,0,1000
2006-08-22 15:00:00,1156258800,3.04,3.05,3.04,3.05,8,0,2300
2006-08-22 15:30:00,1156260600,3.07,3.07,3.03,3.03,4,0,1100
2006-08-22 16:00:00,1156262400,3.1,3.1,3.1,3.1,1,0,100
2006-08-22 16:30:00,1156264200,3.04,3.04,3.04,3.04,1,0,1000
2006-08-22 16:45:00,1156265100,2.91,2.91,2.91,2.91,1,0,100
2006-08-23 11:45:00,1156333500,3.24,3.24,3.24,3.24,1,0,200
2006-08-24 10:00:00,1156413600,3.14,3.14,3.14,3.14,1,0,100
2006-08-24 10:15:00,1156414500,3.14,3.14,3.14,3.14,2,0,400
2006-08-24 10:45:00,1156416300,3.23,3.23,3.23,3.23,1,0,100
2006-08-28 10:30:00,1156761000,2.91,2.91,2.91,2.91,2,0,600
2006-08-28 10:45:00,1156761900,3.1,3.1,3.1,3.1,1,0,200
2006-08-29 14:00:00,1156860000,3.1,3.1,3.1,3.1,2,0,200
2006-08-31 10:00:00,1157018400,3.1,3.1,3.1,3.1,2,0,200
2006-08-31 11:45:00,1157024700,2.99,2.99,2.98,2.98,2,0,300
2006-08-31 16:45:00,1157042700,3.07,3.07,3.07,3.07,2,0,200
2006-09-05 11:00:00,1157454000,3.07,3.1,3.07,3.1,2,0,200
2006-09-06 10:00:00,1157536800,3.1,3.1,3.1,3.1,1,0,200
2006-09-06 16:15:00,1157559300,2.91,2.91,2.91,2.91,1,0,1000
2006-09-08 15:45:00,1157730300,2.88,2.88,2.88,2.88,1,0,100
2006-09-11 10:15:00,1157969700,2.88,2.88,2.88,2.88,1,0,200
2006-09-11 11:45:00,1157975100,2.85,2.85,2.85,2.85,1,0,200
2006-09-12 11:30:00,1158060600,2.88,2.88,2.88,2.88,2,0,400
2006-09-13 11:30:00,1158147000,2.88,2.91,2.88,2.91,2,0,200
