datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-05-16 11:30:00,1147779000,89.46,89.46,89.46,89.46,1,0,1
2006-06-09 12:45:00,1149857100,97.52,97.52,97.52,97.52,1,0,1
2006-07-14 16:00:00,1152892800,89.46,89.46,89.46,89.46,2,0,20
2006-07-19 15:45:00,1153323900,89.46,89.46,89.46,89.46,1,0,14
2006-09-12 14:00:00,1158069600,92.15,92.15,92.15,92.15,1,0,38
2006-11-22 15:45:00,1164210300,104.33,104.33,104.33,104.33,1,0,1
2006-11-24 15:15:00,1164381300,102.06,102.06,102.06,102.06,1,0,10
2006-12-21 11:45:00,1166701500,192.71,192.71,192.71,192.71,1,0,17
2006-12-22 14:45:00,1166798700,140.15,140.15,140.15,140.15,1,0,1
2006-12-27 13:30:00,1167226200,154.75,154.75,154.75,154.75,1,0,1
2007-01-22 14:15:00,1169475300,157.67,157.67,157.67,157.67,1,0,5
2007-01-23 11:00:00,1169550000,164.48,164.48,164.48,164.48,1,0,12
2007-02-01 13:15:00,1170335700,165.45,165.45,165.45,165.45,1,0,12
2007-02-09 13:00:00,1171026000,188.08,188.08,188.08,188.08,4,0,58
2007-02-13 14:00:00,1171375200,190.0,190.0,190.0,190.0,1,0,10
2007-02-13 14:15:00,1171376100,190.0,190.0,190.0,190.0,2,0,23
2007-02-13 14:30:00,1171377000,190.0,190.0,190.0,190.0,1,0,10
2007-02-13 15:30:00,1171380600,190.0,190.0,190.0,190.0,1,0,7
2007-02-16 16:15:00,1171642500,206.0,206.0,206.0,206.0,2,0,24
2007-03-22 10:00:00,1174557600,219.0,219.0,219.0,219.0,1,0,30
2007-03-22 12:45:00,1174567500,219.0,228.0,219.0,228.0,2,0,10
2007-03-23 13:30:00,1174656600,23.5,23.5,23.5,23.5,1,0,4
2007-03-23 14:00:00,1174658400,20.9,20.9,20.9,20.9,1,0,75
2007-03-23 14:30:00,1174660200,21.0,21.0,21.0,21.0,1,0,1
2007-03-23 16:30:00,1174667400,20.12,20.12,20.12,20.12,1,0,24
2007-03-26 15:45:00,1174923900,20.7,20.7,20.7,20.7,1,0,8
2007-03-26 16:00:00,1174924800,20.7,20.7,20.7,20.7,1,0,8
2007-03-27 14:15:00,1175004900,20.15,20.15,20.15,20.15,1,0,14
2007-03-27 16:15:00,1175012100,20.15,20.15,20.15,20.15,1,0,26
2007-03-28 12:00:00,1175083200,20.0,20.0,19.75,19.75,2,0,63
2007-03-28 14:15:00,1175091300,19.85,19.85,19.7,19.7,4,0,92
2007-03-28 14:30:00,1175092200,19.7,19.7,19.0,19.0,3,0,99
2007-03-28 15:00:00,1175094000,19.0,19.0,19.0,19.0,2,0,13
2007-03-29 13:30:00,1175175000,20.0,20.0,19.4,19.4,3,0,95
2007-03-29 14:15:00,1175177700,19.11,19.11,19.11,19.11,1,0,5
2007-03-30 12:00:00,1175256000,19.6,19.9,19.6,19.9,2,0,100
2007-03-30 12:45:00,1175258700,19.7,20.39,19.7,20.39,3,0,100
2007-03-30 16:30:00,1175272200,19.1,19.1,19.1,19.1,1,0,15
2007-04-02 11:30:00,1175513400,19.2,19.2,19.2,19.2,1,0,6
2007-04-02 15:45:00,1175528700,19.2,19.2,19.2,19.2,1,0,4
2007-04-03 12:15:00,1175602500,20.0,20.0,20.0,20.0,1,0,2
2007-04-03 16:00:00,1175616000,19.0,19.0,19.0,19.0,1,0,1
2007-04-04 13:30:00,1175693400,18.6,18.6,18.6,18.6,1,0,30
2007-04-04 14:15:00,1175696100,18.6,18.6,18.6,18.6,1,0,19
2007-04-05 11:30:00,1175772600,18.5,18.5,18.5,18.5,1,0,10
2007-04-05 12:15:00,1175775300,18.5,18.5,18.5,18.5,1,0,12
2007-04-05 12:45:00,1175777100,18.65,18.65,18.65,18.65,1,0,5
2007-04-09 11:30:00,1176118200,18.8,18.8,18.65,18.65,2,0,100
2007-04-09 12:15:00,1176120900,18.65,18.65,18.65,18.65,1,0,30
2007-04-09 16:45:00,1176137100,18.6,18.6,18.2,18.2,7,0,100
2007-04-10 10:30:00,1176201000,18.2,18.2,18.2,18.2,1,0,5
2007-04-10 10:45:00,1176201900,18.2,18.2,17.81,17.81,6,0,100
2007-04-10 11:30:00,1176204600,18.7,18.7,18.7,18.7,1,0,16
2007-04-10 12:15:00,1176207300,17.81,17.81,17.59,17.59,3,0,68
2007-04-10 12:30:00,1176208200,17.45,17.45,17.45,17.45,2,0,16
2007-04-11 10:15:00,1176286500,17.2,17.2,17.2,17.2,1,0,30
2007-04-11 11:45:00,1176291900,17.07,17.07,17.0,17.0,7,0,181
2007-04-11 12:30:00,1176294600,17.0,17.0,16.8,16.8,3,0,38
2007-04-11 13:00:00,1176296400,17.25,17.25,17.25,17.25,1,0,12
2007-04-11 13:15:00,1176297300,16.65,16.65,16.65,16.65,1,0,9
2007-04-11 14:15:00,1176300900,16.65,16.65,16.65,16.65,1,0,1
2007-04-11 15:00:00,1176303600,16.25,16.25,16.25,16.25,1,0,53
2007-04-12 10:00:00,1176372000,16.0,16.0,14.0,15.0,6,0,92
2007-04-12 10:15:00,1176372900,15.95,15.95,15.5,15.5,7,0,184
2007-04-12 10:30:00,1176373800,15.32,15.32,15.06,15.1,9,0,285
2007-04-12 10:45:00,1176374700,15.29,15.29,15.29,15.29,1,0,10
2007-04-12 11:00:00,1176375600,15.29,15.29,15.29,15.29,1,0,3
2007-04-12 11:30:00,1176377400,15.35,15.4,15.35,15.4,8,0,245
2007-04-12 11:45:00,1176378300,15.4,15.45,15.4,15.45,3,0,198
2007-04-12 12:00:00,1176379200,15.4,15.45,15.3,15.4,21,0,429
2007-04-12 12:30:00,1176381000,15.5,15.5,15.5,15.5,1,0,64
2007-04-12 12:45:00,1176381900,15.4,15.5,15.4,15.5,3,0,84
2007-04-12 13:15:00,1176383700,15.38,15.38,15.38,15.38,2,0,50
2007-04-12 13:30:00,1176384600,15.44,15.44,15.44,15.44,1,0,1
2007-04-12 14:00:00,1176386400,15.33,15.33,15.33,15.33,3,0,99
2007-04-12 14:45:00,1176389100,15.3,15.3,15.27,15.27,3,0,55
2007-04-12 15:00:00,1176390000,15.27,15.27,15.1,15.1,3,0,83
2007-04-12 15:45:00,1176392700,15.12,15.12,15.12,15.12,1,0,33
2007-04-12 16:00:00,1176393600,15.12,15.12,15.11,15.11,3,0,66
2007-04-12 16:15:00,1176394500,15.2,15.2,15.15,15.15,3,0,81
2007-04-12 16:30:00,1176395400,15.15,15.3,15.03,15.3,4,0,49
2007-04-12 16:45:00,1176396300,15.25,15.25,15.04,15.04,2,0,33
2007-04-12 17:45:00,1176399900,15.2,15.2,15.2,15.2,1,0,33
2007-04-12 18:30:00,1176402600,15.2,15.2,15.2,15.2,1,0,17
2007-04-13 10:00:00,1176458400,14.92,15.1,14.92,15.1,119,0,4506
2007-04-13 10:15:00,1176459300,15.1,15.22,15.0,15.22,45,0,1581
2007-04-13 10:30:00,1176460200,15.1,15.34,15.1,15.16,34,0,1187
2007-04-13 10:45:00,1176461100,15.16,15.25,15.16,15.2,34,0,1095
2007-04-13 11:00:00,1176462000,15.18,15.2,14.91,14.99,14,0,481
2007-04-13 11:15:00,1176462900,14.99,15.05,14.99,15.05,25,0,786
2007-04-13 11:45:00,1176464700,15.1,15.2,15.1,15.15,15,0,529
2007-04-13 12:00:00,1176465600,15.19,15.2,15.16,15.2,11,0,428
2007-04-13 12:15:00,1176466500,15.2,15.2,15.19,15.2,4,0,129
2007-04-13 12:30:00,1176467400,15.21,15.24,15.2,15.24,14,0,548
2007-04-13 12:45:00,1176468300,15.23,15.3,15.16,15.3,34,0,1183
2007-04-13 13:00:00,1176469200,15.31,15.4,15.3,15.4,31,0,1155
2007-04-13 13:15:00,1176470100,15.4,15.44,15.3,15.4,12,0,369
2007-04-13 13:30:00,1176471000,15.44,15.45,15.3,15.36,7,0,226
2007-04-13 13:45:00,1176471900,15.3,15.3,15.3,15.3,2,0,99
2007-04-13 14:00:00,1176472800,15.3,15.4,15.3,15.4,7,0,219
2007-04-13 14:15:00,1176473700,15.4,15.5,15.3,15.3,21,0,739
2007-04-13 14:30:00,1176474600,15.35,15.35,15.3,15.3,4,0,124
2007-04-13 14:45:00,1176475500,15.31,15.35,15.31,15.31,8,0,264
2007-04-13 15:00:00,1176476400,15.31,15.41,15.31,15.4,14,0,528
2007-04-13 15:15:00,1176477300,15.35,15.44,15.35,15.43,4,0,198
2007-04-13 15:30:00,1176478200,15.43,15.44,15.4,15.4,11,0,310
2007-04-13 15:45:00,1176479100,15.4,15.4,15.35,15.36,7,0,319
2007-04-13 16:00:00,1176480000,15.39,15.41,15.39,15.41,12,0,440
2007-04-13 16:15:00,1176480900,15.42,15.5,15.42,15.5,48,0,1449
2007-04-13 16:30:00,1176481800,15.6,15.8,15.56,15.65,20,0,777
2007-04-13 16:45:00,1176482700,15.8,16.2,15.46,16.2,37,0,1232
2007-04-13 17:45:00,1176486300,15.9,15.9,15.9,15.9,4,0,132
2007-04-13 18:15:00,1176488100,15.89,16.0,15.89,16.0,2,0,35
2007-04-13 18:30:00,1176489000,15.9,15.9,15.9,15.9,1,0,16
2007-04-13 18:45:00,1176489900,15.9,15.9,15.9,15.9,1,0,50
2007-04-16 10:00:00,1176717600,15.86,16.1,15.86,16.1,13,0,333
2007-04-16 10:15:00,1176718500,15.86,15.86,15.8,15.86,8,0,166
2007-04-16 10:30:00,1176719400,15.9,16.2,15.9,16.2,9,0,233
2007-04-16 10:45:00,1176720300,16.01,16.01,16.01,16.01,1,0,33
2007-04-16 11:00:00,1176721200,16.1,16.1,16.1,16.1,1,0,33
2007-04-16 11:15:00,1176722100,16.01,16.01,16.01,16.01,4,0,198
2007-04-16 11:30:00,1176723000,16.16,16.2,16.16,16.2,6,0,153
2007-04-16 11:45:00,1176723900,16.09,16.2,16.09,16.2,4,0,117
2007-04-16 12:00:00,1176724800,16.1,16.1,16.0,16.0,4,0,85
2007-04-16 12:15:00,1176725700,16.0,16.0,15.79,15.79,6,0,174
2007-04-16 12:30:00,1176726600,15.8,15.8,15.8,15.8,1,0,33
2007-04-16 12:45:00,1176727500,15.71,15.75,15.71,15.75,4,0,231
2007-04-16 13:00:00,1176728400,15.8,15.8,15.8,15.8,1,0,66
2007-04-16 13:45:00,1176731100,15.9,16.0,15.85,15.85,7,0,173
2007-04-16 14:15:00,1176732900,15.85,15.85,15.85,15.85,2,0,33
2007-04-16 15:15:00,1176736500,15.88,15.9,15.88,15.9,7,0,270
2007-04-16 15:30:00,1176737400,15.81,15.83,15.81,15.83,2,0,66
2007-04-16 16:00:00,1176739200,15.82,15.82,15.82,15.82,2,0,34
2007-04-16 16:15:00,1176740100,15.8,15.8,15.7,15.7,4,0,79
