datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-26 14:45:00,1153925100,7.6,7.6,7.6,7.6,1,0,100
2006-08-08 12:00:00,1155038400,6.6,6.6,6.6,6.6,2,0,300
2006-08-08 14:00:00,1155045600,6.6,6.6,6.6,6.6,1,0,200
2006-08-08 14:45:00,1155048300,6.4,6.4,6.4,6.4,1,0,200
2006-08-08 15:00:00,1155049200,6.4,6.4,6.4,6.4,1,0,100
2006-08-08 16:30:00,1155054600,6.4,6.4,6.4,6.4,2,0,800
2006-08-08 16:45:00,1155055500,6.6,6.6,6.6,6.6,1,0,200
2006-08-09 14:45:00,1155134700,6.2,6.2,6.2,6.2,2,0,600
2006-08-09 16:15:00,1155140100,6.2,6.2,6.2,6.2,2,0,700
2006-08-16 13:30:00,1155735000,5.4,5.4,5.4,5.4,6,0,15200
2006-08-16 16:00:00,1155744000,5.8,5.8,5.8,5.8,1,0,500
2006-08-16 16:15:00,1155744900,5.8,5.8,5.8,5.8,1,0,3000
2006-08-17 14:30:00,1155825000,5.6,5.6,5.6,5.6,1,0,500
2006-08-18 16:15:00,1155917700,5.4,5.4,5.4,5.4,2,0,13500
2006-08-22 13:00:00,1156251600,5.4,5.4,5.4,5.4,1,0,7400
2006-08-29 10:00:00,1156845600,5.4,5.4,5.4,5.4,1,0,200
2006-09-12 16:45:00,1158079500,6.6,6.6,6.6,6.6,2,0,3000
2006-09-18 16:30:00,1158597000,6.6,6.6,6.6,6.6,1,0,6000
2006-10-16 12:00:00,1161000000,6.6,6.6,6.6,6.6,3,0,11000
2006-10-16 13:15:00,1161004500,6.6,6.6,6.6,6.6,3,0,8000
2006-10-16 13:30:00,1161005400,6.8,6.8,6.8,6.8,1,0,5000
2006-10-16 14:30:00,1161009000,6.8,6.8,6.8,6.8,1,0,400
2006-10-17 13:45:00,1161092700,6.6,6.6,6.6,6.6,1,0,4000
2006-10-17 14:45:00,1161096300,6.2,6.2,6.2,6.2,1,0,3000
2006-10-25 12:45:00,1161780300,5.6,5.6,5.6,5.6,4,0,23100
2006-11-08 16:15:00,1163002500,6.0,6.0,6.0,6.0,1,0,100
2006-11-14 15:15:00,1163517300,6.2,6.2,6.2,6.2,1,0,2200
2006-11-16 11:15:00,1163675700,6.2,6.2,6.2,6.2,1,0,6000
2006-11-16 13:45:00,1163684700,5.6,5.6,5.6,5.6,1,0,12800
2006-11-17 16:45:00,1163781900,5.6,5.6,5.2,5.2,6,0,21900
