datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-11-12 10:15:00,1605176100,20.94,21.97,19.0,21.9,225,0,4233
2020-11-12 10:30:00,1605177000,21.93,22.33,21.51,21.62,120,1,2426
2020-11-12 10:45:00,1605177900,21.69,22.0,21.6,21.79,80,1,1612
2020-11-12 11:00:00,1605178800,21.7,21.89,21.65,21.78,48,1,817
2020-11-12 11:15:00,1605179700,21.79,22.05,21.75,21.95,95,1,2140
2020-11-12 11:30:00,1605180600,21.9,21.94,21.8,21.85,49,1,518
2020-11-12 11:45:00,1605181500,21.84,21.88,21.66,21.7,52,1,891
2020-11-12 12:00:00,1605182400,21.62,21.62,21.1,21.1,87,1,1490
2020-11-12 12:15:00,1605183300,21.03,21.18,21.03,21.04,35,1,403
2020-11-12 12:30:00,1605184200,21.24,21.28,21.04,21.19,32,1,395
2020-11-12 12:45:00,1605185100,21.2,21.27,21.09,21.09,23,1,330
2020-11-12 13:00:00,1605186000,21.14,21.26,21.09,21.26,20,1,203
2020-11-12 13:15:00,1605186900,21.18,21.27,21.18,21.27,17,1,108
2020-11-12 13:30:00,1605187800,21.22,21.25,21.17,21.19,26,1,216
2020-11-12 13:45:00,1605188700,21.19,21.25,21.19,21.25,17,1,187
2020-11-12 14:00:00,1605189600,21.27,21.27,21.2,21.21,16,1,58
2020-11-12 14:15:00,1605190500,21.21,21.26,21.21,21.21,24,2,159
2020-11-12 14:30:00,1605191400,21.26,21.27,21.23,21.27,15,1,164
2020-11-12 14:45:00,1605192300,21.24,21.25,21.09,21.09,38,1,437
2020-11-12 15:00:00,1605193200,21.11,21.14,21.09,21.09,19,1,145
2020-11-12 15:15:00,1605194100,21.09,21.18,21.09,21.15,23,1,207
2020-11-12 15:30:00,1605195000,21.13,21.17,21.12,21.12,30,1,234
2020-11-12 15:45:00,1605195900,21.12,21.16,21.08,21.11,23,1,318
2020-11-12 16:00:00,1605196800,21.11,21.11,21.0,21.0,42,1,581
2020-11-12 16:15:00,1605197700,21.0,21.05,20.99,21.0,51,1,941
2020-11-12 16:30:00,1605198600,21.04,21.04,20.98,20.98,21,1,211
2020-11-12 16:45:00,1605199500,20.98,21.0,20.82,20.9,29,1,237
