datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-11-12 10:15:00,1605176100,20.65,21.89,20.25,21.88,727,0,466900
2020-11-12 10:30:00,1605177000,21.88,22.38,21.56,21.64,730,1,215500
2020-11-12 10:45:00,1605177900,21.64,21.8,21.52,21.67,177,1,44800
2020-11-12 11:00:00,1605178800,21.66,21.79,21.65,21.77,115,1,31200
2020-11-12 11:15:00,1605179700,21.77,22.1,21.75,21.84,286,1,139200
2020-11-12 11:30:00,1605180600,21.85,21.94,21.8,21.82,140,1,31700
2020-11-12 11:45:00,1605181500,21.81,21.9,21.61,21.64,162,1,32000
2020-11-12 12:00:00,1605182400,21.64,21.64,21.02,21.07,225,1,46000
2020-11-12 12:15:00,1605183300,21.07,21.2,21.02,21.2,160,1,69000
2020-11-12 12:30:00,1605184200,21.2,21.28,21.06,21.17,75,1,14700
2020-11-12 12:45:00,1605185100,21.17,21.21,21.11,21.11,37,1,4600
2020-11-12 13:00:00,1605186000,21.11,21.25,21.09,21.18,45,1,6800
2020-11-12 13:15:00,1605186900,21.18,21.25,21.17,21.21,25,1,3200
2020-11-12 13:30:00,1605187800,21.21,21.24,21.18,21.18,38,1,4200
2020-11-12 13:45:00,1605188700,21.19,21.27,21.18,21.25,35,1,4000
2020-11-12 14:00:00,1605189600,21.26,21.26,21.22,21.24,26,1,4100
2020-11-12 14:15:00,1605190500,21.24,21.25,21.21,21.25,31,1,4100
2020-11-12 14:30:00,1605191400,21.24,21.25,21.2,21.25,34,1,5400
2020-11-12 14:45:00,1605192300,21.22,21.26,21.08,21.12,98,1,35300
2020-11-12 15:00:00,1605193200,21.11,21.16,21.07,21.11,53,1,10700
2020-11-12 15:15:00,1605194100,21.11,21.17,21.09,21.12,38,1,9100
2020-11-12 15:30:00,1605195000,21.14,21.17,21.1,21.1,19,1,2600
2020-11-12 15:45:00,1605195900,21.13,21.14,21.1,21.11,27,1,12500
2020-11-12 16:00:00,1605196800,21.09,21.09,21.0,21.02,147,1,43700
2020-11-12 16:15:00,1605197700,21.01,21.05,21.0,21.0,83,1,30600
2020-11-12 16:30:00,1605198600,21.0,21.05,21.0,21.0,145,1,90300
2020-11-12 16:45:00,1605199500,21.0,21.01,20.75,20.82,81,1,45300
2020-11-12 17:00:00,1605200400,20.82,20.88,20.82,20.85,35,1,6400
2020-11-12 17:15:00,1605201300,20.85,20.98,20.85,20.98,28,1,3600
2020-11-12 17:30:00,1605202200,20.95,21.1,20.9,20.9,142,1,78200
2020-11-12 17:45:00,1605203100,21.01,21.01,20.91,20.99,86,1,23800
2020-11-12 18:00:00,1605204000,20.9,20.9,20.9,20.9,75,0,559100
2020-11-13 10:00:00,1605261600,21.0,21.0,21.0,21.0,6,6,1400
2020-11-13 10:15:00,1605262500,21.02,21.1,21.0,21.1,17,1,3700
2020-11-13 10:30:00,1605263400,21.1,21.1,21.09,21.1,9,1,5000
2020-11-13 10:45:00,1605264300,21.12,21.21,21.12,21.2,6,2,1400
2020-11-13 11:00:00,1605265200,21.19,21.26,21.19,21.23,8,2,1300
2020-11-13 11:15:00,1605266100,21.21,21.25,21.08,21.13,50,1,12800
2020-11-13 11:30:00,1605267000,21.07,21.1,21.06,21.1,13,1,1900
2020-11-13 11:45:00,1605267900,21.1,21.15,21.09,21.15,17,1,3600
2020-11-13 12:00:00,1605268800,21.14,21.28,21.14,21.28,61,1,29900
2020-11-13 12:15:00,1605269700,21.28,21.3,21.26,21.3,18,1,10400
2020-11-13 12:30:00,1605270600,21.35,21.35,21.11,21.11,25,1,9700
2020-11-13 12:45:00,1605271500,21.11,21.12,21.08,21.11,20,1,2100
2020-11-13 13:00:00,1605272400,21.15,21.3,21.15,21.2,27,1,4400
2020-11-13 13:15:00,1605273300,21.16,21.18,21.1,21.1,13,4,1400
2020-11-13 13:30:00,1605274200,21.1,21.12,21.08,21.1,11,3,1100
2020-11-13 13:45:00,1605275100,21.07,21.1,21.07,21.1,12,2,1600
2020-11-13 14:00:00,1605276000,21.06,21.1,21.04,21.09,7,4,1400
2020-11-13 14:15:00,1605276900,21.04,21.1,21.04,21.1,12,1,1700
2020-11-13 14:30:00,1605277800,21.09,21.09,21.08,21.08,7,1,1900
2020-11-13 14:45:00,1605278700,21.06,21.1,21.06,21.1,19,1,8500
2020-11-13 15:00:00,1605279600,21.1,21.14,21.06,21.06,6,4,700
2020-11-13 15:15:00,1605280500,21.1,21.17,21.1,21.11,25,3,3500
2020-11-13 15:30:00,1605281400,21.11,21.18,21.11,21.11,26,2,4500
2020-11-13 15:45:00,1605282300,21.1,21.17,21.09,21.17,35,3,5000
2020-11-13 16:00:00,1605283200,21.1,21.17,21.1,21.16,32,1,8900
2020-11-13 16:15:00,1605284100,21.11,21.11,21.08,21.08,18,1,3300
2020-11-13 16:30:00,1605285000,21.1,21.1,21.07,21.07,21,1,2700
2020-11-13 16:45:00,1605285900,21.1,21.2,21.1,21.15,44,1,7800
2020-11-13 17:00:00,1605286800,21.15,21.15,21.06,21.06,38,1,4100
2020-11-13 17:15:00,1605287700,21.07,21.09,21.0,21.0,45,1,7400
2020-11-13 17:30:00,1605288600,21.0,21.1,21.0,21.1,49,1,7400
2020-11-13 17:45:00,1605289500,21.1,21.19,21.01,21.18,18,1,3700
2020-11-13 18:00:00,1605290400,20.8,20.8,20.8,20.8,56,0,305800
2020-11-16 10:00:00,1605520800,21.15,21.15,21.1,21.15,12,3,1700
2020-11-16 10:15:00,1605521700,21.11,21.11,21.05,21.07,10,4,2800
2020-11-16 10:30:00,1605522600,21.12,21.15,21.08,21.15,10,1,3800
2020-11-16 10:45:00,1605523500,21.19,21.19,21.12,21.14,18,1,4300
2020-11-16 11:00:00,1605524400,21.12,21.14,21.11,21.12,14,1,8200
2020-11-16 11:15:00,1605525300,21.12,21.16,21.12,21.16,32,1,26700
2020-11-16 11:30:00,1605526200,21.16,21.17,21.15,21.15,17,1,7200
2020-11-16 11:45:00,1605527100,21.17,21.25,21.17,21.2,12,1,3700
2020-11-16 12:00:00,1605528000,21.2,21.24,21.15,21.15,24,1,6400
2020-11-16 12:15:00,1605528900,21.15,21.19,21.1,21.1,16,1,2800
2020-11-16 12:30:00,1605529800,21.1,21.1,21.1,21.1,4,1,1000
2020-11-16 12:45:00,1605530700,21.1,21.1,21.09,21.09,2,1,200
2020-11-16 13:00:00,1605531600,21.09,21.1,21.09,21.1,5,1,800
2020-11-16 13:15:00,1605532500,21.1,21.1,21.1,21.1,6,2,2100
2020-11-16 13:30:00,1605533400,21.08,21.1,21.08,21.08,8,1,1600
2020-11-16 13:45:00,1605534300,21.08,21.1,21.08,21.08,8,1,2600
2020-11-16 14:00:00,1605535200,21.08,21.1,21.08,21.08,5,1,900
2020-11-16 14:15:00,1605536100,21.08,21.08,21.08,21.08,2,1,300
2020-11-16 14:30:00,1605537000,21.07,21.1,21.07,21.08,15,1,6200
2020-11-16 14:45:00,1605537900,21.08,21.08,21.08,21.08,3,1,400
2020-11-16 15:00:00,1605538800,21.08,21.1,21.08,21.08,8,1,2100
2020-11-16 15:15:00,1605539700,21.08,21.08,21.05,21.05,9,1,1400
2020-11-16 15:30:00,1605540600,21.07,21.07,21.05,21.07,6,1,900
2020-11-16 15:45:00,1605541500,21.07,21.07,21.0,21.05,15,1,1700
2020-11-16 16:00:00,1605542400,21.04,21.04,21.04,21.04,1,4,100
2020-11-16 16:15:00,1605543300,21.02,21.06,21.02,21.06,5,1,800
2020-11-16 16:30:00,1605544200,21.05,21.06,21.05,21.06,2,1,400
2020-11-16 16:45:00,1605545100,21.06,21.06,21.03,21.04,8,1,2100
2020-11-16 17:00:00,1605546000,21.03,21.03,21.03,21.03,1,2,200
2020-11-16 17:15:00,1605546900,21.03,21.03,21.03,21.03,2,2,600
2020-11-16 17:30:00,1605547800,21.03,21.04,21.02,21.03,7,1,1200
2020-11-16 17:45:00,1605548700,21.02,21.02,20.97,21.0,18,3,4000
2020-11-16 18:00:00,1605549600,21.0,21.0,21.0,21.0,39,0,76600
2020-11-17 10:00:00,1605607200,20.94,20.95,20.94,20.94,8,1,2200
2020-11-17 10:15:00,1605608100,20.9,20.9,20.79,20.8,19,1,2400
2020-11-17 10:30:00,1605609000,20.76,20.8,20.65,20.7,21,1,5700
2020-11-17 10:45:00,1605609900,20.7,20.7,20.65,20.7,11,3,3000
2020-11-17 11:00:00,1605610800,20.73,20.79,20.67,20.73,20,2,3300
2020-11-17 11:15:00,1605611700,20.73,20.79,20.73,20.79,5,1,500
2020-11-17 11:30:00,1605612600,20.79,20.94,20.76,20.94,21,1,2900
2020-11-17 11:45:00,1605613500,20.93,20.93,20.93,20.93,6,3,1500
2020-11-17 12:00:00,1605614400,20.9,20.91,20.85,20.85,5,2,1300
2020-11-17 12:15:00,1605615300,20.85,20.99,20.85,20.99,10,2,2600
2020-11-17 12:30:00,1605616200,20.9,20.9,20.85,20.9,7,4,1000
2020-11-17 12:45:00,1605617100,20.89,20.9,20.82,20.89,13,1,2000
2020-11-17 13:00:00,1605618000,20.89,20.9,20.89,20.89,7,1,1500
2020-11-17 13:15:00,1605618900,20.89,20.89,20.81,20.81,6,1,1100
2020-11-17 13:30:00,1605619800,20.88,20.89,20.88,20.89,2,6,400
2020-11-17 13:45:00,1605620700,20.89,20.89,20.89,20.89,3,1,700
2020-11-17 14:00:00,1605621600,20.9,20.9,20.79,20.79,24,1,5600
2020-11-17 14:15:00,1605622500,20.79,20.88,20.79,20.87,6,1,1400
2020-11-17 14:30:00,1605623400,20.85,20.88,20.82,20.88,9,1,1100
2020-11-17 14:45:00,1605624300,20.87,20.87,20.8,20.8,7,2,900
2020-11-17 15:00:00,1605625200,20.81,20.81,20.79,20.79,10,1,1300
2020-11-17 15:15:00,1605626100,20.78,20.82,20.73,20.82,12,1,1700
2020-11-17 15:30:00,1605627000,20.82,20.82,20.82,20.82,3,3,500
2020-11-17 15:45:00,1605627900,20.77,20.81,20.73,20.8,9,1,1000
2020-11-17 16:00:00,1605628800,20.8,20.82,20.8,20.82,2,2,200
2020-11-17 16:15:00,1605629700,20.84,20.84,20.8,20.82,9,1,1300
2020-11-17 16:30:00,1605630600,20.82,20.83,20.81,20.83,5,1,1700
2020-11-17 16:45:00,1605631500,20.84,20.84,20.84,20.84,2,3,400
2020-11-17 17:00:00,1605632400,20.84,20.87,20.83,20.83,6,1,2000
2020-11-17 17:15:00,1605633300,20.84,20.85,20.84,20.85,8,2,900
2020-11-17 17:30:00,1605634200,20.85,20.85,20.85,20.85,1,1,1800
2020-11-17 17:45:00,1605635100,20.85,20.86,20.85,20.86,5,1,1100
2020-11-17 18:00:00,1605636000,20.99,20.99,20.99,20.99,37,0,201600
2020-11-18 10:00:00,1605693600,20.99,20.99,20.99,20.99,1,15,300
2020-11-18 10:15:00,1605694500,21.0,21.03,21.0,21.03,3,13,400
2020-11-18 10:30:00,1605695400,21.03,21.03,21.0,21.0,4,6,800
2020-11-18 10:45:00,1605696300,20.98,20.98,20.95,20.95,2,2,200
2020-11-18 11:00:00,1605697200,21.0,21.0,21.0,21.0,1,2,500
2020-11-18 11:15:00,1605698100,21.0,21.0,20.91,20.91,6,3,600
2020-11-18 11:30:00,1605699000,20.99,20.99,20.99,20.99,1,9,300
2020-11-18 11:45:00,1605699900,21.0,21.0,20.99,20.99,4,1,700
2020-11-18 12:00:00,1605700800,21.01,21.05,21.0,21.0,11,1,2100
2020-11-18 12:15:00,1605701700,21.0,21.03,20.95,20.95,6,4,1800
2020-11-18 12:30:00,1605702600,20.95,20.95,20.95,20.95,1,7,100
