datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-03,1151884800,89.6,97.1,89.6,96.65,199,0,326600
2006-07-04,1151971200,97.1,99.3,95.7,97.7,139,0,243700
2006-07-05,1152057600,96.25,97.15,92.25,97.1,168,0,241100
2006-07-06,1152144000,96.65,99.3,90.9,94.85,345,0,378800
2006-07-07,1152230400,93.1,94.7,90.45,94.05,88,0,145500
2006-07-10,1152489600,94.85,94.85,89.6,91.25,141,0,129200
2006-07-11,1152576000,88.45,89.55,86.0,88.2,188,0,200800
2006-07-12,1152662400,88.25,88.85,84.4,88.25,84,0,214900
2006-07-13,1152748800,85.5,88.25,84.55,86.35,76,0,128000
2006-07-14,1152835200,84.75,88.2,84.75,88.2,61,0,95500
2006-07-17,1153094400,87.15,87.15,82.15,85.85,51,0,37100
2006-07-18,1153180800,84.25,86.65,80.75,83.15,203,0,331000
2006-07-19,1153267200,85.45,87.6,81.6,86.9,265,0,530900
2006-07-20,1153353600,88.25,88.3,84.05,84.5,109,0,552300
2006-07-21,1153440000,85.7,85.7,81.25,81.6,101,0,117300
2006-07-24,1153699200,83.7,83.7,75.5,79.05,144,0,288700
2006-07-25,1153785600,79.1,80.7,79.1,80.6,168,0,350300
2006-07-26,1153872000,79.9,80.7,79.25,79.45,125,0,469500
2006-07-27,1153958400,80.7,80.7,77.7,78.3,85,0,456500
2006-07-28,1154044800,78.95,79.0,76.3,77.2,152,0,484500
2006-07-31,1154304000,77.2,77.2,74.25,75.0,183,0,648000
2006-08-01,1154390400,74.1,74.1,71.1,72.05,136,0,321600
2006-08-02,1154476800,73.25,74.1,70.6,71.55,276,0,594600
2006-08-03,1154563200,71.5,71.5,69.7,71.45,333,0,802000
2006-08-04,1154649600,71.45,73.05,69.7,71.45,496,0,2249800
2006-08-07,1154908800,71.5,74.8,71.05,72.8,671,0,921500
2006-08-08,1154995200,72.9,75.9,72.4,75.0,654,0,1213100
2006-08-09,1155081600,76.4,82.55,76.4,80.75,968,0,1727200
2006-08-10,1155168000,79.95,84.9,78.0,83.45,545,0,698400
2006-08-11,1155254400,83.85,84.75,80.75,81.25,265,0,160000
2006-08-14,1155513600,80.75,85.0,77.4,81.5,449,0,752400
2006-08-15,1155600000,81.6,85.0,80.75,82.95,384,0,1030700
2006-08-16,1155686400,83.45,90.45,83.45,90.05,547,0,1479600
2006-08-17,1155772800,90.05,96.25,88.65,90.95,430,0,891000
2006-08-18,1155859200,93.1,94.65,88.85,93.15,212,0,177200
2006-08-21,1156118400,92.6,94.45,91.55,92.6,156,0,533900
2006-08-22,1156204800,92.6,96.2,92.25,92.25,251,0,271200
2006-08-23,1156291200,92.25,92.6,86.0,86.4,367,0,729300
2006-08-24,1156377600,86.4,88.2,82.1,87.8,199,0,240100
2006-08-25,1156464000,87.6,92.5,87.4,92.5,212,0,408300
2006-08-28,1156723200,92.6,93.55,90.45,92.45,273,0,364600
