datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-20 10:15:00,1145528100,19.0,19.0,19.0,19.0,1,0,7050
2006-04-24 15:30:00,1145892600,25.0,25.0,25.0,25.0,1,0,600
2006-04-25 15:15:00,1145978100,19.0,19.0,19.0,19.0,1,0,500
2006-04-26 14:30:00,1146061800,19.01,19.01,19.01,19.01,1,0,49850
2006-05-12 00:00:00,1147392000,20.26,20.26,20.26,20.26,2,0,49850
2006-05-15 16:30:00,1147710600,21.0,21.0,21.0,21.0,1,0,21650
2007-02-26 13:00:00,1172494800,30.0,30.0,30.0,30.0,1,0,5
2007-03-09 13:45:00,1173447900,30.0,30.0,30.0,30.0,1,0,3
2007-03-09 16:15:00,1173456900,30.0,30.0,30.0,30.0,1,0,2
2007-03-09 17:15:00,1173460500,30.0,30.0,30.0,30.0,1,0,4
2007-03-12 10:15:00,1173694500,27.2,27.2,27.2,27.2,2,0,50
2007-03-12 10:30:00,1173695400,30.0,30.0,30.0,30.0,1,0,14
2007-03-12 10:45:00,1173696300,33.0,33.0,33.0,33.0,1,0,10
2007-03-12 12:30:00,1173702600,33.0,33.0,33.0,33.0,1,0,10
2007-03-14 15:00:00,1173884400,47.0,47.0,47.0,47.0,1,0,10
2007-03-19 15:00:00,1174316400,59.0,59.0,59.0,59.0,1,0,10
2007-05-07 14:15:00,1178547300,55.0,55.0,55.0,55.0,1,0,13
2007-05-22 14:30:00,1179844200,50.02,50.02,50.02,50.02,6,0,192
2007-05-22 15:45:00,1179848700,50.02,50.02,50.01,50.01,2,0,20
2007-05-23 16:15:00,1179936900,50.01,50.01,40.01,40.01,5,0,136
2007-05-23 16:30:00,1179937800,40.0,40.0,40.0,40.0,1,0,99
2007-05-24 16:00:00,1180022400,42.5,42.5,42.5,42.5,2,0,10
2007-05-24 16:15:00,1180023300,43.0,43.0,42.01,42.01,3,0,27
2007-05-24 16:45:00,1180025100,38.01,38.01,31.0,31.0,4,0,120
2007-05-25 14:45:00,1180104300,37.1,37.1,37.1,37.1,1,0,10
2007-05-25 15:00:00,1180105200,38.01,38.01,38.01,38.01,1,0,1
2007-05-25 16:00:00,1180108800,42.0,42.0,42.0,42.0,1,0,5
2007-05-25 16:30:00,1180110600,45.0,45.0,45.0,45.0,1,0,5
2007-05-25 18:00:00,1180116000,45.0,45.0,45.0,45.0,2,0,19
2007-05-28 16:00:00,1180368000,55.0,55.0,55.0,55.0,1,0,20
2007-05-28 16:45:00,1180370700,65.0,65.0,65.0,65.0,1,0,50
2007-06-08 16:00:00,1181318400,57.0,57.0,57.0,57.0,1,0,98
2007-06-08 16:45:00,1181321100,52.0,52.0,52.0,52.0,2,0,98
2007-06-12 16:15:00,1181664900,52.0,52.0,52.0,52.0,1,0,13
2007-06-12 16:30:00,1181665800,51.5,51.5,51.5,51.5,1,0,20
2007-06-13 10:45:00,1181731500,45.0,45.0,45.0,45.0,2,0,198
2007-06-14 10:45:00,1181817900,56.0,56.0,56.0,56.0,1,0,4
2007-06-19 12:30:00,1182256200,51.0,51.0,51.0,51.0,1,0,86
2007-06-20 13:00:00,1182344400,52.25,52.25,52.25,52.25,1,0,12
2007-06-21 15:00:00,1182438000,64.0,64.0,64.0,64.0,2,0,3
2007-06-29 10:15:00,1183112100,63.98,63.98,63.98,63.98,1,0,4
2007-06-29 15:30:00,1183131000,63.99,63.99,63.99,63.99,1,0,4
2007-07-11 10:15:00,1184148900,63.99,63.99,63.99,63.99,1,0,16
2007-07-11 12:45:00,1184157900,63.0,63.0,63.0,63.0,1,0,1
2007-07-12 13:00:00,1184245200,64.84,64.84,64.84,64.84,1,0,8
2007-07-12 16:30:00,1184257800,60.0,60.0,60.0,60.0,1,0,30
2007-07-12 16:45:00,1184258700,60.0,60.0,60.0,60.0,1,0,58
2007-07-13 14:45:00,1184337900,63.0,63.0,63.0,63.0,1,0,11
2007-07-16 11:15:00,1184584500,67.0,67.0,67.0,67.0,1,0,4
2007-07-16 16:45:00,1184604300,78.0,78.0,78.0,78.0,1,0,6
2007-07-17 10:00:00,1184666400,68.98,68.98,68.98,68.98,1,0,50
2007-07-20 16:45:00,1184949900,68.99,78.0,68.99,78.0,2,0,7
2007-07-24 14:15:00,1185286500,78.0,78.75,78.0,78.75,3,0,9
2007-07-31 16:30:00,1185899400,80.0,80.0,80.0,80.0,1,0,1
2007-07-31 16:45:00,1185900300,80.0,80.0,80.0,80.0,1,0,20
2007-07-31 17:45:00,1185903900,80.0,80.0,80.0,80.0,2,0,25
2007-08-03 16:30:00,1186158600,80.0,80.0,80.0,80.0,1,0,4
2007-08-06 10:00:00,1186394400,96.0,96.0,96.0,96.0,1,0,3
2007-08-06 10:30:00,1186396200,90.5,90.5,89.0,89.0,4,0,70
2007-08-06 13:15:00,1186406100,89.0,89.0,89.0,89.0,1,0,4
2007-08-07 18:45:00,1186512300,100.0,101.0,100.0,101.0,2,0,47
2007-08-09 12:30:00,1186662600,120.0,120.0,115.0,115.0,2,0,16
2007-08-13 12:15:00,1187007300,107.5,107.5,107.5,107.5,1,0,20
2007-08-13 12:45:00,1187009100,107.5,107.5,107.5,107.5,2,0,19
2007-08-13 16:00:00,1187020800,107.5,107.5,107.5,107.5,1,0,25
2007-08-13 16:30:00,1187022600,107.0,107.0,107.0,107.0,1,0,4
2007-08-13 16:45:00,1187023500,107.0,107.0,107.0,107.0,1,0,17
2007-08-14 11:15:00,1187090100,107.0,107.0,107.0,107.0,1,0,24
2007-08-20 13:30:00,1187616600,95.0,95.0,95.0,95.0,1,0,5
2007-08-20 15:15:00,1187622900,95.0,95.0,95.0,95.0,1,0,2
2007-08-30 10:00:00,1188468000,95.0,95.0,95.0,95.0,1,0,7
2007-08-30 10:45:00,1188470700,80.0,80.0,80.0,80.0,1,0,1
2007-09-03 16:15:00,1188836100,95.0,95.0,95.0,95.0,1,0,1
2007-09-04 10:15:00,1188900900,95.0,95.0,95.0,95.0,1,0,25
2007-09-04 11:45:00,1188906300,95.0,95.0,95.0,95.0,1,0,25
2007-09-17 10:00:00,1190023200,95.0,95.0,95.0,95.0,1,0,2
2007-09-18 10:45:00,1190112300,105.0,105.0,105.0,105.0,1,0,5
2007-09-18 15:00:00,1190127600,105.0,105.0,105.0,105.0,1,0,4
2007-09-24 11:15:00,1190632500,96.0,96.0,96.0,96.0,1,0,1
2007-09-27 11:45:00,1190893500,96.0,96.0,96.0,96.0,3,0,13
2007-09-27 12:00:00,1190894400,96.0,96.0,96.0,96.0,2,0,2
2007-09-27 13:00:00,1190898000,96.0,96.0,96.0,96.0,1,0,1
2007-09-27 14:00:00,1190901600,96.0,96.0,96.0,96.0,1,0,5
2007-09-28 15:30:00,1190993400,105.0,107.0,105.0,107.0,2,0,53
2007-10-02 11:15:00,1191323700,130.0,130.0,130.0,130.0,1,0,8
2007-10-02 16:00:00,1191340800,132.99,133.0,132.99,133.0,2,0,10
2007-10-08 12:30:00,1191846600,135.0,135.0,135.0,135.0,1,0,18
2007-10-18 14:15:00,1192716900,150.0,150.0,150.0,150.0,1,0,2
2007-10-29 13:45:00,1193665500,165.0,165.0,165.0,165.0,1,0,5
2007-10-31 11:45:00,1193831100,165.5,165.5,165.5,165.5,1,0,5
2007-10-31 18:45:00,1193856300,165.5,165.5,165.5,165.5,1,0,5
2007-11-05 18:45:00,1194288300,145.0,145.0,145.0,145.0,1,0,10
2007-11-27 17:30:00,1196184600,129.0,129.0,129.0,129.0,1,0,16
2007-11-29 13:15:00,1196342100,135.0,135.0,135.0,135.0,1,0,5
2007-11-30 11:15:00,1196421300,129.0,129.0,129.0,129.0,1,0,26
2007-12-03 15:00:00,1196694000,130.0,130.0,130.0,130.0,1,0,2
2007-12-14 15:00:00,1197644400,136.0,136.0,136.0,136.0,1,0,1
2007-12-17 16:00:00,1197907200,136.0,136.0,136.0,136.0,1,0,4
2007-12-26 13:30:00,1198675800,136.0,136.0,136.0,136.0,1,0,10
2007-12-26 14:45:00,1198680300,136.0,136.0,136.0,136.0,1,0,25
2008-01-10 16:45:00,1199983500,140.0,140.0,140.0,140.0,1,0,20
2008-01-21 13:00:00,1200920400,129.0,129.0,129.0,129.0,1,0,5
2008-01-30 14:30:00,1201703400,125.0,125.0,125.0,125.0,1,0,1
2008-02-11 11:15:00,1202728500,125.0,125.0,125.0,125.0,1,0,2
2008-02-12 16:00:00,1202832000,160.0,160.0,160.0,160.0,1,0,2
2008-02-13 17:15:00,1202922900,145.0,145.0,145.0,145.0,1,0,2
2008-02-15 13:00:00,1203080400,151.0,151.0,151.0,151.0,1,0,3
2008-02-15 13:30:00,1203082200,151.0,151.0,151.0,151.0,1,0,2
2008-03-04 11:45:00,1204631100,145.0,145.0,145.0,145.0,1,0,5
2008-03-06 11:45:00,1204803900,145.0,145.0,145.0,145.0,1,0,10
2008-03-06 14:45:00,1204814700,155.0,155.0,155.0,155.0,1,0,10
2008-03-10 12:30:00,1205152200,145.0,145.0,145.0,145.0,1,0,36
2008-03-24 10:45:00,1206355500,145.0,145.0,145.0,145.0,1,0,37
2008-04-09 10:45:00,1207737900,145.0,145.0,145.0,145.0,1,0,2
2008-05-05 14:30:00,1209997800,150.0,150.0,150.0,150.0,1,0,14
2008-05-21 15:00:00,1211382000,144.0,144.0,144.0,144.0,1,0,2
2008-07-02 15:00:00,1215010800,143.0,143.0,143.0,143.0,1,0,3
2008-07-31 15:30:00,1217518200,149.99,149.99,149.99,149.99,1,0,10
2008-08-18 12:45:00,1219063500,125.0,125.0,125.0,125.0,1,0,5
2008-09-11 12:45:00,1221137100,99.0,99.0,99.0,99.0,1,0,2
