datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-04-04,1175644800,2.25,2.25,2.25,2.25,4,0,22100000
2007-04-05,1175731200,2.25,2.25,2.25,2.25,3,0,23000000
2007-04-09,1176076800,2.25,2.25,2.25,2.25,8,0,306400000
2007-04-10,1176163200,2.25,2.25,2.25,2.25,9,0,16500000
2007-04-11,1176249600,2.25,2.25,2.25,2.25,13,0,47100000
2007-04-12,1176336000,2.25,2.25,2.25,2.25,28,0,1753500000
2007-04-13,1176422400,2.25,2.25,2.25,2.25,8,0,169400000
2007-04-16,1176681600,2.25,2.25,2.25,2.25,11,0,122000000
2007-04-17,1176768000,2.25,2.25,2.25,2.25,9,0,159100000
2007-04-18,1176854400,2.25,2.25,2.25,2.25,13,0,569900000
2007-04-19,1176940800,2.25,2.25,2.25,2.25,14,0,93900000
2007-04-20,1177027200,2.25,2.25,2.25,2.25,13,0,87800000
2007-04-23,1177286400,2.25,2.25,2.25,2.25,4,0,112000000
2007-04-24,1177372800,2.25,2.25,2.25,2.25,10,0,47200000
2007-04-25,1177459200,2.25,2.25,2.25,2.25,18,0,1106400000
2007-04-26,1177545600,2.25,2.25,2.25,2.25,20,0,225300000
2007-04-27,1177632000,2.25,2.25,2.25,2.25,11,0,203300000
2007-04-30,1177891200,2.25,2.25,2.25,2.25,1,0,3900000
2007-05-02,1178064000,2.25,2.25,2.25,2.25,14,0,92700000
2007-05-03,1178150400,2.25,2.25,2.25,2.25,18,0,202400000
2007-05-04,1178236800,2.25,2.25,2.25,2.25,5,0,119600000
2007-05-07,1178496000,2.25,2.25,2.25,2.25,9,0,19900000
2007-05-08,1178582400,2.25,2.25,2.25,2.25,5,0,77600000
2007-05-09,1178668800,2.25,2.25,2.25,2.25,14,0,379800000
2007-05-10,1178755200,2.25,2.25,2.25,2.25,6,0,14600000
2007-05-11,1178841600,2.25,2.25,2.25,2.25,11,0,125800000
2007-05-14,1179100800,2.25,2.25,2.25,2.25,11,0,85900000
2007-05-15,1179187200,2.25,2.25,2.25,2.25,10,0,29300000
2007-05-16,1179273600,2.25,2.25,2.25,2.25,7,0,530200000
2007-05-17,1179360000,2.25,2.25,2.25,2.25,6,0,29900000
2007-05-18,1179446400,2.25,2.25,2.25,2.25,9,0,114200000
2007-05-21,1179705600,2.25,2.25,2.25,2.25,5,0,30300000
2007-05-22,1179792000,2.25,2.25,2.25,2.25,18,0,113800000
2007-05-23,1179878400,2.25,2.25,2.25,2.25,14,0,199600000
2007-05-24,1179964800,2.25,2.25,2.25,2.25,8,0,510100000
2007-05-25,1180051200,2.25,2.25,2.25,2.25,13,0,70200000
2007-05-28,1180310400,2.25,2.25,2.25,2.25,20,0,726000000
2007-05-29,1180396800,2.25,2.25,2.25,2.25,13,0,310000000
2007-05-30,1180483200,2.25,2.25,2.25,2.25,15,0,348200000
2007-05-31,1180569600,2.25,2.25,2.25,2.25,4,0,14500000
2007-06-01,1180656000,2.25,2.25,2.25,2.25,18,0,448600000
2007-06-04,1180915200,2.25,2.25,2.25,2.25,8,0,62000000
2007-06-05,1181001600,2.25,2.25,2.25,2.25,16,0,512600000
2007-06-06,1181088000,2.25,2.25,2.25,2.25,11,0,126600000
2007-06-08,1181260800,2.25,2.25,2.25,2.25,3,0,95200000
2007-06-11,1181520000,2.25,2.25,2.25,2.25,5,0,30600000
2007-06-12,1181606400,2.25,2.25,2.25,2.25,12,0,55800000
2007-06-13,1181692800,2.25,2.25,2.25,2.25,9,0,72100000
2007-06-14,1181779200,2.25,2.25,2.25,2.25,5,0,21700000
2007-06-15,1181865600,2.25,2.25,2.25,2.25,17,0,290200000
2007-06-18,1182124800,2.25,2.25,2.25,2.25,15,0,107300000
2007-06-19,1182211200,2.25,2.25,2.25,2.25,7,0,77100000
2007-06-21,1182384000,2.25,2.25,2.25,2.25,17,0,296000000
2007-06-22,1182470400,2.25,2.25,2.25,2.25,40,0,439300000
2007-06-25,1182729600,2.25,2.25,2.25,2.25,29,0,570900000
2007-06-26,1182816000,2.25,2.25,2.25,2.25,27,0,604300000
2007-06-27,1182902400,2.25,2.25,2.25,2.25,14,0,270400000
2007-06-28,1182988800,2.25,2.25,2.25,2.25,11,0,153100000
2007-06-29,1183075200,2.25,2.25,2.25,2.25,15,0,102600000
2007-07-05,1183593600,2.25,2.25,2.25,2.25,2,0,300000000
2007-07-06,1183680000,2.25,2.25,2.25,2.25,3,0,400000000
2007-07-11,1184112000,2.25,2.25,2.25,2.25,1,0,100000000
2007-07-12,1184198400,2.25,2.25,2.25,2.25,4,0,900000000
2007-07-13,1184284800,2.25,2.25,2.25,2.25,4,0,400000000
2007-07-16,1184544000,2.25,2.25,2.25,2.25,1,0,100000000
2007-07-17,1184630400,2.73,2.73,2.73,2.73,10,0,1000000000
2007-07-27,1185494400,2.73,2.73,2.73,2.73,3,0,300000000
2007-07-31,1185840000,2.73,2.73,2.73,2.73,1,0,100000000
2007-08-07,1186444800,2.25,2.25,2.25,2.25,2,0,200000000
2007-08-08,1186531200,2.25,2.25,2.25,2.25,2,0,200000000
2007-08-15,1187136000,2.25,2.25,2.25,2.25,3,0,400000000
2007-08-16,1187222400,2.25,2.25,2.25,2.25,1,0,500000000
2007-08-17,1187308800,2.25,2.25,2.25,2.25,3,0,300000000
2007-08-22,1187740800,2.25,2.25,2.25,2.25,2,0,200000000
2007-08-28,1188259200,2.25,2.25,2.25,2.25,6,0,2300000000
2007-08-29,1188345600,2.25,2.25,2.25,2.25,8,0,3400000000
2007-08-30,1188432000,2.25,2.25,2.25,2.25,5,0,700000000
2007-08-31,1188518400,2.25,2.25,2.25,2.25,2,0,200000000
2007-09-04,1188864000,2.25,2.25,2.25,2.25,1,0,100000000
2007-09-10,1189382400,2.25,2.25,2.25,2.25,2,0,200000000
2007-09-11,1189468800,2.25,2.25,2.25,2.25,1,0,100000000
2007-09-18,1190073600,2.25,2.25,2.25,2.25,5,0,500000000
2007-09-19,1190160000,2.25,2.25,2.25,2.25,2,0,200000000
2007-09-24,1190592000,2.25,2.25,2.25,2.25,3,0,400000000
2007-09-27,1190851200,2.25,2.25,2.25,2.25,3,0,300000000
2007-10-02,1191283200,2.73,2.73,2.73,2.73,2,0,200000000
2007-10-03,1191369600,2.73,2.73,2.73,2.73,4,0,400000000
2007-10-04,1191456000,2.73,2.73,2.73,2.73,1,0,100000000
2007-10-08,1191801600,2.73,2.73,2.73,2.73,8,0,800000000
2007-10-09,1191888000,2.73,2.73,2.73,2.73,7,0,700000000
2007-10-10,1191974400,2.73,2.73,2.73,2.73,2,0,200000000
2007-10-15,1192406400,2.73,2.73,2.73,2.73,1,0,100000000
2007-10-16,1192492800,2.73,2.73,2.73,2.73,3,0,500000000
2007-10-17,1192579200,2.73,2.73,2.73,2.73,1,0,100000000
2007-10-19,1192752000,2.73,2.73,2.73,2.73,3,0,300000000
2007-10-22,1193011200,2.73,2.73,2.25,2.73,4,0,400000000
