datetime,time,open,high,low,close,tick_volume,spread,real_volume
2013-06-07 12:30:00,1370608200,6.05,6.05,6.05,6.05,2,0,800
2013-10-09 11:30:00,1381318200,6.05,6.05,6.05,6.05,1,0,100
2014-08-11 12:45:00,1407761100,6.16,6.16,6.16,6.16,1,0,100
2014-12-02 17:00:00,1417539600,6.16,6.16,6.16,6.16,1,0,100
2015-05-21 12:15:00,1432210500,6.24,6.24,6.24,6.24,2,1,200
2015-05-25 16:15:00,1432570500,6.24,6.24,6.24,6.24,1,1,100
2015-06-18 10:45:00,1434624300,6.24,6.24,6.24,6.24,1,1,100
2015-06-19 10:00:00,1434708000,6.24,6.24,6.24,6.24,1,1,100
2015-09-21 13:00:00,1442840400,2.86,2.86,2.86,2.86,3,1,700
2015-09-21 13:30:00,1442842200,2.87,2.87,2.87,2.87,1,1,100
2015-10-13 16:00:00,1444752000,3.25,3.25,3.25,3.25,1,1,200
2015-11-11 14:00:00,1447250400,2.99,2.99,2.99,2.99,1,1,100
2015-11-11 14:30:00,1447252200,2.98,2.98,2.98,2.98,1,1,100
2015-11-17 13:45:00,1447767900,2.88,2.88,2.88,2.88,1,1,100
2015-11-23 16:15:00,1448295300,3.25,3.25,3.25,3.25,1,1,200
2015-11-26 10:30:00,1448533800,3.25,3.25,3.25,3.25,1,1,100
2015-12-10 12:30:00,1449750600,3.25,3.25,3.25,3.25,1,1,200
2015-12-16 16:15:00,1450282500,3.25,3.25,3.25,3.25,1,1,100
2016-01-04 12:30:00,1451910600,3.42,3.42,3.42,3.42,1,1,400
2016-01-20 10:15:00,1453284900,3.42,3.42,3.42,3.42,1,1,100
2016-03-03 12:45:00,1457009100,2.71,2.71,2.71,2.71,1,1,100
2016-05-16 16:15:00,1463415300,4.7,4.7,4.7,4.7,1,1,500
2016-07-26 11:00:00,1469530800,7.15,7.15,7.15,7.15,1,1,100
2016-07-29 15:00:00,1469804400,5.38,5.38,5.38,5.38,1,1,300
2016-08-01 16:00:00,1470067200,5.38,5.38,5.38,5.38,1,1,100
2017-02-16 16:00:00,1487260800,11.26,11.26,11.26,11.26,1,1,100
2017-03-07 12:15:00,1488888900,11.35,11.35,11.35,11.35,6,1,2200
2017-03-07 13:15:00,1488892500,11.35,11.35,11.35,11.35,8,1,3000
2017-03-07 16:45:00,1488905100,11.34,11.34,11.34,11.34,1,1,100
2017-03-07 18:00:00,1488909600,12.01,12.01,12.01,12.01,2,0,500
2017-03-08 10:15:00,1488968100,12.01,12.01,12.01,12.01,1,1,100
2017-03-08 14:15:00,1488982500,11.21,11.21,11.16,11.16,2,1,900
2017-03-08 14:45:00,1488984300,11.16,11.16,11.16,11.16,1,1,100
2017-03-08 16:45:00,1488991500,11.16,11.16,11.16,11.16,1,1,100
2017-03-09 10:00:00,1489053600,12.01,12.01,12.01,12.01,1,1,100
2017-03-09 10:15:00,1489054500,12.13,12.13,12.13,12.13,2,1,200
2017-03-09 10:30:00,1489055400,11.63,11.63,11.63,11.63,1,1,100
2017-03-09 11:15:00,1489058100,11.84,11.84,11.84,11.84,3,1,400
2017-03-09 12:30:00,1489062600,11.35,11.35,11.35,11.35,2,1,400
2017-03-09 13:30:00,1489066200,11.35,11.35,11.35,11.35,1,1,500
2017-03-09 14:00:00,1489068000,11.3,11.3,11.3,11.3,1,1,100
2017-03-09 16:00:00,1489075200,11.35,11.35,11.35,11.35,1,1,200
2017-03-09 16:45:00,1489077900,12.01,12.01,12.01,12.01,3,1,300
2017-03-09 17:15:00,1489079700,12.48,12.48,12.48,12.48,1,1,400
2017-03-09 17:30:00,1489080600,12.55,12.55,12.47,12.47,2,1,700
2017-03-10 10:15:00,1489140900,12.28,12.28,12.28,12.28,2,1,300
2017-03-10 11:15:00,1489144500,12.28,12.28,12.28,12.28,2,1,200
2017-03-10 11:30:00,1489145400,9.69,9.69,9.58,9.58,9,1,1000
2017-03-10 11:45:00,1489146300,9.58,9.58,9.58,9.58,2,1,300
2017-03-10 12:30:00,1489149000,10.53,10.53,10.53,10.53,1,1,100
2017-03-10 13:30:00,1489152600,11.12,11.12,11.12,11.12,2,1,200
2017-03-10 15:15:00,1489158900,11.11,11.11,10.53,10.53,7,1,2000
2017-03-10 15:45:00,1489160700,10.53,10.53,10.53,10.53,1,1,300
2017-03-10 16:30:00,1489163400,10.23,10.23,10.23,10.23,1,1,300
2017-03-10 16:45:00,1489164300,10.23,10.23,10.23,10.23,2,1,1100
2017-03-10 17:00:00,1489165200,9.95,9.95,9.95,9.95,7,1,2400
2017-03-10 17:15:00,1489166100,10.05,10.05,10.05,10.05,1,1,200
2017-03-10 17:30:00,1489167000,10.05,10.05,9.95,9.95,2,1,1000
2017-03-10 17:45:00,1489167900,10.21,10.23,10.21,10.23,2,1,200
2017-03-10 18:00:00,1489168800,9.96,9.96,9.96,9.96,1,0,100
2017-03-13 10:00:00,1489399200,9.95,9.95,9.3,9.34,21,1,8800
2017-03-13 10:15:00,1489400100,9.34,9.34,9.3,9.3,7,1,5100
2017-03-13 10:30:00,1489401000,9.3,9.3,9.3,9.3,4,1,2400
2017-03-13 10:45:00,1489401900,8.83,8.83,8.83,8.83,17,1,7200
2017-03-13 11:00:00,1489402800,8.75,8.89,8.65,8.65,20,1,6400
2017-03-13 11:15:00,1489403700,8.65,8.83,8.65,8.7,16,1,6500
2017-03-13 11:30:00,1489404600,8.65,8.65,8.56,8.65,18,1,11400
2017-03-13 11:45:00,1489405500,8.65,8.65,8.65,8.65,2,1,2500
2017-03-13 12:00:00,1489406400,8.65,8.65,8.61,8.65,10,1,6000
2017-03-13 12:15:00,1489407300,8.65,8.65,8.65,8.65,12,1,15200
2017-03-13 13:30:00,1489411800,8.71,9.01,8.71,9.01,43,1,33400
2017-03-13 13:45:00,1489412700,9.01,9.04,8.78,8.78,3,1,600
2017-03-13 14:45:00,1489416300,8.9,8.99,8.9,8.99,23,1,23200
2017-03-13 15:00:00,1489417200,8.9,8.9,8.73,8.73,11,1,3700
2017-03-13 16:00:00,1489420800,8.72,8.72,8.72,8.72,14,1,29200
2017-03-13 17:00:00,1489424400,8.71,8.71,8.71,8.71,30,0,47200
2017-03-14 10:00:00,1489485600,8.73,8.73,8.71,8.71,2,1,200
2017-03-14 10:15:00,1489486500,8.71,8.71,8.71,8.71,1,1,200
2017-03-14 10:30:00,1489487400,8.71,8.71,8.71,8.71,1,1,1000
2017-03-14 10:45:00,1489488300,8.65,8.65,8.65,8.65,2,1,2000
2017-03-14 11:00:00,1489489200,8.65,8.65,8.55,8.55,4,1,1800
2017-03-14 11:15:00,1489490100,8.56,8.56,8.56,8.56,1,1,200
2017-03-14 11:45:00,1489491900,8.57,8.6,8.56,8.6,4,1,600
2017-03-14 12:15:00,1489493700,8.64,8.65,8.64,8.65,5,1,5200
2017-03-14 12:30:00,1489494600,8.65,8.65,8.65,8.65,1,1,200
2017-03-14 13:00:00,1489496400,8.56,8.56,8.56,8.56,2,1,200
2017-03-14 13:30:00,1489498200,8.54,8.54,8.54,8.54,2,1,1000
2017-03-14 13:45:00,1489499100,8.63,8.65,8.63,8.65,2,1,200
2017-03-14 14:00:00,1489500000,8.65,8.65,8.65,8.65,3,1,3200
2017-03-14 14:15:00,1489500900,8.65,8.65,8.65,8.65,4,1,4000
2017-03-14 14:30:00,1489501800,8.65,8.73,8.65,8.72,31,1,18400
2017-03-14 14:45:00,1489502700,8.71,8.71,8.65,8.71,41,1,4700
2017-03-14 15:15:00,1489504500,8.58,8.58,8.58,8.58,1,1,600
2017-03-14 15:30:00,1489505400,8.6,8.63,8.6,8.63,2,1,1100
2017-03-14 16:30:00,1489509000,8.51,8.51,8.51,8.51,2,1,200
2017-03-14 16:45:00,1489509900,8.56,8.56,8.56,8.56,1,1,200
2017-03-14 17:00:00,1489510800,8.5,8.5,8.5,8.5,3,0,1100
2017-03-15 10:30:00,1489573800,8.37,8.37,8.37,8.37,1,1,400
2017-03-15 11:00:00,1489575600,8.42,8.42,8.36,8.36,5,1,2200
2017-03-15 11:30:00,1489577400,8.36,8.37,8.36,8.37,2,1,400
2017-03-15 11:45:00,1489578300,8.24,8.41,8.22,8.41,8,1,1200
2017-03-15 13:00:00,1489582800,8.41,8.41,8.41,8.41,1,1,500
2017-03-15 13:45:00,1489585500,8.37,8.37,8.37,8.37,1,1,100
2017-03-15 14:00:00,1489586400,8.37,8.37,8.37,8.37,1,1,100
2017-03-15 14:15:00,1489587300,8.37,8.37,8.37,8.37,3,1,300
2017-03-15 14:30:00,1489588200,8.3,8.3,8.29,8.29,2,1,600
2017-03-15 14:45:00,1489589100,8.37,8.37,8.37,8.37,3,1,700
2017-03-15 15:00:00,1489590000,8.4,8.41,8.37,8.37,6,1,1600
2017-03-15 15:45:00,1489592700,8.33,8.33,8.33,8.33,1,1,200
2017-03-15 16:15:00,1489594500,8.37,8.37,8.37,8.37,1,1,500
2017-03-15 16:45:00,1489596300,8.37,8.37,8.36,8.36,3,1,1800
2017-03-15 17:00:00,1489597200,8.33,8.33,8.33,8.33,2,0,700
2017-03-16 10:15:00,1489659300,8.33,8.33,8.33,8.33,1,1,100
