datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-04-17 10:15:00,1555496100,12.2,12.44,12.14,12.3,758,0,18502
2019-04-17 10:30:00,1555497000,12.39,12.6,12.3,12.6,328,1,8350
2019-04-17 10:45:00,1555497900,12.6,12.73,12.54,12.57,287,1,6037
2019-04-17 11:00:00,1555498800,12.57,12.63,12.53,12.59,110,1,1934
2019-04-17 11:15:00,1555499700,12.57,12.63,12.52,12.62,130,1,3263
2019-04-17 11:30:00,1555500600,12.59,12.6,12.57,12.57,63,1,1064
2019-04-17 11:45:00,1555501500,12.56,12.58,12.4,12.45,146,1,2567
2019-04-17 12:00:00,1555502400,12.49,12.53,12.46,12.52,42,1,731
2019-04-17 12:15:00,1555503300,12.51,12.55,12.5,12.52,47,1,819
2019-04-17 12:30:00,1555504200,12.55,12.55,12.49,12.5,67,1,1133
2019-04-17 12:45:00,1555505100,12.5,12.5,12.43,12.49,64,1,1098
2019-04-17 13:00:00,1555506000,12.45,12.45,12.37,12.4,147,1,1981
2019-04-17 13:15:00,1555506900,12.4,12.4,12.35,12.35,120,1,1698
2019-04-17 13:30:00,1555507800,12.36,12.4,12.3,12.3,59,1,1061
2019-04-17 13:45:00,1555508700,12.31,12.31,12.17,12.17,120,1,1968
2019-04-17 14:00:00,1555509600,12.18,12.19,12.13,12.19,87,1,1953
2019-04-17 14:15:00,1555510500,12.18,12.22,12.13,12.2,72,1,1597
2019-04-17 14:30:00,1555511400,12.21,12.32,12.18,12.27,1048,1,14856
2019-04-17 14:45:00,1555512300,12.27,12.3,12.27,12.29,34,1,1369
2019-04-17 15:00:00,1555513200,12.31,12.39,12.31,12.31,24,1,560
2019-04-17 15:15:00,1555514100,12.33,12.35,12.27,12.32,20,1,439
2019-04-17 15:30:00,1555515000,12.32,12.32,12.23,12.25,60,1,1562
2019-04-17 15:45:00,1555515900,12.26,12.28,12.22,12.22,57,1,1722
2019-04-17 16:00:00,1555516800,12.25,12.26,12.06,12.1,125,1,2239
2019-04-17 16:15:00,1555517700,12.1,12.2,12.09,12.13,46,1,1137
2019-04-17 16:30:00,1555518600,12.13,12.15,12.1,12.1,29,1,511
2019-04-17 16:45:00,1555519500,12.11,12.2,12.06,12.2,146,1,3715
2019-04-17 17:00:00,1555520400,12.0,12.0,12.0,12.0,117,0,2067
2019-04-18 10:00:00,1555581600,12.3,12.5,12.27,12.46,54,0,662
2019-04-18 10:15:00,1555582500,12.4,12.4,12.24,12.24,40,1,613
2019-04-18 10:30:00,1555583400,12.24,12.4,12.2,12.35,24,1,267
2019-04-18 10:45:00,1555584300,12.37,12.37,12.23,12.23,20,1,162
2019-04-18 11:00:00,1555585200,12.24,12.27,12.24,12.25,6,1,39
2019-04-18 11:15:00,1555586100,12.23,12.25,12.2,12.21,21,1,193
2019-04-18 11:30:00,1555587000,12.21,12.22,12.19,12.22,21,1,251
2019-04-18 11:45:00,1555587900,12.22,12.22,12.13,12.16,21,1,296
2019-04-18 12:00:00,1555588800,12.16,12.16,12.14,12.16,12,1,112
2019-04-18 12:15:00,1555589700,12.15,12.16,12.15,12.16,12,1,153
2019-04-18 12:30:00,1555590600,12.16,12.16,12.14,12.15,19,1,167
2019-04-18 12:45:00,1555591500,12.14,12.16,12.14,12.16,7,1,126
2019-04-18 13:00:00,1555592400,12.15,12.15,12.12,12.14,21,1,262
2019-04-18 13:15:00,1555593300,12.13,12.13,12.06,12.06,28,1,255
2019-04-18 13:30:00,1555594200,12.06,12.12,12.06,12.12,9,1,138
2019-04-18 13:45:00,1555595100,12.12,12.12,12.01,12.01,29,1,490
2019-04-18 14:00:00,1555596000,12.0,12.08,12.0,12.05,42,1,534
2019-04-18 14:15:00,1555596900,12.05,12.05,12.02,12.05,7,1,27
2019-04-18 14:30:00,1555597800,12.05,12.05,12.01,12.04,6,2,79
2019-04-18 14:45:00,1555598700,12.03,12.03,11.95,11.99,28,1,608
2019-04-18 15:00:00,1555599600,11.96,11.98,11.92,11.98,23,1,299
2019-04-18 15:15:00,1555600500,11.96,11.96,11.89,11.89,25,1,343
2019-04-18 15:30:00,1555601400,11.88,12.0,11.75,12.0,30,1,558
2019-04-18 15:45:00,1555602300,11.99,12.06,11.99,12.02,20,1,631
2019-04-18 16:00:00,1555603200,12.03,12.03,11.94,11.95,18,1,403
2019-04-18 16:15:00,1555604100,11.96,12.0,11.96,11.99,12,1,365
2019-04-18 16:30:00,1555605000,12.0,12.01,11.95,12.01,20,1,499
2019-04-18 16:45:00,1555605900,12.01,12.05,12.0,12.05,7,1,259
2019-04-18 17:00:00,1555606800,12.0,12.0,12.0,12.0,7,1,191
2019-04-22 10:00:00,1555927200,12.11,12.11,11.91,11.93,28,0,470
2019-04-22 10:15:00,1555928100,11.93,11.93,11.89,11.9,16,1,347
2019-04-22 10:30:00,1555929000,11.91,12.05,11.85,11.91,28,2,810
2019-04-22 10:45:00,1555929900,11.95,12.09,11.92,12.05,11,1,188
2019-04-22 11:00:00,1555930800,12.0,12.0,11.92,11.93,10,1,365
2019-04-22 11:15:00,1555931700,11.94,12.0,11.94,12.0,4,1,16
2019-04-22 11:30:00,1555932600,11.99,12.0,11.97,11.99,15,1,232
2019-04-22 11:45:00,1555933500,11.99,12.0,11.99,12.0,5,1,30
2019-04-22 12:00:00,1555934400,11.99,11.99,11.96,11.96,7,1,182
2019-04-22 12:15:00,1555935300,11.96,12.0,11.96,12.0,6,1,103
2019-04-22 12:30:00,1555936200,11.97,11.99,11.97,11.99,6,1,111
2019-04-22 12:45:00,1555937100,11.99,11.99,11.96,11.96,9,1,105
2019-04-22 13:00:00,1555938000,11.99,12.0,11.97,11.97,13,1,238
2019-04-22 13:15:00,1555938900,11.96,11.99,11.96,11.97,8,1,134
2019-04-22 13:30:00,1555939800,11.97,11.99,11.85,11.87,25,1,343
2019-04-22 13:45:00,1555940700,11.87,11.9,11.85,11.9,15,3,239
2019-04-22 14:00:00,1555941600,11.87,11.87,11.81,11.84,13,1,71
2019-04-22 14:15:00,1555942500,11.84,11.86,11.84,11.85,6,1,46
2019-04-22 14:30:00,1555943400,11.86,11.97,11.82,11.82,10,1,182
2019-04-22 14:45:00,1555944300,11.83,11.86,11.82,11.86,3,1,39
2019-04-22 15:00:00,1555945200,11.86,11.9,11.83,11.83,6,2,131
2019-04-22 15:15:00,1555946100,11.83,11.85,11.82,11.85,9,1,171
2019-04-22 15:30:00,1555947000,11.84,11.84,11.84,11.84,1,10,21
2019-04-22 15:45:00,1555947900,11.94,11.96,11.86,11.86,4,2,66
2019-04-22 16:00:00,1555948800,11.85,11.85,11.82,11.85,7,2,87
2019-04-22 16:15:00,1555949700,11.83,11.85,11.81,11.81,13,2,140
2019-04-22 16:30:00,1555950600,11.81,11.81,11.81,11.81,6,3,137
2019-04-22 16:45:00,1555951500,11.82,11.82,11.82,11.82,4,3,190
2019-04-22 17:00:00,1555952400,12.0,12.0,12.0,12.0,7,19,64
2019-04-23 10:00:00,1556013600,12.0,12.08,11.9,12.0,20,0,491
2019-04-23 10:15:00,1556014500,12.0,12.0,11.91,11.92,15,1,370
2019-04-23 10:30:00,1556015400,11.92,11.95,11.91,11.92,11,1,236
2019-04-23 10:45:00,1556016300,11.93,11.95,11.91,11.91,7,1,170
2019-04-23 11:00:00,1556017200,11.91,11.94,11.91,11.92,7,1,166
2019-04-23 11:15:00,1556018100,11.93,11.93,11.9,11.9,31,1,870
2019-04-23 11:30:00,1556019000,11.86,11.88,11.85,11.87,7,1,95
2019-04-23 11:45:00,1556019900,11.87,11.87,11.87,11.87,2,1,11
