datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-03,1151884800,6.5600000000000005,6.6,6.5,6.59,325,0,491760000
2006-07-04,1151971200,6.6899999999999995,6.6899999999999995,6.47,6.5600000000000005,217,0,212080000
2006-07-05,1152057600,6.44,6.63,6.39,6.47,330,0,347920000
2006-07-06,1152144000,6.59,6.79,6.51,6.6899999999999995,469,0,415440000
2006-07-07,1152230400,6.8,6.8,6.49,6.54,447,0,367040000
2006-07-10,1152489600,6.6899999999999995,6.72,6.46,6.5600000000000005,100,0,94400000
2006-07-11,1152576000,6.62,6.63,6.39,6.53,280,0,283520000
2006-07-12,1152662400,6.54,6.54,6.4,6.4,224,0,198240000
2006-07-13,1152748800,6.47,6.47,6.3,6.37,160,0,129200000
2006-07-14,1152835200,6.39,6.39,6.21,6.25,186,0,164480000
2006-07-17,1153094400,6.09,6.31,6.09,6.31,201,0,207600000
2006-07-18,1153180800,6.43,6.43,6.18,6.35,354,0,280960000
2006-07-19,1153267200,6.27,6.79,6.27,6.72,581,0,768640000
2006-07-20,1153353600,6.72,6.79,6.54,6.6,306,0,513440000
2006-07-21,1153440000,6.7,6.7,6.52,6.63,370,0,337840000
2006-07-24,1153699200,6.6899999999999995,6.87,6.63,6.85,405,0,512560000
2006-07-25,1153785600,6.82,6.88,6.77,6.82,336,0,575200000
2006-07-26,1153872000,6.84,6.98,6.78,6.8,256,0,271280000
2006-07-27,1153958400,6.92,6.92,6.79,6.85,343,0,277280000
2006-07-28,1154044800,6.92,7.04,6.88,6.95,368,0,395440000
2006-07-31,1154304000,6.92,7.08,6.88,6.92,323,0,221040000
2006-08-01,1154390400,6.88,6.88,6.77,6.77,345,0,329280000
2006-08-02,1154476800,6.84,6.92,6.82,6.86,270,0,235760000
2006-08-03,1154563200,6.82,6.95,6.75,6.9,334,0,249920000
2006-08-04,1154649600,6.9,7.25,6.85,7.19,1076,0,756160000
2006-08-07,1154908800,7.16,7.32,7.13,7.2,390,0,206560000
2006-08-08,1154995200,7.3,7.34,7.16,7.23,836,0,628000000
2006-08-09,1155081600,7.3,7.42,7.23,7.36,1168,0,453920000
2006-08-10,1155168000,7.36,7.36,7.19,7.24,779,0,505920000
2006-08-11,1155254400,7.33,7.33,7.12,7.26,380,0,436960000
2006-08-14,1155513600,7.27,7.33,7.26,7.32,208,0,419280000
2006-08-15,1155600000,7.32,7.32,7.08,7.13,1255,0,1891280000
2006-08-16,1155686400,7.1,7.14,6.72,7.1,1952,0,1441920000
2006-08-17,1155772800,6.9,7.48,6.9,7.42,688,0,828640000
2006-08-18,1155859200,7.11,7.47,7.11,7.34,357,0,319840000
2006-08-21,1156118400,7.13,7.35,7.13,7.35,231,0,285360000
2006-08-22,1156204800,7.33,7.38,7.27,7.3,194,0,271600000
2006-08-23,1156291200,7.3,7.33,7.01,7.01,488,0,283840000
2006-08-24,1156377600,7.01,7.19,6.89,7.05,378,0,327520000
2006-08-25,1156464000,7.08,7.18,7.03,7.08,143,0,132000000
2006-08-28,1156723200,7.11,7.35,7.08,7.35,333,0,335120000
2006-08-29,1156809600,7.35,7.53,7.32,7.39,298,0,205920000
2006-08-30,1156896000,7.39,7.74,7.36,7.39,432,0,313040000
2006-08-31,1156982400,7.42,7.55,7.39,7.39,594,0,834000000
2006-09-01,1157068800,7.6,7.96,7.6,7.84,419,0,435680000
2006-09-04,1157328000,7.84,8.26,7.83,8.26,460,0,336480000
2006-09-05,1157414400,8.19,8.19,7.82,7.84,881,0,1019200000
2006-09-06,1157500800,7.84,7.84,7.64,7.74,337,0,176560000
2006-09-08,1157673600,7.65,7.87,7.65,7.66,262,0,213520000
2006-09-11,1157932800,7.66,7.77,7.53,7.64,396,0,243200000
2006-09-12,1158019200,7.61,7.77,7.61,7.6899999999999995,828,0,587280000
2006-09-13,1158105600,7.7,7.87,7.62,7.72,414,0,488320000
2006-09-14,1158192000,7.68,7.76,7.59,7.74,310,0,281600000
2006-09-15,1158278400,7.74,7.74,7.6,7.64,389,0,363280000
2006-09-18,1158537600,7.79,7.89,7.74,7.89,435,0,359600000
2006-09-19,1158624000,7.66,7.93,7.66,7.87,394,0,676720000
2006-09-20,1158710400,7.95,7.95,7.8100000000000005,7.83,390,0,568080000
2006-09-21,1158796800,7.93,7.93,7.66,7.68,568,0,702320000
2006-09-22,1158883200,7.5600000000000005,7.6899999999999995,7.53,7.66,464,0,280160000
2006-09-25,1159142400,7.8100000000000005,7.9,7.6899999999999995,7.9,573,0,449360000
2006-09-26,1159228800,7.96,8.26,7.8100000000000005,8.26,484,0,310880000
2006-09-27,1159315200,7.95,8.15,7.82,8.06,745,0,363440000
2006-09-28,1159401600,8.09,8.12,7.8100000000000005,7.8100000000000005,546,0,446560000
2006-09-29,1159488000,7.77,8.44,7.74,8.21,712,0,867520000
2006-10-02,1159747200,8.38,8.55,8.11,8.27,645,0,742640000
2006-10-03,1159833600,8.27,8.33,8.16,8.19,202,0,309600000
