datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18 13:00:00,1145365200,14.5,14.5,14.5,14.5,1,0,62601
2006-04-18 14:00:00,1145368800,18.0,18.0,18.0,18.0,2,0,70205
2006-04-20 11:00:00,1145530800,16.0,16.0,16.0,16.0,1,0,719
2006-04-24 14:00:00,1145887200,20.0,20.0,20.0,20.0,2,0,35185
2006-04-26 16:00:00,1146067200,22.5,22.5,22.5,22.5,1,0,28059
2006-05-03 11:00:00,1146654000,24.0,24.0,24.0,24.0,2,0,35185
2006-05-04 15:00:00,1146754800,22.5,22.5,22.5,22.5,2,0,35299
2006-05-04 16:00:00,1146758400,20.03,20.03,20.03,20.03,2,0,14701
2006-05-08 10:00:00,1147082400,24.51,24.51,24.5,24.5,2,0,37527
2006-05-08 11:00:00,1147086000,25.0,25.0,25.0,25.0,1,0,803
2006-05-08 16:00:00,1147104000,22.0,25.0,22.0,25.0,2,0,100000
2006-05-10 16:00:00,1147276800,20.01,20.01,20.0,20.0,3,0,100000
2006-05-11 11:00:00,1147345200,19.08,19.08,19.08,19.08,2,0,61176
2006-05-11 12:00:00,1147348800,20.0,20.1,20.0,20.1,34,0,705349
2006-05-11 15:00:00,1147359600,19.5,19.5,19.5,19.5,3,0,21311
2006-05-11 16:00:00,1147363200,20.0,20.0,20.0,20.0,1,0,10000
2006-05-12 14:00:00,1147442400,18.0,18.0,18.0,18.0,1,0,15843
2006-05-16 11:00:00,1147777200,19.5,19.5,19.5,19.5,3,0,100000
2006-05-16 12:00:00,1147780800,19.0,19.0,19.0,19.0,1,0,17002
2006-05-16 15:00:00,1147791600,19.5,19.5,19.5,19.5,1,0,40406
2006-05-17 15:00:00,1147878000,19.5,19.5,19.5,19.5,2,0,75290
2006-05-25 16:00:00,1148572800,19.0,19.0,19.0,19.0,2,0,10049
2006-05-29 12:00:00,1148904000,18.0,18.0,18.0,18.0,1,0,5755
2006-06-06 10:00:00,1149588000,21.0,21.0,21.0,21.0,2,0,85593
2006-06-07 15:00:00,1149692400,22.0,22.48,22.0,22.48,2,0,14407
2006-06-09 16:00:00,1149868800,20.5,20.7,20.5,20.7,3,0,100000
2006-06-16 15:00:00,1150470000,17.65,17.65,17.65,17.65,2,0,10000
2006-06-16 16:00:00,1150473600,17.0,17.0,17.0,17.0,1,0,10624
2006-06-20 12:00:00,1150804800,19.89,19.89,19.89,19.89,1,0,67146
2006-06-26 12:00:00,1151323200,15.0,15.0,15.0,15.0,1,0,15843
2006-06-29 11:00:00,1151578800,17.0,17.0,17.0,17.0,1,0,15843
