datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-10-07 10:15:00,1602065700,12.2,12.34,12.1,12.11,344,0,7577
2020-10-07 10:30:00,1602066600,12.14,12.14,11.9,12.02,159,1,3160
2020-10-07 10:45:00,1602067500,12.05,12.09,12.01,12.09,61,1,904
2020-10-07 11:00:00,1602068400,12.08,12.14,12.05,12.08,68,1,1169
2020-10-07 11:15:00,1602069300,12.07,12.07,12.05,12.07,40,1,700
2020-10-07 11:30:00,1602070200,12.06,12.07,12.05,12.07,35,1,431
2020-10-07 11:45:00,1602071100,12.05,12.08,12.05,12.07,28,1,614
2020-10-07 12:00:00,1602072000,12.07,12.07,11.95,11.97,129,1,2213
2020-10-07 12:15:00,1602072900,11.97,12.04,11.95,12.0,28,1,531
2020-10-07 12:30:00,1602073800,11.99,12.0,11.96,11.98,19,1,416
2020-10-07 12:45:00,1602074700,12.02,12.02,11.98,12.0,28,1,480
2020-10-07 13:00:00,1602075600,11.99,11.99,11.96,11.99,24,1,471
2020-10-07 13:15:00,1602076500,11.99,11.99,11.96,11.97,28,1,382
2020-10-07 13:30:00,1602077400,11.97,12.01,11.94,11.95,39,1,830
2020-10-07 13:45:00,1602078300,11.99,12.04,11.98,12.04,10,1,196
2020-10-07 14:00:00,1602079200,12.04,12.04,11.96,12.01,21,1,333
2020-10-07 14:15:00,1602080100,12.01,12.01,11.94,11.94,36,1,498
2020-10-07 14:30:00,1602081000,11.93,11.94,11.9,11.92,53,1,795
2020-10-07 14:45:00,1602081900,11.92,11.95,11.83,11.95,54,1,971
2020-10-07 15:00:00,1602082800,11.95,12.03,11.94,12.03,17,1,414
2020-10-07 15:15:00,1602083700,12.02,12.1,11.99,12.1,19,1,333
2020-10-07 15:30:00,1602084600,12.12,12.24,12.12,12.15,29,1,877
2020-10-07 15:45:00,1602085500,12.16,12.22,12.15,12.2,13,1,269
2020-10-07 16:00:00,1602086400,12.2,12.2,12.15,12.16,21,1,410
2020-10-07 16:15:00,1602087300,12.17,12.19,12.14,12.19,14,1,305
2020-10-07 16:30:00,1602088200,12.16,12.17,12.14,12.17,8,1,140
2020-10-07 16:45:00,1602089100,12.17,12.21,12.15,12.19,19,1,466
2020-10-07 17:00:00,1602090000,11.8,11.8,11.8,11.8,40,0,265
2020-10-08 10:00:00,1602151200,12.2,12.24,12.1,12.1,30,1,535
2020-10-08 10:15:00,1602152100,12.03,12.11,12.02,12.11,27,1,378
2020-10-08 10:30:00,1602153000,12.17,12.2,12.14,12.2,9,1,224
2020-10-08 10:45:00,1602153900,12.2,12.2,12.16,12.16,17,1,326
2020-10-08 11:00:00,1602154800,12.16,12.19,12.14,12.19,9,1,40
2020-10-08 11:15:00,1602155700,12.15,12.16,12.13,12.16,9,1,274
2020-10-08 11:30:00,1602156600,12.13,12.16,12.1,12.1,13,1,158
2020-10-08 11:45:00,1602157500,12.1,12.1,12.07,12.08,5,1,79
2020-10-08 12:00:00,1602158400,12.1,12.11,12.09,12.11,7,1,111
2020-10-08 12:15:00,1602159300,12.1,12.11,12.1,12.1,6,1,88
2020-10-08 12:30:00,1602160200,12.11,12.11,12.1,12.1,11,1,121
2020-10-08 12:45:00,1602161100,12.12,12.22,12.12,12.22,14,1,353
2020-10-08 13:00:00,1602162000,12.23,12.23,12.22,12.22,10,1,139
2020-10-08 13:15:00,1602162900,12.23,12.23,12.23,12.23,4,1,17
2020-10-08 13:30:00,1602163800,12.22,12.22,12.15,12.2,6,1,164
2020-10-08 13:45:00,1602164700,12.2,12.2,12.14,12.14,10,1,212
2020-10-08 14:00:00,1602165600,12.15,12.15,12.15,12.15,1,1,32
2020-10-08 14:15:00,1602166500,12.14,12.14,12.11,12.11,5,1,32
2020-10-08 14:30:00,1602167400,12.11,12.11,12.11,12.11,1,3,10
2020-10-08 14:45:00,1602168300,12.13,12.14,12.13,12.13,5,3,157
2020-10-08 15:00:00,1602169200,12.17,12.17,12.1,12.1,9,1,251
2020-10-08 15:15:00,1602170100,12.1,12.17,12.1,12.15,20,1,411
2020-10-08 15:30:00,1602171000,12.15,12.15,12.11,12.11,4,1,41
2020-10-08 15:45:00,1602171900,12.11,12.11,12.11,12.11,5,1,123
2020-10-08 16:00:00,1602172800,12.13,12.18,12.13,12.17,5,2,36
2020-10-08 16:15:00,1602173700,12.17,12.27,12.17,12.27,19,1,401
2020-10-08 16:30:00,1602174600,12.27,12.48,12.27,12.46,31,1,688
