datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-10-07 10:15:00,1602065700,12.18,12.35,12.03,12.12,948,0,902300
2020-10-07 10:30:00,1602066600,12.13,12.13,11.85,12.01,719,1,403200
2020-10-07 10:45:00,1602067500,12.01,12.08,12.0,12.06,469,1,297400
2020-10-07 11:00:00,1602068400,12.08,12.13,12.05,12.05,499,1,243300
2020-10-07 11:15:00,1602069300,12.06,12.07,12.05,12.05,252,1,127300
2020-10-07 11:30:00,1602070200,12.05,12.06,12.05,12.05,222,1,63400
2020-10-07 11:45:00,1602071100,12.05,12.07,12.05,12.05,305,1,224400
2020-10-07 12:00:00,1602072000,12.05,12.06,11.91,11.96,344,1,220100
2020-10-07 12:15:00,1602072900,11.95,12.05,11.95,11.98,334,1,281800
2020-10-07 12:30:00,1602073800,11.95,12.01,11.95,12.0,275,1,174000
2020-10-07 12:45:00,1602074700,12.0,12.01,11.96,11.97,263,1,80700
2020-10-07 13:00:00,1602075600,11.99,11.99,11.95,11.97,273,1,87800
2020-10-07 13:15:00,1602076500,11.97,12.0,11.95,11.95,263,1,138200
2020-10-07 13:30:00,1602077400,11.95,11.97,11.9,11.95,255,1,185000
2020-10-07 13:45:00,1602078300,11.95,12.04,11.95,12.0,261,1,133800
2020-10-07 14:00:00,1602079200,12.01,12.01,11.96,11.96,272,1,98000
2020-10-07 14:15:00,1602080100,11.96,11.96,11.92,11.95,191,1,70600
2020-10-07 14:30:00,1602081000,11.94,11.94,11.9,11.9,301,1,119700
2020-10-07 14:45:00,1602081900,11.9,11.94,11.85,11.94,277,1,259500
2020-10-07 15:00:00,1602082800,11.93,12.04,11.92,12.02,332,1,323700
2020-10-07 15:15:00,1602083700,12.01,12.1,11.97,12.1,502,1,450100
2020-10-07 15:30:00,1602084600,12.11,12.26,12.1,12.15,796,1,485100
2020-10-07 15:45:00,1602085500,12.13,12.22,12.11,12.2,573,1,268100
2020-10-07 16:00:00,1602086400,12.19,12.2,12.14,12.17,378,1,99900
2020-10-07 16:15:00,1602087300,12.17,12.18,12.12,12.15,271,1,131500
2020-10-07 16:30:00,1602088200,12.15,12.2,12.11,12.18,427,1,286000
2020-10-07 16:45:00,1602089100,12.18,12.22,12.14,12.18,459,1,543400
2020-10-07 17:00:00,1602090000,12.2,12.2,12.2,12.2,165,0,1664900
2020-10-08 10:00:00,1602151200,12.05,12.28,12.01,12.03,68,0,33700
2020-10-08 10:15:00,1602152100,12.08,12.16,12.0,12.16,60,1,28200
2020-10-08 10:30:00,1602153000,12.16,12.3,12.15,12.19,62,1,27600
2020-10-08 10:45:00,1602153900,12.2,12.2,12.15,12.15,31,1,8000
2020-10-08 11:00:00,1602154800,12.15,12.18,12.14,12.17,59,1,13400
2020-10-08 11:15:00,1602155700,12.14,12.18,12.11,12.12,127,1,78500
2020-10-08 11:30:00,1602156600,12.12,12.18,12.08,12.08,72,1,32700
2020-10-08 11:45:00,1602157500,12.08,12.1,12.08,12.09,59,1,19800
2020-10-08 12:00:00,1602158400,12.09,12.1,12.09,12.1,103,1,30300
2020-10-08 12:15:00,1602159300,12.09,12.1,12.09,12.1,83,1,11700
2020-10-08 12:30:00,1602160200,12.09,12.14,12.09,12.12,112,1,47600
2020-10-08 12:45:00,1602161100,12.14,12.24,12.13,12.21,100,1,41900
2020-10-08 13:00:00,1602162000,12.21,12.25,12.19,12.21,52,1,35200
2020-10-08 13:15:00,1602162900,12.2,12.25,12.2,12.24,45,1,8000
2020-10-08 13:30:00,1602163800,12.23,12.23,12.17,12.18,84,1,28000
2020-10-08 13:45:00,1602164700,12.17,12.23,12.1,12.1,97,1,113900
2020-10-08 14:00:00,1602165600,12.09,12.18,12.08,12.13,51,1,10700
2020-10-08 14:15:00,1602166500,12.12,12.13,12.06,12.1,43,1,10600
2020-10-08 14:30:00,1602167400,12.09,12.18,12.09,12.13,90,1,21500
2020-10-08 14:45:00,1602168300,12.13,12.16,12.13,12.15,83,1,14400
2020-10-08 15:00:00,1602169200,12.15,12.15,12.09,12.1,77,1,31600
2020-10-08 15:15:00,1602170100,12.08,12.2,12.08,12.13,142,1,96900
2020-10-08 15:30:00,1602171000,12.13,12.14,12.09,12.14,81,1,33700
2020-10-08 15:45:00,1602171900,12.1,12.15,12.1,12.12,102,1,58000
2020-10-08 16:00:00,1602172800,12.12,12.2,12.12,12.16,181,1,139700
2020-10-08 16:15:00,1602173700,12.16,12.29,12.16,12.28,376,1,401200
2020-10-08 16:30:00,1602174600,12.28,12.59,12.2,12.49,336,1,239400
2020-10-08 16:45:00,1602175500,12.49,12.49,12.36,12.45,116,1,80800
2020-10-08 17:00:00,1602176400,12.45,12.45,12.45,12.45,44,0,273100
2020-10-09 10:00:00,1602237600,12.5,12.51,12.45,12.49,28,0,6800
2020-10-09 10:15:00,1602238500,12.49,12.49,12.39,12.45,43,1,8700
2020-10-09 10:30:00,1602239400,12.45,12.45,12.4,12.42,29,1,7000
2020-10-09 10:45:00,1602240300,12.42,12.43,12.35,12.39,33,1,6200
2020-10-09 11:00:00,1602241200,12.39,12.4,12.38,12.4,17,1,1800
2020-10-09 11:15:00,1602242100,12.4,12.4,12.39,12.39,19,1,2600
2020-10-09 11:30:00,1602243000,12.39,12.4,12.35,12.4,31,1,11600
2020-10-09 11:45:00,1602243900,12.39,12.4,12.39,12.4,29,1,9100
2020-10-09 12:00:00,1602244800,12.4,12.4,12.39,12.4,28,1,7300
2020-10-09 12:15:00,1602245700,12.4,12.4,12.36,12.4,40,1,16500
2020-10-09 12:30:00,1602246600,12.4,12.47,12.39,12.45,36,1,9600
2020-10-09 12:45:00,1602247500,12.46,12.46,12.42,12.44,43,1,14000
2020-10-09 13:00:00,1602248400,12.43,12.45,12.43,12.45,19,1,1900
2020-10-09 13:15:00,1602249300,12.45,12.45,12.39,12.4,47,1,164800
2020-10-09 13:30:00,1602250200,12.4,12.4,12.38,12.4,25,1,4300
2020-10-09 13:45:00,1602251100,12.41,12.41,12.4,12.4,14,1,1500
2020-10-09 14:00:00,1602252000,12.39,12.4,12.34,12.35,47,1,19100
2020-10-09 14:15:00,1602252900,12.35,12.35,12.34,12.34,89,1,24700
2020-10-09 14:30:00,1602253800,12.33,12.33,12.22,12.27,99,1,70300
2020-10-09 14:45:00,1602254700,12.26,12.32,12.12,12.3,151,1,87700
2020-10-09 15:00:00,1602255600,12.29,12.32,12.16,12.19,209,1,113600
2020-10-09 15:15:00,1602256500,12.2,12.28,12.19,12.25,233,1,131600
2020-10-09 15:30:00,1602257400,12.24,12.26,12.2,12.23,205,1,102600
2020-10-09 15:45:00,1602258300,12.23,12.29,12.23,12.24,173,1,48900
2020-10-09 16:00:00,1602259200,12.24,12.35,12.24,12.34,252,1,122100
2020-10-09 16:15:00,1602260100,12.34,12.39,12.33,12.34,268,1,131000
2020-10-09 16:30:00,1602261000,12.34,12.45,12.33,12.4,173,1,115100
2020-10-09 16:45:00,1602261900,12.39,12.43,12.36,12.4,75,1,86400
2020-10-09 17:00:00,1602262800,12.4,12.4,12.4,12.4,43,0,203300
2020-10-13 10:00:00,1602583200,12.41,12.41,12.4,12.4,10,2,1400
2020-10-13 10:15:00,1602584100,12.4,12.45,12.34,12.45,10,2,1300
2020-10-13 10:30:00,1602585000,12.44,12.44,12.37,12.39,9,1,900
2020-10-13 10:45:00,1602585900,12.39,12.4,12.36,12.39,36,1,5800
2020-10-13 11:00:00,1602586800,12.39,12.39,12.36,12.39,41,1,4400
2020-10-13 11:15:00,1602587700,12.39,12.39,12.34,12.34,43,1,5300
2020-10-13 11:30:00,1602588600,12.39,12.39,12.35,12.39,40,1,4200
2020-10-13 11:45:00,1602589500,12.39,12.41,12.37,12.4,44,1,5200
2020-10-13 12:00:00,1602590400,12.4,12.49,12.4,12.49,61,1,8200
2020-10-13 12:15:00,1602591300,12.49,12.5,12.47,12.5,45,1,5100
2020-10-13 12:30:00,1602592200,12.5,12.5,12.38,12.5,81,1,20600
2020-10-13 12:45:00,1602593100,12.5,12.5,12.44,12.49,43,1,7000
2020-10-13 13:00:00,1602594000,12.5,12.5,12.48,12.48,46,1,5200
2020-10-13 13:15:00,1602594900,12.48,12.5,12.47,12.48,52,1,8100
2020-10-13 13:30:00,1602595800,12.48,12.48,12.48,12.48,41,1,4800
2020-10-13 13:45:00,1602596700,12.48,12.48,12.48,12.48,43,1,5200
2020-10-13 14:00:00,1602597600,12.48,12.5,12.47,12.48,50,1,6000
2020-10-13 14:15:00,1602598500,12.48,12.5,12.47,12.47,49,1,7100
2020-10-13 14:30:00,1602599400,12.49,12.5,12.46,12.48,47,1,5500
2020-10-13 14:45:00,1602600300,12.49,12.49,12.45,12.45,43,1,7000
2020-10-13 15:00:00,1602601200,12.48,12.48,12.45,12.45,60,1,10500
2020-10-13 15:15:00,1602602100,12.48,12.5,12.45,12.46,47,1,5500
2020-10-13 15:30:00,1602603000,12.48,12.48,12.43,12.45,43,1,7000
2020-10-13 15:45:00,1602603900,12.45,12.5,12.45,12.49,42,1,5200
2020-10-13 16:00:00,1602604800,12.46,12.48,12.45,12.45,67,1,12400
2020-10-13 16:15:00,1602605700,12.46,12.46,12.45,12.45,49,1,10500
2020-10-13 16:30:00,1602606600,12.46,12.46,12.36,12.39,85,1,18200
2020-10-13 16:45:00,1602607500,12.42,12.44,12.36,12.39,53,1,22700
2020-10-13 17:00:00,1602608400,12.39,12.39,12.39,12.39,25,0,74200
2020-10-14 10:00:00,1602669600,12.36,12.39,12.36,12.36,6,1,600
2020-10-14 10:15:00,1602670500,12.35,12.47,12.35,12.47,10,1,2800
2020-10-14 10:30:00,1602671400,12.37,12.52,12.37,12.5,36,1,14400
2020-10-14 10:45:00,1602672300,12.45,12.5,12.45,12.45,30,2,3700
2020-10-14 11:00:00,1602673200,12.47,12.52,12.45,12.5,34,1,5200
2020-10-14 11:15:00,1602674100,12.51,12.53,12.5,12.51,17,1,1900
2020-10-14 11:30:00,1602675000,12.51,12.52,12.42,12.46,24,1,4200
2020-10-14 11:45:00,1602675900,12.45,12.45,12.28,12.28,54,2,29200
2020-10-14 12:00:00,1602676800,12.28,12.37,12.28,12.34,38,4,3800
2020-10-14 12:15:00,1602677700,12.34,12.35,12.34,12.35,18,2,2000
2020-10-14 12:30:00,1602678600,12.35,12.4,12.35,12.4,42,1,7300
2020-10-14 12:45:00,1602679500,12.4,12.42,12.37,12.4,29,2,4200
2020-10-14 13:00:00,1602680400,12.42,12.42,12.37,12.38,17,4,1800
2020-10-14 13:15:00,1602681300,12.42,12.45,12.42,12.45,13,4,1300
2020-10-14 13:30:00,1602682200,12.45,12.46,12.4,12.45,21,4,2100
2020-10-14 13:45:00,1602683100,12.45,12.49,12.45,12.48,55,1,12100
2020-10-14 14:00:00,1602684000,12.48,12.54,12.42,12.42,77,1,61200
2020-10-14 14:15:00,1602684900,12.45,12.45,12.4,12.4,52,3,5300
2020-10-14 14:30:00,1602685800,12.44,12.44,12.4,12.44,32,3,3500
2020-10-14 14:45:00,1602686700,12.44,12.45,12.4,12.45,21,3,3700
2020-10-14 15:00:00,1602687600,12.45,12.45,12.45,12.45,14,4,1500
2020-10-14 15:15:00,1602688500,12.45,12.45,12.4,12.45,18,3,4400
2020-10-14 15:30:00,1602689400,12.45,12.45,12.4,12.4,16,5,1600
2020-10-14 15:45:00,1602690300,12.45,12.45,12.38,12.39,178,1,53700
2020-10-14 16:00:00,1602691200,12.4,12.4,12.39,12.39,114,1,28900
2020-10-14 16:15:00,1602692100,12.4,12.4,12.39,12.39,54,1,18600
2020-10-14 16:30:00,1602693000,12.4,12.45,12.39,12.42,90,1,17300
2020-10-14 16:45:00,1602693900,12.45,12.45,12.37,12.41,31,1,13800
2020-10-14 17:00:00,1602694800,12.4,12.4,12.4,12.4,24,0,88700
2020-10-15 10:00:00,1602756000,12.28,12.29,12.21,12.29,13,0,1900
2020-10-15 10:15:00,1602756900,12.22,12.27,12.22,12.27,2,6,600
2020-10-15 10:30:00,1602757800,12.23,12.23,12.23,12.23,2,2,400
2020-10-15 10:45:00,1602758700,12.25,12.34,12.25,12.34,18,2,5200
2020-10-15 11:00:00,1602759600,12.34,12.36,12.34,12.35,7,1,2300
2020-10-15 11:15:00,1602760500,12.35,12.35,12.35,12.35,3,1,2800
2020-10-15 11:30:00,1602761400,12.34,12.35,12.34,12.35,31,1,3200
2020-10-15 11:45:00,1602762300,12.38,12.38,12.38,12.38,1,2,200
2020-10-15 12:00:00,1602763200,12.38,12.45,12.38,12.45,28,2,11100
2020-10-15 12:15:00,1602764100,12.46,12.53,12.46,12.53,37,2,8800
2020-10-15 12:30:00,1602765000,12.53,12.58,12.44,12.5,37,1,8000
2020-10-15 12:45:00,1602765900,12.45,12.45,12.42,12.42,5,4,500
2020-10-15 13:00:00,1602766800,12.42,12.42,12.4,12.4,3,5,300
2020-10-15 13:15:00,1602767700,12.45,12.45,12.39,12.44,5,4,700
2020-10-15 13:30:00,1602768600,12.4,12.44,12.4,12.44,4,3,400
2020-10-15 13:45:00,1602769500,12.44,12.45,12.43,12.45,20,1,2500
2020-10-15 14:00:00,1602770400,12.42,12.47,12.4,12.46,23,3,4100
2020-10-15 14:15:00,1602771300,12.48,12.48,12.4,12.48,3,8,300
2020-10-15 14:30:00,1602772200,12.4,12.47,12.4,12.4,6,5,600
2020-10-15 14:45:00,1602773100,12.4,12.42,12.4,12.4,6,3,600
2020-10-15 15:00:00,1602774000,12.41,12.45,12.39,12.39,13,3,2600
2020-10-15 15:15:00,1602774900,12.39,12.44,12.39,12.39,7,4,800
2020-10-15 15:30:00,1602775800,12.39,12.43,12.38,12.38,9,4,1100
2020-10-15 15:45:00,1602776700,12.38,12.38,12.36,12.36,3,1,300
2020-10-15 16:00:00,1602777600,12.42,12.45,12.42,12.45,7,1,2500
2020-10-15 16:15:00,1602778500,12.45,12.5,12.42,12.44,65,1,32700
2020-10-15 16:30:00,1602779400,12.44,12.46,12.37,12.4,40,1,22100
2020-10-15 16:45:00,1602780300,12.4,12.4,12.39,12.4,11,4,1100
2020-10-15 17:00:00,1602781200,12.4,12.4,12.4,12.4,18,9,67800
2020-10-16 10:00:00,1602842400,12.4,12.4,12.36,12.36,5,0,3000
2020-10-16 10:30:00,1602844200,12.38,12.38,12.38,12.38,1,1,100
2020-10-16 10:45:00,1602845100,12.39,12.39,12.39,12.39,4,1,400
2020-10-16 11:00:00,1602846000,12.4,12.4,12.4,12.4,54,1,8000
2020-10-16 11:15:00,1602846900,12.41,12.44,12.4,12.44,6,2,1400
2020-10-16 11:30:00,1602847800,12.44,12.44,12.43,12.44,19,1,1900
2020-10-16 11:45:00,1602848700,12.44,12.44,12.43,12.44,14,1,1400
2020-10-16 12:00:00,1602849600,12.44,12.5,12.44,12.5,28,1,3700
2020-10-16 12:15:00,1602850500,12.5,12.5,12.45,12.48,40,1,19100
2020-10-16 12:30:00,1602851400,12.48,12.5,12.43,12.43,17,1,4200
2020-10-16 12:45:00,1602852300,12.42,12.44,12.4,12.43,35,1,13400
2020-10-16 13:00:00,1602853200,12.43,12.43,12.4,12.4,125,1,13800
2020-10-16 13:15:00,1602854100,12.4,12.45,12.4,12.45,66,1,7900
2020-10-16 13:30:00,1602855000,12.45,12.45,12.4,12.41,18,1,6400
2020-10-16 13:45:00,1602855900,12.43,12.43,12.43,12.43,11,1,1100
2020-10-16 14:00:00,1602856800,12.45,12.45,12.41,12.44,12,2,1200
2020-10-16 14:15:00,1602857700,12.44,12.5,12.44,12.5,13,1,1600
2020-10-16 14:30:00,1602858600,12.5,12.5,12.5,12.5,14,2,1400
2020-10-16 14:45:00,1602859500,12.5,12.5,12.46,12.46,17,1,2800
2020-10-16 15:00:00,1602860400,12.46,12.47,12.46,12.47,16,1,1600
2020-10-16 15:15:00,1602861300,12.47,12.8,12.47,12.52,87,1,27300
2020-10-16 15:30:00,1602862200,12.52,12.54,12.46,12.54,39,1,14900
2020-10-16 15:45:00,1602863100,12.54,12.54,12.48,12.49,24,3,3300
2020-10-16 16:00:00,1602864000,12.49,12.5,12.46,12.46,17,1,2100
2020-10-16 16:15:00,1602864900,12.46,12.48,12.42,12.48,26,1,4400
