datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-25 11:00:00,1145962800,82.69,82.69,82.69,82.69,1,0,20000
2006-05-15 13:45:00,1147700700,91.55,91.55,91.55,91.55,1,0,10270
2006-05-24 16:45:00,1148489100,91.63,91.63,91.55,91.55,3,0,108730
2006-05-25 14:45:00,1148568300,91.55,91.55,91.55,91.55,1,0,8730
2006-06-09 11:30:00,1149852600,85.64,85.64,85.64,85.64,2,0,114129
2006-06-12 12:15:00,1150114500,88.59,88.59,88.59,88.59,1,0,7532
2006-06-13 11:30:00,1150198200,88.61,88.61,88.61,88.61,1,0,11540
2006-07-07 16:15:00,1152288900,78.83,78.83,78.83,78.83,1,0,7532
2006-08-04 12:15:00,1154693700,86.13,86.13,86.13,86.13,1,0,3000
2006-11-06 15:15:00,1162826100,101.39,101.39,101.39,101.39,1,0,28845
2006-11-07 14:30:00,1162909800,105.33,105.33,105.33,105.33,1,0,34520
2006-11-07 16:45:00,1162917900,100.49,100.49,100.49,100.49,1,0,7591
2006-11-30 12:15:00,1164888900,108.28,108.28,108.28,108.28,1,0,1000
2006-11-30 16:30:00,1164904200,113.2,113.2,113.2,113.2,1,0,1000
2006-12-08 11:00:00,1165575600,118.13,118.13,118.13,118.13,1,0,8500
2006-12-11 13:45:00,1165844700,113.2,113.2,113.2,113.2,2,0,36500
2007-01-10 12:30:00,1168432200,156.52,156.52,156.52,156.52,1,0,1
2007-01-22 13:00:00,1169470800,147.56,147.56,147.56,147.56,1,0,5000
2007-01-22 16:30:00,1169483400,142.81,142.81,142.81,142.81,1,0,4999
2007-01-30 14:45:00,1170168300,142.74,142.74,142.24,142.24,2,0,25000
2007-02-01 16:00:00,1170345600,152.58,152.58,142.24,142.24,2,0,10000
2007-02-05 12:45:00,1170679500,158.98,158.98,158.98,158.98,1,0,3000
2007-02-06 17:45:00,1170783900,182.51,182.51,182.51,182.51,1,0,2000
2007-02-14 15:15:00,1171466100,172.27,172.27,167.35,167.35,2,0,1612
2007-03-07 15:30:00,1173281400,167.35,167.35,167.35,167.35,1,0,19000
2007-03-07 16:00:00,1173283200,167.35,167.35,167.35,167.35,1,0,31000
2007-03-20 11:45:00,1174391100,187.03,187.03,187.03,187.03,1,0,8500
2007-03-21 16:15:00,1174493700,196.9,196.9,196.9,196.9,1,0,3799
2007-03-26 14:00:00,1174917600,196.88,196.88,196.88,196.88,1,0,20
2007-03-27 14:30:00,1175005800,196.88,196.88,196.88,196.88,1,0,4000
2007-03-27 16:00:00,1175011200,196.88,196.88,196.88,196.88,1,0,681
2007-03-30 16:00:00,1175270400,216.57,216.57,216.57,216.57,1,0,85000
2007-04-04 13:45:00,1175694300,236.25,236.25,236.25,236.25,1,0,903
2007-04-11 10:30:00,1176287400,236.25,236.25,236.25,236.25,6,0,245025
2007-04-16 15:15:00,1176736500,246.1,246.1,246.1,246.1,2,0,2
2007-04-19 15:45:00,1176997500,246.1,246.1,246.1,246.1,1,0,1000
2007-04-20 15:30:00,1177083000,241.17,241.17,241.17,241.17,1,0,45724
2007-04-20 16:00:00,1177084800,241.17,245.11,241.17,245.11,2,0,15000
2007-04-23 13:45:00,1177335900,245.11,245.11,245.11,245.11,1,0,10000
2007-04-24 11:15:00,1177413300,245.11,245.11,245.11,245.11,1,0,69047
