datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-09-18 10:30:00,1600425000,30.2,31.0,30.11,30.35,41,0,18100
2020-09-18 10:45:00,1600425900,30.12,30.12,29.72,29.9,45,3,9400
2020-09-18 11:00:00,1600426800,29.99,30.24,29.96,30.24,15,1,3500
2020-09-18 11:15:00,1600427700,30.24,30.24,30.01,30.09,12,6,1900
2020-09-18 11:30:00,1600428600,30.02,30.02,29.9,30.02,27,1,10300
2020-09-18 11:45:00,1600429500,30.02,30.23,30.0,30.0,12,5,4200
2020-09-18 12:00:00,1600430400,30.1,30.1,29.92,29.93,7,1,1600
2020-09-18 12:15:00,1600431300,29.92,29.93,29.89,29.89,11,2,1600
2020-09-18 12:30:00,1600432200,29.89,29.94,29.82,29.85,8,3,800
2020-09-18 12:45:00,1600433100,29.94,29.94,29.56,29.66,30,1,8100
2020-09-18 13:00:00,1600434000,29.56,29.66,29.35,29.65,28,2,6200
2020-09-18 13:15:00,1600434900,29.63,29.65,29.55,29.64,9,1,2500
2020-09-18 13:30:00,1600435800,29.6,29.66,29.48,29.49,14,3,3300
2020-09-18 13:45:00,1600436700,29.49,29.5,29.45,29.45,21,1,2900
2020-09-18 14:00:00,1600437600,29.45,29.49,29.35,29.35,36,1,8700
2020-09-18 14:15:00,1600438500,29.46,29.46,28.83,28.97,60,1,19400
2020-09-18 14:30:00,1600439400,28.96,28.97,28.8,28.8,36,1,7500
2020-09-18 14:45:00,1600440300,28.8,29.14,28.51,29.1,47,1,16800
2020-09-18 15:00:00,1600441200,29.14,29.19,28.8,29.15,32,2,5000
2020-09-18 15:15:00,1600442100,29.18,29.29,29.18,29.23,19,3,2900
2020-09-18 15:30:00,1600443000,29.2,29.38,29.2,29.3,30,1,5500
2020-09-18 15:45:00,1600443900,29.25,29.4,29.25,29.3,34,4,6800
2020-09-18 16:00:00,1600444800,29.4,29.4,29.2,29.26,27,2,14400
2020-09-18 16:15:00,1600445700,29.29,29.38,28.9,29.09,60,5,14900
2020-09-18 16:30:00,1600446600,29.09,29.25,28.92,29.22,46,1,7300
2020-09-18 16:45:00,1600447500,29.05,29.23,28.99,29.1,34,8,17800
2020-09-18 17:00:00,1600448400,29.4,29.4,29.4,29.4,37,0,68300
2020-09-21 10:00:00,1600682400,28.13,28.31,28.12,28.15,151,0,42800
2020-09-21 10:15:00,1600683300,28.16,28.29,28.1,28.23,143,1,29400
2020-09-21 10:30:00,1600684200,28.16,28.24,28.12,28.2,93,1,22000
2020-09-21 10:45:00,1600685100,28.2,28.25,28.15,28.25,70,1,17300
2020-09-21 11:00:00,1600686000,28.25,28.37,28.21,28.22,106,1,32300
2020-09-21 11:15:00,1600686900,28.28,28.35,28.12,28.16,91,5,25000
2020-09-21 11:30:00,1600687800,28.16,28.5,28.15,28.2,275,1,83300
2020-09-21 11:45:00,1600688700,28.2,28.24,28.2,28.2,134,1,40000
2020-09-21 12:00:00,1600689600,28.2,28.24,28.17,28.23,96,1,24900
2020-09-21 12:15:00,1600690500,28.21,28.24,28.16,28.21,129,1,51000
2020-09-21 12:30:00,1600691400,28.21,28.24,28.2,28.22,74,1,13500
2020-09-21 12:45:00,1600692300,28.21,28.25,28.19,28.21,109,1,24900
2020-09-21 13:00:00,1600693200,28.2,28.6,28.2,28.51,86,1,19500
2020-09-21 13:15:00,1600694100,28.52,28.57,28.45,28.45,40,2,10200
2020-09-21 13:30:00,1600695000,28.46,28.48,28.25,28.3,45,1,10500
2020-09-21 13:45:00,1600695900,28.41,28.43,28.25,28.25,28,2,3700
2020-09-21 14:00:00,1600696800,28.4,28.4,28.25,28.26,49,1,20100
2020-09-21 14:15:00,1600697700,28.26,28.4,28.24,28.4,60,1,10200
2020-09-21 14:30:00,1600698600,28.42,28.9,28.27,28.51,116,2,37900
2020-09-21 14:45:00,1600699500,28.85,28.87,28.51,28.57,54,4,9700
2020-09-21 15:00:00,1600700400,28.58,28.67,28.58,28.59,63,1,37600
2020-09-21 15:15:00,1600701300,28.67,28.67,28.59,28.6,43,1,8700
2020-09-21 15:30:00,1600702200,28.66,28.66,28.6,28.6,31,1,6500
2020-09-21 15:45:00,1600703100,28.61,28.61,28.6,28.6,35,1,4500
2020-09-21 16:00:00,1600704000,28.61,28.61,28.6,28.6,39,1,8800
2020-09-21 16:15:00,1600704900,28.6,28.61,28.46,28.46,62,1,13300
2020-09-21 16:30:00,1600705800,28.46,28.52,28.46,28.48,60,1,9100
2020-09-21 16:45:00,1600706700,28.56,28.6,28.48,28.59,53,1,8500
2020-09-21 17:00:00,1600707600,28.42,28.42,28.42,28.42,77,0,36700
2020-09-22 10:00:00,1600768800,28.08,28.5,28.05,28.38,48,0,8700
2020-09-22 10:15:00,1600769700,28.45,28.45,28.15,28.21,33,3,7900
2020-09-22 10:30:00,1600770600,28.21,28.35,28.21,28.29,39,1,9600
2020-09-22 10:45:00,1600771500,28.28,28.47,28.19,28.47,145,1,43500
2020-09-22 11:00:00,1600772400,28.3,28.63,28.3,28.52,82,1,12500
2020-09-22 11:15:00,1600773300,28.61,28.64,28.49,28.5,70,1,9600
2020-09-22 11:30:00,1600774200,28.53,28.57,28.22,28.28,86,1,11800
2020-09-22 11:45:00,1600775100,28.3,28.35,28.24,28.26,74,1,10600
2020-09-22 12:00:00,1600776000,28.28,28.5,28.24,28.5,83,1,12400
2020-09-22 12:15:00,1600776900,28.51,28.6,28.5,28.6,44,1,5800
2020-09-22 12:30:00,1600777800,28.6,28.8,28.6,28.68,78,1,13000
2020-09-22 12:45:00,1600778700,28.8,28.82,28.52,28.56,62,1,8600
2020-09-22 13:00:00,1600779600,28.56,28.79,28.56,28.74,53,1,7100
2020-09-22 13:15:00,1600780500,28.71,28.79,28.61,28.74,43,1,4300
2020-09-22 13:30:00,1600781400,28.78,28.79,28.44,28.45,59,1,6900
2020-09-22 13:45:00,1600782300,28.45,28.46,28.26,28.29,75,1,12000
2020-09-22 14:00:00,1600783200,28.3,28.31,28.27,28.3,75,1,10600
2020-09-22 14:15:00,1600784100,28.31,28.35,28.19,28.35,87,1,335300
2020-09-22 14:30:00,1600785000,28.36,28.5,28.35,28.49,68,1,11000
2020-09-22 14:45:00,1600785900,28.5,28.62,28.41,28.6,72,1,10800
2020-09-22 15:00:00,1600786800,28.6,28.75,28.51,28.67,117,1,21200
2020-09-22 15:15:00,1600787700,28.67,28.74,28.65,28.66,70,1,9800
2020-09-22 15:30:00,1600788600,28.67,28.67,28.56,28.67,60,1,8000
2020-09-22 15:45:00,1600789500,28.67,28.7,28.55,28.55,84,1,11500
2020-09-22 16:00:00,1600790400,28.53,28.61,28.5,28.56,82,1,14100
2020-09-22 16:15:00,1600791300,28.56,28.62,28.52,28.6,89,1,12300
2020-09-22 16:30:00,1600792200,28.6,28.62,28.56,28.59,105,1,21300
2020-09-22 16:45:00,1600793100,28.6,28.67,28.51,28.67,110,1,41100
2020-09-22 17:00:00,1600794000,28.4,28.4,28.4,28.4,75,0,157200
2020-09-23 10:00:00,1600855200,28.01,28.29,27.64,27.77,135,0,33200
2020-09-23 10:15:00,1600856100,27.8,28.79,27.8,28.59,221,1,48300
2020-09-23 10:30:00,1600857000,28.59,28.68,28.29,28.48,216,1,63900
2020-09-23 10:45:00,1600857900,28.5,28.52,28.46,28.48,75,1,15200
2020-09-23 11:00:00,1600858800,28.49,28.54,28.38,28.48,206,1,57200
2020-09-23 11:15:00,1600859700,28.48,28.68,28.48,28.64,114,1,17900
2020-09-23 11:30:00,1600860600,28.64,28.64,28.5,28.53,78,1,18200
2020-09-23 11:45:00,1600861500,28.53,28.53,28.38,28.38,69,1,14600
2020-09-23 12:00:00,1600862400,28.42,28.51,28.35,28.49,108,1,32800
2020-09-23 12:15:00,1600863300,28.5,28.5,28.49,28.5,90,1,13500
2020-09-23 12:30:00,1600864200,28.5,28.51,28.49,28.5,64,1,11300
2020-09-23 12:45:00,1600865100,28.5,28.53,28.49,28.52,80,1,21000
2020-09-23 13:00:00,1600866000,28.52,28.89,28.51,28.8,140,1,31200
2020-09-23 13:15:00,1600866900,28.87,28.95,28.53,28.7,156,1,22700
2020-09-23 13:30:00,1600867800,28.72,28.89,28.63,28.85,128,2,22300
2020-09-23 13:45:00,1600868700,28.89,29.32,28.73,29.15,185,1,49500
2020-09-23 14:00:00,1600869600,29.15,29.16,28.97,29.07,102,1,17100
2020-09-23 14:15:00,1600870500,29.07,29.08,28.9,28.95,125,1,35700
2020-09-23 14:30:00,1600871400,28.93,29.03,28.93,28.98,100,1,13100
2020-09-23 14:45:00,1600872300,29.0,29.02,28.98,29.01,105,1,19300
2020-09-23 15:00:00,1600873200,29.01,29.03,29.0,29.0,115,1,17900
2020-09-23 15:15:00,1600874100,29.0,29.03,28.85,28.85,255,1,144000
2020-09-23 15:30:00,1600875000,28.9,28.95,28.73,28.75,115,1,54200
2020-09-23 15:45:00,1600875900,28.74,28.81,28.5,28.71,122,1,20000
2020-09-23 16:00:00,1600876800,28.71,28.71,28.42,28.59,131,1,25500
2020-09-23 16:15:00,1600877700,28.59,28.59,28.47,28.5,103,1,14500
2020-09-23 16:30:00,1600878600,28.5,28.6,28.46,28.58,133,1,35900
2020-09-23 16:45:00,1600879500,28.58,28.6,28.55,28.6,49,1,16100
2020-09-23 17:00:00,1600880400,28.55,28.55,28.55,28.55,47,0,97600
2020-09-24 10:00:00,1600941600,28.19,28.58,28.19,28.32,13,15,4200
2020-09-24 10:15:00,1600942500,28.47,28.56,28.06,28.1,61,1,12300
