datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-05-05 12:15:00,1146831300,22.96,22.96,22.96,22.96,2,0,26
2006-06-06 12:15:00,1149596100,17.23,17.23,17.23,17.23,1,0,11
2006-07-04 11:15:00,1152011700,9.58,9.58,9.58,9.58,1,0,9
2006-09-22 15:15:00,1158938100,16.47,16.47,16.47,16.47,1,0,2
2006-10-05 16:15:00,1160064900,16.46,16.46,16.46,16.46,1,0,2
2006-11-13 17:15:00,1163438100,16.27,16.27,16.27,16.27,1,0,3
2006-11-17 15:00:00,1163775600,16.85,16.85,16.85,16.85,1,0,3
2006-11-21 13:15:00,1164114900,26.31,26.31,26.31,26.31,1,0,10
2006-12-22 15:15:00,1166800500,21.05,21.05,21.05,21.05,2,0,2
2007-01-22 12:00:00,1169467200,47.64,47.64,47.64,47.64,1,0,2
2007-02-06 16:45:00,1170780300,21.06,21.06,21.06,21.06,2,0,47
2007-02-07 13:15:00,1170854100,23.92,23.92,23.92,23.92,1,0,47
2007-04-26 15:15:00,1177600500,27.82,27.82,27.82,27.82,1,0,2
2007-05-16 11:45:00,1179315900,27.82,27.82,27.82,27.82,1,0,11
2007-11-21 17:45:00,1195667100,29.19,29.19,29.19,29.19,2,0,2
2008-01-04 14:45:00,1199457900,30.07,30.07,30.07,30.07,1,0,10
2008-01-16 16:30:00,1200501000,30.07,30.07,30.07,30.07,1,0,6
2008-02-14 12:30:00,1202992200,24.41,24.41,24.41,24.41,1,0,23
2008-02-27 16:45:00,1204130700,21.48,21.48,21.48,21.48,1,0,4
2008-03-17 10:15:00,1205748900,24.5,24.5,22.5,22.5,2,0,100
2008-04-17 15:45:00,1208447100,21.16,21.16,21.16,21.16,2,0,10
2008-04-22 13:30:00,1208871000,26.39,26.39,26.39,26.39,1,0,1
2008-05-21 15:15:00,1211382900,21.5,21.5,21.5,21.5,2,0,8
2008-05-30 10:15:00,1212142500,32.0,32.0,32.0,32.0,1,0,1
2008-08-28 10:45:00,1219920300,28.0,28.0,28.0,28.0,1,0,4
2008-09-04 16:30:00,1220545800,23.5,23.5,23.5,23.5,1,0,2
2008-09-05 11:15:00,1220613300,23.5,23.5,23.5,23.5,1,0,2
2008-11-19 16:30:00,1227112200,20.0,20.0,20.0,20.0,1,0,1
2009-01-13 11:15:00,1231845300,19.0,19.0,19.0,19.0,1,0,3
2009-05-20 11:00:00,1242817200,18.02,18.02,18.02,18.02,2,0,16
2009-07-13 11:15:00,1247483700,20.0,20.0,20.0,20.0,1,0,8
2009-08-06 11:15:00,1249557300,18.05,18.05,18.05,18.05,1,0,3
2009-08-18 15:45:00,1250610300,29.99,29.99,29.99,29.99,1,0,1
2009-08-25 15:45:00,1251215100,29.99,29.99,29.99,29.99,1,0,10
2009-10-20 15:15:00,1256051700,25.0,25.0,25.0,25.0,1,0,10
2009-11-19 15:15:00,1258643700,22.0,22.0,22.0,22.0,1,0,4
2009-12-07 15:30:00,1260199800,22.0,22.0,22.0,22.0,1,0,20
2010-01-15 16:00:00,1263571200,23.0,23.0,23.0,23.0,2,0,50
2010-01-18 16:45:00,1263833100,25.0,25.0,25.0,25.0,1,0,3
2010-02-03 13:45:00,1265204700,26.5,26.5,21.0,21.0,4,0,30
2010-03-25 15:15:00,1269530100,31.3,31.3,31.3,31.3,1,0,1
2010-04-13 10:00:00,1271152800,27.1,27.1,27.1,27.1,1,0,10
2010-04-30 10:45:00,1272624300,31.81,31.81,31.81,31.81,1,0,20
2010-05-14 12:00:00,1273838400,24.0,24.0,24.0,24.0,2,0,12
2010-05-17 11:45:00,1274096700,30.0,30.0,30.0,30.0,1,0,3
2010-05-17 13:45:00,1274103900,30.0,30.0,30.0,30.0,1,0,10
2010-06-09 16:15:00,1276100100,31.01,31.01,31.01,31.01,1,0,75
2010-06-21 12:00:00,1277121600,32.0,32.0,32.0,32.0,1,0,3
2010-06-21 14:15:00,1277129700,32.0,32.0,32.0,32.0,1,0,10
2010-07-14 13:45:00,1279115100,31.0,31.0,31.0,31.0,1,0,1
2010-07-15 10:45:00,1279190700,31.0,31.0,31.0,31.0,1,0,1
2010-07-15 16:45:00,1279212300,31.0,31.0,31.0,31.0,1,0,1
2010-07-26 13:45:00,1280151900,29.05,29.05,29.05,29.05,3,0,70
2010-07-28 16:15:00,1280333700,30.0,30.0,30.0,30.0,1,0,39
2010-07-29 11:00:00,1280401200,30.0,30.0,30.0,30.0,1,0,2
2010-07-30 10:45:00,1280486700,30.0,30.0,30.0,30.0,1,0,30
2010-08-16 15:45:00,1281973500,33.81,33.81,33.81,33.81,1,0,2
2010-10-29 14:45:00,1288363500,33.81,33.81,33.81,33.81,3,0,33
2010-12-27 15:00:00,1293462000,34.0,34.0,34.0,34.0,1,0,1
2011-02-23 12:00:00,1298462400,30.0,30.0,30.0,30.0,1,0,4
2011-06-06 10:15:00,1307355300,35.4,35.4,35.4,35.4,1,0,2
2011-06-17 11:00:00,1308308400,26.0,26.0,26.0,26.0,2,0,2
2011-06-24 13:45:00,1308923100,30.11,30.11,30.11,30.11,1,0,4
2011-09-12 11:00:00,1315825200,33.0,33.0,33.0,33.0,1,0,39
2012-03-21 11:15:00,1332328500,27.0,27.0,27.0,27.0,1,0,1
2012-04-02 10:00:00,1333360800,23.0,23.0,23.0,23.0,1,0,32
2012-04-23 10:15:00,1335176100,23.0,23.0,23.0,23.0,1,0,10
2012-05-29 15:45:00,1338306300,19.58,19.58,19.58,19.58,2,0,33
2012-07-05 12:00:00,1341489600,19.1,19.1,19.1,19.1,1,0,2
2012-07-26 15:30:00,1343316600,19.08,19.08,19.08,19.08,4,0,75
2012-07-27 11:00:00,1343386800,18.0,18.0,18.0,18.0,2,0,6
2012-09-17 16:45:00,1347900300,23.5,23.5,23.5,23.5,1,0,1
2012-10-18 11:00:00,1350558000,24.5,24.5,24.5,24.5,2,0,31
2012-10-24 16:15:00,1351095300,23.0,23.0,23.0,23.0,1,0,2
2012-10-24 16:30:00,1351096200,20.07,20.07,20.07,20.07,1,0,2
2013-01-15 12:15:00,1358252100,21.5,21.5,21.5,21.5,1,0,13
2013-01-16 16:15:00,1358352900,21.79,21.79,21.79,21.79,1,0,18
2013-01-31 10:45:00,1359629100,21.0,21.0,21.0,21.0,1,0,15
2013-01-31 17:00:00,1359651600,21.0,21.0,21.0,21.0,1,0,2
2013-04-24 11:00:00,1366801200,26.8,26.8,26.8,26.8,1,0,10
2013-05-22 16:45:00,1369241100,34.2,34.2,34.2,34.2,1,0,12
2013-05-27 12:30:00,1369657800,27.08,27.08,27.08,27.08,1,0,12
2013-06-04 11:15:00,1370344500,27.0,27.0,27.0,27.0,1,0,4
2013-08-26 16:15:00,1377533700,25.0,25.0,21.08,21.08,2,0,36
2013-08-27 11:00:00,1377601200,23.44,23.44,23.44,23.44,1,0,44
2013-08-29 14:15:00,1377785700,24.0,24.0,24.0,24.0,1,0,24
2013-08-30 15:00:00,1377874800,25.32,25.32,25.32,25.32,1,0,30
2013-09-04 15:15:00,1378307700,24.48,24.48,24.48,24.48,1,0,10
2013-09-06 15:45:00,1378482300,25.0,25.0,25.0,25.0,1,0,25
2013-09-10 13:45:00,1378820700,25.0,25.0,25.0,25.0,1,0,10
2013-09-13 10:30:00,1379068200,25.2,25.2,25.2,25.2,1,0,20
2013-10-23 12:30:00,1382531400,24.0,24.0,24.0,24.0,1,0,1
2013-10-24 10:45:00,1382611500,27.7,27.7,27.7,27.7,1,0,1
2013-11-07 14:30:00,1383834600,24.0,24.0,24.0,24.0,1,0,4
2013-11-13 13:45:00,1384350300,26.0,26.0,26.0,26.0,1,0,4
2013-11-22 14:45:00,1385131500,26.01,26.01,26.01,26.01,1,0,14
2013-11-27 10:15:00,1385547300,24.0,24.0,24.0,24.0,1,0,24
2013-12-02 14:30:00,1385994600,24.44,24.44,24.44,24.44,1,0,6
2013-12-05 13:45:00,1386251100,22.0,22.0,22.0,22.0,1,0,1
2013-12-06 13:45:00,1386337500,21.0,21.0,20.08,20.08,2,0,3
2013-12-12 12:00:00,1386849600,24.07,24.07,24.07,24.07,2,0,17
2013-12-12 12:15:00,1386850500,24.07,24.07,24.07,24.07,1,0,5
2013-12-18 14:30:00,1387377000,22.5,22.5,22.5,22.5,1,0,1
2013-12-20 13:15:00,1387545300,20.78,20.78,20.78,20.78,1,0,4
2014-01-09 11:00:00,1389265200,21.3,21.3,21.3,21.3,1,0,10
2014-01-09 11:15:00,1389266100,21.3,21.3,21.3,21.3,1,0,18
2014-01-15 13:45:00,1389793500,20.8,20.8,20.8,20.8,1,0,80
2014-01-24 10:30:00,1390559400,22.0,22.0,22.0,22.0,1,0,10
2014-01-30 12:15:00,1391084100,20.0,20.0,20.0,20.0,1,0,18
2014-02-10 15:15:00,1392045300,18.48,18.48,18.48,18.48,1,0,10
2014-02-12 10:15:00,1392200100,19.7,19.7,19.7,19.7,1,0,1
2014-02-17 10:30:00,1392633000,14.0,14.0,14.0,14.0,4,0,63
2014-02-24 10:00:00,1393236000,18.48,18.48,18.48,18.48,1,0,8
2014-02-24 14:00:00,1393250400,18.48,18.48,18.48,18.48,1,0,1
2014-02-25 11:30:00,1393327800,18.48,18.48,18.48,18.48,1,0,17
2014-03-24 11:45:00,1395661500,18.0,18.0,18.0,18.0,1,0,1
2014-03-25 15:30:00,1395761400,16.08,16.47,16.08,16.47,2,0,23
2014-03-31 16:45:00,1396284300,16.82,16.82,16.82,16.82,1,0,22
2014-04-01 10:30:00,1396348200,16.72,16.72,16.72,16.72,1,0,32
2014-04-09 11:45:00,1397043900,17.18,17.18,17.18,17.18,1,0,8
2014-04-10 16:15:00,1397146500,17.35,17.35,17.35,17.35,1,0,8
2014-05-30 11:15:00,1401448500,16.48,16.48,16.48,16.48,1,0,3
2014-06-24 10:15:00,1403604900,17.98,17.98,17.98,17.98,1,0,7
2014-07-04 13:00:00,1404478800,15.0,15.0,15.0,15.0,1,0,1
2014-07-24 10:00:00,1406196000,17.5,17.5,17.5,17.5,1,0,10
2014-08-06 13:00:00,1407330000,17.98,17.98,17.98,17.98,1,0,54
2014-08-07 11:00:00,1407409200,17.98,17.98,17.98,17.98,1,0,32
2014-08-28 10:45:00,1409222700,16.05,16.05,16.05,16.05,1,0,1
2014-09-05 14:00:00,1409925600,16.05,16.05,15.9,15.9,3,0,99
2014-09-08 11:15:00,1410174900,15.8,15.8,15.64,15.64,2,0,23
2014-09-29 14:15:00,1412000100,14.0,14.0,14.0,14.0,1,0,2
2014-10-01 13:45:00,1412171100,14.0,14.0,14.0,14.0,1,0,6
2014-10-07 13:00:00,1412686800,14.0,14.0,14.0,14.0,1,0,13
2014-10-07 15:45:00,1412696700,14.0,14.0,14.0,14.0,1,0,1
