datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-08-23 14:15:00,1156342500,8.87,8.87,8.87,8.87,1,0,500
2006-09-01 16:00:00,1157126400,8.87,8.87,8.87,8.87,1,0,100
2006-09-04 12:00:00,1157371200,8.87,8.87,8.87,8.87,2,0,500
2006-09-29 15:00:00,1159542000,9.47,9.47,8.39,8.39,2,0,200
2006-10-02 16:00:00,1159804800,8.47,8.47,8.47,8.47,1,0,100
2006-10-06 12:45:00,1160138700,8.39,8.39,8.39,8.39,2,0,900
2006-10-26 15:15:00,1161875700,8.39,8.39,8.39,8.39,2,0,1000
2006-12-22 15:15:00,1166800500,16.82,16.82,16.82,16.82,2,0,400
2006-12-27 18:00:00,1167242400,16.78,16.78,16.78,16.78,1,0,4700
2007-01-08 12:15:00,1168258500,14.79,14.79,14.79,14.79,1,0,200
2007-02-16 14:00:00,1171634400,13.31,13.31,13.31,13.31,1,0,100
2007-02-16 15:00:00,1171638000,13.31,13.31,13.31,13.31,1,0,300
2007-02-21 13:45:00,1172065500,13.31,13.31,13.31,13.31,1,0,100
2007-02-27 17:15:00,1172596500,13.07,13.07,13.07,13.07,1,0,600
2007-02-28 17:15:00,1172682900,14.3,14.3,14.3,14.3,2,0,600
2007-03-05 17:15:00,1173114900,14.3,14.3,14.3,14.3,1,0,100
2007-05-14 15:00:00,1179154800,13.16,13.16,13.16,13.16,2,0,200
2007-05-16 17:00:00,1179334800,13.16,13.16,13.16,13.16,1,0,100
2007-05-17 14:30:00,1179412200,13.16,13.16,13.16,13.16,1,0,100
2007-05-17 16:15:00,1179418500,13.3,13.3,13.3,13.3,1,0,100
2007-05-21 16:15:00,1179764100,13.56,13.56,13.56,13.56,4,0,1000
2007-05-22 13:45:00,1179841500,13.56,13.56,13.56,13.56,3,0,300
2007-05-23 10:45:00,1179917100,13.8,13.8,13.8,13.8,1,0,100
2007-05-31 12:30:00,1180614600,14.05,14.05,14.05,14.05,1,0,100
2007-06-01 10:45:00,1180694700,14.2,14.2,14.2,14.2,1,0,100
2007-06-01 11:30:00,1180697400,14.3,14.3,14.3,14.3,1,0,100
2007-06-04 12:00:00,1180958400,14.3,14.3,14.3,14.3,1,0,100
2007-06-04 13:30:00,1180963800,14.3,14.3,14.3,14.3,1,0,100
2007-06-20 10:45:00,1182336300,14.3,14.3,14.3,14.3,1,0,100
2007-07-03 16:30:00,1183480200,14.3,14.3,14.3,14.3,1,0,100
2007-07-05 15:30:00,1183649400,14.35,14.35,14.35,14.35,1,0,100
2007-07-10 16:45:00,1184085900,14.05,14.05,14.05,14.05,1,0,100
2007-07-18 11:30:00,1184758200,14.37,14.37,14.37,14.37,1,0,100
2007-07-18 13:30:00,1184765400,14.41,14.41,14.41,14.41,1,0,100
2007-07-20 16:30:00,1184949000,14.41,14.41,14.41,14.41,1,0,100
2007-07-20 16:45:00,1184949900,15.06,15.06,15.06,15.06,1,0,100
2007-07-23 12:00:00,1185192000,15.06,15.06,15.06,15.06,1,0,100
2007-09-06 14:00:00,1189087200,15.06,15.06,15.06,15.06,2,0,300
2007-09-21 16:15:00,1190391300,15.06,15.06,15.06,15.06,1,0,300
2007-09-28 13:30:00,1190986200,15.21,15.21,15.21,15.21,1,0,200
2007-10-19 12:00:00,1192795200,15.33,15.33,15.33,15.33,2,0,400
2007-10-19 12:15:00,1192796100,15.33,15.33,15.33,15.33,1,0,100
2007-10-30 14:30:00,1193754600,15.36,15.36,15.36,15.36,1,0,300
2007-12-05 17:00:00,1196874000,15.06,15.06,15.06,15.06,1,0,200
2007-12-06 17:00:00,1196960400,14.07,14.07,14.07,14.07,1,0,100
2007-12-14 16:30:00,1197649800,15.47,15.47,15.47,15.47,1,0,100
2008-01-02 16:45:00,1199292300,15.47,15.47,15.47,15.47,1,0,100
2008-02-14 12:30:00,1202992200,12.55,12.55,12.55,12.55,5,0,2400
2008-02-14 13:15:00,1202994900,14.05,14.05,14.05,14.05,2,0,500
2008-02-14 13:30:00,1202995800,14.05,14.05,14.05,14.05,1,0,200
2008-02-14 17:45:00,1203011100,12.92,12.92,12.92,12.92,1,0,100
2008-02-28 12:00:00,1204200000,12.6,12.6,12.6,12.6,1,0,100
