datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-07-15 10:00:00,1626343200,30.91,31.65,30.77,31.38,857,0,12251
2021-07-15 10:15:00,1626344100,31.36,31.36,29.64,30.45,607,1,10421
2021-07-15 10:30:00,1626345000,30.41,30.41,29.8,30.0,335,1,4948
2021-07-15 10:45:00,1626345900,30.0,30.0,29.3,29.92,361,1,5920
2021-07-15 11:00:00,1626346800,29.93,30.4,29.9,30.4,234,1,3440
2021-07-15 11:15:00,1626347700,30.45,32.15,30.4,31.79,349,1,6950
2021-07-15 11:30:00,1626348600,31.76,31.92,31.17,31.49,250,1,5069
2021-07-15 11:45:00,1626349500,31.47,32.19,31.33,31.85,253,1,5069
2021-07-15 12:00:00,1626350400,31.88,32.09,31.72,31.85,173,1,3225
2021-07-15 12:15:00,1626351300,31.82,31.86,31.31,31.55,168,1,3000
2021-07-15 12:30:00,1626352200,31.5,32.15,31.45,31.76,192,1,3861
2021-07-15 12:45:00,1626353100,31.7,32.11,31.68,31.95,203,1,2873
2021-07-15 13:00:00,1626354000,31.95,32.1,31.9,31.98,152,1,2107
2021-07-15 13:15:00,1626354900,31.98,32.59,31.98,32.54,188,1,3174
2021-07-15 13:30:00,1626355800,32.54,33.04,32.07,32.94,323,1,6163
2021-07-15 13:45:00,1626356700,32.97,33.04,32.55,32.57,197,1,4265
2021-07-15 14:00:00,1626357600,32.64,32.64,32.0,32.0,203,1,3591
2021-07-15 14:15:00,1626358500,31.96,32.17,31.5,32.12,198,1,3268
2021-07-15 14:30:00,1626359400,32.2,32.2,31.81,32.0,106,1,2158
2021-07-15 14:45:00,1626360300,32.06,32.11,31.77,31.89,102,1,1815
2021-07-15 15:00:00,1626361200,31.87,31.89,31.5,31.52,109,1,1376
2021-07-15 15:15:00,1626362100,31.52,32.0,31.52,31.81,85,1,1514
2021-07-15 15:30:00,1626363000,31.8,31.82,31.61,31.8,88,1,1419
2021-07-15 15:45:00,1626363900,31.8,31.91,31.8,31.91,85,1,1155
2021-07-15 16:00:00,1626364800,31.91,32.07,31.7,31.7,94,1,1719
2021-07-15 16:15:00,1626365700,31.68,31.68,30.71,30.74,158,1,2634
2021-07-15 16:30:00,1626366600,30.86,31.39,30.78,31.27,72,1,1751
2021-07-15 16:45:00,1626367500,31.34,31.45,30.92,31.44,52,1,720
2021-07-15 17:00:00,1626368400,31.55,31.55,31.55,31.55,32,0,607
2021-07-15 17:30:00,1626370200,31.59,31.94,31.55,31.94,32,1,744
2021-07-15 17:45:00,1626371100,31.94,31.94,31.5,31.5,24,1,237
2021-07-16 10:00:00,1626429600,32.32,32.32,31.3,31.78,247,0,3566
2021-07-16 10:15:00,1626430500,31.78,31.78,31.31,31.41,149,1,2308
2021-07-16 10:30:00,1626431400,31.45,31.67,31.2,31.67,129,1,2344
2021-07-16 10:45:00,1626432300,31.68,31.68,31.32,31.32,100,1,1641
2021-07-16 11:00:00,1626433200,31.38,31.5,31.1,31.22,104,1,1761
2021-07-16 11:15:00,1626434100,31.15,31.4,31.0,31.01,154,1,1544
2021-07-16 11:30:00,1626435000,31.03,31.1,30.6,30.8,159,1,2305
2021-07-16 11:45:00,1626435900,30.78,31.0,30.33,30.98,159,1,2618
2021-07-16 12:00:00,1626436800,30.88,30.94,30.69,30.69,92,1,1298
2021-07-16 12:15:00,1626437700,30.72,30.83,30.53,30.56,83,1,985
2021-07-16 12:30:00,1626438600,30.56,30.66,30.51,30.51,78,1,745
2021-07-16 12:45:00,1626439500,30.51,30.63,30.45,30.45,89,1,1332
2021-07-16 13:00:00,1626440400,30.49,30.92,30.46,30.79,132,1,1116
2021-07-16 13:15:00,1626441300,30.78,31.1,30.78,31.02,276,1,1549
2021-07-16 13:30:00,1626442200,31.03,31.35,31.0,31.23,101,1,1104
2021-07-16 13:45:00,1626443100,31.24,31.45,31.21,31.44,154,1,1504
2021-07-16 14:00:00,1626444000,31.45,31.7,31.0,31.59,137,1,2539
2021-07-16 14:15:00,1626444900,31.61,31.62,31.5,31.62,96,1,1462
2021-07-16 14:30:00,1626445800,31.61,32.1,31.44,32.05,157,1,3076
2021-07-16 14:45:00,1626446700,32.07,32.3,31.48,31.88,115,1,2006
2021-07-16 15:00:00,1626447600,31.91,31.96,31.78,31.91,83,1,1243
2021-07-16 15:15:00,1626448500,31.91,32.0,31.83,31.92,65,1,628
2021-07-16 15:30:00,1626449400,31.93,31.95,31.81,31.84,129,1,729
2021-07-16 15:45:00,1626450300,31.83,31.95,31.82,31.88,106,1,587
2021-07-16 16:00:00,1626451200,31.85,31.87,31.5,31.58,157,1,814
2021-07-16 16:15:00,1626452100,31.57,31.62,31.52,31.6,116,1,665
2021-07-16 16:30:00,1626453000,31.65,31.7,31.54,31.6,83,1,397
2021-07-16 16:45:00,1626453900,31.6,31.71,31.57,31.67,40,1,385
2021-07-16 17:00:00,1626454800,31.95,31.95,31.95,31.95,22,0,424
2021-07-16 19:00:00,1626462000,31.95,32.0,31.67,31.67,26,2,261
2021-07-19 10:00:00,1626688800,32.0,32.0,31.17,31.48,98,0,1008
2021-07-19 10:15:00,1626689700,31.59,31.9,31.31,31.35,47,1,319
2021-07-19 10:30:00,1626690600,31.43,32.0,31.36,31.7,78,1,1104
2021-07-19 10:45:00,1626691500,31.62,31.78,31.39,31.48,46,1,572
2021-07-19 11:00:00,1626692400,31.48,31.51,31.08,31.16,90,1,1292
2021-07-19 11:15:00,1626693300,31.1,31.27,30.79,30.85,74,1,978
2021-07-19 11:30:00,1626694200,30.85,31.3,30.8,31.27,39,2,556
2021-07-19 11:45:00,1626695100,31.26,31.26,31.0,31.0,21,1,287
2021-07-19 12:00:00,1626696000,31.0,31.19,30.92,31.12,41,1,590
2021-07-19 12:15:00,1626696900,30.97,31.04,30.82,30.84,57,1,730
2021-07-19 12:30:00,1626697800,30.94,30.95,30.8,30.85,31,1,234
2021-07-19 12:45:00,1626698700,30.95,31.05,30.83,30.87,30,1,696
2021-07-19 13:00:00,1626699600,30.94,30.95,30.75,30.85,56,1,640
2021-07-19 13:15:00,1626700500,30.78,30.8,30.69,30.78,43,1,665
2021-07-19 13:30:00,1626701400,30.76,30.82,30.59,30.59,47,1,639
2021-07-19 13:45:00,1626702300,30.59,30.82,30.59,30.67,32,1,414
2021-07-19 14:00:00,1626703200,30.68,30.78,30.65,30.65,36,1,404
2021-07-19 14:15:00,1626704100,30.72,30.79,30.65,30.69,18,2,295
2021-07-19 14:30:00,1626705000,30.69,30.69,30.55,30.6,36,1,604
2021-07-19 14:45:00,1626705900,30.6,30.72,30.58,30.6,28,1,411
2021-07-19 15:00:00,1626706800,30.6,30.81,30.55,30.75,35,1,629
2021-07-19 15:15:00,1626707700,30.81,30.94,30.62,30.78,29,1,574
2021-07-19 15:30:00,1626708600,30.72,30.78,30.64,30.67,30,1,508
2021-07-19 15:45:00,1626709500,30.75,30.8,30.66,30.7,22,1,309
2021-07-19 16:00:00,1626710400,30.74,30.76,30.62,30.69,26,1,327
2021-07-19 16:15:00,1626711300,30.67,30.69,30.62,30.62,22,1,368
2021-07-19 16:30:00,1626712200,30.63,30.63,30.26,30.47,108,1,2167
2021-07-19 16:45:00,1626713100,30.42,30.73,30.41,30.6,50,1,931
2021-07-19 17:00:00,1626714000,30.5,30.5,30.5,30.5,17,0,275
2021-07-19 17:30:00,1626715800,30.73,30.73,30.33,30.34,81,1,825
2021-07-19 17:45:00,1626716700,30.3,30.54,30.3,30.54,18,3,307
2021-07-20 10:00:00,1626775200,30.5,31.0,30.5,30.5,57,1,578
2021-07-20 10:15:00,1626776100,30.55,30.55,30.1,30.16,56,1,1126
2021-07-20 10:30:00,1626777000,30.16,30.25,29.59,29.69,114,1,1751
2021-07-20 10:45:00,1626777900,29.63,29.96,29.58,29.74,89,1,998
2021-07-20 11:00:00,1626778800,29.8,29.81,29.74,29.77,59,1,718
2021-07-20 11:15:00,1626779700,29.77,30.0,29.76,29.99,79,1,1179
2021-07-20 11:30:00,1626780600,29.96,30.21,29.88,30.16,75,1,1155
2021-07-20 11:45:00,1626781500,30.17,30.19,30.0,30.05,38,1,583
2021-07-20 12:00:00,1626782400,30.04,30.22,30.0,30.2,47,1,770
2021-07-20 12:15:00,1626783300,30.1,30.1,29.81,29.99,135,1,1231
2021-07-20 12:30:00,1626784200,29.99,30.0,29.88,30.0,28,1,250
2021-07-20 12:45:00,1626785100,29.92,29.95,29.82,29.83,34,1,439
2021-07-20 13:00:00,1626786000,29.81,29.95,29.81,29.89,19,1,270
2021-07-20 13:15:00,1626786900,29.9,29.92,29.89,29.9,41,1,351
2021-07-20 13:30:00,1626787800,29.91,30.0,29.9,29.9,32,1,515
2021-07-20 13:45:00,1626788700,29.93,29.97,29.9,29.93,27,1,306
2021-07-20 14:00:00,1626789600,29.92,30.0,29.9,29.9,49,1,502
2021-07-20 14:15:00,1626790500,29.9,29.97,29.89,29.89,29,1,321
2021-07-20 14:30:00,1626791400,29.89,29.93,29.89,29.9,23,1,262
2021-07-20 14:45:00,1626792300,29.9,29.95,29.89,29.9,20,1,186
2021-07-20 15:00:00,1626793200,29.9,29.96,29.87,29.88,52,1,385
2021-07-20 15:15:00,1626794100,29.87,29.95,29.85,29.95,41,1,429
2021-07-20 15:30:00,1626795000,29.91,29.98,29.85,29.9,17,1,191
2021-07-20 15:45:00,1626795900,29.92,29.94,29.88,29.9,29,1,216
2021-07-20 16:00:00,1626796800,29.9,29.94,29.87,29.89,33,1,403
2021-07-20 16:15:00,1626797700,29.86,30.23,29.84,30.23,49,1,596
2021-07-20 16:30:00,1626798600,30.22,30.47,30.22,30.39,29,1,387
2021-07-20 16:45:00,1626799500,30.39,30.41,30.05,30.36,20,1,255
2021-07-20 17:00:00,1626800400,30.5,30.5,30.5,30.5,24,0,699
2021-07-20 17:30:00,1626802200,30.5,30.8,30.4,30.8,29,1,232
2021-07-20 17:45:00,1626803100,30.5,30.8,30.5,30.8,10,1,82
2021-07-21 10:00:00,1626861600,30.57,31.42,30.57,30.86,98,1,1982
2021-07-21 10:15:00,1626862500,30.91,30.97,30.33,30.46,66,2,1245
2021-07-21 10:30:00,1626863400,30.38,30.46,30.38,30.44,27,2,503
2021-07-21 10:45:00,1626864300,30.4,30.49,30.39,30.44,34,1,551
2021-07-21 11:00:00,1626865200,30.44,30.44,30.2,30.21,42,1,906
2021-07-21 11:15:00,1626866100,30.22,30.22,29.94,29.94,61,1,766
2021-07-21 11:30:00,1626867000,29.99,30.09,29.94,30.07,27,2,275
2021-07-21 11:45:00,1626867900,30.02,30.06,29.98,30.02,21,2,426
2021-07-21 12:00:00,1626868800,30.05,30.1,30.0,30.09,16,2,286
2021-07-21 12:15:00,1626869700,30.06,30.07,29.95,30.0,23,1,326
2021-07-21 12:30:00,1626870600,30.05,30.19,29.8,29.97,31,1,474
2021-07-21 12:45:00,1626871500,29.9,29.91,29.75,29.75,38,1,794
2021-07-21 13:00:00,1626872400,29.9,30.16,29.75,30.03,30,1,444
2021-07-21 13:15:00,1626873300,30.03,30.06,29.98,30.03,23,1,369
2021-07-21 13:30:00,1626874200,30.0,30.03,29.91,29.91,19,1,210
2021-07-21 13:45:00,1626875100,29.96,30.04,29.91,30.04,24,1,199
2021-07-21 14:00:00,1626876000,30.04,30.05,29.99,30.05,10,3,62
2021-07-21 14:15:00,1626876900,29.99,30.04,29.94,29.98,9,1,360
2021-07-21 14:30:00,1626877800,30.01,30.04,29.98,30.03,15,1,241
2021-07-21 14:45:00,1626878700,29.98,29.99,29.97,29.97,6,3,51
2021-07-21 15:00:00,1626879600,30.01,30.01,29.96,30.0,15,1,63
2021-07-21 15:15:00,1626880500,29.99,30.0,29.97,29.99,10,1,63
2021-07-21 15:30:00,1626881400,29.99,30.02,29.96,30.02,40,1,355
2021-07-21 15:45:00,1626882300,29.96,30.2,29.95,29.95,44,1,246
2021-07-21 16:00:00,1626883200,29.97,30.04,29.95,30.04,27,1,90
2021-07-21 16:15:00,1626884100,30.05,30.19,30.0,30.06,37,1,434
2021-07-21 16:30:00,1626885000,30.07,30.07,29.91,30.02,50,1,420
2021-07-21 16:45:00,1626885900,30.09,30.24,30.0,30.14,26,1,357
2021-07-21 17:00:00,1626886800,30.01,30.01,30.01,30.01,9,15,130
2021-07-21 17:30:00,1626888600,30.01,30.31,29.85,29.85,34,1,334
2021-07-21 17:45:00,1626889500,30.01,30.19,29.7,29.7,42,3,538
2021-07-22 10:00:00,1626948000,29.86,30.23,29.86,29.9,40,2,848
2021-07-22 10:15:00,1626948900,29.88,29.88,29.25,29.5,83,2,1251
2021-07-22 10:30:00,1626949800,29.47,29.5,29.22,29.3,60,1,438
2021-07-22 10:45:00,1626950700,29.28,29.51,29.28,29.51,28,2,443
2021-07-22 11:00:00,1626951600,29.43,29.45,29.32,29.4,23,2,330
2021-07-22 11:15:00,1626952500,29.39,29.62,29.3,29.62,29,2,436
2021-07-22 11:30:00,1626953400,29.49,29.61,29.48,29.49,25,1,470
2021-07-22 11:45:00,1626954300,29.55,29.6,29.5,29.5,17,1,146
2021-07-22 12:00:00,1626955200,29.57,29.57,29.5,29.5,14,2,105
2021-07-22 12:15:00,1626956100,29.5,29.55,29.25,29.25,35,1,528
2021-07-22 12:30:00,1626957000,29.31,29.36,29.25,29.29,16,1,227
2021-07-22 12:45:00,1626957900,29.31,29.4,29.27,29.38,13,1,82
2021-07-22 13:00:00,1626958800,29.38,29.38,29.2,29.28,25,1,119
2021-07-22 13:15:00,1626959700,29.28,29.28,29.23,29.23,5,2,14
2021-07-22 13:30:00,1626960600,29.27,29.28,29.23,29.25,22,2,195
2021-07-22 13:45:00,1626961500,29.28,29.37,29.28,29.3,16,2,163
2021-07-22 14:00:00,1626962400,29.33,29.37,29.31,29.36,17,1,192
2021-07-22 14:15:00,1626963300,29.37,29.4,29.3,29.31,28,2,210
2021-07-22 14:30:00,1626964200,29.31,29.36,29.3,29.32,24,1,194
2021-07-22 14:45:00,1626965100,29.36,29.36,29.32,29.33,29,1,308
2021-07-22 15:00:00,1626966000,29.34,29.4,29.3,29.3,34,1,573
2021-07-22 15:15:00,1626966900,29.31,29.39,29.27,29.36,27,1,208
2021-07-22 15:30:00,1626967800,29.35,29.4,29.32,29.4,22,1,100
2021-07-22 15:45:00,1626968700,29.36,29.51,29.33,29.49,29,1,225
2021-07-22 16:00:00,1626969600,29.51,29.86,29.51,29.86,22,1,348
2021-07-22 16:15:00,1626970500,29.75,29.8,29.67,29.73,99,1,304
2021-07-22 16:30:00,1626971400,29.74,29.91,29.7,29.77,36,1,273
2021-07-22 16:45:00,1626972300,29.75,29.88,29.39,29.47,24,1,169
2021-07-22 17:00:00,1626973200,29.82,29.82,29.82,29.82,7,1,100
2021-07-22 17:30:00,1626975000,29.82,29.89,29.43,29.89,10,7,146
2021-07-22 17:45:00,1626975900,29.51,29.9,29.43,29.43,7,2,140
2021-07-23 10:00:00,1627034400,30.0,30.0,29.66,29.7,24,7,266
2021-07-23 10:15:00,1627035300,29.73,30.35,29.69,29.71,49,1,940
2021-07-23 10:30:00,1627036200,30.0,30.18,29.68,29.97,15,9,189
2021-07-23 10:45:00,1627037100,29.75,29.83,29.57,29.63,17,1,245
2021-07-23 11:00:00,1627038000,29.7,29.7,29.61,29.7,11,1,145
2021-07-23 11:15:00,1627038900,29.7,29.8,29.64,29.7,13,3,338
2021-07-23 11:30:00,1627039800,29.61,29.79,29.44,29.62,24,1,299
2021-07-23 11:45:00,1627040700,29.58,29.64,29.58,29.59,10,3,48
2021-07-23 12:00:00,1627041600,29.6,29.61,29.5,29.5,17,3,255
2021-07-23 12:15:00,1627042500,29.55,29.65,29.5,29.59,13,3,87
2021-07-23 12:30:00,1627043400,29.53,29.82,29.53,29.55,17,2,212
2021-07-23 12:45:00,1627044300,29.55,29.6,29.5,29.55,23,1,129
2021-07-23 13:00:00,1627045200,29.6,29.8,29.53,29.61,18,1,203
