datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-11-23 15:45:00,1164296700,40.0,40.0,40.0,40.0,2,0,2000
2006-11-23 17:30:00,1164303000,48.0,48.0,48.0,48.0,1,0,1000
2006-11-24 11:30:00,1164367800,49.0,49.0,49.0,49.0,1,0,1000
2006-11-27 11:00:00,1164625200,50.0,50.0,50.0,50.0,1,0,1000
2006-11-29 12:00:00,1164801600,49.0,49.0,49.0,49.0,2,0,14000
2006-12-06 17:30:00,1165426200,50.0,50.0,50.0,50.0,8,0,75000
2006-12-06 17:45:00,1165427100,52.0,52.0,50.0,50.0,7,0,27000
2006-12-07 11:00:00,1165489200,53.0,54.0,53.0,54.0,4,0,40000
2006-12-07 11:15:00,1165490100,55.0,55.0,55.0,55.0,6,0,19000
2006-12-07 11:30:00,1165491000,55.0,59.0,55.0,59.0,4,0,15000
2006-12-07 11:45:00,1165491900,57.0,59.0,57.0,59.0,6,0,22000
2006-12-07 12:00:00,1165492800,59.0,59.0,59.0,59.0,7,0,50000
2006-12-07 12:15:00,1165493700,60.0,60.0,60.0,60.0,2,0,28000
2006-12-07 13:15:00,1165497300,66.0,66.0,66.0,66.0,20,0,116000
2006-12-07 13:30:00,1165498200,66.0,66.0,66.0,66.0,8,0,44000
2006-12-07 13:45:00,1165499100,69.0,70.0,66.0,66.0,9,0,18000
2006-12-07 14:00:00,1165500000,66.0,66.0,66.0,66.0,1,0,5000
2006-12-07 14:15:00,1165500900,66.0,66.0,66.0,66.0,2,0,2000
2006-12-07 15:00:00,1165503600,67.0,67.0,67.0,67.0,2,0,7000
2006-12-07 15:15:00,1165504500,62.0,62.0,62.0,62.0,1,0,4000
2006-12-07 15:30:00,1165505400,64.0,64.0,64.0,64.0,2,0,5000
2006-12-07 15:45:00,1165506300,64.0,64.0,62.0,62.0,3,0,6000
2006-12-07 16:00:00,1165507200,62.0,62.0,61.0,61.0,3,0,4000
2006-12-07 16:15:00,1165508100,60.0,60.0,59.0,59.0,8,0,47000
2006-12-07 16:30:00,1165509000,59.0,59.0,55.0,58.0,10,0,22000
2006-12-07 17:00:00,1165510800,62.0,62.0,62.0,62.0,2,0,2000
2006-12-07 17:15:00,1165511700,62.0,65.0,62.0,64.0,6,0,8000
2006-12-07 17:30:00,1165512600,63.0,65.0,63.0,65.0,2,0,4000
2006-12-07 17:45:00,1165513500,66.0,69.0,66.0,69.0,5,0,17000
2006-12-07 18:00:00,1165514400,69.0,69.0,69.0,69.0,1,0,5000
2006-12-07 19:15:00,1165518900,69.0,70.0,69.0,70.0,4,0,4000
2006-12-08 11:15:00,1165576500,68.0,77.0,68.0,77.0,14,0,65000
2006-12-08 11:30:00,1165577400,77.0,78.0,73.0,75.0,35,0,74000
2006-12-08 11:45:00,1165578300,75.0,82.0,75.0,79.0,27,0,80000
2006-12-08 12:00:00,1165579200,78.0,79.0,76.0,76.0,4,0,4000
2006-12-08 12:15:00,1165580100,76.0,76.0,71.0,71.0,9,0,31000
2006-12-08 12:30:00,1165581000,71.0,77.0,69.0,77.0,9,0,21000
2006-12-08 13:00:00,1165582800,75.0,75.0,75.0,75.0,2,0,5000
2006-12-08 14:15:00,1165587300,77.0,77.0,77.0,77.0,1,0,2000
2006-12-08 15:45:00,1165592700,75.0,75.0,75.0,75.0,1,0,5000
2006-12-08 16:15:00,1165594500,75.0,75.0,75.0,75.0,1,0,3000
2006-12-08 17:00:00,1165597200,74.0,74.0,72.0,73.0,6,0,27000
2006-12-08 17:15:00,1165598100,75.0,75.0,75.0,75.0,1,0,5000
2006-12-08 17:45:00,1165599900,75.0,77.0,74.0,77.0,7,0,34000
2006-12-11 11:00:00,1165834800,77.0,77.0,77.0,77.0,1,0,3000
2006-12-11 11:45:00,1165837500,75.0,75.0,75.0,75.0,1,0,1000
2006-12-11 12:00:00,1165838400,75.0,75.0,72.0,72.0,3,0,8000
2006-12-11 12:15:00,1165839300,72.0,72.0,66.0,67.0,4,0,26000
2006-12-11 12:30:00,1165840200,68.0,68.0,68.0,68.0,2,0,3000
2006-12-11 13:00:00,1165842000,70.0,70.0,70.0,70.0,1,0,5000
2006-12-11 14:00:00,1165845600,73.0,74.0,73.0,74.0,2,0,6000
2006-12-11 14:45:00,1165848300,72.0,72.0,70.0,70.0,5,0,36000
2006-12-11 15:00:00,1165849200,70.0,70.0,70.0,70.0,3,0,7000
2006-12-11 15:30:00,1165851000,71.0,72.0,71.0,72.0,2,0,8000
2006-12-11 16:45:00,1165855500,71.0,71.0,69.0,69.0,7,0,26000
2006-12-11 17:00:00,1165856400,69.0,69.0,69.0,69.0,2,0,8000
2006-12-11 17:45:00,1165859100,68.0,68.0,68.0,68.0,1,0,5000
2006-12-12 13:00:00,1165928400,66.0,66.0,66.0,66.0,1,0,3000
2006-12-12 13:30:00,1165930200,66.0,66.0,66.0,66.0,1,0,2000
2006-12-12 14:00:00,1165932000,66.0,66.0,66.0,66.0,1,0,1000
2006-12-12 14:15:00,1165932900,66.0,66.0,66.0,66.0,1,0,1000
2006-12-13 14:30:00,1166020200,61.0,61.0,61.0,61.0,2,0,4000
2006-12-13 16:15:00,1166026500,61.0,61.0,60.0,60.0,3,0,9000
2006-12-13 16:30:00,1166027400,61.0,61.0,61.0,61.0,1,0,3000
2006-12-13 16:45:00,1166028300,63.0,63.0,63.0,63.0,1,0,3000
2006-12-14 12:30:00,1166099400,59.0,59.0,59.0,59.0,1,0,30000
2006-12-14 13:00:00,1166101200,58.0,58.0,58.0,58.0,1,0,2000
2006-12-14 13:45:00,1166103900,58.0,58.0,58.0,58.0,2,0,10000
2006-12-14 14:30:00,1166106600,60.0,60.0,60.0,60.0,1,0,5000
2006-12-15 11:00:00,1166180400,59.0,59.0,58.0,58.0,2,0,3000
2006-12-15 11:15:00,1166181300,56.0,56.0,56.0,56.0,2,0,3000
2006-12-15 12:15:00,1166184900,58.0,58.0,55.0,55.0,4,0,9000
2006-12-15 17:15:00,1166202900,55.0,55.0,55.0,55.0,1,0,1000
2006-12-18 14:15:00,1166451300,56.0,56.0,56.0,56.0,1,0,1000
2006-12-18 14:30:00,1166452200,55.0,55.0,55.0,55.0,1,0,5000
2006-12-18 17:45:00,1166463900,56.0,56.0,56.0,56.0,2,0,5000
2006-12-19 17:30:00,1166549400,54.0,54.0,52.0,52.0,4,0,13000
2006-12-20 14:45:00,1166625900,57.0,57.0,57.0,57.0,2,0,2000
2006-12-20 15:15:00,1166627700,57.0,57.0,57.0,57.0,2,0,2000
2006-12-20 15:45:00,1166629500,55.0,55.0,55.0,55.0,2,0,4000
2006-12-20 16:30:00,1166632200,54.0,54.0,52.0,52.0,4,0,15000
2006-12-20 17:00:00,1166634000,52.0,52.0,52.0,52.0,1,0,4000
2006-12-21 12:45:00,1166705100,50.0,50.0,50.0,50.0,1,0,10000
2006-12-21 14:30:00,1166711400,50.0,50.0,50.0,50.0,2,0,5000
2006-12-21 15:15:00,1166714100,50.0,50.0,50.0,50.0,1,0,1000
2006-12-21 16:30:00,1166718600,51.0,51.0,51.0,51.0,1,0,1000
2006-12-21 17:45:00,1166723100,50.0,50.0,50.0,50.0,4,0,4000
2006-12-26 12:00:00,1167134400,50.0,50.0,50.0,50.0,1,0,5000
2006-12-26 15:00:00,1167145200,50.0,50.0,50.0,50.0,1,0,1000
2006-12-28 12:30:00,1167309000,60.0,60.0,60.0,60.0,3,0,10000
2006-12-28 13:45:00,1167313500,55.0,55.0,55.0,55.0,1,0,4000
2006-12-28 17:45:00,1167327900,55.0,60.0,55.0,60.0,2,0,2000
2007-01-02 11:15:00,1167736500,55.0,55.0,55.0,55.0,2,0,168000
2007-01-02 12:15:00,1167740100,55.0,55.0,55.0,55.0,3,0,10000
2007-01-02 12:45:00,1167741900,52.0,55.0,52.0,55.0,2,0,15000
2007-01-02 13:15:00,1167743700,52.0,52.0,52.0,52.0,2,0,4000
2007-01-02 14:30:00,1167748200,55.0,55.0,55.0,55.0,1,0,2000
2007-01-02 16:00:00,1167753600,55.0,55.0,55.0,55.0,1,0,3000
2007-01-02 17:30:00,1167759000,55.0,55.0,55.0,55.0,2,0,20000
2007-01-02 17:45:00,1167759900,54.0,55.0,53.0,55.0,4,0,19000
2007-01-03 11:30:00,1167823800,55.0,55.0,55.0,55.0,1,0,186000
2007-01-03 14:45:00,1167835500,53.0,53.0,52.0,52.0,2,0,8000
2007-01-03 16:15:00,1167840900,52.0,52.0,52.0,52.0,1,0,20000
2007-01-04 15:15:00,1167923700,59.0,59.0,59.0,59.0,3,0,4000
2007-01-04 16:30:00,1167928200,57.0,59.0,57.0,59.0,3,0,15000
2007-01-04 16:45:00,1167929100,59.0,59.0,57.0,57.0,4,0,9000
2007-01-04 17:00:00,1167930000,57.0,57.0,57.0,57.0,4,0,20000
2007-01-04 17:15:00,1167930900,60.0,60.0,57.0,57.0,18,0,81000
2007-01-04 17:30:00,1167931800,60.0,60.0,58.0,58.0,2,0,2000
2007-01-04 17:45:00,1167932700,58.0,60.0,58.0,60.0,11,0,43000
2007-01-05 11:00:00,1167994800,62.0,65.0,62.0,65.0,12,0,35000
2007-01-05 11:15:00,1167995700,65.0,70.0,65.0,69.0,7,0,20000
2007-01-05 11:30:00,1167996600,69.0,69.0,65.0,65.0,11,0,44000
2007-01-05 11:45:00,1167997500,65.0,66.0,65.0,65.0,7,0,28000
2007-01-05 12:00:00,1167998400,65.0,70.0,65.0,70.0,17,0,80000
2007-01-05 12:15:00,1167999300,68.0,70.0,68.0,70.0,6,0,22000
2007-01-05 12:30:00,1168000200,71.0,72.0,70.0,70.0,21,0,66000
2007-01-05 12:45:00,1168001100,70.0,72.0,70.0,72.0,8,0,24000
2007-01-05 13:15:00,1168002900,66.0,67.0,65.0,65.0,77,0,872000
2007-01-05 13:30:00,1168003800,65.0,66.0,64.0,66.0,7,0,18000
2007-01-05 13:45:00,1168004700,64.0,64.0,64.0,64.0,5,0,20000
2007-01-05 14:00:00,1168005600,64.0,65.0,64.0,65.0,2,0,2000
2007-01-05 14:15:00,1168006500,64.0,65.0,63.0,65.0,5,0,16000
2007-01-05 14:30:00,1168007400,65.0,65.0,62.0,62.0,11,0,49000
2007-01-05 14:45:00,1168008300,64.0,65.0,64.0,65.0,8,0,36000
2007-01-05 15:00:00,1168009200,65.0,67.0,65.0,67.0,9,0,57000
2007-01-05 15:15:00,1168010100,67.0,68.0,66.0,68.0,12,0,49000
2007-01-05 15:30:00,1168011000,67.0,75.0,67.0,73.0,55,0,321000
2007-01-05 15:45:00,1168011900,72.0,74.0,70.0,70.0,26,0,141000
2007-01-05 16:00:00,1168012800,70.0,70.0,69.0,70.0,13,0,44000
2007-01-05 16:15:00,1168013700,70.0,72.0,70.0,71.0,10,0,29000
2007-01-05 16:30:00,1168014600,71.0,73.0,71.0,73.0,11,0,36000
2007-01-05 16:45:00,1168015500,72.0,73.0,70.0,73.0,14,0,28000
2007-01-05 17:00:00,1168016400,73.0,73.0,71.0,72.0,7,0,41000
2007-01-05 17:15:00,1168017300,72.0,73.0,72.0,72.0,8,0,23000
2007-01-05 17:30:00,1168018200,70.0,73.0,70.0,72.0,10,0,37000
2007-01-05 17:45:00,1168019100,73.0,80.0,73.0,80.0,39,0,136000
2007-01-05 18:45:00,1168022700,80.0,80.0,80.0,80.0,9,0,21000
2007-01-08 11:00:00,1168254000,91.0,95.0,87.0,94.0,48,0,140000
2007-01-08 11:15:00,1168254900,91.0,100.0,91.0,98.0,46,0,118000
2007-01-08 11:30:00,1168255800,93.0,97.0,90.0,94.0,33,0,127000
2007-01-08 11:45:00,1168256700,94.0,95.0,93.0,94.0,11,0,19000
2007-01-08 12:00:00,1168257600,94.0,98.0,93.0,98.0,15,0,47000
