datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-04-29 10:30:00,1619692200,13.25,15.58,13.24,15.04,3698,0,84476
2021-04-29 10:45:00,1619693100,15.14,15.14,14.1,14.99,1319,1,24028
2021-04-29 11:00:00,1619694000,15.0,15.0,14.49,14.68,1133,1,15324
2021-04-29 11:15:00,1619694900,14.66,14.96,14.65,14.93,573,1,7066
2021-04-29 11:30:00,1619695800,14.95,14.99,14.85,14.9,654,1,7980
2021-04-29 11:45:00,1619696700,14.9,14.96,14.87,14.92,624,1,6346
2021-04-29 12:00:00,1619697600,14.88,14.95,14.86,14.9,308,1,5176
2021-04-29 12:15:00,1619698500,14.9,14.91,14.6,14.66,308,1,5652
2021-04-29 12:30:00,1619699400,14.66,14.66,14.61,14.65,200,1,3532
2021-04-29 12:45:00,1619700300,14.65,14.65,14.51,14.58,251,1,4393
2021-04-29 13:00:00,1619701200,14.61,14.65,14.51,14.62,206,1,3800
2021-04-29 13:15:00,1619702100,14.62,14.64,14.57,14.62,159,1,2379
2021-04-29 13:30:00,1619703000,14.6,14.72,14.57,14.6,173,1,2691
2021-04-29 13:45:00,1619703900,14.62,14.62,14.55,14.58,161,1,2269
2021-04-29 14:00:00,1619704800,14.6,14.66,14.56,14.62,135,1,2350
2021-04-29 14:15:00,1619705700,14.62,14.63,14.57,14.6,107,1,1669
2021-04-29 14:30:00,1619706600,14.61,14.62,14.59,14.62,103,1,1518
2021-04-29 14:45:00,1619707500,14.62,14.65,14.56,14.6,134,1,2292
2021-04-29 15:00:00,1619708400,14.59,14.6,14.53,14.58,98,1,1521
2021-04-29 15:15:00,1619709300,14.56,14.59,14.54,14.57,91,1,1361
2021-04-29 15:30:00,1619710200,14.57,14.8,14.56,14.78,196,1,4192
2021-04-29 15:45:00,1619711100,14.79,14.97,14.77,14.97,161,1,2987
2021-04-29 16:00:00,1619712000,14.98,15.42,14.98,15.11,386,1,6762
2021-04-29 16:15:00,1619712900,15.1,15.3,14.9,15.05,242,1,4937
2021-04-29 16:30:00,1619713800,15.04,15.2,14.94,15.04,214,1,4346
2021-04-29 16:45:00,1619714700,15.06,15.15,15.0,15.0,86,1,1343
2021-04-29 17:00:00,1619715600,14.65,14.65,14.65,14.65,114,0,1692
2021-04-30 10:00:00,1619776800,15.4,16.27,15.0,16.21,605,0,12317
2021-04-30 10:15:00,1619777700,16.26,17.89,16.21,17.13,1275,1,29678
2021-04-30 10:30:00,1619778600,17.08,17.35,16.47,16.5,876,1,18001
2021-04-30 10:45:00,1619779500,16.58,16.67,15.75,16.52,656,1,15426
2021-04-30 11:00:00,1619780400,16.52,16.89,16.25,16.5,487,1,10689
2021-04-30 11:15:00,1619781300,16.51,16.51,16.26,16.4,293,1,6045
2021-04-30 11:30:00,1619782200,16.4,16.52,16.4,16.5,250,1,4463
2021-04-30 11:45:00,1619783100,16.5,16.5,16.31,16.34,199,1,3340
2021-04-30 12:00:00,1619784000,16.36,16.48,16.34,16.45,153,1,2734
2021-04-30 12:15:00,1619784900,16.46,16.46,16.31,16.31,207,1,4043
2021-04-30 12:30:00,1619785800,16.31,16.39,16.2,16.3,283,1,5196
2021-04-30 12:45:00,1619786700,16.31,16.31,16.22,16.27,189,1,3128
2021-04-30 13:00:00,1619787600,16.26,16.26,16.16,16.16,194,1,3680
2021-04-30 13:15:00,1619788500,16.16,16.2,15.86,16.12,263,1,4731
2021-04-30 13:30:00,1619789400,16.11,16.22,16.11,16.16,114,1,1913
2021-04-30 13:45:00,1619790300,16.15,16.19,16.07,16.13,133,1,2159
2021-04-30 14:00:00,1619791200,16.14,16.15,15.9,16.01,173,1,3433
2021-04-30 14:15:00,1619792100,16.01,16.1,15.94,15.98,135,1,2087
2021-04-30 14:30:00,1619793000,16.0,16.0,15.72,15.8,224,1,3665
2021-04-30 14:45:00,1619793900,15.79,15.87,15.55,15.83,118,1,2509
2021-04-30 15:00:00,1619794800,15.85,16.11,15.81,16.0,111,1,2731
2021-04-30 15:15:00,1619795700,15.99,16.0,15.83,15.89,100,1,1888
2021-04-30 15:30:00,1619796600,15.91,15.92,15.79,15.9,106,1,2064
2021-04-30 15:45:00,1619797500,15.89,16.09,15.81,15.93,111,1,2370
2021-04-30 16:00:00,1619798400,15.95,16.01,15.93,16.0,74,1,1207
2021-04-30 16:15:00,1619799300,16.0,16.02,15.95,15.97,129,1,1599
2021-04-30 16:30:00,1619800200,15.96,16.43,15.96,16.3,167,1,3548
2021-04-30 16:45:00,1619801100,16.28,16.3,16.14,16.3,54,1,776
2021-04-30 17:00:00,1619802000,16.3,16.3,16.3,16.3,39,0,609
2021-05-03 10:00:00,1620036000,16.71,18.0,16.56,16.76,488,0,10242
2021-05-03 10:15:00,1620036900,16.76,16.9,16.63,16.89,291,1,7185
2021-05-03 10:30:00,1620037800,16.9,17.11,16.61,16.99,324,1,7472
2021-05-03 10:45:00,1620038700,16.96,17.03,16.8,16.87,243,1,5751
2021-05-03 11:00:00,1620039600,16.85,17.0,16.83,16.97,144,1,2547
2021-05-03 11:15:00,1620040500,16.92,17.0,16.91,16.99,142,1,2753
2021-05-03 11:30:00,1620041400,16.98,17.0,16.91,16.94,147,1,2468
2021-05-03 11:45:00,1620042300,16.92,16.96,16.89,16.94,122,1,2050
2021-05-03 12:00:00,1620043200,16.93,16.95,16.89,16.94,102,1,1578
2021-05-03 12:15:00,1620044100,16.95,16.99,16.93,16.99,96,1,1887
2021-05-03 12:30:00,1620045000,16.94,17.0,16.89,16.89,72,0,1271
